Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
APPH,AppHarvest Inc. Common Stock,$14.03,-1.97,-12.313%,1373884144.00,United States,2020,1850333,Consumer Non-Durables,Farming/Seeds/Milling
ARKO,ARKO Corp. Common Stock,$9.90,-0.05,-0.503%,1231835270.00,United States,,335238,Consumer Non-Durables,Food Chains
ARLO,Arlo Technologies Inc. Common Stock,$5.99,-0.26,-4.16%,482217343.00,United States,2018,563436,Consumer Non-Durables,Consumer Electronics/Appliances
AVO,Mission Produce Inc. Common Stock,$19.60,-0.31,-1.557%,1382798071.00,United States,2020,39966,Consumer Non-Durables,Farming/Seeds/Milling
BGS,B&G Foods Inc. B&G Foods Inc. Common Stock,$30.16,0.09,0.299%,1952141951.00,United States,,284888,Consumer Non-Durables,Packaged Foods
BRBR,BellRing Brands Inc. Class A Common Stock,$24.70,-0.30,-1.20%,975878426.00,United States,2019,53713,Consumer Non-Durables,Packaged Foods
BV,BrightView Holdings Inc. Common Stock,$18.29,-0.22,-1.189%,1923149988.00,United States,2018,173028,Consumer Non-Durables,Farming/Seeds/Milling
CAL,Caleres Inc. Common Stock,$22.845,-1.005,-4.214%,875470225.00,United States,,402340,Consumer Non-Durables,Shoe Manufacturing
CALM,Cal-Maine Foods Inc. Common Stock,$39.18,-0.08,-0.204%,1914184466.00,United States,1996,44259,Consumer Non-Durables,Farming/Seeds/Milling
CHEF,The Chefs' Warehouse Inc. Common Stock,$33.42,-0.48,-1.416%,1267000325.00,United States,2011,172209,Consumer Non-Durables,Food Distributors
CLAR,Clarus Corporation Common Stock,$17.75,0.04,0.226%,555826713.00,United States,,31605,Consumer Non-Durables,Recreational Products/Toys
CORE,Core Mark Holding Co Inc Common Stock,$42.9099,-0.7801,-1.786%,1937970065.00,United States,,78294,Consumer Non-Durables,Food Distributors
CSWC,Capital Southwest Corporation Common Stock,$23.51,0.12,0.513%,467093106.00,United States,,60947,Consumer Non-Durables,Textiles
CVGW,Calavo Growers Inc. Common Stock,$79.9251,-0.0849,-0.106%,1414674270.00,United States,,17465,Consumer Non-Durables,Farming/Seeds/Milling
