Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACEL,Accel Entertainment Inc. ,$11.80,-0.06,-0.506%,1141211878.00,United States,2017,130622,Consumer Services,Services-Misc. Amusement & Recreation
ACRE,Ares Commercial Real Estate Corporation Common Stock,$14.17,-0.25,-1.734%,573571007.00,United States,2012,169967,Consumer Services,Real Estate Investment Trusts
AFIN,American Finance Trust Inc. Class A Common Stock,$9.51,-0.11,-1.143%,1035041858.00,United States,,160039,Consumer Services,Real Estate Investment Trusts
AIV,Apartment Investment and Management Company Common Stock,$6.32,-0.06,-0.94%,942997587.00,United States,1994,986010,Consumer Services,Real Estate Investment Trusts
AKR,Acadia Realty Trust Common Stock,$20.23,0.00,0.00%,1745902488.00,United States,,109546,Consumer Services,Real Estate Investment Trusts
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,$17.45,-0.17,-0.965%,1264595951.00,United States,,68547,Consumer Services,Real Estate Investment Trusts
ALX,Alexander's Inc. Common Stock,$285.3924,1.1224,0.395%,1457581751.00,United States,,1659,Consumer Services,Real Estate Investment Trusts
AMEH,Apollo Medical Holdings Inc. Common Stock,$26.92,-0.12,-0.444%,1189240425.00,United States,,14724,Consumer Services,Professional Services
ANDE,Andersons Inc. (The) Common Stock,$28.625,-0.165,-0.573%,963807128.00,United States,,48250,Consumer Services,Farming/Seeds/Milling
APEI,American Public Education Inc. Common Stock,$33.32,-0.99,-2.885%,622121085.00,United States,2007,29652,Consumer Services,Other Consumer Services
APTS,Preferred Apartment Communities Inc. Common Stock,$10.22,0.01,0.098%,520239248.00,United States,2011,125599,Consumer Services,Real Estate Investment Trusts
ARR,ARMOUR Residential REIT Inc.,$12.1995,-0.1105,-0.898%,820981480.00,United States,,591917,Consumer Services,Real Estate Investment Trusts
ASPN,Aspen Aerogels Inc. Common Stock,$17.82,-0.55,-2.994%,504329843.00,United States,2014,38175,Consumer Services,RETAIL: Building Materials
ASTS,AST SpaceMobile Inc. Class A Common Stock,$7.225,-0.585,-7.49%,373747111.00,United States,2019,1294188,Consumer Services,Telecommunications Equipment
AUD,Audacy Common Stock,$5.125,-0.015,-0.292%,727656146.00,United States,,291152,Consumer Services,Broadcasting
BATRA,Liberty Media Corporation Series A Liberty Braves Common Stock,$28.6205,-0.2795,-0.967%,1495496197.00,United States,,8984,Consumer Services,Broadcasting
BATRK,Liberty Media Corporation Series C Liberty Braves Common Stock,$28.00,-0.25,-0.885%,1463073444.00,United States,,405381,Consumer Services,Broadcasting
BFS,Saul Centers Inc. Common Stock,$40.42,-0.03,-0.074%,948189175.00,United States,1993,9363,Consumer Services,Real Estate Investment Trusts
BGFV,Big 5 Sporting Goods Corporation Common Stock,$16.67,0.19,1.153%,365645348.00,United States,2002,365839,Consumer Services,Other Specialty Stores
BH,Biglari Holdings Inc. Class B Common Stock,$137.00,2.99,2.231%,425105520.00,United States,2018,4347,Consumer Services,Restaurants
BJRI,BJ's Restaurants Inc. Common Stock,$60.78,2.09,3.561%,1409379951.00,United States,,197175,Consumer Services,Restaurants
BNED,Barnes & Noble Education Inc Common Stock,$6.96,-0.14,-1.972%,357597234.00,United States,2015,99557,Consumer Services,Other Specialty Stores
BOOT,Boot Barn Holdings Inc. Common Stock,$68.23,0.17,0.25%,1978990203.00,United States,2014,112702,Consumer Services,Clothing/Shoe/Accessory Stores
BPYU,Brookfield Property REIT Inc. Class A Common Stock,$17.98,-0.14,-0.773%,691160999.00,United States,,90922,Consumer Services,Real Estate Investment Trusts
BRMK,Broadmark Realty Capital Inc. Common Stock,$10.71,-0.08,-0.741%,1419713734.00,United States,2019,269389,Consumer Services,Real Estate Investment Trusts
BRT,BRT Apartments Corp. (MD) Common Stock,$17.50,-0.20,-1.13%,303330563.00,United States,,11488,Consumer Services,Real Estate Investment Trusts
CATO,Cato Corporation (The) Class A Common Stock,$13.99,-0.41,-2.847%,316222224.00,United States,,107627,Consumer Services,Clothing/Shoe/Accessory Stores
CCO,Clear Channel Outdoor Holdings Inc. Common Stock,$2.00,-0.09,-4.306%,935718128.00,United States,2005,850131,Consumer Services,Advertising
CHCT,Community Healthcare Trust Incorporated Common Stock,$49.41,-0.91,-1.808%,1187629284.00,United States,2015,24232,Consumer Services,Real Estate Investment Trusts
CHS,Chico's FAS Inc. Common Stock,$2.92,-0.11,-3.63%,349537663.00,United States,,717377,Consumer Services,Clothing/Shoe/Accessory Stores
CHUY,Chuy's Holdings Inc. Common Stock,$46.43,0.23,0.498%,915477953.00,United States,2012,37059,Consumer Services,Restaurants
CLDT,Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest,$13.36,-0.21,-1.548%,630049905.00,United States,2010,61503,Consumer Services,Real Estate Investment Trusts
