Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-11-24,1.3,1.3,1.1999,1.21,128899.0,0.0,1.0,1.3,1.3,1.1999,1.21,128899.0
2020-11-25,1.2502,1.3,1.15,1.15,108906.0,0.0,1.0,1.2502,1.3,1.15,1.15,108906.0
2020-11-27,1.3,1.3,1.2,1.21,18769.0,0.0,1.0,1.3,1.3,1.2,1.21,18769.0
2020-11-30,1.44,1.44,1.23,1.23,35362.0,0.0,1.0,1.44,1.44,1.23,1.23,35362.0
2020-12-01,1.3875,1.46,1.26,1.42,20288.0,0.0,1.0,1.3875,1.46,1.26,1.42,20288.0
2020-12-02,1.4,1.43,1.255,1.26,120468.0,0.0,1.0,1.4,1.43,1.255,1.26,120468.0
2020-12-03,1.27,1.33,1.21,1.3,64701.0,0.0,1.0,1.27,1.33,1.21,1.3,64701.0
2020-12-04,1.33,1.5,1.32,1.44,207848.0,0.0,1.0,1.33,1.5,1.32,1.44,207848.0
2020-12-07,1.55,2.27,1.4002,1.69,205661.0,0.0,1.0,1.55,2.27,1.4002,1.69,205661.0
2020-12-08,1.7,1.8,1.56,1.59,105249.0,0.0,1.0,1.7,1.8,1.56,1.59,105249.0
2020-12-09,1.58,1.6,1.46,1.5,325409.0,0.0,1.0,1.58,1.6,1.46,1.5,325409.0
2020-12-10,1.65,1.7,1.55,1.56,204838.0,0.0,1.0,1.65,1.7,1.55,1.56,204838.0
2020-12-11,1.65,1.72,1.52,1.57,257609.0,0.0,1.0,1.65,1.72,1.52,1.57,257609.0
2020-12-14,1.73,1.84,1.66,1.75,183030.0,0.0,1.0,1.73,1.84,1.66,1.75,183030.0
2020-12-15,1.81,1.83,1.6,1.74,361403.0,0.0,1.0,1.81,1.83,1.6,1.74,361403.0
2020-12-16,1.8034,1.84,1.57,1.77,255817.0,0.0,1.0,1.8034,1.84,1.57,1.77,255817.0
2020-12-17,1.82,2.0,1.79,2.0,176334.0,0.0,1.0,1.82,2.0,1.79,2.0,176334.0
2020-12-18,1.86,1.97,1.85,1.95,63514.0,0.0,1.0,1.86,1.97,1.85,1.95,63514.0
2020-12-21,1.99,1.9998,1.8,1.93,125241.0,0.0,1.0,1.99,1.9998,1.8,1.93,125241.0
2020-12-22,2.02,2.02,1.9,1.91,143512.0,0.0,1.0,2.02,2.02,1.9,1.91,143512.0
2020-12-23,1.96,2.94,1.95,2.6,276224.0,0.0,1.0,1.96,2.94,1.95,2.6,276224.0
2020-12-24,2.7,3.1,2.6,2.8201,210472.0,0.0,1.0,2.7,3.1,2.6,2.8201,210472.0
2020-12-28,3.06,3.1998,2.4,2.4998,307060.0,0.0,1.0,3.06,3.1998,2.4,2.4998,307060.0
2020-12-29,2.85,2.9,2.18,2.4,157078.0,0.0,1.0,2.85,2.9,2.18,2.4,157078.0
2020-12-30,2.45,2.67,2.35,2.3799,103779.0,0.0,1.0,2.45,2.67,2.35,2.3799,103779.0
2020-12-31,2.35,2.4,2.24,2.3014,62833.0,0.0,1.0,2.35,2.4,2.24,2.3014,62833.0
