Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.68,2.73,2.62,2.63,54623.0,0.0,1.0,2.68,2.73,2.62,2.63,54623.0
2020-01-03,2.61,2.67,2.61,2.62,61481.0,0.0,1.0,2.61,2.67,2.61,2.62,61481.0
2020-01-06,2.62,2.72,2.6,2.71,114038.0,0.0,1.0,2.62,2.72,2.6,2.71,114038.0
2020-01-07,2.7,2.75,2.67,2.71,33615.0,0.0,1.0,2.7,2.75,2.67,2.71,33615.0
2020-01-08,2.69,2.71,2.68,2.7,29254.0,0.0,1.0,2.69,2.71,2.68,2.7,29254.0
2020-01-09,2.73,2.75,2.68,2.7,70911.0,0.0,1.0,2.73,2.75,2.68,2.7,70911.0
2020-01-10,2.7,2.7273,2.65,2.68,54869.0,0.0,1.0,2.7,2.7273,2.65,2.68,54869.0
2020-01-13,2.67,2.75,2.67,2.73,53862.0,0.0,1.0,2.67,2.75,2.67,2.73,53862.0
2020-01-14,2.75,2.75,2.67,2.69,74988.0,0.0,1.0,2.75,2.75,2.67,2.69,74988.0
2020-01-15,2.68,2.71,2.66,2.67,60984.0,0.0,1.0,2.68,2.71,2.66,2.67,60984.0
2020-01-16,2.67,2.82,2.67,2.77,77788.0,0.0,1.0,2.67,2.82,2.67,2.77,77788.0
2020-01-17,2.81,2.81,2.73,2.77,123280.0,0.0,1.0,2.81,2.81,2.73,2.77,123280.0
2020-01-21,2.75,2.77,2.68,2.69,102465.0,0.0,1.0,2.75,2.77,2.68,2.69,102465.0
2020-01-22,2.69,2.7196,2.65,2.65,95607.0,0.0,1.0,2.69,2.7196,2.65,2.65,95607.0
2020-01-23,2.65,2.6632,2.57,2.59,122547.0,0.0,1.0,2.65,2.6632,2.57,2.59,122547.0
2020-01-24,2.58,2.64,2.58,2.62,42994.0,0.0,1.0,2.58,2.64,2.58,2.62,42994.0
2020-01-27,2.6,2.6,2.52,2.53,103966.0,0.0,1.0,2.6,2.6,2.52,2.53,103966.0
2020-01-28,2.53,2.55,2.5,2.51,343181.0,0.0,1.0,2.53,2.55,2.5,2.51,343181.0
2020-01-29,2.5,2.54,2.42,2.43,164252.0,0.0,1.0,2.5,2.54,2.42,2.43,164252.0
2020-01-30,2.41,2.601,2.4,2.57,124626.0,0.0,1.0,2.41,2.601,2.4,2.57,124626.0
2020-01-31,2.57,2.57,2.45,2.5,108458.0,0.0,1.0,2.57,2.57,2.45,2.5,108458.0
2020-02-03,2.5,2.61,2.42,2.48,81151.0,0.0,1.0,2.5,2.61,2.42,2.48,81151.0
2020-02-04,2.48,2.5,2.44,2.45,87849.0,0.0,1.0,2.48,2.5,2.44,2.45,87849.0
2020-02-05,2.45,2.5,2.425,2.44,52223.0,0.0,1.0,2.45,2.5,2.425,2.44,52223.0
2020-02-06,2.44,2.57,2.44,2.55,77902.0,0.0,1.0,2.44,2.57,2.44,2.55,77902.0
2020-02-07,2.52,2.56,2.46,2.48,36847.0,0.0,1.0,2.52,2.56,2.46,2.48,36847.0
2020-02-10,2.47,2.5,2.46,2.47,60831.0,0.0,1.0,2.47,2.5,2.46,2.47,60831.0
2020-02-11,2.47,2.4877,2.42,2.45,94148.0,0.0,1.0,2.47,2.4877,2.42,2.45,94148.0
2020-02-12,2.46,2.52,2.42,2.47,101588.0,0.0,1.0,2.46,2.52,2.42,2.47,101588.0
2020-02-13,2.47,2.47,2.41,2.43,51947.0,0.0,1.0,2.47,2.47,2.41,2.43,51947.0
2020-02-14,2.42,2.47,2.3912,2.45,97139.0,0.0,1.0,2.42,2.47,2.3912,2.45,97139.0
2020-02-18,2.44,2.46,2.41,2.425,109355.0,0.0,1.0,2.44,2.46,2.41,2.425,109355.0
2020-02-19,2.43,2.5099,2.38,2.38,135802.0,0.0,1.0,2.43,2.5099,2.38,2.38,135802.0
2020-02-20,2.38,2.485,2.38,2.46,171136.0,0.0,1.0,2.38,2.485,2.38,2.46,171136.0
2020-02-21,2.47,2.6299,2.47,2.59,203168.0,0.0,1.0,2.47,2.6299,2.47,2.59,203168.0
2020-02-24,2.55,2.5975,2.39,2.51,114389.0,0.0,1.0,2.55,2.5975,2.39,2.51,114389.0
2020-02-25,2.5,2.5012,2.4,2.44,134868.0,0.0,1.0,2.5,2.5012,2.4,2.44,134868.0
2020-02-26,2.44,2.52,2.41,2.43,118019.0,0.0,1.0,2.44,2.52,2.41,2.43,118019.0
2020-02-27,2.42,2.44,2.33,2.33,180755.0,0.0,1.0,2.42,2.44,2.33,2.33,180755.0
2020-02-28,2.3,2.415,2.3,2.3,284239.0,0.0,1.0,2.3,2.415,2.3,2.3,284239.0
2020-03-02,2.32,2.39,2.3,2.34,423220.0,0.0,1.0,2.32,2.39,2.3,2.34,423220.0
2020-03-03,2.35,2.39,2.31,2.32,162230.0,0.0,1.0,2.35,2.39,2.31,2.32,162230.0
2020-03-04,2.34,2.39,2.3,2.315,154557.0,0.0,1.0,2.34,2.39,2.3,2.315,154557.0
2020-03-05,2.3,2.3262,2.2169,2.24,219440.0,0.0,1.0,2.3,2.3262,2.2169,2.24,219440.0
2020-03-06,2.19,2.29,2.19,2.22,157984.0,0.0,1.0,2.19,2.29,2.19,2.22,157984.0
2020-03-09,2.15,2.22,2.09,2.16,448428.0,0.0,1.0,2.15,2.22,2.09,2.16,448428.0
2020-03-10,2.2,2.2,2.04,2.16,393554.0,0.0,1.0,2.2,2.2,2.04,2.16,393554.0
2020-03-11,2.1,2.33,2.1,2.22,272250.0,0.0,1.0,2.1,2.33,2.1,2.22,272250.0
2020-03-12,2.19,2.31,2.11,2.27,371241.0,0.0,1.0,2.19,2.31,2.11,2.27,371241.0
2020-03-13,2.35,2.37,2.21,2.3,164287.0,0.0,1.0,2.35,2.37,2.21,2.3,164287.0
2020-03-16,1.76,2.3,1.75,2.09,415641.0,0.0,1.0,1.76,2.3,1.75,2.09,415641.0
2020-03-17,2.09,2.3,2.05,2.21,323888.0,0.0,1.0,2.09,2.3,2.05,2.21,323888.0
2020-03-18,2.14,2.17,1.96,2.01,837234.0,0.0,1.0,2.14,2.17,1.96,2.01,837234.0
2020-03-19,2.03,2.2855,1.98,2.19,409177.0,0.0,1.0,2.03,2.2855,1.98,2.19,409177.0
2020-03-20,2.19,2.29,2.05,2.29,443639.0,0.0,1.0,2.19,2.29,2.05,2.29,443639.0
2020-03-23,2.3,2.37,2.15,2.25,324990.0,0.0,1.0,2.3,2.37,2.15,2.25,324990.0
2020-03-24,2.3,2.38,2.22,2.28,244884.0,0.0,1.0,2.3,2.38,2.22,2.28,244884.0
2020-03-25,2.26,2.3418,2.2,2.3,268356.0,0.0,1.0,2.26,2.3418,2.2,2.3,268356.0
2020-03-26,2.31,2.4,2.28,2.39,224800.0,0.0,1.0,2.31,2.4,2.28,2.39,224800.0
2020-03-27,2.31,2.3552,2.215,2.25,192919.0,0.0,1.0,2.31,2.3552,2.215,2.25,192919.0
2020-03-30,2.22,2.335,2.22,2.31,254388.0,0.0,1.0,2.22,2.335,2.22,2.31,254388.0
2020-03-31,2.33,2.355,2.18,2.22,343995.0,0.0,1.0,2.33,2.355,2.18,2.22,343995.0
2020-04-01,2.16,2.3,2.1388,2.2,300959.0,0.0,1.0,2.16,2.3,2.1388,2.2,300959.0
2020-04-02,2.2,2.315,2.2,2.28,237252.0,0.0,1.0,2.2,2.315,2.2,2.28,237252.0
2020-04-03,2.26,2.33,2.21,2.31,226319.0,0.0,1.0,2.26,2.33,2.21,2.31,226319.0
2020-04-06,2.38,2.46,2.35,2.45,300257.0,0.0,1.0,2.38,2.46,2.35,2.45,300257.0
2020-04-07,2.46,2.53,2.305,2.36,265555.0,0.0,1.0,2.46,2.53,2.305,2.36,265555.0
2020-04-08,2.4,2.595,2.4,2.51,267317.0,0.0,1.0,2.4,2.595,2.4,2.51,267317.0
2020-04-09,2.58,2.66,2.5,2.53,291825.0,0.0,1.0,2.58,2.66,2.5,2.53,291825.0
2020-04-13,2.5,2.59,2.47,2.49,152794.0,0.0,1.0,2.5,2.59,2.47,2.49,152794.0
2020-04-14,2.53,2.5694,2.36,2.38,237904.0,0.0,1.0,2.53,2.5694,2.36,2.38,237904.0
2020-04-15,2.29,2.415,2.29,2.39,164019.0,0.0,1.0,2.29,2.415,2.29,2.39,164019.0
2020-04-16,2.41,2.45,2.38,2.4,204614.0,0.0,1.0,2.41,2.45,2.38,2.4,204614.0
2020-04-17,2.38,2.5,2.37,2.43,185956.0,0.0,1.0,2.38,2.5,2.37,2.43,185956.0
2020-04-20,2.43,2.62,2.43,2.53,240213.0,0.0,1.0,2.43,2.62,2.43,2.53,240213.0
2020-04-21,2.48,2.65,2.44,2.63,170988.0,0.0,1.0,2.48,2.65,2.44,2.63,170988.0
2020-04-22,2.65,2.71,2.54,2.66,145363.0,0.0,1.0,2.65,2.71,2.54,2.66,145363.0
2020-04-23,2.65,2.69,2.5,2.54,104356.0,0.0,1.0,2.65,2.69,2.5,2.54,104356.0
2020-04-24,2.53,2.615,2.5,2.59,64129.0,0.0,1.0,2.53,2.615,2.5,2.59,64129.0
