Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,4.16,4.3,3.88,4.08,1256041.0,0.0,1.0,4.16,4.3,3.88,4.08,1256041.0
2020-01-03,4.02,4.2,4.0,4.1,554684.0,0.0,1.0,4.02,4.2,4.0,4.1,554684.0
2020-01-06,4.1,4.19,3.97,4.14,463115.0,0.0,1.0,4.1,4.19,3.97,4.14,463115.0
2020-01-07,4.14,4.3,4.08,4.16,316900.0,0.0,1.0,4.14,4.3,4.08,4.16,316900.0
2020-01-08,4.26,5.19,4.25,5.11,2900219.0,0.0,1.0,4.26,5.19,4.25,5.11,2900219.0
2020-01-09,5.19,5.6,5.15,5.55,1351042.0,0.0,1.0,5.19,5.6,5.15,5.55,1351042.0
2020-01-10,5.4,5.6,5.17,5.19,1125121.0,0.0,1.0,5.4,5.6,5.17,5.19,1125121.0
2020-01-13,5.19,5.56,5.01,5.5,806685.0,0.0,1.0,5.19,5.56,5.01,5.5,806685.0
2020-01-14,5.49,5.59,5.23,5.45,539450.0,0.0,1.0,5.49,5.59,5.23,5.45,539450.0
2020-01-15,5.43,5.7677,5.43,5.7,398319.0,0.0,1.0,5.43,5.7677,5.43,5.7,398319.0
2020-01-16,5.74,5.92,5.64,5.9,340593.0,0.0,1.0,5.74,5.92,5.64,5.9,340593.0
2020-01-17,5.94,6.06,5.8,5.88,450849.0,0.0,1.0,5.94,6.06,5.8,5.88,450849.0
2020-01-21,5.88,6.13,5.75,5.97,358766.0,0.0,1.0,5.88,6.13,5.75,5.97,358766.0
2020-01-22,6.02,6.03,5.75,5.88,319469.0,0.0,1.0,6.02,6.03,5.75,5.88,319469.0
2020-01-23,5.85,6.06,5.7,6.01,394402.0,0.0,1.0,5.85,6.06,5.7,6.01,394402.0
2020-01-24,6.01,6.015,5.38,5.45,284039.0,0.0,1.0,6.01,6.015,5.38,5.45,284039.0
2020-01-27,5.13,5.52,5.05,5.27,266252.0,0.0,1.0,5.13,5.52,5.05,5.27,266252.0
2020-01-28,5.33,5.46,5.19,5.3,215165.0,0.0,1.0,5.33,5.46,5.19,5.3,215165.0
2020-01-29,5.32,5.43,5.25,5.28,202642.0,0.0,1.0,5.32,5.43,5.25,5.28,202642.0
2020-01-30,5.25,5.36,5.06,5.1,203169.0,0.0,1.0,5.25,5.36,5.06,5.1,203169.0
2020-01-31,5.1,5.24,4.95,5.14,206375.0,0.0,1.0,5.1,5.24,4.95,5.14,206375.0
2020-02-03,5.24,5.4,5.13,5.33,270396.0,0.0,1.0,5.24,5.4,5.13,5.33,270396.0
2020-02-04,5.39,5.62,5.25,5.51,228842.0,0.0,1.0,5.39,5.62,5.25,5.51,228842.0
2020-02-05,5.57,5.865,5.48,5.67,350846.0,0.0,1.0,5.57,5.865,5.48,5.67,350846.0
2020-02-06,5.71,5.72,5.48,5.545,137624.0,0.0,1.0,5.71,5.72,5.48,5.545,137624.0
2020-02-07,5.54,5.6,5.42,5.47,141603.0,0.0,1.0,5.54,5.6,5.42,5.47,141603.0
2020-02-10,5.46,5.62,5.46,5.54,113526.0,0.0,1.0,5.46,5.62,5.46,5.54,113526.0
2020-02-11,5.59,5.7,5.51,5.61,197962.0,0.0,1.0,5.59,5.7,5.51,5.61,197962.0
2020-02-12,5.67,6.0,5.6,5.955,390902.0,0.0,1.0,5.67,6.0,5.6,5.955,390902.0
2020-02-13,5.92,6.02,5.7,5.75,174608.0,0.0,1.0,5.92,6.02,5.7,5.75,174608.0
