Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.92,0.93625,0.88,0.8815,171379.0,0.0,1.0,0.92,0.93625,0.88,0.8815,171379.0
2020-01-03,0.8798,0.91,0.85,0.88,142941.0,0.0,1.0,0.8798,0.91,0.85,0.88,142941.0
2020-01-06,0.9,0.9359,0.86,0.9214,73234.0,0.0,1.0,0.9,0.9359,0.86,0.9214,73234.0
2020-01-07,0.88,0.9848,0.88,0.9702,129066.0,0.0,1.0,0.88,0.9848,0.88,0.9702,129066.0
2020-01-08,0.99,1.15,0.9447,1.1101,397756.0,0.0,1.0,0.99,1.15,0.9447,1.1101,397756.0
2020-01-09,1.06,1.1,1.005,1.01,268091.0,0.0,1.0,1.06,1.1,1.005,1.01,268091.0
2020-01-10,1.04,1.04,1.01,1.04,97852.0,0.0,1.0,1.04,1.04,1.01,1.04,97852.0
2020-01-13,1.07,1.11,1.05,1.0556,241621.0,0.0,1.0,1.07,1.11,1.05,1.0556,241621.0
2020-01-14,1.08,1.08,1.01,1.06,119347.0,0.0,1.0,1.08,1.08,1.01,1.06,119347.0
2020-01-15,1.09,1.09,1.04,1.07,69612.0,0.0,1.0,1.09,1.09,1.04,1.07,69612.0
2020-01-16,1.05,1.12,1.05,1.07,108041.0,0.0,1.0,1.05,1.12,1.05,1.07,108041.0
2020-01-17,1.05,1.1,1.05,1.09,126274.0,0.0,1.0,1.05,1.1,1.05,1.09,126274.0
2020-01-21,1.11,1.54,1.11,1.4399,1589905.0,0.0,1.0,1.11,1.54,1.11,1.4399,1589905.0
2020-01-22,1.38,1.43,1.25,1.38,496975.0,0.0,1.0,1.38,1.43,1.25,1.38,496975.0
2020-01-23,1.38,1.38,1.265,1.33,164827.0,0.0,1.0,1.38,1.38,1.265,1.33,164827.0
2020-01-24,1.35,1.35,1.21,1.21,161413.0,0.0,1.0,1.35,1.35,1.21,1.21,161413.0
2020-01-27,1.19,1.24,1.15,1.2,197608.0,0.0,1.0,1.19,1.24,1.15,1.2,197608.0
2020-01-28,1.18,1.2475,1.13,1.16,181588.0,0.0,1.0,1.18,1.2475,1.13,1.16,181588.0
2020-01-29,1.15,1.22,1.11,1.18,120323.0,0.0,1.0,1.15,1.22,1.11,1.18,120323.0
2020-01-30,1.2,1.2,1.1,1.11,113773.0,0.0,1.0,1.2,1.2,1.1,1.11,113773.0
2020-01-31,1.1,1.1143,1.01,1.065,190036.0,0.0,1.0,1.1,1.1143,1.01,1.065,190036.0
2020-02-03,1.03,1.09,1.03,1.04,50587.0,0.0,1.0,1.03,1.09,1.03,1.04,50587.0
2020-02-04,1.04,1.08,1.02,1.04,93357.0,0.0,1.0,1.04,1.08,1.02,1.04,93357.0
2020-02-05,1.1,1.2,1.07,1.17,158879.0,0.0,1.0,1.1,1.2,1.07,1.17,158879.0
2020-02-06,1.17,1.22,1.12,1.12,137667.0,0.0,1.0,1.17,1.22,1.12,1.12,137667.0
2020-02-07,1.17,1.17,1.12,1.14,75377.0,0.0,1.0,1.17,1.17,1.12,1.14,75377.0
2020-02-10,1.14,1.14,1.1003,1.12,48779.0,0.0,1.0,1.14,1.14,1.1003,1.12,48779.0
2020-02-11,1.08,1.18,1.0719,1.16,152059.0,0.0,1.0,1.08,1.18,1.0719,1.16,152059.0
2020-02-12,1.19,1.21,1.15,1.18,90154.0,0.0,1.0,1.19,1.21,1.15,1.18,90154.0
2020-02-13,1.18,1.19,1.14,1.17,102097.0,0.0,1.0,1.18,1.19,1.14,1.17,102097.0
2020-02-14,1.16,1.2,1.16,1.18,59889.0,0.0,1.0,1.16,1.2,1.16,1.18,59889.0
2020-02-18,1.19,1.35,1.16,1.31,348541.0,0.0,1.0,1.19,1.35,1.16,1.31,348541.0
2020-02-19,1.29,1.38,1.23,1.36,298085.0,0.0,1.0,1.29,1.38,1.23,1.36,298085.0
2020-02-20,1.03,1.08,0.989891,1.02,2146664.0,0.0,1.0,1.03,1.08,0.989891,1.02,2146664.0
2020-02-21,0.99,1.03,0.96,0.99,634540.0,0.0,1.0,0.99,1.03,0.96,0.99,634540.0
2020-02-24,0.97,0.9999,0.92,0.9498,324833.0,0.0,1.0,0.97,0.9999,0.92,0.9498,324833.0
2020-02-25,0.93,0.9698,0.91,0.92,196203.0,0.0,1.0,0.93,0.9698,0.91,0.92,196203.0
2020-02-26,0.95,0.95,0.88,0.89,294484.0,0.0,1.0,0.95,0.95,0.88,0.89,294484.0
2020-02-27,0.89,0.8923,0.8,0.8611,353812.0,0.0,1.0,0.89,0.8923,0.8,0.8611,353812.0
2020-02-28,0.8,0.8549,0.77,0.8,502152.0,0.0,1.0,0.8,0.8549,0.77,0.8,502152.0
2020-03-02,0.78,0.81,0.74,0.741,387054.0,0.0,1.0,0.78,0.81,0.74,0.741,387054.0
2020-03-03,0.769,0.8778,0.743,0.78,448594.0,0.0,1.0,0.769,0.8778,0.743,0.78,448594.0
2020-03-04,0.8385,0.8385,0.7551,0.7803,247166.0,0.0,1.0,0.8385,0.8385,0.7551,0.7803,247166.0
2020-03-05,0.785,0.79,0.755,0.76,301566.0,0.0,1.0,0.785,0.79,0.755,0.76,301566.0
2020-03-06,0.755,0.8,0.74,0.77,298586.0,0.0,1.0,0.755,0.8,0.74,0.77,298586.0
2020-03-09,0.74,0.7698,0.66,0.689726,346332.0,0.0,1.0,0.74,0.7698,0.66,0.689726,346332.0
2020-03-10,0.73,0.73,0.6001,0.72,471342.0,0.0,1.0,0.73,0.73,0.6001,0.72,471342.0
2020-03-11,0.6813,0.71,0.64,0.66864,199010.0,0.0,1.0,0.6813,0.71,0.64,0.66864,199010.0
2020-03-12,0.6,0.6199,0.54,0.55,457618.0,0.0,1.0,0.6,0.6199,0.54,0.55,457618.0
2020-03-13,0.5202,0.59,0.5202,0.53,317033.0,0.0,1.0,0.5202,0.59,0.5202,0.53,317033.0
2020-03-16,0.5,0.51,0.4335,0.4701,293901.0,0.0,1.0,0.5,0.51,0.4335,0.4701,293901.0
2020-03-17,0.4936,0.5,0.438,0.49,134720.0,0.0,1.0,0.4936,0.5,0.438,0.49,134720.0
2020-03-18,0.5,0.5,0.396249,0.42,284183.0,0.0,1.0,0.5,0.5,0.396249,0.42,284183.0
2020-03-19,0.45,0.48,0.423,0.467721,315429.0,0.0,1.0,0.45,0.48,0.423,0.467721,315429.0
2020-03-20,0.48,0.4912,0.44,0.485,212104.0,0.0,1.0,0.48,0.4912,0.44,0.485,212104.0
2020-03-23,0.5,0.51,0.4511,0.49,109987.0,0.0,1.0,0.5,0.51,0.4511,0.49,109987.0
2020-03-24,0.49,0.51,0.4696,0.48,186237.0,0.0,1.0,0.49,0.51,0.4696,0.48,186237.0
2020-03-25,0.48,0.51,0.46,0.505999,580172.0,0.0,1.0,0.48,0.51,0.46,0.505999,580172.0
2020-03-26,0.5037,0.54,0.49,0.522,182444.0,0.0,1.0,0.5037,0.54,0.49,0.522,182444.0
2020-03-27,0.5202,0.5699,0.48,0.55,227282.0,0.0,1.0,0.5202,0.5699,0.48,0.55,227282.0
2020-03-30,0.5423,0.58,0.5,0.5032,196921.0,0.0,1.0,0.5423,0.58,0.5,0.5032,196921.0
2020-03-31,0.578,0.578,0.5015,0.511993,118652.0,0.0,1.0,0.578,0.578,0.5015,0.511993,118652.0
2020-04-01,0.5202,0.5225,0.48,0.496,105232.0,0.0,1.0,0.5202,0.5225,0.48,0.496,105232.0
2020-04-02,0.5,0.508,0.45,0.4541,112453.0,0.0,1.0,0.5,0.508,0.45,0.4541,112453.0
2020-04-03,0.47,0.5099,0.45,0.472,191791.0,0.0,1.0,0.47,0.5099,0.45,0.472,191791.0
2020-04-06,0.471,0.771,0.471,0.735,1912565.0,0.0,1.0,0.471,0.771,0.471,0.735,1912565.0
2020-04-07,0.74,0.75,0.5864,0.71,1330237.0,0.0,1.0,0.74,0.75,0.5864,0.71,1330237.0
2020-04-08,0.6856,0.7237,0.63,0.7065,217151.0,0.0,1.0,0.6856,0.7237,0.63,0.7065,217151.0
2020-04-09,0.74,0.74,0.68,0.69,121381.0,0.0,1.0,0.74,0.74,0.68,0.69,121381.0
2020-04-13,0.69,0.75,0.69,0.7481,330027.0,0.0,1.0,0.69,0.75,0.69,0.7481,330027.0
2020-04-14,0.8,0.8994,0.77,0.895,607056.0,0.0,1.0,0.8,0.8994,0.77,0.895,607056.0
2020-04-15,0.89,0.95,0.8,0.91,442144.0,0.0,1.0,0.89,0.95,0.8,0.91,442144.0
2020-04-16,0.9,0.9,0.8,0.815,287525.0,0.0,1.0,0.9,0.9,0.8,0.815,287525.0
2020-04-17,0.81,0.85,0.81,0.8396,95805.0,0.0,1.0,0.81,0.85,0.81,0.8396,95805.0
2020-04-20,0.8399,0.8499,0.8112,0.83,101179.0,0.0,1.0,0.8399,0.8499,0.8112,0.83,101179.0
2020-04-21,0.8223,0.8245,0.761,0.779,91798.0,0.0,1.0,0.8223,0.8245,0.761,0.779,91798.0
2020-04-22,0.7962,0.8,0.76,0.78,105846.0,0.0,1.0,0.7962,0.8,0.76,0.78,105846.0
2020-04-23,0.76,0.8,0.76,0.7997,43518.0,0.0,1.0,0.76,0.8,0.76,0.7997,43518.0
