Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.78,2.79,2.6,2.65,666767.0,0.0,1.0,2.78,2.79,2.6,2.65,666767.0
2020-01-03,2.63,2.67,2.54,2.55,681318.0,0.0,1.0,2.63,2.67,2.54,2.55,681318.0
2020-01-06,2.59,2.59,2.48,2.52,1303026.0,0.0,1.0,2.59,2.59,2.48,2.52,1303026.0
2020-01-07,2.51,2.5408,2.46,2.49,692284.0,0.0,1.0,2.51,2.5408,2.46,2.49,692284.0
2020-01-08,2.5,2.52,2.4,2.51,563398.0,0.0,1.0,2.5,2.52,2.4,2.51,563398.0
2020-01-09,2.54,2.75,2.54,2.75,528625.0,0.0,1.0,2.54,2.75,2.54,2.75,528625.0
2020-01-10,2.9,2.9042,2.73,2.75,616808.0,0.0,1.0,2.9,2.9042,2.73,2.75,616808.0
2020-01-13,2.76,2.77,2.59,2.68,538012.0,0.0,1.0,2.76,2.77,2.59,2.68,538012.0
2020-01-14,2.72,2.8,2.665,2.71,541273.0,0.0,1.0,2.72,2.8,2.665,2.71,541273.0
2020-01-15,2.71,2.86,2.7,2.84,609788.0,0.0,1.0,2.71,2.86,2.7,2.84,609788.0
2020-01-16,2.85,2.96,2.79,2.96,834175.0,0.0,1.0,2.85,2.96,2.79,2.96,834175.0
2020-01-17,2.96,3.08,2.95,3.02,2441731.0,0.0,1.0,2.96,3.08,2.95,3.02,2441731.0
2020-01-21,3.0,3.07,2.83,2.9,924072.0,0.0,1.0,3.0,3.07,2.83,2.9,924072.0
2020-01-22,2.93,2.975,2.88,2.9,798278.0,0.0,1.0,2.93,2.975,2.88,2.9,798278.0
2020-01-23,2.88,3.0,2.81,2.94,565193.0,0.0,1.0,2.88,3.0,2.81,2.94,565193.0
2020-01-24,3.01,3.05,2.86,2.9,661018.0,0.0,1.0,3.01,3.05,2.86,2.9,661018.0
2020-01-27,2.8,2.84,2.7,2.73,715264.0,0.0,1.0,2.8,2.84,2.7,2.73,715264.0
2020-01-28,2.77,2.86,2.71,2.78,551279.0,0.0,1.0,2.77,2.86,2.71,2.78,551279.0
2020-01-29,2.76,2.79,2.72,2.76,521647.0,0.0,1.0,2.76,2.79,2.72,2.76,521647.0
2020-01-30,2.71,2.745,2.63,2.68,717143.0,0.0,1.0,2.71,2.745,2.63,2.68,717143.0
2020-01-31,2.67,2.67,2.6,2.62,437721.0,0.0,1.0,2.67,2.67,2.6,2.62,437721.0
2020-02-03,2.62,2.69,2.52,2.57,751304.0,0.0,1.0,2.62,2.69,2.52,2.57,751304.0
2020-02-04,2.62,2.77,2.57,2.69,475643.0,0.0,1.0,2.62,2.77,2.57,2.69,475643.0
