Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,4.08,4.1298,3.92,4.04,998928.0,0.0,1.0,4.08,4.1298,3.92,4.04,998928.0
2020-01-03,3.98,3.98,3.82,3.86,960272.0,0.0,1.0,3.98,3.98,3.82,3.86,960272.0
2020-01-06,3.83,3.83,3.71,3.78,720513.0,0.0,1.0,3.83,3.83,3.71,3.78,720513.0
2020-01-07,3.79,3.84,3.66,3.71,899970.0,0.0,1.0,3.79,3.84,3.66,3.71,899970.0
2020-01-08,3.7,3.7,3.53,3.65,920770.0,0.0,1.0,3.7,3.7,3.53,3.65,920770.0
2020-01-09,3.68,3.86,3.62,3.68,960372.0,0.0,1.0,3.68,3.86,3.62,3.68,960372.0
2020-01-10,3.7,3.7,3.51,3.51,1238185.0,0.0,1.0,3.7,3.7,3.51,3.51,1238185.0
2020-01-13,3.51,3.56,3.31,3.55,1439267.0,0.0,1.0,3.51,3.56,3.31,3.55,1439267.0
2020-01-14,3.51,3.53,3.35,3.5,1196410.0,0.0,1.0,3.51,3.53,3.35,3.5,1196410.0
2020-01-15,3.47,3.73,3.46,3.72,1324227.0,0.0,1.0,3.47,3.73,3.46,3.72,1324227.0
2020-01-16,3.75,3.87,3.7,3.85,1008614.0,0.0,1.0,3.75,3.87,3.7,3.85,1008614.0
2020-01-17,3.89,4.07,3.8743,3.94,1736699.0,0.0,1.0,3.89,4.07,3.8743,3.94,1736699.0
2020-01-21,3.9,3.95,3.8,3.9,775418.0,0.0,1.0,3.9,3.95,3.8,3.9,775418.0
2020-01-22,3.92,4.025,3.88,4.005,1570107.0,0.0,1.0,3.92,4.025,3.88,4.005,1570107.0
2020-01-23,3.97,3.97,3.81,3.84,1410683.0,0.0,1.0,3.97,3.97,3.81,3.84,1410683.0
2020-01-24,3.86,3.9181,3.73,3.78,642628.0,0.0,1.0,3.86,3.9181,3.73,3.78,642628.0
2020-01-27,3.71,3.78,3.64,3.71,1295552.0,0.0,1.0,3.71,3.78,3.64,3.71,1295552.0
2020-01-28,3.74,3.76,3.68,3.705,507470.0,0.0,1.0,3.74,3.76,3.68,3.705,507470.0
2020-01-29,3.7,3.98,3.67,3.87,2183153.0,0.0,1.0,3.7,3.98,3.67,3.87,2183153.0
2020-01-30,3.83,3.84,3.73,3.8,798754.0,0.0,1.0,3.83,3.84,3.73,3.8,798754.0
2020-01-31,3.8,3.83,3.71,3.74,1003080.0,0.0,1.0,3.8,3.83,3.71,3.74,1003080.0
2020-02-03,3.75,3.795,3.67,3.68,946103.0,0.0,1.0,3.75,3.795,3.67,3.68,946103.0
2020-02-04,3.72,3.73,3.64,3.67,1075678.0,0.0,1.0,3.72,3.73,3.64,3.67,1075678.0
2020-02-05,3.71,3.74,3.55,3.64,2877269.0,0.0,1.0,3.71,3.74,3.55,3.64,2877269.0
2020-02-06,3.65,3.66,3.435,3.55,1364982.0,0.0,1.0,3.65,3.66,3.435,3.55,1364982.0
2020-02-07,3.55,3.68,3.54,3.61,1099036.0,0.0,1.0,3.55,3.68,3.54,3.61,1099036.0
2020-02-10,3.6,3.765,3.58,3.74,1334106.0,0.0,1.0,3.6,3.765,3.58,3.74,1334106.0
2020-02-11,3.77,3.81,3.73,3.79,724188.0,0.0,1.0,3.77,3.81,3.73,3.79,724188.0
2020-02-12,3.77,3.87,3.77,3.84,843723.0,0.0,1.0,3.77,3.87,3.77,3.84,843723.0
2020-02-13,3.83,3.8708,3.645,3.66,680708.0,0.0,1.0,3.83,3.8708,3.645,3.66,680708.0
2020-02-14,3.66,3.72,3.55,3.66,609702.0,0.0,1.0,3.66,3.72,3.55,3.66,609702.0
2020-02-18,3.67,3.91,3.63,3.9,1563699.0,0.0,1.0,3.67,3.91,3.63,3.9,1563699.0
2020-02-19,3.94,4.42,3.94,4.39,3953184.0,0.0,1.0,3.94,4.42,3.94,4.39,3953184.0
2020-02-20,4.39,4.4171,3.77,3.79,4037427.0,0.0,1.0,4.39,4.4171,3.77,3.79,4037427.0
2020-02-21,3.83,3.88,3.5,3.52,2720507.0,0.0,1.0,3.83,3.88,3.5,3.52,2720507.0
2020-02-24,3.45,3.48,3.12,3.36,2455280.0,0.0,1.0,3.45,3.48,3.12,3.36,2455280.0
2020-02-25,3.36,3.38,2.88,2.97,2417464.0,0.0,1.0,3.36,3.38,2.88,2.97,2417464.0
2020-02-26,2.95,3.08,2.84,2.95,1446559.0,0.0,1.0,2.95,3.08,2.84,2.95,1446559.0
2020-02-27,2.92,2.99,2.65,2.67,2175611.0,0.0,1.0,2.92,2.99,2.65,2.67,2175611.0
2020-02-28,2.65,2.65,2.47,2.53,3217522.0,0.0,1.0,2.65,2.65,2.47,2.53,3217522.0
2020-03-02,2.53,2.655,2.43,2.6,2126590.0,0.0,1.0,2.53,2.655,2.43,2.6,2126590.0
2020-03-03,2.65,2.75,2.475,2.5,2496020.0,0.0,1.0,2.65,2.75,2.475,2.5,2496020.0
2020-03-04,2.55,2.62,2.48,2.54,1846912.0,0.0,1.0,2.55,2.62,2.48,2.54,1846912.0
2020-03-05,2.51,2.53,2.42,2.44,1817613.0,0.0,1.0,2.51,2.53,2.42,2.44,1817613.0
2020-03-06,2.4,2.74,2.355,2.44,7325705.0,0.0,1.0,2.4,2.74,2.355,2.44,7325705.0
2020-03-09,2.33,2.5093,2.25,2.35,4498105.0,0.0,1.0,2.33,2.5093,2.25,2.35,4498105.0
2020-03-10,2.43,2.84,2.4001,2.81,16616154.0,0.0,1.0,2.43,2.84,2.4001,2.81,16616154.0
2020-03-11,2.77,3.03,2.69,2.72,3545179.0,0.0,1.0,2.77,3.03,2.69,2.72,3545179.0
