Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.3928,1.45,1.38,1.4,16072.0,0.0,1.0,1.3928,1.45,1.38,1.4,16072.0
2020-01-03,1.4,1.4,1.285,1.32,21246.0,0.0,1.0,1.4,1.4,1.285,1.32,21246.0
2020-01-06,1.29,1.36,1.29,1.3,4605.0,0.0,1.0,1.29,1.36,1.29,1.3,4605.0
2020-01-07,1.3,1.35,1.3,1.3263,15368.0,0.0,1.0,1.3,1.35,1.3,1.3263,15368.0
2020-01-08,1.31,1.359,1.27,1.31,8502.0,0.0,1.0,1.31,1.359,1.27,1.31,8502.0
2020-01-09,1.315,1.315,1.27,1.2895,7525.0,0.0,1.0,1.315,1.315,1.27,1.2895,7525.0
2020-01-10,1.27,1.315,1.2586,1.275,11130.0,0.0,1.0,1.27,1.315,1.2586,1.275,11130.0
2020-01-13,1.27,1.3093,1.245,1.3,8172.0,0.0,1.0,1.27,1.3093,1.245,1.3,8172.0
2020-01-14,1.2535,1.2893,1.2,1.22,25275.0,0.0,1.0,1.2535,1.2893,1.2,1.22,25275.0
2020-01-15,1.34,1.34,1.2,1.2,31979.0,0.0,1.0,1.34,1.34,1.2,1.2,31979.0
2020-01-16,1.27,1.27,1.14,1.16,24053.0,0.0,1.0,1.27,1.27,1.14,1.16,24053.0
2020-01-17,1.18,1.18,1.1,1.1,30866.0,0.0,1.0,1.18,1.18,1.1,1.1,30866.0
2020-01-21,1.11,1.2543,1.1,1.19,92324.0,0.0,1.0,1.11,1.2543,1.1,1.19,92324.0
2020-01-22,1.22,1.25,1.19,1.2008,11217.0,0.0,1.0,1.22,1.25,1.19,1.2008,11217.0
2020-01-23,1.2037,1.24,1.12,1.17,8186.0,0.0,1.0,1.2037,1.24,1.12,1.17,8186.0
2020-01-24,1.16,1.219,1.1474,1.1474,1673.0,0.0,1.0,1.16,1.219,1.1474,1.1474,1673.0
2020-01-27,1.1799,1.24,1.15,1.21,32371.0,0.0,1.0,1.1799,1.24,1.15,1.21,32371.0
2020-01-28,1.167,1.24,1.1602,1.1611,12117.0,0.0,1.0,1.167,1.24,1.1602,1.1611,12117.0
2020-01-29,1.2,1.2,1.1547,1.1752,8948.0,0.0,1.0,1.2,1.2,1.1547,1.1752,8948.0
2020-01-30,1.16,1.24,1.1353,1.1843,19240.0,0.0,1.0,1.16,1.24,1.1353,1.1843,19240.0
2020-01-31,1.18,1.18,1.13,1.1596,12791.0,0.0,1.0,1.18,1.18,1.13,1.1596,12791.0
2020-02-03,1.12,1.14,1.02,1.02,101760.0,0.0,1.0,1.12,1.14,1.02,1.02,101760.0
2020-02-04,1.12,1.12,1.03,1.04,16822.0,0.0,1.0,1.12,1.12,1.03,1.04,16822.0
2020-02-05,1.04,1.099,1.02,1.09,17463.0,0.0,1.0,1.04,1.099,1.02,1.09,17463.0
2020-02-06,1.08,1.08,1.02,1.02,18019.0,0.0,1.0,1.08,1.08,1.02,1.02,18019.0
2020-02-07,1.03,1.04,1.02,1.035,23999.0,0.0,1.0,1.03,1.04,1.02,1.035,23999.0
2020-02-10,1.02,1.058,1.02,1.058,27241.0,0.0,1.0,1.02,1.058,1.02,1.058,27241.0
2020-02-11,1.04,1.0973,1.02,1.05,8059.0,0.0,1.0,1.04,1.0973,1.02,1.05,8059.0
2020-02-12,1.0596,1.146,0.951,0.9916,73879.0,0.0,1.0,1.0596,1.146,0.951,0.9916,73879.0
2020-02-13,1.03,1.05,1.0,1.02,13760.0,0.0,1.0,1.03,1.05,1.0,1.02,13760.0
2020-02-14,1.01,1.06,0.981,1.035,16692.0,0.0,1.0,1.01,1.06,0.981,1.035,16692.0
2020-02-18,1.05,1.05,1.0,1.0021,7629.0,0.0,1.0,1.05,1.05,1.0,1.0021,7629.0
2020-02-19,1.005,1.055,0.981,1.0,17689.0,0.0,1.0,1.005,1.055,0.981,1.0,17689.0
2020-02-20,1.0,1.0253,1.0,1.01,1957.0,0.0,1.0,1.0,1.0253,1.0,1.01,1957.0
2020-02-21,1.03,1.1121,1.01,1.025,13046.0,0.0,1.0,1.03,1.1121,1.01,1.025,13046.0
2020-02-24,1.1,1.1,1.03,1.03,25938.0,0.0,1.0,1.1,1.1,1.03,1.03,25938.0
2020-02-25,1.07,3.69,1.0573,2.44,24553463.0,0.0,1.0,1.07,3.69,1.0573,2.44,24553463.0
2020-02-26,2.0,2.17,1.52,1.7,2300567.0,0.0,1.0,2.0,2.17,1.52,1.7,2300567.0
2020-02-27,1.43,1.5075,1.3,1.31,678427.0,0.0,1.0,1.43,1.5075,1.3,1.31,678427.0
2020-02-28,1.22,1.45,1.02,1.18,1112840.0,0.0,1.0,1.22,1.45,1.02,1.18,1112840.0
2020-03-02,1.21,1.4,1.2,1.23,664522.0,0.0,1.0,1.21,1.4,1.2,1.23,664522.0
2020-03-03,0.818,0.8201,0.76,0.78,3611661.0,0.0,1.0,0.818,0.8201,0.76,0.78,3611661.0
2020-03-04,0.8013,0.88,0.78,0.81,1495200.0,0.0,1.0,0.8013,0.88,0.78,0.81,1495200.0
2020-03-05,0.8,0.8,0.65,0.71,1520965.0,0.0,1.0,0.8,0.8,0.65,0.71,1520965.0
2020-03-06,0.71,1.94,0.7,1.64,69860096.0,0.0,1.0,0.71,1.94,0.7,1.64,69860096.0
2020-03-09,4.83,5.52,2.09,3.22,77083347.0,0.0,1.0,4.83,5.52,2.09,3.22,77083347.0
2020-03-10,2.198,2.6,1.58,1.83,19781542.0,0.0,1.0,2.198,2.6,1.58,1.83,19781542.0
2020-03-11,1.72,2.47,1.495,1.99,19073589.0,0.0,1.0,1.72,2.47,1.495,1.99,19073589.0
2020-03-12,1.89,2.0,1.58,1.63,4997123.0,0.0,1.0,1.89,2.0,1.58,1.63,4997123.0
2020-03-13,1.38,1.5,1.01,1.2299,3313722.0,0.0,1.0,1.38,1.5,1.01,1.2299,3313722.0
2020-03-16,1.18,1.18,0.86,0.935,2443873.0,0.0,1.0,1.18,1.18,0.86,0.935,2443873.0
2020-03-17,0.9,0.9,0.6525,0.74,2951573.0,0.0,1.0,0.9,0.9,0.6525,0.74,2951573.0
2020-03-18,0.72,0.8401,0.61,0.625,2504028.0,0.0,1.0,0.72,0.8401,0.61,0.625,2504028.0
2020-03-19,0.552,0.7304,0.53,0.62,1896887.0,0.0,1.0,0.552,0.7304,0.53,0.62,1896887.0
2020-03-20,0.62,0.65,0.54,0.5801,1402723.0,0.0,1.0,0.62,0.65,0.54,0.5801,1402723.0
2020-03-23,0.65,0.85,0.5859,0.61,4425599.0,0.0,1.0,0.65,0.85,0.5859,0.61,4425599.0
2020-03-24,0.6022,0.61,0.55,0.563,1684830.0,0.0,1.0,0.6022,0.61,0.55,0.563,1684830.0
2020-03-25,0.57,0.65,0.53,0.64,2317906.0,0.0,1.0,0.57,0.65,0.53,0.64,2317906.0
2020-03-26,0.6049,0.8,0.5698,0.583,5255266.0,0.0,1.0,0.6049,0.8,0.5698,0.583,5255266.0
2020-03-27,0.61,0.6245,0.5601,0.5601,1383668.0,0.0,1.0,0.61,0.6245,0.5601,0.5601,1383668.0
2020-03-30,0.5762,0.5888,0.535,0.5484,1378401.0,0.0,1.0,0.5762,0.5888,0.535,0.5484,1378401.0
2020-03-31,0.54,0.56,0.5,0.5069,1321570.0,0.0,1.0,0.54,0.56,0.5,0.5069,1321570.0
2020-04-01,0.51,0.61,0.48,0.57,3087537.0,0.0,1.0,0.51,0.61,0.48,0.57,3087537.0
2020-04-02,0.57,0.6087,0.5251,0.54,1787119.0,0.0,1.0,0.57,0.6087,0.5251,0.54,1787119.0
2020-04-03,0.54,0.579,0.53,0.57,1595455.0,0.0,1.0,0.54,0.579,0.53,0.57,1595455.0
2020-04-06,0.6048,0.71,0.589,0.62,4894485.0,0.0,1.0,0.6048,0.71,0.589,0.62,4894485.0
2020-04-07,0.62,0.625,0.57,0.61,1658348.0,0.0,1.0,0.62,0.625,0.57,0.61,1658348.0
2020-04-08,0.6081,0.6197,0.5802,0.5939,783554.0,0.0,1.0,0.6081,0.6197,0.5802,0.5939,783554.0
2020-04-09,0.58,0.6498,0.5611,0.607,1747232.0,0.0,1.0,0.58,0.6498,0.5611,0.607,1747232.0
2020-04-13,0.65,0.725,0.6,0.67,2976360.0,0.0,1.0,0.65,0.725,0.6,0.67,2976360.0
2020-04-14,2.1,2.74,0.79,0.8197,90222521.0,0.0,1.0,2.1,2.74,0.79,0.8197,90222521.0
2020-04-15,0.92,0.929,0.82,0.875,14466806.0,0.0,1.0,0.92,0.929,0.82,0.875,14466806.0
2020-04-16,0.85,0.9,0.75,0.8959,9315130.0,0.0,1.0,0.85,0.9,0.75,0.8959,9315130.0
2020-04-17,0.87,0.89,0.805,0.85,4470795.0,0.0,1.0,0.87,0.89,0.805,0.85,4470795.0
2020-04-20,0.82,0.8478,0.775,0.8284,3044482.0,0.0,1.0,0.82,0.8478,0.775,0.8284,3044482.0
2020-04-21,0.862,0.92,0.755,0.76,11973850.0,0.0,1.0,0.862,0.92,0.755,0.76,11973850.0
2020-04-22,0.788,0.788,0.7003,0.75,4459134.0,0.0,1.0,0.788,0.788,0.7003,0.75,4459134.0
2020-04-23,0.74,0.74,0.6801,0.7319,2310696.0,0.0,1.0,0.74,0.74,0.6801,0.7319,2310696.0
2020-04-24,0.715,0.799,0.6951,0.7501,3139655.0,0.0,1.0,0.715,0.799,0.6951,0.7501,3139655.0
2020-04-27,0.75,0.8198,0.7425,0.7855,3105282.0,0.0,1.0,0.75,0.8198,0.7425,0.7855,3105282.0
2020-04-28,0.7706,0.7798,0.7223,0.753,1519004.0,0.0,1.0,0.7706,0.7798,0.7223,0.753,1519004.0
2020-04-29,0.7203,0.77,0.7203,0.735,1551723.0,0.0,1.0,0.7203,0.77,0.7203,0.735,1551723.0
2020-04-30,0.73,0.7395,0.7001,0.719,1412947.0,0.0,1.0,0.73,0.7395,0.7001,0.719,1412947.0
2020-05-01,0.7025,0.75,0.67,0.733,2242005.0,0.0,1.0,0.7025,0.75,0.67,0.733,2242005.0
2020-05-04,0.735,0.7476,0.68,0.7101,1156872.0,0.0,1.0,0.735,0.7476,0.68,0.7101,1156872.0
2020-05-05,0.715,0.74,0.69,0.7,1303280.0,0.0,1.0,0.715,0.74,0.69,0.7,1303280.0
2020-05-06,0.703,0.85,0.6802,0.7501,12701935.0,0.0,1.0,0.703,0.85,0.6802,0.7501,12701935.0
2020-05-07,0.725,0.745,0.705,0.7145,2233760.0,0.0,1.0,0.725,0.745,0.705,0.7145,2233760.0
2020-05-08,0.734,0.7598,0.7159,0.7432,2115880.0,0.0,1.0,0.734,0.7598,0.7159,0.7432,2115880.0
2020-05-11,0.725,0.739,0.71,0.7205,1723645.0,0.0,1.0,0.725,0.739,0.71,0.7205,1723645.0
2020-05-12,0.7,0.7199,0.695,0.7,1882736.0,0.0,1.0,0.7,0.7199,0.695,0.7,1882736.0
2020-05-13,0.69,0.709799,0.655,0.676,1880843.0,0.0,1.0,0.69,0.709799,0.655,0.676,1880843.0
2020-05-14,0.6705,0.68,0.6355,0.6632,1099983.0,0.0,1.0,0.6705,0.68,0.6355,0.6632,1099983.0
2020-05-15,0.6799,0.7,0.6601,0.6858,953254.0,0.0,1.0,0.6799,0.7,0.6601,0.6858,953254.0
2020-05-18,0.7,0.74,0.69,0.7086,1986627.0,0.0,1.0,0.7,0.74,0.69,0.7086,1986627.0
2020-05-19,0.71,0.7298,0.6901,0.7049,1046109.0,0.0,1.0,0.71,0.7298,0.6901,0.7049,1046109.0
2020-05-20,0.7149,0.7389,0.6901,0.7295,2511247.0,0.0,1.0,0.7149,0.7389,0.6901,0.7295,2511247.0
2020-05-21,0.73,0.73,0.705,0.7119,1011994.0,0.0,1.0,0.73,0.73,0.705,0.7119,1011994.0
2020-05-22,0.71,0.72,0.682,0.7153,1479300.0,0.0,1.0,0.71,0.72,0.682,0.7153,1479300.0
2020-05-26,0.7,0.7395,0.7,0.73,1359456.0,0.0,1.0,0.7,0.7395,0.7,0.73,1359456.0
2020-05-27,0.72,0.73,0.7012,0.712606,1015907.0,0.0,1.0,0.72,0.73,0.7012,0.712606,1015907.0
2020-05-28,0.7122,0.82,0.7122,0.7309,6136988.0,0.0,1.0,0.7122,0.82,0.7122,0.7309,6136988.0
2020-05-29,0.72,0.7299,0.6941,0.7074,1265318.0,0.0,1.0,0.72,0.7299,0.6941,0.7074,1265318.0
2020-06-01,0.7021,0.73,0.701,0.715,1202227.0,0.0,1.0,0.7021,0.73,0.701,0.715,1202227.0
2020-06-02,0.71,0.7274,0.6901,0.698,929273.0,0.0,1.0,0.71,0.7274,0.6901,0.698,929273.0
2020-06-03,0.7,0.7002,0.68,0.6897,1264386.0,0.0,1.0,0.7,0.7002,0.68,0.6897,1264386.0
2020-06-04,0.69,0.735,0.6801,0.72,2554966.0,0.0,1.0,0.69,0.735,0.6801,0.72,2554966.0
2020-06-05,0.72,0.7365,0.6951,0.73,2733472.0,0.0,1.0,0.72,0.7365,0.6951,0.73,2733472.0
2020-06-08,0.74,0.8205,0.711,0.8034,7135869.0,0.0,1.0,0.74,0.8205,0.711,0.8034,7135869.0
2020-06-09,0.781,0.7999,0.727,0.759,1983634.0,0.0,1.0,0.781,0.7999,0.727,0.759,1983634.0
2020-06-10,0.7673,0.78,0.716101,0.746,1152244.0,0.0,1.0,0.7673,0.78,0.716101,0.746,1152244.0
2020-06-11,0.701,0.7487,0.69,0.745,2639423.0,0.0,1.0,0.701,0.7487,0.69,0.745,2639423.0
2020-06-12,0.734,0.742,0.7014,0.73,1142190.0,0.0,1.0,0.734,0.742,0.7014,0.73,1142190.0
2020-06-15,0.727,0.787,0.7071,0.77,3056118.0,0.0,1.0,0.727,0.787,0.7071,0.77,3056118.0
