Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.5712,0.64,0.5528,0.61,2411231.0,0.0,1.0,0.5712,0.64,0.5528,0.61,2411231.0
2020-01-03,0.59,0.6099,0.54,0.56,957149.0,0.0,1.0,0.59,0.6099,0.54,0.56,957149.0
2020-01-06,0.56,0.5699,0.5105,0.563199,320288.0,0.0,1.0,0.56,0.5699,0.5105,0.563199,320288.0
2020-01-07,0.6109,0.72,0.566775,0.675,3341237.0,0.0,1.0,0.6109,0.72,0.566775,0.675,3341237.0
2020-01-08,0.6655,0.6735,0.61,0.6519,994123.0,0.0,1.0,0.6655,0.6735,0.61,0.6519,994123.0
2020-01-09,0.66,0.8,0.65,0.7299,3924418.0,0.0,1.0,0.66,0.8,0.65,0.7299,3924418.0
2020-01-10,0.78,0.8,0.73,0.735,1956140.0,0.0,1.0,0.78,0.8,0.73,0.735,1956140.0
2020-01-13,0.77,0.77,0.6,0.626,1533593.0,0.0,1.0,0.77,0.77,0.6,0.626,1533593.0
2020-01-14,0.64,0.6899,0.605,0.6715,677894.0,0.0,1.0,0.64,0.6899,0.605,0.6715,677894.0
2020-01-15,0.69,0.78,0.675,0.735,1329987.0,0.0,1.0,0.69,0.78,0.675,0.735,1329987.0
2020-01-16,0.73,0.74,0.7018,0.72,491339.0,0.0,1.0,0.73,0.74,0.7018,0.72,491339.0
2020-01-17,0.72,0.7679,0.7,0.73,611803.0,0.0,1.0,0.72,0.7679,0.7,0.73,611803.0
2020-01-21,0.795,1.1,0.75,1.08,7651580.0,0.0,1.0,0.795,1.1,0.75,1.08,7651580.0
2020-01-22,1.03,1.18,0.9,1.09,4864316.0,0.0,1.0,1.03,1.18,0.9,1.09,4864316.0
2020-01-23,1.12,1.33,0.95,1.29,5074879.0,0.0,1.0,1.12,1.33,0.95,1.29,5074879.0
2020-01-24,1.3,1.35,1.08,1.14,2909935.0,0.0,1.0,1.3,1.35,1.08,1.14,2909935.0
2020-01-27,1.21,1.23,0.921,1.06,2797333.0,0.0,1.0,1.21,1.23,0.921,1.06,2797333.0
2020-01-28,1.13,1.18,1.0,1.01,1578519.0,0.0,1.0,1.13,1.18,1.0,1.01,1578519.0
2020-01-29,1.0,1.07,0.91,1.02,1275087.0,0.0,1.0,1.0,1.07,0.91,1.02,1275087.0
2020-01-30,1.02,1.1,0.96,1.01,1259732.0,0.0,1.0,1.02,1.1,0.96,1.01,1259732.0
2020-01-31,1.0,1.03,0.94,0.9989,1008263.0,0.0,1.0,1.0,1.03,0.94,0.9989,1008263.0
2020-02-03,1.0,1.2529,0.99,1.25,6318354.0,0.0,1.0,1.0,1.2529,0.99,1.25,6318354.0
2020-02-04,1.27,1.31,1.01,1.09,3602959.0,0.0,1.0,1.27,1.31,1.01,1.09,3602959.0
2020-02-05,1.07,1.0938,1.03,1.07,962115.0,0.0,1.0,1.07,1.0938,1.03,1.07,962115.0
2020-02-06,1.05,1.09,0.94,0.9607,1695615.0,0.0,1.0,1.05,1.09,0.94,0.9607,1695615.0
2020-02-07,0.96,1.02,0.91,0.9562,1556660.0,0.0,1.0,0.96,1.02,0.91,0.9562,1556660.0
2020-02-10,0.965,0.965,0.78,0.825,2630524.0,0.0,1.0,0.965,0.965,0.78,0.825,2630524.0
2020-02-11,1.15,1.16,0.96,1.06,9611847.0,0.0,1.0,1.15,1.16,0.96,1.06,9611847.0
2020-02-12,1.32,1.6,1.2,1.25,53880962.0,0.0,1.0,1.32,1.6,1.2,1.25,53880962.0
2020-02-13,1.38,1.39,1.0,1.16,9587174.0,0.0,1.0,1.38,1.39,1.0,1.16,9587174.0
2020-02-14,1.12,1.12,1.05,1.06,2514798.0,0.0,1.0,1.12,1.12,1.05,1.06,2514798.0
2020-02-18,1.15,1.18,1.07,1.1,2870864.0,0.0,1.0,1.15,1.18,1.07,1.1,2870864.0
2020-02-19,1.08,1.08,1.0,1.05,2321907.0,0.0,1.0,1.08,1.08,1.0,1.05,2321907.0
2020-02-20,1.0,1.06,1.0,1.04,1699020.0,0.0,1.0,1.0,1.06,1.0,1.04,1699020.0
2020-02-21,1.04,1.1,1.01,1.07,1848973.0,0.0,1.0,1.04,1.1,1.01,1.07,1848973.0
2020-02-24,1.12,1.12,1.03,1.06,2078351.0,0.0,1.0,1.12,1.12,1.03,1.06,2078351.0
2020-02-25,1.03,1.05,1.0,1.05,1712209.0,0.0,1.0,1.03,1.05,1.0,1.05,1712209.0
2020-02-26,1.03,1.24,1.0,1.2,6633721.0,0.0,1.0,1.03,1.24,1.0,1.2,6633721.0
2020-02-27,1.83,1.96,1.45,1.71,26967189.0,0.0,1.0,1.83,1.96,1.45,1.71,26967189.0
2020-02-28,2.34,3.47,1.7,2.05,31811468.0,0.0,1.0,2.34,3.47,1.7,2.05,31811468.0
2020-03-02,2.3,2.35,1.62,1.8,7821138.0,0.0,1.0,2.3,2.35,1.62,1.8,7821138.0
2020-03-03,1.65,1.97,1.35,1.83,7316616.0,0.0,1.0,1.65,1.97,1.35,1.83,7316616.0
2020-03-04,2.18,2.86,2.05,2.38,38219716.0,0.0,1.0,2.18,2.86,2.05,2.38,38219716.0
2020-03-05,2.49,2.5,2.21,2.31,7592367.0,0.0,1.0,2.49,2.5,2.21,2.31,7592367.0
2020-03-06,2.2,2.29,1.9,2.1,6316032.0,0.0,1.0,2.2,2.29,1.9,2.1,6316032.0
2020-03-09,3.47,7.11,3.05,6.1,93407075.0,0.0,1.0,3.47,7.11,3.05,6.1,93407075.0
2020-03-10,5.25,5.75,3.61,3.75,35271602.0,0.0,1.0,5.25,5.75,3.61,3.75,35271602.0
2020-03-11,3.91,5.25,3.8,4.2,23917669.0,0.0,1.0,3.91,5.25,3.8,4.2,23917669.0
2020-03-12,4.75,4.75,3.54,3.85,7413562.0,0.0,1.0,4.75,4.75,3.54,3.85,7413562.0
