Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-11-20,3.0,3.32,3.0,3.3,66926.0,0.0,1.0,3.0,3.32,3.0,3.3,66926.0
2020-11-23,3.33,3.35,3.25,3.25,748204.0,0.0,1.0,3.33,3.35,3.25,3.25,748204.0
2020-11-24,3.31,3.34,3.19,3.34,18328.0,0.0,1.0,3.31,3.34,3.19,3.34,18328.0
2020-11-25,3.33,3.35,3.24,3.33,11621.0,0.0,1.0,3.33,3.35,3.24,3.33,11621.0
2020-11-27,3.21,3.31,3.2,3.29,33791.0,0.0,1.0,3.21,3.31,3.2,3.29,33791.0
2020-11-30,3.23,3.33,3.23,3.29,40986.0,0.0,1.0,3.23,3.33,3.23,3.29,40986.0
2020-12-01,3.29,3.33,3.24,3.26,29122.0,0.0,1.0,3.29,3.33,3.24,3.26,29122.0
2020-12-02,3.29,3.31,3.23,3.29,17245.0,0.0,1.0,3.29,3.31,3.23,3.29,17245.0
2020-12-03,3.26,3.3,3.18,3.25,42872.0,0.0,1.0,3.26,3.3,3.18,3.25,42872.0
2020-12-04,3.28,3.28,3.2,3.27,11947.0,0.0,1.0,3.28,3.28,3.2,3.27,11947.0
2020-12-07,3.27,3.3,3.2,3.27,30254.0,0.0,1.0,3.27,3.3,3.2,3.27,30254.0
2020-12-08,3.21,3.25,3.17,3.21,70654.0,0.0,1.0,3.21,3.25,3.17,3.21,70654.0
2020-12-09,3.1735,3.25,3.145,3.25,889.0,0.0,1.0,3.1735,3.25,3.145,3.25,889.0
2020-12-10,3.2,3.21,3.12,3.17,53910.0,0.0,1.0,3.2,3.21,3.12,3.17,53910.0
2020-12-11,3.11,3.14,3.0,3.08,263473.0,0.0,1.0,3.11,3.14,3.0,3.08,263473.0
2020-12-14,3.05,3.11,3.0,3.1,66491.0,0.0,1.0,3.05,3.11,3.0,3.1,66491.0
2020-12-15,3.0501,3.18,3.0501,3.1,162641.0,0.0,1.0,3.0501,3.18,3.0501,3.1,162641.0
2020-12-16,3.1,3.13,3.09,3.09,178860.0,0.0,1.0,3.1,3.13,3.09,3.09,178860.0
2020-12-17,3.1,3.13,3.07,3.09,72789.0,0.0,1.0,3.1,3.13,3.07,3.09,72789.0
2020-12-18,3.1,3.11,3.08,3.1,31477.0,0.0,1.0,3.1,3.11,3.08,3.1,31477.0
2020-12-21,3.05,3.1,3.0,3.09,60302.0,0.0,1.0,3.05,3.1,3.0,3.09,60302.0
2020-12-22,2.9833,3.1,2.9833,3.05,23657.0,0.0,1.0,2.9833,3.1,2.9833,3.05,23657.0
2020-12-23,3.09,3.09,3.05,3.05,21544.0,0.0,1.0,3.09,3.09,3.05,3.05,21544.0
2020-12-24,3.04,3.1,3.01,3.01,38619.0,0.0,1.0,3.04,3.1,3.01,3.01,38619.0
2020-12-28,3.01,3.09,2.93,3.04,10330.0,0.0,1.0,3.01,3.09,2.93,3.04,10330.0
2020-12-29,3.04,3.1,2.96,3.0,299626.0,0.0,1.0,3.04,3.1,2.96,3.0,299626.0
2020-12-30,3.0,3.05,2.98,3.0,43275.0,0.0,1.0,3.0,3.05,2.98,3.0,43275.0
2020-12-31,2.99,3.01,2.91,3.01,30612.0,0.0,1.0,2.99,3.01,2.91,3.01,30612.0
