Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.78,2.86,2.78,2.86,11009.0,0.0,1.0,2.78,2.86,2.78,2.86,11009.0
2020-01-03,2.8,2.86,2.8,2.85,8974.0,0.0,1.0,2.8,2.86,2.8,2.85,8974.0
2020-01-06,2.84,2.84,2.7,2.83,4907.0,0.0,1.0,2.84,2.84,2.7,2.83,4907.0
2020-01-07,2.83,2.87,2.78,2.87,17878.0,0.0,1.0,2.83,2.87,2.78,2.87,17878.0
2020-01-08,2.89,2.89,2.845,2.855,6940.0,0.0,1.0,2.89,2.89,2.845,2.855,6940.0
2020-01-09,2.82,2.83,2.745,2.76,3842.0,0.0,1.0,2.82,2.83,2.745,2.76,3842.0
2020-01-10,2.75,2.81,2.74,2.74,6425.0,0.0,1.0,2.75,2.81,2.74,2.74,6425.0
2020-01-13,2.8098,2.85,2.78,2.84,17694.0,0.0,1.0,2.8098,2.85,2.78,2.84,17694.0
2020-01-14,2.84,2.87,2.83,2.83,16885.0,0.0,1.0,2.84,2.87,2.83,2.83,16885.0
2020-01-15,2.83,2.88,2.77,2.77,13600.0,0.0,1.0,2.83,2.88,2.77,2.77,13600.0
2020-01-16,2.8035,2.85,2.8035,2.85,4279.0,0.0,1.0,2.8035,2.85,2.8035,2.85,4279.0
2020-01-17,2.86,2.86,2.78,2.82,8386.0,0.0,1.0,2.86,2.86,2.78,2.82,8386.0
2020-01-21,2.76,2.79,2.71,2.79,21951.0,0.0,1.0,2.76,2.79,2.71,2.79,21951.0
2020-01-22,2.75,2.77,2.64,2.75,10599.0,0.0,1.0,2.75,2.77,2.64,2.75,10599.0
2020-01-23,2.6707,2.6707,2.53,2.53,1496.0,0.0,1.0,2.6707,2.6707,2.53,2.53,1496.0
2020-01-24,2.52,2.67,2.52,2.67,2149.0,0.0,1.0,2.52,2.67,2.52,2.67,2149.0
2020-01-27,2.65,2.66,2.55,2.62,4779.0,0.0,1.0,2.65,2.66,2.55,2.62,4779.0
2020-01-28,2.65,2.68,2.65,2.68,1821.0,0.0,1.0,2.65,2.68,2.65,2.68,1821.0
