Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.93,0.93,0.8,0.9006,38754.0,0.0,1.0,0.93,0.93,0.8,0.9006,38754.0
2020-01-03,0.95,0.95,0.9001,0.9001,10711.0,0.0,1.0,0.95,0.95,0.9001,0.9001,10711.0
2020-01-06,0.8632,0.930169,0.85,0.8926,10550.0,0.0,1.0,0.8632,0.930169,0.85,0.8926,10550.0
2020-01-07,0.93,0.93,0.8396,0.8509,18770.0,0.0,1.0,0.93,0.93,0.8396,0.8509,18770.0
2020-01-08,0.85,0.9,0.8,0.84,53591.0,0.0,1.0,0.85,0.9,0.8,0.84,53591.0
2020-01-09,0.83,0.88,0.80535,0.859899,130295.0,0.0,1.0,0.83,0.88,0.80535,0.859899,130295.0
2020-01-10,0.8394,0.9,0.8394,0.8899,7173.0,0.0,1.0,0.8394,0.9,0.8394,0.8899,7173.0
2020-01-13,0.8899,0.8899,0.851996,0.88,28411.0,0.0,1.0,0.8899,0.8899,0.851996,0.88,28411.0
2020-01-14,0.855,0.9,0.855,0.8564,16685.0,0.0,1.0,0.855,0.9,0.855,0.8564,16685.0
2020-01-15,0.83,0.89,0.83,0.85,15137.0,0.0,1.0,0.83,0.89,0.83,0.85,15137.0
2020-01-16,0.895,0.8955,0.85,0.86,14253.0,0.0,1.0,0.895,0.8955,0.85,0.86,14253.0
2020-01-17,0.86,0.88,0.84,0.8751,12655.0,0.0,1.0,0.86,0.88,0.84,0.8751,12655.0
2020-01-21,0.87,0.88,0.84,0.87,20141.0,0.0,1.0,0.87,0.88,0.84,0.87,20141.0
2020-01-22,0.85,0.875,0.83,0.8699,16400.0,0.0,1.0,0.85,0.875,0.83,0.8699,16400.0
2020-01-23,0.82,0.8735,0.82,0.87,8285.0,0.0,1.0,0.82,0.8735,0.82,0.87,8285.0
2020-01-24,0.8733,0.8733,0.8351,0.841,3702.0,0.0,1.0,0.8733,0.8733,0.8351,0.841,3702.0
2020-01-27,0.81,0.87,0.8,0.8,29518.0,0.0,1.0,0.81,0.87,0.8,0.8,29518.0
2020-01-28,0.84475,1.28,0.825,0.9246,1143427.0,0.0,1.0,0.84475,1.28,0.825,0.9246,1143427.0
2020-01-29,1.02,1.03,0.8608,0.87,158287.0,0.0,1.0,1.02,1.03,0.8608,0.87,158287.0
2020-01-30,0.87,0.9,0.82,0.8401,45918.0,0.0,1.0,0.87,0.9,0.82,0.8401,45918.0
2020-01-31,0.85,0.8925,0.789799,0.79,115664.0,0.0,1.0,0.85,0.8925,0.789799,0.79,115664.0
2020-02-03,0.79,0.84,0.79,0.8089,43356.0,0.0,1.0,0.79,0.84,0.79,0.8089,43356.0
2020-02-04,0.81,0.86,0.8001,0.82,75214.0,0.0,1.0,0.81,0.86,0.8001,0.82,75214.0
