Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.98,2.98,2.8711,2.92,63152.0,0.0,1.0,2.98,2.98,2.8711,2.92,63152.0
2020-01-03,2.86,3.07,2.84,2.86,14626.0,0.0,1.0,2.86,3.07,2.84,2.86,14626.0
2020-01-06,2.99,3.0,2.85,2.9,6292.0,0.0,1.0,2.99,3.0,2.85,2.9,6292.0
2020-01-07,2.85,2.95,2.79,2.8,10157.0,0.0,1.0,2.85,2.95,2.79,2.8,10157.0
2020-01-08,2.9443,2.975,2.7337,2.91,2697.0,0.0,1.0,2.9443,2.975,2.7337,2.91,2697.0
2020-01-09,2.9,2.9,2.9,2.9,224.0,0.0,1.0,2.9,2.9,2.9,2.9,224.0
2020-01-10,2.72,2.76,2.72,2.76,1946.0,0.0,1.0,2.72,2.76,2.72,2.76,1946.0
2020-01-13,2.87,2.99,2.87,2.9,3459.0,0.0,1.0,2.87,2.99,2.87,2.9,3459.0
2020-01-14,2.8523,2.89,2.8523,2.88,1651.0,0.0,1.0,2.8523,2.89,2.8523,2.88,1651.0
2020-01-15,2.97,2.97,2.85,2.86,1948.0,0.0,1.0,2.97,2.97,2.85,2.86,1948.0
2020-01-16,2.85,2.9,2.75,2.8877,39913.0,0.0,1.0,2.85,2.9,2.75,2.8877,39913.0
2020-01-17,2.85,2.85,2.85,2.85,178.0,0.0,1.0,2.85,2.85,2.85,2.85,178.0
2020-01-21,2.89,2.99,2.8,2.99,8189.0,0.0,1.0,2.89,2.99,2.8,2.99,8189.0
2020-01-22,2.82,3.0,2.8,3.0,12951.0,0.0,1.0,2.82,3.0,2.8,3.0,12951.0
2020-01-23,3.0,3.0,2.9,2.9,714.0,0.0,1.0,3.0,3.0,2.9,2.9,714.0
2020-01-24,2.9,2.9,2.9,2.9,29.0,0.0,1.0,2.9,2.9,2.9,2.9,29.0
2020-01-27,2.84,3.28,2.84,3.01,53010.0,0.0,1.0,2.84,3.28,2.84,3.01,53010.0
2020-01-28,3.13,3.28,3.05,3.05,6522.0,0.0,1.0,3.13,3.28,3.05,3.05,6522.0
2020-01-29,2.95,2.955,2.8601,2.89,26391.0,0.0,1.0,2.95,2.955,2.8601,2.89,26391.0
