Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.04,0.04,0.04,0.04,0.0,0.0,1.0,0.04,0.04,0.04,0.04,0.0
2020-01-03,0.0697,0.094,0.0697,0.0939,4964.0,0.0,1.0,0.0697,0.094,0.0697,0.0939,4964.0
2020-01-06,0.0939,0.0939,0.0939,0.0939,0.0,0.0,1.0,0.0939,0.0939,0.0939,0.0939,0.0
2020-01-07,0.205,0.2999,0.12,0.15,69104.0,0.0,1.0,0.205,0.2999,0.12,0.15,69104.0
2020-01-08,0.14,0.14,0.14,0.14,500.0,0.0,1.0,0.14,0.14,0.14,0.14,500.0
2020-01-09,0.14,0.14,0.14,0.14,10.0,0.0,1.0,0.14,0.14,0.14,0.14,10.0
2020-01-10,0.05,0.109227,0.05,0.109227,1468.0,0.0,1.0,0.05,0.109227,0.05,0.109227,1468.0
2020-01-13,0.11,0.11,0.11,0.11,300.0,0.0,1.0,0.11,0.11,0.11,0.11,300.0
2020-01-14,0.11,0.11,0.11,0.11,0.0,0.0,1.0,0.11,0.11,0.11,0.11,0.0
2020-01-15,0.11,0.11,0.11,0.11,0.0,0.0,1.0,0.11,0.11,0.11,0.11,0.0
2020-01-16,0.11,0.11,0.11,0.11,0.0,0.0,1.0,0.11,0.11,0.11,0.11,0.0
2020-01-17,0.11,0.11,0.11,0.11,0.0,0.0,1.0,0.11,0.11,0.11,0.11,0.0
2020-01-21,0.11,0.11,0.11,0.11,0.0,0.0,1.0,0.11,0.11,0.11,0.11,0.0
2020-01-22,0.0506,0.1298,0.0505,0.0505,8058.0,0.0,1.0,0.0506,0.1298,0.0505,0.0505,8058.0
2020-01-23,0.0505,0.0505,0.0505,0.0505,1.0,0.0,1.0,0.0505,0.0505,0.0505,0.0505,1.0
2020-01-24,0.0505,0.0505,0.0505,0.0505,0.0,0.0,1.0,0.0505,0.0505,0.0505,0.0505,0.0
2020-01-27,0.0505,0.0505,0.0505,0.0505,1.0,0.0,1.0,0.0505,0.0505,0.0505,0.0505,1.0
2020-01-28,0.0505,0.0505,0.0505,0.0505,0.0,0.0,1.0,0.0505,0.0505,0.0505,0.0505,0.0
2020-01-29,0.0505,0.0505,0.0505,0.0505,10.0,0.0,1.0,0.0505,0.0505,0.0505,0.0505,10.0
2020-01-30,0.061,0.061,0.061,0.061,251.0,0.0,1.0,0.061,0.061,0.061,0.061,251.0
2020-01-31,0.0612,0.0612,0.0612,0.0612,900.0,0.0,1.0,0.0612,0.0612,0.0612,0.0612,900.0
2020-02-03,0.0612,0.0612,0.0612,0.0612,0.0,0.0,1.0,0.0612,0.0612,0.0612,0.0612,0.0
2020-02-04,0.0612,0.0612,0.0612,0.0612,0.0,0.0,1.0,0.0612,0.0612,0.0612,0.0612,0.0
2020-02-05,0.0612,0.0612,0.0612,0.0612,0.0,0.0,1.0,0.0612,0.0612,0.0612,0.0612,0.0
2020-02-06,0.0612,0.0612,0.0612,0.0612,0.0,0.0,1.0,0.0612,0.0612,0.0612,0.0612,0.0
2020-02-07,0.0612,0.0612,0.0612,0.0612,99.0,0.0,1.0,0.0612,0.0612,0.0612,0.0612,99.0
2020-02-10,0.0612,0.0612,0.0612,0.0612,0.0,0.0,1.0,0.0612,0.0612,0.0612,0.0612,0.0
2020-02-11,0.0612,0.0612,0.0612,0.0612,0.0,0.0,1.0,0.0612,0.0612,0.0612,0.0612,0.0
2020-02-12,0.0612,0.0612,0.0612,0.0612,0.0,0.0,1.0,0.0612,0.0612,0.0612,0.0612,0.0
2020-02-13,0.0612,0.0612,0.0612,0.0612,0.0,0.0,1.0,0.0612,0.0612,0.0612,0.0612,0.0
2020-02-14,0.0612,0.0615,0.0601,0.0601,7444.0,0.0,1.0,0.0612,0.0615,0.0601,0.0601,7444.0
2020-02-18,0.0601,0.0601,0.0601,0.0601,0.0,0.0,1.0,0.0601,0.0601,0.0601,0.0601,0.0
2020-02-19,0.0601,0.0601,0.0601,0.0601,0.0,0.0,1.0,0.0601,0.0601,0.0601,0.0601,0.0
2020-02-20,0.1189,0.1189,0.1189,0.1189,250.0,0.0,1.0,0.1189,0.1189,0.1189,0.1189,250.0
2020-02-21,0.118,0.118,0.118,0.118,991.0,0.0,1.0,0.118,0.118,0.118,0.118,991.0
2020-02-24,0.0611,0.0611,0.01,0.0601,2565.0,0.0,1.0,0.0611,0.0611,0.01,0.0601,2565.0
2020-02-25,0.0601,0.0601,0.0601,0.0601,0.0,0.0,1.0,0.0601,0.0601,0.0601,0.0601,0.0
2020-02-26,0.0601,0.0601,0.0601,0.0601,1.0,0.0,1.0,0.0601,0.0601,0.0601,0.0601,1.0
2020-02-27,0.12,0.12,0.1079,0.1079,1100.0,0.0,1.0,0.12,0.12,0.1079,0.1079,1100.0
2020-02-28,0.1077,0.12,0.061,0.0612,17500.0,0.0,1.0,0.1077,0.12,0.061,0.0612,17500.0
2020-03-02,0.0612,0.0612,0.0612,0.0612,0.0,0.0,1.0,0.0612,0.0612,0.0612,0.0612,0.0
2020-03-03,0.0612,0.0612,0.0612,0.0612,0.0,0.0,1.0,0.0612,0.0612,0.0612,0.0612,0.0
2020-03-04,0.0612,0.0612,0.0612,0.0612,50.0,0.0,1.0,0.0612,0.0612,0.0612,0.0612,50.0
2020-03-05,0.0601,0.0601,0.0601,0.0601,10000.0,0.0,1.0,0.0601,0.0601,0.0601,0.0601,10000.0
2020-03-06,0.0601,0.0601,0.0601,0.0601,0.0,0.0,1.0,0.0601,0.0601,0.0601,0.0601,0.0
2020-03-09,0.0601,0.0601,0.0601,0.0601,50.0,0.0,1.0,0.0601,0.0601,0.0601,0.0601,50.0
