Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-11-23,1.0,1.5,1.0,1.2062,217752.0,0.0,1.0,1.0,1.5,1.0,1.2062,217752.0
2020-11-24,1.3,1.3,1.15,1.15,58236.0,0.0,1.0,1.3,1.3,1.15,1.15,58236.0
2020-11-25,1.17,1.3,1.17,1.2841,98686.0,0.0,1.0,1.17,1.3,1.17,1.2841,98686.0
2020-11-27,1.25,1.35,1.25,1.25,66426.0,0.0,1.0,1.25,1.35,1.25,1.25,66426.0
2020-11-30,1.5,1.6,1.15,1.16,144402.0,0.0,1.0,1.5,1.6,1.15,1.16,144402.0
2020-12-01,1.25,1.4,1.22,1.3,116178.0,0.0,1.0,1.25,1.4,1.22,1.3,116178.0
2020-12-02,1.33,1.5,1.21,1.29,36263.0,0.0,1.0,1.33,1.5,1.21,1.29,36263.0
2020-12-03,1.29,1.29,1.22,1.24,64824.0,0.0,1.0,1.29,1.29,1.22,1.24,64824.0
2020-12-04,1.2,1.38,1.2,1.27,138696.0,0.0,1.0,1.2,1.38,1.2,1.27,138696.0
2020-12-07,1.4,1.77,1.3,1.3997,289562.0,0.0,1.0,1.4,1.77,1.3,1.3997,289562.0
2020-12-08,1.45,1.52,1.36,1.42,135962.0,0.0,1.0,1.45,1.52,1.36,1.42,135962.0
2020-12-09,1.4402,1.55,1.39,1.48,178947.0,0.0,1.0,1.4402,1.55,1.39,1.48,178947.0
2020-12-10,1.49,1.6901,1.47,1.5,143208.0,0.0,1.0,1.49,1.6901,1.47,1.5,143208.0
2020-12-11,1.65,1.69,1.51,1.55,336461.0,0.0,1.0,1.65,1.69,1.51,1.55,336461.0
2020-12-14,1.69,1.9001,1.6,1.8498,540698.0,0.0,1.0,1.69,1.9001,1.6,1.8498,540698.0
2020-12-15,1.98,1.98,1.68,1.75,111821.0,0.0,1.0,1.98,1.98,1.68,1.75,111821.0
2020-12-16,1.65,1.7,1.65,1.6671,61443.0,0.0,1.0,1.65,1.7,1.65,1.6671,61443.0
2020-12-17,1.65,1.65,1.51,1.53,162612.0,0.0,1.0,1.65,1.65,1.51,1.53,162612.0
2020-12-18,1.59,1.79,1.54,1.6,723421.0,0.0,1.0,1.59,1.79,1.54,1.6,723421.0
2020-12-21,1.63,1.8498,1.63,1.83,561635.0,0.0,1.0,1.63,1.8498,1.63,1.83,561635.0
2020-12-22,2.0,2.1,1.81,1.84,516308.0,0.0,1.0,2.0,2.1,1.81,1.84,516308.0
2020-12-23,2.0,2.0543,1.86,2.0,377860.0,0.0,1.0,2.0,2.0543,1.86,2.0,377860.0
2020-12-24,2.05,2.15,1.97,1.9701,150247.0,0.0,1.0,2.05,2.15,1.97,1.9701,150247.0
2020-12-28,2.1,2.13,2.0,2.05,454012.0,0.0,1.0,2.1,2.13,2.0,2.05,454012.0
2020-12-29,2.11,2.15,1.92,1.96,154228.0,0.0,1.0,2.11,2.15,1.92,1.96,154228.0
2020-12-30,1.99,2.09,1.9,1.99,165476.0,0.0,1.0,1.99,2.09,1.9,1.99,165476.0
2020-12-31,2.09,2.09,1.75,1.88,205296.0,0.0,1.0,2.09,2.09,1.75,1.88,205296.0
