Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,5.9,6.07,5.5165,6.03,959938.0,0.0,1.0,5.9,6.07,5.5165,6.03,959938.0
2020-01-03,5.87,6.01,5.71,5.86,473382.0,0.0,1.0,5.87,6.01,5.71,5.86,473382.0
2020-01-06,5.8,5.884,5.62,5.84,352392.0,0.0,1.0,5.8,5.884,5.62,5.84,352392.0
2020-01-07,5.84,6.96,5.82,6.75,1557993.0,0.0,1.0,5.84,6.96,5.82,6.75,1557993.0
2020-01-08,6.76,6.9392,6.38,6.39,685207.0,0.0,1.0,6.76,6.9392,6.38,6.39,685207.0
2020-01-09,6.43,6.6275,6.2,6.39,468602.0,0.0,1.0,6.43,6.6275,6.2,6.39,468602.0
2020-01-10,6.67,6.75,6.43,6.61,674983.0,0.0,1.0,6.67,6.75,6.43,6.61,674983.0
2020-01-13,5.69,5.72,4.3,4.36,4028097.0,0.0,1.0,5.69,5.72,4.3,4.36,4028097.0
2020-01-14,4.37,4.4,4.07,4.17,1259186.0,0.0,1.0,4.37,4.4,4.07,4.17,1259186.0
2020-01-15,4.17,4.52,4.17,4.36,1006093.0,0.0,1.0,4.17,4.52,4.17,4.36,1006093.0
2020-01-16,4.41,4.45,4.06,4.14,1091182.0,0.0,1.0,4.41,4.45,4.06,4.14,1091182.0
2020-01-17,4.14,4.3,4.06,4.1,961665.0,0.0,1.0,4.14,4.3,4.06,4.1,961665.0
2020-01-21,4.15,4.15,3.77,4.1,871807.0,0.0,1.0,4.15,4.15,3.77,4.1,871807.0
2020-01-22,4.1,4.1,3.88,3.92,463502.0,0.0,1.0,4.1,4.1,3.88,3.92,463502.0
2020-01-23,3.92,4.02,3.81,3.97,279546.0,0.0,1.0,3.92,4.02,3.81,3.97,279546.0
2020-01-24,4.06,4.06,3.815,3.88,414762.0,0.0,1.0,4.06,4.06,3.815,3.88,414762.0
2020-01-27,3.82,3.985,3.76,3.9,411507.0,0.0,1.0,3.82,3.985,3.76,3.9,411507.0
2020-01-28,3.95,4.1,3.84,4.06,479091.0,0.0,1.0,3.95,4.1,3.84,4.06,479091.0
2020-01-29,4.04,4.1,3.93,4.0,479443.0,0.0,1.0,4.04,4.1,3.93,4.0,479443.0
2020-01-30,4.09,4.1196,3.79,4.01,639798.0,0.0,1.0,4.09,4.1196,3.79,4.01,639798.0
2020-01-31,4.0,4.07,3.89,4.05,410058.0,0.0,1.0,4.0,4.07,3.89,4.05,410058.0
2020-02-03,4.07,4.17,3.95,3.95,369879.0,0.0,1.0,4.07,4.17,3.95,3.95,369879.0
2020-02-04,3.97,4.03,3.81,3.94,440711.0,0.0,1.0,3.97,4.03,3.81,3.94,440711.0
2020-02-05,3.97,4.02,3.89,4.02,413173.0,0.0,1.0,3.97,4.02,3.89,4.02,413173.0
2020-02-06,4.31,4.44,3.86,4.13,1698764.0,0.0,1.0,4.31,4.44,3.86,4.13,1698764.0
2020-02-07,4.15,4.17,3.86,3.96,657846.0,0.0,1.0,4.15,4.17,3.86,3.96,657846.0
2020-02-10,4.2,4.7699,3.99,4.67,2248338.0,0.0,1.0,4.2,4.7699,3.99,4.67,2248338.0
2020-02-11,4.75,4.76,4.39,4.6,940269.0,0.0,1.0,4.75,4.76,4.39,4.6,940269.0
2020-02-12,4.6,4.6,4.25,4.48,548219.0,0.0,1.0,4.6,4.6,4.25,4.48,548219.0
2020-02-13,4.47,4.5,4.3,4.38,351715.0,0.0,1.0,4.47,4.5,4.3,4.38,351715.0
2020-02-14,4.4,4.525,4.3,4.38,434858.0,0.0,1.0,4.4,4.525,4.3,4.38,434858.0
2020-02-18,4.37,4.42,4.2,4.24,585504.0,0.0,1.0,4.37,4.42,4.2,4.24,585504.0
2020-02-19,4.28,4.3087,4.16,4.28,417490.0,0.0,1.0,4.28,4.3087,4.16,4.28,417490.0
2020-02-20,4.22,4.5,4.21,4.4,317554.0,0.0,1.0,4.22,4.5,4.21,4.4,317554.0
2020-02-21,4.37,4.46,4.13,4.22,389103.0,0.0,1.0,4.37,4.46,4.13,4.22,389103.0
2020-02-24,4.08,4.15,3.96,4.09,338572.0,0.0,1.0,4.08,4.15,3.96,4.09,338572.0
2020-02-25,4.07,4.19,3.91,4.02,577458.0,0.0,1.0,4.07,4.19,3.91,4.02,577458.0
2020-02-26,4.01,4.12,3.9,3.98,774745.0,0.0,1.0,4.01,4.12,3.9,3.98,774745.0
2020-02-27,3.87,3.94,3.5,3.56,957990.0,0.0,1.0,3.87,3.94,3.5,3.56,957990.0
2020-02-28,3.3,3.74,3.2701,3.73,537054.0,0.0,1.0,3.3,3.74,3.2701,3.73,537054.0
2020-03-02,3.77,3.99,3.5,3.52,517138.0,0.0,1.0,3.77,3.99,3.5,3.52,517138.0
2020-03-03,3.52,3.79,3.51,3.66,349269.0,0.0,1.0,3.52,3.79,3.51,3.66,349269.0
2020-03-04,3.82,4.3202,3.73,4.24,1147786.0,0.0,1.0,3.82,4.3202,3.73,4.24,1147786.0
2020-03-05,4.26,4.3595,4.0,4.14,665710.0,0.0,1.0,4.26,4.3595,4.0,4.14,665710.0
2020-03-06,4.04,4.1,3.75,3.82,615264.0,0.0,1.0,4.04,4.1,3.75,3.82,615264.0
