Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.88,2.92,2.55,2.59,9860265.0,0.0,1.0,2.88,2.92,2.55,2.59,9860265.0
2020-01-03,2.76,2.78,2.61,2.68,11055776.0,0.0,1.0,2.76,2.78,2.61,2.68,11055776.0
2020-01-06,2.73,2.75,2.52,2.62,10088226.0,0.0,1.0,2.73,2.75,2.52,2.62,10088226.0
2020-01-07,2.62,2.715,2.525,2.68,9550584.0,0.0,1.0,2.62,2.715,2.525,2.68,9550584.0
2020-01-08,2.7,2.81,2.53,2.55,13175613.0,0.0,1.0,2.7,2.81,2.53,2.55,13175613.0
2020-01-09,2.5,2.51,2.34,2.4,13006156.0,0.0,1.0,2.5,2.51,2.34,2.4,13006156.0
2020-01-10,2.4,2.41,2.3,2.37,11663362.0,0.0,1.0,2.4,2.41,2.3,2.37,11663362.0
2020-01-13,2.36,2.38,2.26,2.35,9777817.0,0.0,1.0,2.36,2.38,2.26,2.35,9777817.0
2020-01-14,2.36,2.605,2.35,2.55,8184170.0,0.0,1.0,2.36,2.605,2.35,2.55,8184170.0
2020-01-15,2.5,2.61,2.45,2.54,7664470.0,0.0,1.0,2.5,2.61,2.45,2.54,7664470.0
2020-01-16,2.56,2.69,2.49,2.51,7357778.0,0.0,1.0,2.56,2.69,2.49,2.51,7357778.0
2020-01-17,2.55,2.57,2.33,2.39,8928865.0,0.0,1.0,2.55,2.57,2.33,2.39,8928865.0
2020-01-21,2.35,2.36,2.175,2.21,12323979.0,0.0,1.0,2.35,2.36,2.175,2.21,12323979.0
2020-01-22,2.19,2.21,2.0,2.05,10596729.0,0.0,1.0,2.19,2.21,2.0,2.05,10596729.0
2020-01-23,2.02,2.13,1.96,1.97,12090733.0,0.0,1.0,2.02,2.13,1.96,1.97,12090733.0
2020-01-24,2.0,2.02,1.8,1.91,13313174.0,0.0,1.0,2.0,2.02,1.8,1.91,13313174.0
2020-01-27,1.87,1.94,1.8,1.84,11653722.0,0.0,1.0,1.87,1.94,1.8,1.84,11653722.0
2020-01-28,1.86,1.97,1.78,1.91,13300401.0,0.0,1.0,1.86,1.97,1.78,1.91,13300401.0
2020-01-29,1.98,1.99,1.75,1.75,14491393.0,0.0,1.0,1.98,1.99,1.75,1.75,14491393.0
2020-01-30,1.72,1.8,1.68,1.75,10388278.0,0.0,1.0,1.72,1.8,1.68,1.75,10388278.0
2020-01-31,1.7,1.94,1.68,1.85,13925455.0,0.0,1.0,1.7,1.94,1.68,1.85,13925455.0
2020-02-03,1.87,1.88,1.7,1.74,11508266.0,0.0,1.0,1.87,1.88,1.7,1.74,11508266.0
2020-02-04,1.79,1.8,1.7,1.7,10720657.0,0.0,1.0,1.79,1.8,1.7,1.7,10720657.0
2020-02-05,1.74,1.9,1.715,1.87,12908972.0,0.0,1.0,1.74,1.9,1.715,1.87,12908972.0
2020-02-06,1.88,1.9,1.72,1.83,10572145.0,0.0,1.0,1.88,1.9,1.72,1.83,10572145.0
2020-02-07,1.79,1.82,1.73,1.75,7688776.0,0.0,1.0,1.79,1.82,1.73,1.75,7688776.0
2020-02-10,1.72,1.78,1.6,1.68,13482808.0,0.0,1.0,1.72,1.78,1.6,1.68,13482808.0
2020-02-11,1.7,1.77,1.625,1.7,7980588.0,0.0,1.0,1.7,1.77,1.625,1.7,7980588.0
2020-02-12,1.75,1.85,1.73,1.77,10458381.0,0.0,1.0,1.75,1.85,1.73,1.77,10458381.0
2020-02-13,1.78,1.88,1.705,1.76,14550531.0,0.0,1.0,1.78,1.88,1.705,1.76,14550531.0
2020-02-14,1.75,1.8,1.63,1.65,12711782.0,0.0,1.0,1.75,1.8,1.63,1.65,12711782.0
2020-02-18,1.64,1.75,1.61,1.72,10341950.0,0.0,1.0,1.64,1.75,1.61,1.72,10341950.0
2020-02-19,1.75,1.845,1.7,1.8,13196576.0,0.0,1.0,1.75,1.845,1.7,1.8,13196576.0
2020-02-20,1.83,1.98,1.83,1.84,12374411.0,0.0,1.0,1.83,1.98,1.83,1.84,12374411.0
2020-02-21,1.82,1.8274,1.72,1.76,10520618.0,0.0,1.0,1.82,1.8274,1.72,1.76,10520618.0
2020-02-24,1.68,1.765,1.62,1.66,9392375.0,0.0,1.0,1.68,1.765,1.62,1.66,9392375.0
2020-02-25,1.68,1.72,1.6,1.65,11331693.0,0.0,1.0,1.68,1.72,1.6,1.65,11331693.0
2020-02-26,1.67,1.73,1.5,1.53,13318125.0,0.0,1.0,1.67,1.73,1.5,1.53,13318125.0
2020-02-27,1.41,1.46,1.25,1.37,16574376.0,0.0,1.0,1.41,1.46,1.25,1.37,16574376.0
2020-02-28,1.27,1.61,1.22,1.6,15251224.0,0.0,1.0,1.27,1.61,1.22,1.6,15251224.0
2020-03-02,1.68,1.69,1.44,1.47,12880947.0,0.0,1.0,1.68,1.69,1.44,1.47,12880947.0
2020-03-03,1.5,1.52,1.31,1.35,13865088.0,0.0,1.0,1.5,1.52,1.31,1.35,13865088.0
2020-03-04,1.4,1.43,1.27,1.31,9694699.0,0.0,1.0,1.4,1.43,1.27,1.31,9694699.0
2020-03-05,1.28,1.36,1.25,1.35,11794450.0,0.0,1.0,1.28,1.36,1.25,1.35,11794450.0
2020-03-06,1.26,1.49,1.21,1.38,24061941.0,0.0,1.0,1.26,1.49,1.21,1.38,24061941.0
2020-03-09,1.24,1.565,1.08,1.1,36154022.0,0.0,1.0,1.24,1.565,1.08,1.1,36154022.0
2020-03-10,1.24,1.26,0.95241,1.18,25593937.0,0.0,1.0,1.24,1.26,0.95241,1.18,25593937.0
2020-03-11,1.17,1.2,1.0,1.04,15009416.0,0.0,1.0,1.17,1.2,1.0,1.04,15009416.0
2020-03-12,0.92,1.18,0.9101,1.1,22951055.0,0.0,1.0,0.92,1.18,0.9101,1.1,22951055.0
2020-03-13,1.14,1.5,0.92,1.26,34969213.0,0.0,1.0,1.14,1.5,0.92,1.26,34969213.0
2020-03-16,1.05,1.57,1.03,1.2,28618676.0,0.0,1.0,1.05,1.57,1.03,1.2,28618676.0
2020-03-17,1.2,1.34,1.1,1.25,20718014.0,0.0,1.0,1.2,1.34,1.1,1.25,20718014.0
2020-03-18,1.19,1.32,1.0,1.04,19371186.0,0.0,1.0,1.19,1.32,1.0,1.04,19371186.0
2020-03-19,1.08,1.08,0.7208,0.914,20668697.0,0.0,1.0,1.08,1.08,0.7208,0.914,20668697.0
2020-03-20,0.91,1.03,0.91,0.9481,21019830.0,0.0,1.0,0.91,1.03,0.91,0.9481,21019830.0
