Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.85,2.89,2.76,2.76,546486.0,0.0,1.0,2.85,2.89,2.76,2.76,546486.0
2020-01-03,2.7,2.78,2.69,2.74,412322.0,0.0,1.0,2.7,2.78,2.69,2.74,412322.0
2020-01-06,2.71,2.8,2.71,2.78,375969.0,0.0,1.0,2.71,2.8,2.71,2.78,375969.0
2020-01-07,2.71,2.76,2.67,2.71,338423.0,0.0,1.0,2.71,2.76,2.67,2.71,338423.0
2020-01-08,2.73,2.79,2.63,2.65,387882.0,0.0,1.0,2.73,2.79,2.63,2.65,387882.0
2020-01-09,2.67,2.68,2.6,2.61,378413.0,0.0,1.0,2.67,2.68,2.6,2.61,378413.0
2020-01-10,2.6,2.64,2.59,2.62,368282.0,0.0,1.0,2.6,2.64,2.59,2.62,368282.0
2020-01-13,2.62,2.74,2.6,2.74,389868.0,0.0,1.0,2.62,2.74,2.6,2.74,389868.0
2020-01-14,2.8,3.06,2.74,3.03,1206524.0,0.0,1.0,2.8,3.06,2.74,3.03,1206524.0
2020-01-15,3.01,3.33,3.01,3.25,844781.0,0.0,1.0,3.01,3.33,3.01,3.25,844781.0
2020-01-16,3.32,3.46,3.28,3.43,651175.0,0.0,1.0,3.32,3.46,3.28,3.43,651175.0
2020-01-17,3.48,3.59,3.25,3.28,826975.0,0.0,1.0,3.48,3.59,3.25,3.28,826975.0
2020-01-21,3.7,4.0,3.58,3.66,1342214.0,0.0,1.0,3.7,4.0,3.58,3.66,1342214.0
2020-01-22,3.77,3.97,3.69,3.95,2164041.0,0.0,1.0,3.77,3.97,3.69,3.95,2164041.0
2020-01-23,4.0,4.04,3.79,3.98,2276084.0,0.0,1.0,4.0,4.04,3.79,3.98,2276084.0
2020-01-24,3.96,3.97,3.83,3.93,779142.0,0.0,1.0,3.96,3.97,3.83,3.93,779142.0
2020-01-27,3.87,3.92,3.73,3.77,876369.0,0.0,1.0,3.87,3.92,3.73,3.77,876369.0
2020-01-28,3.78,3.87,3.735,3.77,711692.0,0.0,1.0,3.78,3.87,3.735,3.77,711692.0
2020-01-29,4.4,4.68,4.24,4.275,2717853.0,0.0,1.0,4.4,4.68,4.24,4.275,2717853.0
2020-01-30,4.25,4.27,3.75,3.81,1408452.0,0.0,1.0,4.25,4.27,3.75,3.81,1408452.0
2020-01-31,3.81,3.9,3.71,3.89,881513.0,0.0,1.0,3.81,3.9,3.71,3.89,881513.0
2020-02-03,3.93,4.2,3.72,3.75,868258.0,0.0,1.0,3.93,4.2,3.72,3.75,868258.0
2020-02-04,3.77,3.86,3.6,3.62,682023.0,0.0,1.0,3.77,3.86,3.6,3.62,682023.0
2020-02-05,3.7,3.75,3.545,3.59,453850.0,0.0,1.0,3.7,3.75,3.545,3.59,453850.0
2020-02-06,3.63,3.7,3.54,3.59,531001.0,0.0,1.0,3.63,3.7,3.54,3.59,531001.0
2020-02-07,3.6,3.635,3.4,3.44,565280.0,0.0,1.0,3.6,3.635,3.4,3.44,565280.0
2020-02-10,3.45,3.54,3.37,3.41,528406.0,0.0,1.0,3.45,3.54,3.37,3.41,528406.0
2020-02-11,3.42,3.62,3.41,3.6,562145.0,0.0,1.0,3.42,3.62,3.41,3.6,562145.0
2020-02-12,3.62,3.76,3.61,3.69,435780.0,0.0,1.0,3.62,3.76,3.61,3.69,435780.0
2020-02-13,3.68,3.68,3.46,3.62,429343.0,0.0,1.0,3.68,3.68,3.46,3.62,429343.0
2020-02-14,3.65,3.65,3.435,3.52,495983.0,0.0,1.0,3.65,3.65,3.435,3.52,495983.0
2020-02-18,3.5,3.5,3.425,3.45,471876.0,0.0,1.0,3.5,3.5,3.425,3.45,471876.0
2020-02-19,3.45,3.52,3.39,3.42,628592.0,0.0,1.0,3.45,3.52,3.39,3.42,628592.0
2020-02-20,3.42,3.4415,3.33,3.37,492220.0,0.0,1.0,3.42,3.4415,3.33,3.37,492220.0
2020-02-21,3.38,3.39,3.31,3.32,298718.0,0.0,1.0,3.38,3.39,3.31,3.32,298718.0
2020-02-24,3.25,3.29,3.21,3.22,330583.0,0.0,1.0,3.25,3.29,3.21,3.22,330583.0
2020-02-25,3.23,3.3063,3.07,3.09,489475.0,0.0,1.0,3.23,3.3063,3.07,3.09,489475.0
2020-02-26,3.07,3.12,2.86,3.07,844661.0,0.0,1.0,3.07,3.12,2.86,3.07,844661.0
2020-02-27,2.99,3.21,2.928,2.97,439995.0,0.0,1.0,2.99,3.21,2.928,2.97,439995.0
2020-02-28,2.89,3.0477,2.89,2.965,666785.0,0.0,1.0,2.89,3.0477,2.89,2.965,666785.0
2020-03-02,2.88,3.01,2.85,2.97,504974.0,0.0,1.0,2.88,3.01,2.85,2.97,504974.0
2020-03-03,2.97,3.19,2.97,3.06,684144.0,0.0,1.0,2.97,3.19,2.97,3.06,684144.0
2020-03-04,3.09,3.13,3.03,3.11,446716.0,0.0,1.0,3.09,3.13,3.03,3.11,446716.0
2020-03-05,3.03,3.08,2.955,2.98,373894.0,0.0,1.0,3.03,3.08,2.955,2.98,373894.0
2020-03-06,2.91,2.98,2.75,2.79,382006.0,0.0,1.0,2.91,2.98,2.75,2.79,382006.0
2020-03-09,2.65,2.66,2.5,2.52,541185.0,0.0,1.0,2.65,2.66,2.5,2.52,541185.0
2020-03-10,2.56,2.64,2.34,2.36,633055.0,0.0,1.0,2.56,2.64,2.34,2.36,633055.0
2020-03-11,2.31,2.44,2.2,2.27,795391.0,0.0,1.0,2.31,2.44,2.2,2.27,795391.0
2020-03-12,2.14,2.14,1.88,1.89,722327.0,0.0,1.0,2.14,2.14,1.88,1.89,722327.0
2020-03-13,2.03,2.1,1.62,1.73,1334472.0,0.0,1.0,2.03,2.1,1.62,1.73,1334472.0
2020-03-16,1.75,1.76,1.41,1.44,746653.0,0.0,1.0,1.75,1.76,1.41,1.44,746653.0
2020-03-17,1.51,1.7,1.35,1.66,773371.0,0.0,1.0,1.51,1.7,1.35,1.66,773371.0
2020-03-18,1.55,1.63,1.36,1.38,629256.0,0.0,1.0,1.55,1.63,1.36,1.38,629256.0
2020-03-19,1.41,1.71,1.39,1.64,489464.0,0.0,1.0,1.41,1.71,1.39,1.64,489464.0
2020-03-20,1.67,1.74,1.47,1.56,718796.0,0.0,1.0,1.67,1.74,1.47,1.56,718796.0
2020-03-23,1.58,1.66,1.4,1.44,392854.0,0.0,1.0,1.58,1.66,1.4,1.44,392854.0
2020-03-24,1.51,1.54,1.35,1.35,1728045.0,0.0,1.0,1.51,1.54,1.35,1.35,1728045.0
2020-03-25,1.43,1.64,1.33,1.58,1215284.0,0.0,1.0,1.43,1.64,1.33,1.58,1215284.0
2020-03-26,1.61,1.87,1.6,1.76,1015971.0,0.0,1.0,1.61,1.87,1.6,1.76,1015971.0
2020-03-27,1.71,1.74,1.6,1.67,594327.0,0.0,1.0,1.71,1.74,1.6,1.67,594327.0
2020-03-30,1.62,1.74,1.6,1.74,396972.0,0.0,1.0,1.62,1.74,1.6,1.74,396972.0
2020-03-31,1.71,1.9,1.7,1.9,746172.0,0.0,1.0,1.71,1.9,1.7,1.9,746172.0
2020-04-01,1.83,1.84,1.71,1.72,573978.0,0.0,1.0,1.83,1.84,1.71,1.72,573978.0
2020-04-02,1.72,1.75,1.63,1.71,275811.0,0.0,1.0,1.72,1.75,1.63,1.71,275811.0
2020-04-03,1.71,1.74,1.58,1.73,437637.0,0.0,1.0,1.71,1.74,1.58,1.73,437637.0
2020-04-06,1.8,1.95,1.77,1.94,622519.0,0.0,1.0,1.8,1.95,1.77,1.94,622519.0
2020-04-07,2.0406,2.0406,1.88,1.9,559053.0,0.0,1.0,2.0406,2.0406,1.88,1.9,559053.0
2020-04-08,1.93,2.01,1.83,2.01,439522.0,0.0,1.0,1.93,2.01,1.83,2.01,439522.0
2020-04-09,2.06,2.1999,1.96,2.0,451466.0,0.0,1.0,2.06,2.1999,1.96,2.0,451466.0
2020-04-13,2.0,2.05,1.9,2.02,352806.0,0.0,1.0,2.0,2.05,1.9,2.02,352806.0
2020-04-14,2.06,2.13,1.92,1.96,522884.0,0.0,1.0,2.06,2.13,1.92,1.96,522884.0
2020-04-15,1.92,1.9992,1.82,1.84,411194.0,0.0,1.0,1.92,1.9992,1.82,1.84,411194.0
2020-04-16,1.81,1.845,1.7,1.7,461641.0,0.0,1.0,1.81,1.845,1.7,1.7,461641.0
2020-04-17,1.75,1.9297,1.7,1.77,604304.0,0.0,1.0,1.75,1.9297,1.7,1.77,604304.0
2020-04-20,1.71,1.845,1.69,1.77,446360.0,0.0,1.0,1.71,1.845,1.69,1.77,446360.0
2020-04-21,1.74,1.79,1.68,1.77,207728.0,0.0,1.0,1.74,1.79,1.68,1.77,207728.0
2020-04-22,1.8,1.8,1.69,1.76,284923.0,0.0,1.0,1.8,1.8,1.69,1.76,284923.0
2020-04-23,1.76,1.87,1.75,1.82,397696.0,0.0,1.0,1.76,1.87,1.75,1.82,397696.0
2020-04-24,1.85,1.9,1.76,1.85,316547.0,0.0,1.0,1.85,1.9,1.76,1.85,316547.0
2020-04-27,1.88,1.9399,1.83,1.9,530092.0,0.0,1.0,1.88,1.9399,1.83,1.9,530092.0
2020-04-28,1.98,2.08,1.815,2.08,608246.0,0.0,1.0,1.98,2.08,1.815,2.08,608246.0
2020-04-29,2.45,2.45,2.13,2.4,1697468.0,0.0,1.0,2.45,2.45,2.13,2.4,1697468.0
2020-04-30,2.36,2.4,2.16,2.235,673665.0,0.0,1.0,2.36,2.4,2.16,2.235,673665.0
2020-05-01,2.17,2.3,2.11,2.3,694845.0,0.0,1.0,2.17,2.3,2.11,2.3,694845.0
2020-05-04,2.3,2.34,2.13,2.23,723750.0,0.0,1.0,2.3,2.34,2.13,2.23,723750.0
2020-05-05,2.26,2.29,2.0927,2.12,441834.0,0.0,1.0,2.26,2.29,2.0927,2.12,441834.0
2020-05-06,2.15,2.15,2.02,2.04,403589.0,0.0,1.0,2.15,2.15,2.02,2.04,403589.0
2020-05-07,2.04,2.15,2.02,2.07,489186.0,0.0,1.0,2.04,2.15,2.02,2.07,489186.0
2020-05-08,2.12,2.18,2.05,2.16,499937.0,0.0,1.0,2.12,2.18,2.05,2.16,499937.0
2020-05-11,2.16,2.2,2.06,2.08,551628.0,0.0,1.0,2.16,2.2,2.06,2.08,551628.0
2020-05-12,2.1,2.15,2.0,2.005,754069.0,0.0,1.0,2.1,2.15,2.0,2.005,754069.0
2020-05-13,2.0,2.01,1.815,1.92,778608.0,0.0,1.0,2.0,2.01,1.815,1.92,778608.0
2020-05-14,1.88,1.91,1.75,1.83,488507.0,0.0,1.0,1.88,1.91,1.75,1.83,488507.0
2020-05-15,1.84,1.94,1.785,1.91,402640.0,0.0,1.0,1.84,1.94,1.785,1.91,402640.0
2020-05-18,2.0,2.0,1.89,1.96,627778.0,0.0,1.0,2.0,2.0,1.89,1.96,627778.0
2020-05-19,1.96,2.0,1.9,1.91,389218.0,0.0,1.0,1.96,2.0,1.9,1.91,389218.0
2020-05-20,1.94,2.0,1.86,1.93,442768.0,0.0,1.0,1.94,2.0,1.86,1.93,442768.0
2020-05-21,1.91,2.07,1.9,2.05,603976.0,0.0,1.0,1.91,2.07,1.9,2.05,603976.0
2020-05-22,2.06,2.24,2.01,2.18,532031.0,0.0,1.0,2.06,2.24,2.01,2.18,532031.0
2020-05-26,2.27,2.27,2.065,2.12,588478.0,0.0,1.0,2.27,2.27,2.065,2.12,588478.0
2020-05-27,2.18,2.2,2.07,2.18,468438.0,0.0,1.0,2.18,2.2,2.07,2.18,468438.0
2020-05-28,2.22,2.2481,2.07,2.09,473395.0,0.0,1.0,2.22,2.2481,2.07,2.09,473395.0
2020-05-29,2.06,2.12,2.03,2.1,416912.0,0.0,1.0,2.06,2.12,2.03,2.1,416912.0
2020-06-01,2.11,2.2,2.03,2.11,504535.0,0.0,1.0,2.11,2.2,2.03,2.11,504535.0
2020-06-02,1.96,2.16,1.95,2.06,901913.0,0.0,1.0,1.96,2.16,1.95,2.06,901913.0
