Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.6,1.6,1.42,1.51,529747.0,0.0,1.0,1.6,1.6,1.42,1.51,529747.0
2020-01-03,1.49,1.53,1.45,1.52,330925.0,0.0,1.0,1.49,1.53,1.45,1.52,330925.0
2020-01-06,1.55,1.56,1.46,1.49,481535.0,0.0,1.0,1.55,1.56,1.46,1.49,481535.0
2020-01-07,1.47,1.4778,1.43,1.43,263350.0,0.0,1.0,1.47,1.4778,1.43,1.43,263350.0
2020-01-08,1.58,1.58,1.41,1.48,957233.0,0.0,1.0,1.58,1.58,1.41,1.48,957233.0
2020-01-09,1.5,1.61,1.45,1.51,862069.0,0.0,1.0,1.5,1.61,1.45,1.51,862069.0
2020-01-10,1.51,1.54,1.45,1.47,466126.0,0.0,1.0,1.51,1.54,1.45,1.47,466126.0
2020-01-13,1.47,1.5,1.4,1.47,466270.0,0.0,1.0,1.47,1.5,1.4,1.47,466270.0
2020-01-14,2.25,2.62,1.57,1.58,32895450.0,0.0,1.0,2.25,2.62,1.57,1.58,32895450.0
2020-01-15,1.73,1.74,1.51,1.64,3359224.0,0.0,1.0,1.73,1.74,1.51,1.64,3359224.0
2020-01-16,1.64,1.64,1.57,1.62,1379350.0,0.0,1.0,1.64,1.64,1.57,1.62,1379350.0
2020-01-17,1.59,1.62,1.48,1.49,1388299.0,0.0,1.0,1.59,1.62,1.48,1.49,1388299.0
2020-01-21,1.51,1.5263,1.39,1.39,1665769.0,0.0,1.0,1.51,1.5263,1.39,1.39,1665769.0
2020-01-22,1.4,1.4726,1.38,1.43,853223.0,0.0,1.0,1.4,1.4726,1.38,1.43,853223.0
2020-01-23,1.45,1.45,1.3782,1.4,539955.0,0.0,1.0,1.45,1.45,1.3782,1.4,539955.0
2020-01-24,1.38,1.41,1.37,1.38,427068.0,0.0,1.0,1.38,1.41,1.37,1.38,427068.0
2020-01-27,1.38,1.38,1.27,1.27,916697.0,0.0,1.0,1.38,1.38,1.27,1.27,916697.0
2020-01-28,1.27,1.37,1.25,1.37,790154.0,0.0,1.0,1.27,1.37,1.25,1.37,790154.0
2020-01-29,1.37,1.37,1.29,1.29,592298.0,0.0,1.0,1.37,1.37,1.29,1.29,592298.0
2020-01-30,1.34,1.36,1.27,1.33,817649.0,0.0,1.0,1.34,1.36,1.27,1.33,817649.0
2020-01-31,1.35,1.45,1.33,1.36,1014745.0,0.0,1.0,1.35,1.45,1.33,1.36,1014745.0
2020-02-03,1.28,1.35,1.26,1.26,642821.0,0.0,1.0,1.28,1.35,1.26,1.26,642821.0
2020-02-04,1.3,1.33,1.16,1.28,1599306.0,0.0,1.0,1.3,1.33,1.16,1.28,1599306.0
2020-02-05,1.3,1.3,1.25,1.27,272833.0,0.0,1.0,1.3,1.3,1.25,1.27,272833.0
2020-02-06,1.25,1.29,1.23,1.27,440625.0,0.0,1.0,1.25,1.29,1.23,1.27,440625.0
2020-02-07,1.22,1.25,1.2,1.2,496809.0,0.0,1.0,1.22,1.25,1.2,1.2,496809.0
2020-02-10,1.23,1.23,1.1,1.11,833886.0,0.0,1.0,1.23,1.23,1.1,1.11,833886.0
2020-02-11,1.13,1.24,1.13,1.22,837213.0,0.0,1.0,1.13,1.24,1.13,1.22,837213.0
2020-02-12,1.37,1.38,1.18,1.22,5222777.0,0.0,1.0,1.37,1.38,1.18,1.22,5222777.0
2020-02-13,1.2,1.25,1.15,1.24,1043208.0,0.0,1.0,1.2,1.25,1.15,1.24,1043208.0
2020-02-14,1.21,1.26,1.2,1.25,671228.0,0.0,1.0,1.21,1.26,1.2,1.25,671228.0
2020-02-18,1.25,1.27,1.23,1.23,442629.0,0.0,1.0,1.25,1.27,1.23,1.23,442629.0
2020-02-19,1.27,1.27,1.2,1.22,288250.0,0.0,1.0,1.27,1.27,1.2,1.22,288250.0
2020-02-20,1.23,1.25,1.2,1.22,304592.0,0.0,1.0,1.23,1.25,1.2,1.22,304592.0
2020-02-21,1.25,1.255,1.2,1.21,301379.0,0.0,1.0,1.25,1.255,1.2,1.21,301379.0
2020-02-24,1.2,1.24,1.17,1.21,384758.0,0.0,1.0,1.2,1.24,1.17,1.21,384758.0
2020-02-25,1.2,1.24,1.12,1.15,546733.0,0.0,1.0,1.2,1.24,1.12,1.15,546733.0
2020-02-26,1.15,1.25,1.15,1.22,763843.0,0.0,1.0,1.15,1.25,1.15,1.22,763843.0
2020-02-27,1.2,1.23,1.14,1.21,616694.0,0.0,1.0,1.2,1.23,1.14,1.21,616694.0
2020-02-28,1.16,1.22,1.16,1.18,634627.0,0.0,1.0,1.16,1.22,1.16,1.18,634627.0
2020-03-02,1.22,1.24,1.18,1.2,516714.0,0.0,1.0,1.22,1.24,1.18,1.2,516714.0
2020-03-03,1.2,1.28,1.1555,1.17,977051.0,0.0,1.0,1.2,1.28,1.1555,1.17,977051.0
2020-03-04,1.19,1.21,1.07,1.14,798512.0,0.0,1.0,1.19,1.21,1.07,1.14,798512.0
2020-03-05,1.14,1.14,1.0926,1.12,620766.0,0.0,1.0,1.14,1.14,1.0926,1.12,620766.0
2020-03-06,0.49,0.49,0.4027,0.435,15796309.0,0.0,1.0,0.49,0.49,0.4027,0.435,15796309.0
2020-03-09,0.425,0.425,0.34,0.3931,8305601.0,0.0,1.0,0.425,0.425,0.34,0.3931,8305601.0
2020-03-10,0.45,0.45,0.38,0.415,9811545.0,0.0,1.0,0.45,0.45,0.38,0.415,9811545.0
