Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.34,2.36,2.33,2.34,249214.0,0.0,1.0,2.34,2.36,2.33,2.34,249214.0
2020-01-03,2.33,2.35,2.32,2.32,273485.0,0.0,1.0,2.33,2.35,2.32,2.32,273485.0
2020-01-06,2.32,2.35,2.32,2.32,314086.0,0.0,1.0,2.32,2.35,2.32,2.32,314086.0
2020-01-07,2.33,2.36,2.33,2.35,221538.0,0.0,1.0,2.33,2.36,2.33,2.35,221538.0
2020-01-08,2.35,2.37,2.33,2.35,347524.0,0.0,1.0,2.35,2.37,2.33,2.35,347524.0
2020-01-09,2.35,2.37,2.34,2.35,286036.0,0.0,1.0,2.35,2.37,2.34,2.35,286036.0
2020-01-10,2.34,2.38,2.34,2.36,291617.0,0.0,1.0,2.34,2.38,2.34,2.36,291617.0
2020-01-13,2.36,2.37,2.36,2.37,224701.0,0.0,1.0,2.36,2.37,2.36,2.37,224701.0
2020-01-14,2.36,2.41,2.36,2.4,310825.0,0.0,1.0,2.36,2.41,2.36,2.4,310825.0
2020-01-15,2.4,2.4008,2.36,2.37,340701.0,0.0,1.0,2.4,2.4008,2.36,2.37,340701.0
2020-01-16,2.4,2.42,2.39,2.41,311344.0,0.0,1.0,2.4,2.42,2.39,2.41,311344.0
2020-01-17,2.42,2.44,2.4,2.42,236625.0,0.0,1.0,2.42,2.44,2.4,2.42,236625.0
2020-01-21,2.42,2.44,2.395,2.4,304484.0,0.0,1.0,2.42,2.44,2.395,2.4,304484.0
2020-01-22,2.4,2.44,2.4,2.4,122413.0,0.0,1.0,2.4,2.44,2.4,2.4,122413.0
2020-01-23,2.4,2.42,2.4,2.41,560227.0,0.0,1.0,2.4,2.42,2.4,2.41,560227.0
2020-01-24,2.4,2.43,2.39,2.39,362447.0,0.0,1.0,2.4,2.43,2.39,2.39,362447.0
2020-01-27,2.38,2.41,2.36,2.39,250532.0,0.0,1.0,2.38,2.41,2.36,2.39,250532.0
2020-01-28,2.4,2.42,2.4,2.41,121898.0,0.0,1.0,2.4,2.42,2.4,2.41,121898.0
2020-01-29,2.41,2.44,2.39,2.43,237663.0,0.0,1.0,2.41,2.44,2.39,2.43,237663.0
2020-01-30,2.4,2.45,2.38,2.43,217582.0,0.0,1.0,2.4,2.45,2.38,2.43,217582.0
2020-01-31,2.41,2.42,2.39,2.39,347671.0,0.0,1.0,2.41,2.42,2.39,2.39,347671.0
2020-02-03,2.39,2.41,2.36,2.37,315915.0,0.0,1.0,2.39,2.41,2.36,2.37,315915.0
2020-02-04,2.39,2.42,2.38,2.42,250688.0,0.0,1.0,2.39,2.42,2.38,2.42,250688.0
2020-02-05,2.42,2.42,2.405,2.41,153202.0,0.0,1.0,2.42,2.42,2.405,2.41,153202.0
2020-02-06,2.41,2.42,2.37,2.37,236235.0,0.0,1.0,2.41,2.42,2.37,2.37,236235.0
2020-02-07,2.37,2.4,2.36,2.38,176798.0,0.0,1.0,2.37,2.4,2.36,2.38,176798.0
2020-02-10,2.38,2.41,2.365,2.41,129129.0,0.0,1.0,2.38,2.41,2.365,2.41,129129.0
2020-02-11,2.42,2.48,2.41,2.43,561646.0,0.0,1.0,2.42,2.48,2.41,2.43,561646.0
2020-02-12,2.43,2.47,2.42,2.45,132655.0,0.0,1.0,2.43,2.47,2.42,2.45,132655.0
2020-02-13,2.43,2.46,2.43,2.46,124049.0,0.0,1.0,2.43,2.46,2.43,2.46,124049.0
2020-02-14,2.47,2.49,2.4632,2.48,122593.0,0.0,1.0,2.47,2.49,2.4632,2.48,122593.0
2020-02-18,2.49,2.53,2.47,2.5,319209.0,0.0,1.0,2.49,2.53,2.47,2.5,319209.0
2020-02-19,2.49,2.53,2.49,2.52,145889.0,0.0,1.0,2.49,2.53,2.49,2.52,145889.0
2020-02-20,2.52,2.54,2.51,2.51,264643.0,0.0,1.0,2.52,2.54,2.51,2.51,264643.0
2020-02-21,2.52,2.53,2.52,2.52,156671.0,0.0,1.0,2.52,2.53,2.52,2.52,156671.0
2020-02-24,2.47,2.52,2.42,2.42,370051.0,0.0,1.0,2.47,2.52,2.42,2.42,370051.0
2020-02-25,2.44,2.44,2.39,2.41,336097.0,0.0,1.0,2.44,2.44,2.39,2.41,336097.0
2020-02-26,2.34,2.42,2.34,2.38,350141.0,0.0,1.0,2.34,2.42,2.34,2.38,350141.0
2020-02-27,2.36,2.375,2.32,2.33,520671.0,0.0,1.0,2.36,2.375,2.32,2.33,520671.0
2020-02-28,2.25,2.37,2.19,2.27,1120649.0,0.0,1.0,2.25,2.37,2.19,2.27,1120649.0
2020-03-02,2.25,2.34,2.23,2.23,710370.0,0.0,1.0,2.25,2.34,2.23,2.23,710370.0
2020-03-03,2.25,2.29,2.2,2.2,753067.0,0.0,1.0,2.25,2.29,2.2,2.2,753067.0
2020-03-04,2.23,2.295,2.195,2.28,462079.0,0.0,1.0,2.23,2.295,2.195,2.28,462079.0
2020-03-05,2.25,2.32,2.24,2.27,429148.0,0.0,1.0,2.25,2.32,2.24,2.27,429148.0
2020-03-06,2.22,2.3,2.22,2.3,348175.0,0.0,1.0,2.22,2.3,2.22,2.3,348175.0
2020-03-09,2.17,2.22,2.07,2.13,606718.0,0.0,1.0,2.17,2.22,2.07,2.13,606718.0
2020-03-10,2.15,2.22,2.04,2.14,443611.0,0.0,1.0,2.15,2.22,2.04,2.14,443611.0
2020-03-11,2.07,2.13,1.96,2.01,576952.0,0.0,1.0,2.07,2.13,1.96,2.01,576952.0
2020-03-12,1.9,1.99,1.82,1.85,1468905.0,0.0,1.0,1.9,1.99,1.82,1.85,1468905.0
2020-03-13,1.94,2.02,1.86,2.02,747328.0,0.0,1.0,1.94,2.02,1.86,2.02,747328.0
2020-03-16,1.88,1.95,1.75,1.76,962378.0,0.0,1.0,1.88,1.95,1.75,1.76,962378.0
2020-03-17,1.77,1.87,1.75,1.87,915066.0,0.0,1.0,1.77,1.87,1.75,1.87,915066.0
2020-03-18,1.76,1.85,1.7,1.78,921230.0,0.0,1.0,1.76,1.85,1.7,1.78,921230.0
2020-03-19,1.77,1.85,1.72,1.77,1164979.0,0.0,1.0,1.77,1.85,1.72,1.77,1164979.0
2020-03-20,1.79,2.04,1.77,1.99,1773705.0,0.0,1.0,1.79,2.04,1.77,1.99,1773705.0
2020-03-23,1.95,2.05,1.77,1.86,949832.0,0.0,1.0,1.95,2.05,1.77,1.86,949832.0
2020-03-24,1.91,2.04,1.86,2.0,661960.0,0.0,1.0,1.91,2.04,1.86,2.0,661960.0
2020-03-25,2.02,2.17,1.97,2.12,519167.0,0.0,1.0,2.02,2.17,1.97,2.12,519167.0
2020-03-26,2.12,2.18,2.03,2.11,815005.0,0.0,1.0,2.12,2.18,2.03,2.11,815005.0
2020-03-27,2.03,2.145,1.94,2.07,622375.0,0.0,1.0,2.03,2.145,1.94,2.07,622375.0
2020-03-30,2.07,2.13,2.03,2.11,545354.0,0.0,1.0,2.07,2.13,2.03,2.11,545354.0
2020-03-31,2.08,2.14,2.02,2.14,610247.0,0.0,1.0,2.08,2.14,2.02,2.14,610247.0
2020-04-01,2.05,2.105,2.02,2.04,489063.0,0.0,1.0,2.05,2.105,2.02,2.04,489063.0
2020-04-02,2.05,2.09,1.92,1.96,624067.0,0.0,1.0,2.05,2.09,1.92,1.96,624067.0
2020-04-03,1.97,1.98,1.82,1.84,743172.0,0.0,1.0,1.97,1.98,1.82,1.84,743172.0
2020-04-06,1.92,2.02,1.9,2.01,628100.0,0.0,1.0,1.92,2.02,1.9,2.01,628100.0
2020-04-07,2.0,2.05,1.95,2.01,481247.0,0.0,1.0,2.0,2.05,1.95,2.01,481247.0
