Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,7.66,7.71,7.6044,7.64,105807.0,0.0,1.0,7.17220332226669,7.219019270845454,7.120143987447104,7.153476942835184,105807.0
2020-01-03,7.6,7.735,7.6,7.71,57536.0,0.0,1.0,7.116024183972172,7.242427245134836,7.116024183972172,7.219019270845454,57536.0
2020-01-06,7.71,7.71,7.58,7.58,220900.0,0.0,1.0,7.219019270845454,7.219019270845454,7.097297804540667,7.097297804540667,220900.0
2020-01-07,7.61,7.6493,7.55,7.55,73237.0,0.0,1.0,7.125387373687926,7.162184709270835,7.0692082353934085,7.0692082353934085,73237.0
2020-01-08,7.55,7.6457,7.51,7.59,87105.0,0.0,1.0,7.0692082353934085,7.158813960973163,7.031755476530397,7.10666099425642,87105.0
2020-01-09,7.59,7.6495,7.5,7.53,107100.0,0.0,1.0,7.10666099425642,7.162371973065149,7.022392286814644,7.050481855961903,107100.0
2020-01-10,7.53,7.61,7.53,7.6,67942.0,0.0,1.0,7.050481855961903,7.125387373687926,7.050481855961903,7.116024183972172,67942.0
2020-01-13,7.58,7.63,7.5,7.56,132194.0,0.0,1.0,7.097297804540667,7.144113753119431,7.022392286814644,7.0785714251091605,132194.0
2020-01-14,7.58,7.63,7.57,7.61,98380.0,0.0,1.0,7.097297804540667,7.144113753119431,7.087934614824914,7.125387373687926,98380.0
2020-01-15,7.63,7.7,7.57,7.63,73680.0,0.0,1.0,7.144113753119431,7.209656081129701,7.087934614824914,7.144113753119431,73680.0
2020-01-16,7.64,7.6699,7.58,7.58,67033.0,0.0,1.0,7.153476942835184,7.181472880085285,7.097297804540667,7.097297804540667,67033.0
2020-01-17,7.61,7.61,7.58,7.61,31850.0,0.0,1.0,7.125387373687926,7.125387373687926,7.097297804540667,7.125387373687926,31850.0
2020-01-21,7.6,7.7,7.59,7.66,70594.0,0.0,1.0,7.116024183972172,7.209656081129701,7.10666099425642,7.17220332226669,70594.0
2020-01-22,7.66,7.68,7.621,7.63,46175.0,0.0,1.0,7.17220332226669,7.190929701698195,7.135686882375254,7.144113753119431,46175.0
2020-01-23,7.64,7.74,7.6102,7.74,67014.0,0.0,1.0,7.153476942835184,7.247108839992713,7.125574637482241,7.247108839992713,67014.0
2020-01-24,7.75,7.75,7.65,7.68,78483.0,0.0,1.0,7.2564720297084655,7.2564720297084655,7.162840132550937,7.190929701698195,78483.0
2020-01-27,7.66,7.76,7.66,7.75,70279.0,0.0,1.0,7.17220332226669,7.265835219424218,7.17220332226669,7.2564720297084655,70279.0
2020-01-28,7.75,7.78,7.6933,7.71,73302.0,0.0,1.0,7.2564720297084655,7.284561598855724,7.203382744020146,7.219019270845454,73302.0
2020-01-29,7.7,7.86,7.7,7.84,105150.0,0.0,1.0,7.209656081129701,7.359467116581747,7.209656081129701,7.340740737150242,105150.0
2020-01-30,7.84,7.92,7.8,7.92,123638.0,0.0,1.0,7.340740737150242,7.415646254876264,7.30328797828723,7.415646254876264,123638.0
2020-01-31,7.97,8.1,7.934,8.02,216788.0,0.0,1.0,7.462462203455028,7.584183669759815,7.428754720478318,7.509278152033792,216788.0
