Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,4.61,4.65,4.15,4.26,3975729.0,0.0,1.0,4.61,4.65,4.15,4.26,3975729.0
2020-01-03,4.27,4.315,4.16,4.26,981967.0,0.0,1.0,4.27,4.315,4.16,4.26,981967.0
2020-01-06,4.23,4.305,4.14,4.28,1355458.0,0.0,1.0,4.23,4.305,4.14,4.28,1355458.0
2020-01-07,4.26,4.2858,4.18,4.2,1005376.0,0.0,1.0,4.26,4.2858,4.18,4.2,1005376.0
2020-01-08,4.17,4.31,4.17,4.27,1415947.0,0.0,1.0,4.17,4.31,4.17,4.27,1415947.0
2020-01-09,4.3,4.41,4.235,4.38,1708039.0,0.0,1.0,4.3,4.41,4.235,4.38,1708039.0
2020-01-10,4.38,4.59,4.38,4.46,2206695.0,0.0,1.0,4.38,4.59,4.38,4.46,2206695.0
2020-01-13,4.51,4.59,4.33,4.43,1576347.0,0.0,1.0,4.51,4.59,4.33,4.43,1576347.0
2020-01-14,4.45,4.58,4.4,4.54,1632917.0,0.0,1.0,4.45,4.58,4.4,4.54,1632917.0
2020-01-15,4.5,4.575,4.47,4.49,998619.0,0.0,1.0,4.5,4.575,4.47,4.49,998619.0
2020-01-16,4.53,4.58,4.44,4.44,697994.0,0.0,1.0,4.53,4.58,4.44,4.44,697994.0
2020-01-17,4.47,4.47,4.24,4.24,1422670.0,0.0,1.0,4.47,4.47,4.24,4.24,1422670.0
2020-01-21,4.25,4.29,4.15,4.19,1607486.0,0.0,1.0,4.25,4.29,4.15,4.19,1607486.0
2020-01-22,4.22,4.32,4.21,4.24,879689.0,0.0,1.0,4.22,4.32,4.21,4.24,879689.0
2020-01-23,4.24,4.24,4.095,4.11,1242112.0,0.0,1.0,4.24,4.24,4.095,4.11,1242112.0
2020-01-24,4.1,4.11,3.92,3.985,1815957.0,0.0,1.0,4.1,4.11,3.92,3.985,1815957.0
2020-01-27,4.0,4.15,3.97,4.02,1602864.0,0.0,1.0,4.0,4.15,3.97,4.02,1602864.0
2020-01-28,4.04,4.055,3.9,3.91,1182362.0,0.0,1.0,4.04,4.055,3.9,3.91,1182362.0
2020-01-29,3.92,3.96,3.76,3.8,2266662.0,0.0,1.0,3.92,3.96,3.76,3.8,2266662.0
2020-01-30,3.81,3.85,3.66,3.79,1290777.0,0.0,1.0,3.81,3.85,3.66,3.79,1290777.0
2020-01-31,3.77,3.82,3.63,3.67,958281.0,0.0,1.0,3.77,3.82,3.63,3.67,958281.0
2020-02-03,3.69,3.77,3.62,3.62,1141510.0,0.0,1.0,3.69,3.77,3.62,3.62,1141510.0
2020-02-04,3.65,3.71,3.62,3.69,2088042.0,0.0,1.0,3.65,3.71,3.62,3.69,2088042.0
2020-02-05,3.71,3.93,3.71,3.84,1567300.0,0.0,1.0,3.71,3.93,3.71,3.84,1567300.0
2020-02-06,3.88,3.94,3.72,3.8,1137676.0,0.0,1.0,3.88,3.94,3.72,3.8,1137676.0
2020-02-07,3.79,3.81,3.64,3.65,693669.0,0.0,1.0,3.79,3.81,3.64,3.65,693669.0
2020-02-10,3.68,3.74,3.63,3.69,842928.0,0.0,1.0,3.68,3.74,3.63,3.69,842928.0
2020-02-11,3.73,3.8,3.64,3.68,736473.0,0.0,1.0,3.73,3.8,3.64,3.68,736473.0
2020-02-12,3.68,3.71,3.63,3.7,833467.0,0.0,1.0,3.68,3.71,3.63,3.7,833467.0
2020-02-13,3.69,3.7,3.53,3.58,1246560.0,0.0,1.0,3.69,3.7,3.53,3.58,1246560.0
2020-02-14,3.55,3.6,3.45,3.57,2299502.0,0.0,1.0,3.55,3.6,3.45,3.57,2299502.0
2020-02-18,3.59,3.65,3.49,3.52,979708.0,0.0,1.0,3.59,3.65,3.49,3.52,979708.0
2020-02-19,3.53,3.59,3.41,3.53,1273923.0,0.0,1.0,3.53,3.59,3.41,3.53,1273923.0
2020-02-20,3.54,3.55,3.41,3.5,1474440.0,0.0,1.0,3.54,3.55,3.41,3.5,1474440.0
2020-02-21,3.51,3.55,3.45,3.53,983878.0,0.0,1.0,3.51,3.55,3.45,3.53,983878.0
2020-02-24,3.46,3.49,3.37,3.4,1268308.0,0.0,1.0,3.46,3.49,3.37,3.4,1268308.0
2020-02-25,3.43,3.46,3.26,3.325,1208638.0,0.0,1.0,3.43,3.46,3.26,3.325,1208638.0
2020-02-26,3.31,3.3249,3.19,3.21,1277093.0,0.0,1.0,3.31,3.3249,3.19,3.21,1277093.0
2020-02-27,3.15,3.15,2.915,3.0,3161887.0,0.0,1.0,3.15,3.15,2.915,3.0,3161887.0
2020-02-28,2.88,3.1,2.85,3.1,2111177.0,0.0,1.0,2.88,3.1,2.85,3.1,2111177.0
2020-03-02,3.16,3.22,3.0,3.22,2457916.0,0.0,1.0,3.16,3.22,3.0,3.22,2457916.0
2020-03-03,3.45,3.53,3.095,3.11,2636682.0,0.0,1.0,3.45,3.53,3.095,3.11,2636682.0
2020-03-04,3.2,3.445,3.17,3.38,2340961.0,0.0,1.0,3.2,3.445,3.17,3.38,2340961.0
2020-03-05,3.35,3.47,3.25,3.47,3075593.0,0.0,1.0,3.35,3.47,3.25,3.47,3075593.0
2020-03-06,3.36,3.41,3.17,3.24,1843471.0,0.0,1.0,3.36,3.41,3.17,3.24,1843471.0
2020-03-09,3.0,3.27,2.94,3.1,2335975.0,0.0,1.0,3.0,3.27,2.94,3.1,2335975.0
2020-03-10,3.18,3.18,2.97,3.12,2468262.0,0.0,1.0,3.18,3.18,2.97,3.12,2468262.0
2020-03-11,3.1,3.1517,2.95,3.0,1796147.0,0.0,1.0,3.1,3.1517,2.95,3.0,1796147.0
2020-03-12,2.86,2.93,2.69,2.8,2529557.0,0.0,1.0,2.86,2.93,2.69,2.8,2529557.0
2020-03-13,2.95,2.9899,2.54,2.75,1712016.0,0.0,1.0,2.95,2.9899,2.54,2.75,1712016.0
