Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-11-23,0.8,0.8,0.61,0.75,17000.0,0.0,1.0,0.8,0.8,0.61,0.75,17000.0
2020-11-24,0.8103,0.9,0.8103,0.88,29268.0,0.0,1.0,0.8103,0.9,0.8103,0.88,29268.0
2020-11-25,0.88,0.95,0.88,0.9073,28550.0,0.0,1.0,0.88,0.95,0.88,0.9073,28550.0
2020-11-27,0.88,0.95,0.8404,0.9453,63776.0,0.0,1.0,0.88,0.95,0.8404,0.9453,63776.0
2020-11-30,0.95,0.95,0.77,0.94,32510.0,0.0,1.0,0.95,0.95,0.77,0.94,32510.0
2020-12-01,0.9,1.0,0.9,0.95,6936.0,0.0,1.0,0.9,1.0,0.9,0.95,6936.0
2020-12-02,0.91,0.91,0.86,0.86,8070.0,0.0,1.0,0.91,0.91,0.86,0.86,8070.0
2020-12-03,0.9,0.9,0.86,0.8999,19589.0,0.0,1.0,0.9,0.9,0.86,0.8999,19589.0
2020-12-04,1.0,1.0,0.9,0.9,30382.0,0.0,1.0,1.0,1.0,0.9,0.9,30382.0
2020-12-07,0.95,0.951499,0.86,0.9099,63119.0,0.0,1.0,0.95,0.951499,0.86,0.9099,63119.0
2020-12-08,0.89,1.05,0.84,0.86,74203.0,0.0,1.0,0.89,1.05,0.84,0.86,74203.0
2020-12-09,1.0,1.1558,0.95,0.97,51693.0,0.0,1.0,1.0,1.1558,0.95,0.97,51693.0
2020-12-10,1.07,1.25,1.02,1.1,77778.0,0.0,1.0,1.07,1.25,1.02,1.1,77778.0
2020-12-11,1.01,1.2,0.97,1.01,90908.0,0.0,1.0,1.01,1.2,0.97,1.01,90908.0
2020-12-14,1.25,1.6,1.06,1.41,473856.0,0.0,1.0,1.25,1.6,1.06,1.41,473856.0
2020-12-15,1.41,1.41,1.1,1.12,322280.0,0.0,1.0,1.41,1.41,1.1,1.12,322280.0
2020-12-16,1.3,1.3,1.2,1.2,86656.0,0.0,1.0,1.3,1.3,1.2,1.2,86656.0
2020-12-17,1.245,1.3,1.12,1.19,76226.0,0.0,1.0,1.245,1.3,1.12,1.19,76226.0
2020-12-18,1.2,1.3602,1.2,1.24,68233.0,0.0,1.0,1.2,1.3602,1.2,1.24,68233.0
2020-12-21,1.35,1.38,1.27,1.28,140690.0,0.0,1.0,1.35,1.38,1.27,1.28,140690.0
2020-12-22,1.46,1.4929,1.28,1.387,163896.0,0.0,1.0,1.46,1.4929,1.28,1.387,163896.0
2020-12-23,1.5252,1.65,1.37,1.5501,170538.0,0.0,1.0,1.5252,1.65,1.37,1.5501,170538.0
2020-12-24,1.68,1.85,1.56,1.77,141092.0,0.0,1.0,1.68,1.85,1.56,1.77,141092.0
2020-12-28,2.19,2.26,1.79,1.8,560971.0,0.0,1.0,2.19,2.26,1.79,1.8,560971.0
2020-12-29,1.83,2.0,1.6106,1.71,180985.0,0.0,1.0,1.83,2.0,1.6106,1.71,180985.0
2020-12-30,1.92,1.92,1.59,1.62,216233.0,0.0,1.0,1.92,1.92,1.59,1.62,216233.0
2020-12-31,1.7,1.72,1.51,1.51,184072.0,0.0,1.0,1.7,1.72,1.51,1.51,184072.0
