Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-04-08,0.17,4.96,0.05,0.05,42897.0,0.0,1.0,0.17,4.96,0.05,0.05,42897.0
2020-04-09,0.09,0.1,0.0796,0.08,36765.0,0.0,1.0,0.09,0.1,0.0796,0.08,36765.0
2020-04-13,0.130001,0.195,0.1001,0.1475,75252.0,0.0,1.0,0.130001,0.195,0.1001,0.1475,75252.0
2020-04-14,0.147,0.147,0.0911,0.1199,24808.0,0.0,1.0,0.147,0.147,0.0911,0.1199,24808.0
2020-04-15,0.1,0.1169,0.0511,0.115,13478.0,0.0,1.0,0.1,0.1169,0.0511,0.115,13478.0
2020-04-16,0.109,0.109,0.109,0.109,1033.0,0.0,1.0,0.109,0.109,0.109,0.109,1033.0
2020-04-17,0.05,0.15,0.05,0.10977,107390.0,0.0,1.0,0.05,0.15,0.05,0.10977,107390.0
2020-04-20,0.41,0.41,0.08,0.08,475113.0,0.0,1.0,0.41,0.41,0.08,0.08,475113.0
2020-04-21,0.0899,0.098,0.065,0.0908,135327.0,0.0,1.0,0.0899,0.098,0.065,0.0908,135327.0
2020-04-22,0.0908,0.0908,0.0686,0.0702,3615.0,0.0,1.0,0.0908,0.0908,0.0686,0.0702,3615.0
2020-04-23,0.08,0.08,0.0601,0.0601,27681.0,0.0,1.0,0.08,0.08,0.0601,0.0601,27681.0
2020-04-24,0.0738,0.075,0.07,0.07,3736.0,0.0,1.0,0.0738,0.075,0.07,0.07,3736.0
2020-04-27,0.07,0.07,0.0597,0.0597,40613.0,0.0,1.0,0.07,0.07,0.0597,0.0597,40613.0
2020-04-28,0.055,0.058,0.0365,0.0371,16566.0,0.0,1.0,0.055,0.058,0.0365,0.0371,16566.0
2020-04-29,0.0575,0.0575,0.0405,0.041,6243.0,0.0,1.0,0.0575,0.0575,0.0405,0.041,6243.0
2020-04-30,0.04,0.05,0.04,0.045,83839.0,0.0,1.0,0.04,0.05,0.04,0.045,83839.0
2020-05-01,0.05,0.05,0.045,0.045,15062.0,0.0,1.0,0.05,0.05,0.045,0.045,15062.0
2020-05-04,0.04,0.05,0.04,0.0487,41373.0,0.0,1.0,0.04,0.05,0.04,0.0487,41373.0
2020-05-05,0.040101,0.041,0.0401,0.041,9481.0,0.0,1.0,0.040101,0.041,0.0401,0.041,9481.0
2020-05-06,0.041542,0.041542,0.04,0.04,1655.0,0.0,1.0,0.041542,0.041542,0.04,0.04,1655.0
2020-05-07,0.04,0.04239,0.04,0.040013,16202.0,0.0,1.0,0.04,0.04239,0.04,0.040013,16202.0
2020-05-08,0.031,0.044,0.0201,0.04295,119295.0,0.0,1.0,0.031,0.044,0.0201,0.04295,119295.0
2020-05-11,0.04,0.04276,0.04,0.04,3801.0,0.0,1.0,0.04,0.04276,0.04,0.04,3801.0
2020-05-12,0.04,0.04,0.03,0.0301,6136.0,0.0,1.0,0.04,0.04,0.03,0.0301,6136.0
2020-05-13,0.039,0.0399,0.0388,0.0399,8762.0,0.0,1.0,0.039,0.0399,0.0388,0.0399,8762.0
2020-05-14,0.0398,0.0398,0.0397,0.0397,1201.0,0.0,1.0,0.0398,0.0398,0.0397,0.0397,1201.0
2020-05-15,0.0211,0.046,0.0211,0.042,40600.0,0.0,1.0,0.0211,0.046,0.0211,0.042,40600.0
2020-05-18,0.046,0.046,0.0425,0.043775,54194.0,0.0,1.0,0.046,0.046,0.0425,0.043775,54194.0
2020-05-19,0.043,0.043,0.042,0.0425,3019.0,0.0,1.0,0.043,0.043,0.042,0.0425,3019.0
2020-05-20,0.0425,0.0425,0.0425,0.0425,1.0,0.0,1.0,0.0425,0.0425,0.0425,0.0425,1.0
2020-05-21,0.05,0.056,0.0213,0.034999,73952.0,0.0,1.0,0.05,0.056,0.0213,0.034999,73952.0
2020-05-22,0.05,0.05,0.03,0.031101,39631.0,0.0,1.0,0.05,0.05,0.03,0.031101,39631.0
2020-05-26,0.03,0.05,0.03,0.04,36589.0,0.0,1.0,0.03,0.05,0.03,0.04,36589.0
2020-05-27,0.0353,0.04,0.0311,0.033,12024.0,0.0,1.0,0.0353,0.04,0.0311,0.033,12024.0
2020-05-28,0.033,0.0771,0.033,0.06055,152246.0,0.0,1.0,0.033,0.0771,0.033,0.06055,152246.0
2020-05-29,0.1576,0.1576,0.0606,0.09,615026.0,0.0,1.0,0.1576,0.1576,0.0606,0.09,615026.0
2020-06-01,0.08,0.11701,0.06,0.0704,227898.0,0.0,1.0,0.08,0.11701,0.06,0.0704,227898.0
2020-06-02,0.09,0.09,0.0457,0.06,247430.0,0.0,1.0,0.09,0.09,0.0457,0.06,247430.0
2020-06-03,0.07,0.095,0.05,0.092,203679.0,0.0,1.0,0.07,0.095,0.05,0.092,203679.0
2020-06-04,0.1,0.182,0.1,0.13,1057220.0,0.0,1.0,0.1,0.182,0.1,0.13,1057220.0
2020-06-05,0.15,0.2,0.12,0.17,648279.0,0.0,1.0,0.15,0.2,0.12,0.17,648279.0
2020-06-08,0.23,0.23,0.1351,0.18,453253.0,0.0,1.0,0.23,0.23,0.1351,0.18,453253.0
2020-06-09,0.2,0.2625,0.18,0.25,575519.0,0.0,1.0,0.2,0.2625,0.18,0.25,575519.0
2020-06-10,0.5,0.9,0.35,0.437,2146464.0,0.0,1.0,0.5,0.9,0.35,0.437,2146464.0
2020-06-11,0.4498,0.55,0.27,0.3999,847887.0,0.0,1.0,0.4498,0.55,0.27,0.3999,847887.0
2020-06-12,0.4999,0.52,0.33,0.4,317997.0,0.0,1.0,0.4999,0.52,0.33,0.4,317997.0
2020-06-15,0.4,0.4001,0.3101,0.375,163226.0,0.0,1.0,0.4,0.4001,0.3101,0.375,163226.0
2020-06-16,0.4001,0.4389,0.3,0.36,215262.0,0.0,1.0,0.4001,0.4389,0.3,0.36,215262.0
2020-06-17,0.4,0.4001,0.3,0.3164,160292.0,0.0,1.0,0.4,0.4001,0.3,0.3164,160292.0
2020-06-18,0.3,0.32,0.24,0.3101,232446.0,0.0,1.0,0.3,0.32,0.24,0.3101,232446.0
2020-06-19,0.27,0.405,0.27,0.3199,534503.0,0.0,1.0,0.27,0.405,0.27,0.3199,534503.0
2020-06-22,0.4,0.42,0.258,0.2785,511618.0,0.0,1.0,0.4,0.42,0.258,0.2785,511618.0
2020-06-23,0.255,0.32999,0.25,0.3,146658.0,0.0,1.0,0.255,0.32999,0.25,0.3,146658.0
2020-06-24,0.3,0.3556,0.2601,0.33,475451.0,0.0,1.0,0.3,0.3556,0.2601,0.33,475451.0
2020-06-25,0.3,0.37,0.2801,0.32,288123.0,0.0,1.0,0.3,0.37,0.2801,0.32,288123.0
2020-06-26,0.33,0.37,0.32,0.3305,95925.0,0.0,1.0,0.33,0.37,0.32,0.3305,95925.0
2020-06-29,0.37,0.3775,0.3011,0.327999,120177.0,0.0,1.0,0.37,0.3775,0.3011,0.327999,120177.0
2020-06-30,0.2524,0.2602,0.2001,0.2389,332584.0,0.0,1.0,0.2524,0.2602,0.2001,0.2389,332584.0
2020-07-01,0.24,0.24,0.15,0.2,247770.0,0.0,1.0,0.24,0.24,0.15,0.2,247770.0
2020-07-02,0.16,0.25,0.16,0.2368,138401.0,0.0,1.0,0.16,0.25,0.16,0.2368,138401.0
2020-07-06,0.2799,0.3602,0.24,0.244,122766.0,0.0,1.0,0.2799,0.3602,0.24,0.244,122766.0
2020-07-07,0.25,0.26,0.2,0.2211,144613.0,0.0,1.0,0.25,0.26,0.2,0.2211,144613.0
2020-07-08,0.2,0.25,0.19,0.2,152054.0,0.0,1.0,0.2,0.25,0.19,0.2,152054.0
