Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.17,1.22,1.11,1.19,136232.0,0.0,1.0,1.17,1.22,1.11,1.19,136232.0
2020-01-03,1.19,1.19,1.15,1.17,51476.0,0.0,1.0,1.19,1.19,1.15,1.17,51476.0
2020-01-06,1.18,1.23,1.1732,1.22,101599.0,0.0,1.0,1.18,1.23,1.1732,1.22,101599.0
2020-01-07,1.22,1.27,1.1901,1.22,68073.0,0.0,1.0,1.22,1.27,1.1901,1.22,68073.0
2020-01-08,1.22,1.29,1.21,1.25,70982.0,0.0,1.0,1.22,1.29,1.21,1.25,70982.0
2020-01-09,1.27,1.3203,1.2201,1.25,133505.0,0.0,1.0,1.27,1.3203,1.2201,1.25,133505.0
2020-01-10,1.23,1.2679,1.195,1.2,95941.0,0.0,1.0,1.23,1.2679,1.195,1.2,95941.0
2020-01-13,1.18,1.23,1.16,1.185,140064.0,0.0,1.0,1.18,1.23,1.16,1.185,140064.0
2020-01-14,1.07,1.15,1.04,1.08,437094.0,0.0,1.0,1.07,1.15,1.04,1.08,437094.0
2020-01-15,1.06,1.078,1.05,1.05,218672.0,0.0,1.0,1.06,1.078,1.05,1.05,218672.0
2020-01-16,1.08,1.09,1.03,1.07,159280.0,0.0,1.0,1.08,1.09,1.03,1.07,159280.0
2020-01-17,1.07,1.19,1.07,1.14,132800.0,0.0,1.0,1.07,1.19,1.07,1.14,132800.0
2020-01-21,1.14,1.26,1.1385,1.21,273080.0,0.0,1.0,1.14,1.26,1.1385,1.21,273080.0
2020-01-22,1.21,1.2104,1.12,1.12,134876.0,0.0,1.0,1.21,1.2104,1.12,1.12,134876.0
2020-01-23,1.14,1.14,1.02,1.07,203209.0,0.0,1.0,1.14,1.14,1.02,1.07,203209.0
2020-01-24,1.05,1.1296,1.0,1.0,188505.0,0.0,1.0,1.05,1.1296,1.0,1.0,188505.0
2020-01-27,0.95,1.0,0.8669,0.876,549059.0,0.0,1.0,0.95,1.0,0.8669,0.876,549059.0
2020-01-28,0.906,0.9299,0.83,0.8667,369731.0,0.0,1.0,0.906,0.9299,0.83,0.8667,369731.0
2020-01-29,0.675,0.68,0.63,0.6329,4371891.0,0.0,1.0,0.675,0.68,0.63,0.6329,4371891.0
2020-01-30,0.64,0.649,0.6032,0.6139,954017.0,0.0,1.0,0.64,0.649,0.6032,0.6139,954017.0
2020-01-31,0.6,0.6135,0.59,0.61,453128.0,0.0,1.0,0.6,0.6135,0.59,0.61,453128.0
2020-02-03,0.62,0.645,0.6002,0.625,510158.0,0.0,1.0,0.62,0.645,0.6002,0.625,510158.0
2020-02-04,0.628,0.634754,0.5975,0.6095,563731.0,0.0,1.0,0.628,0.634754,0.5975,0.6095,563731.0
2020-02-05,0.6147,0.6289,0.6,0.607,396681.0,0.0,1.0,0.6147,0.6289,0.6,0.607,396681.0
2020-02-06,0.617,0.617,0.6,0.61,183803.0,0.0,1.0,0.617,0.617,0.6,0.61,183803.0
2020-02-07,0.61,0.6213,0.6,0.6,343557.0,0.0,1.0,0.61,0.6213,0.6,0.6,343557.0
2020-02-10,0.63,0.63,0.6019,0.6285,235187.0,0.0,1.0,0.63,0.63,0.6019,0.6285,235187.0
2020-02-11,0.6191,0.645,0.61,0.6397,421820.0,0.0,1.0,0.6191,0.645,0.61,0.6397,421820.0
2020-02-12,0.6495,0.69,0.63,0.636,507402.0,0.0,1.0,0.6495,0.69,0.63,0.636,507402.0
2020-02-13,0.655,0.6568,0.6,0.61,462594.0,0.0,1.0,0.655,0.6568,0.6,0.61,462594.0
2020-02-14,0.61,0.63,0.61,0.619,120105.0,0.0,1.0,0.61,0.63,0.61,0.619,120105.0
2020-02-18,0.6126,0.6295,0.6,0.613012,267551.0,0.0,1.0,0.6126,0.6295,0.6,0.613012,267551.0
2020-02-19,0.6196,0.66,0.61,0.652,203440.0,0.0,1.0,0.6196,0.66,0.61,0.652,203440.0
2020-02-20,0.655,0.655,0.6177,0.6399,199544.0,0.0,1.0,0.655,0.655,0.6177,0.6399,199544.0
2020-02-21,0.64,0.6721,0.6384,0.67,277520.0,0.0,1.0,0.64,0.6721,0.6384,0.67,277520.0
2020-02-24,0.65,0.68,0.621,0.6465,217908.0,0.0,1.0,0.65,0.68,0.621,0.6465,217908.0
2020-02-25,0.6408,0.65,0.6,0.6038,383810.0,0.0,1.0,0.6408,0.65,0.6,0.6038,383810.0
