Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.8101,0.83,0.8101,0.815,42599.0,0.0,1.0,0.8101,0.83,0.8101,0.815,42599.0
2020-01-03,0.83,0.83,0.78,0.8,78940.0,0.0,1.0,0.83,0.83,0.78,0.8,78940.0
2020-01-06,0.8087,0.8199,0.79,0.8,64981.0,0.0,1.0,0.8087,0.8199,0.79,0.8,64981.0
2020-01-07,0.83,0.8389,0.7505,0.78,202196.0,0.0,1.0,0.83,0.8389,0.7505,0.78,202196.0
2020-01-08,0.7906,0.8,0.755001,0.8,59247.0,0.0,1.0,0.7906,0.8,0.755001,0.8,59247.0
2020-01-09,0.798,0.8578,0.7851,0.8246,81868.0,0.0,1.0,0.798,0.8578,0.7851,0.8246,81868.0
2020-01-10,0.8569,0.87,0.8023,0.85,113021.0,0.0,1.0,0.8569,0.87,0.8023,0.85,113021.0
2020-01-13,0.8518,0.8518,0.8311,0.843148,53612.0,0.0,1.0,0.8518,0.8518,0.8311,0.843148,53612.0
2020-01-14,0.836,0.836,0.7901,0.7901,121009.0,0.0,1.0,0.836,0.836,0.7901,0.7901,121009.0
2020-01-15,0.811,0.8194,0.7884,0.79,32257.0,0.0,1.0,0.811,0.8194,0.7884,0.79,32257.0
2020-01-16,0.79,0.844899,0.79,0.824,184727.0,0.0,1.0,0.79,0.844899,0.79,0.824,184727.0
2020-01-17,0.8217,0.83,0.785,0.8047,165471.0,0.0,1.0,0.8217,0.83,0.785,0.8047,165471.0
2020-01-21,0.808,0.8448,0.785,0.8,149043.0,0.0,1.0,0.808,0.8448,0.785,0.8,149043.0
2020-01-22,0.8072,0.8294,0.79,0.80395,73129.0,0.0,1.0,0.8072,0.8294,0.79,0.80395,73129.0
2020-01-23,0.785,0.8228,0.778599,0.785,147349.0,0.0,1.0,0.785,0.8228,0.778599,0.785,147349.0
2020-01-24,0.81,0.83,0.78,0.81,221886.0,0.0,1.0,0.81,0.83,0.78,0.81,221886.0
2020-01-27,0.795,0.8197,0.76,0.7699,81831.0,0.0,1.0,0.795,0.8197,0.76,0.7699,81831.0
2020-01-28,0.79,0.792309,0.7609,0.7921,16174.0,0.0,1.0,0.79,0.792309,0.7609,0.7921,16174.0
2020-01-29,0.783,0.8299,0.7801,0.7837,82674.0,0.0,1.0,0.783,0.8299,0.7801,0.7837,82674.0
2020-01-30,0.82,0.8268,0.77,0.785,112714.0,0.0,1.0,0.82,0.8268,0.77,0.785,112714.0
2020-01-31,0.775,0.8,0.7622,0.7783,135861.0,0.0,1.0,0.775,0.8,0.7622,0.7783,135861.0
2020-02-03,0.7603,0.8,0.76,0.7621,51690.0,0.0,1.0,0.7603,0.8,0.76,0.7621,51690.0
2020-02-04,0.77,0.8,0.77,0.7826,13710.0,0.0,1.0,0.77,0.8,0.77,0.7826,13710.0
2020-02-05,0.7801,0.8004,0.7796,0.78515,113949.0,0.0,1.0,0.7801,0.8004,0.7796,0.78515,113949.0
2020-02-06,0.79,0.7955,0.76,0.7687,28885.0,0.0,1.0,0.79,0.7955,0.76,0.7687,28885.0
2020-02-07,0.7861,0.791181,0.7109,0.751,58358.0,0.0,1.0,0.7861,0.791181,0.7109,0.751,58358.0
2020-02-10,0.7486,0.7877,0.736,0.786,33322.0,0.0,1.0,0.7486,0.7877,0.736,0.786,33322.0
2020-02-11,0.787,0.787,0.751,0.775,22737.0,0.0,1.0,0.787,0.787,0.751,0.775,22737.0
2020-02-12,0.765,0.83,0.765,0.82,343429.0,0.0,1.0,0.765,0.83,0.765,0.82,343429.0
2020-02-13,0.82,0.8561,0.8002,0.8501,160373.0,0.0,1.0,0.82,0.8561,0.8002,0.8501,160373.0
2020-02-14,0.8429,0.8498,0.7824,0.84,84331.0,0.0,1.0,0.8429,0.8498,0.7824,0.84,84331.0
2020-02-18,0.83,0.8343,0.8103,0.8329,85179.0,0.0,1.0,0.83,0.8343,0.8103,0.8329,85179.0
2020-02-19,0.8302,0.8699,0.8202,0.8334,156692.0,0.0,1.0,0.8302,0.8699,0.8202,0.8334,156692.0
2020-02-20,0.85,0.92,0.8117,0.8699,187833.0,0.0,1.0,0.85,0.92,0.8117,0.8699,187833.0
2020-02-21,0.87,0.95,0.85,0.95,225879.0,0.0,1.0,0.87,0.95,0.85,0.95,225879.0
2020-02-24,0.98,0.98,0.8801,0.94,71918.0,0.0,1.0,0.98,0.98,0.8801,0.94,71918.0
2020-02-25,0.9336,0.94,0.8912,0.94,91833.0,0.0,1.0,0.9336,0.94,0.8912,0.94,91833.0
2020-02-26,0.95,0.95,0.85,0.8898,83826.0,0.0,1.0,0.95,0.95,0.85,0.8898,83826.0
