Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.94,1.99,1.94,1.9614,6987.0,0.0,1.0,1.94,1.99,1.94,1.9614,6987.0
2020-01-03,2.0,2.0,1.93,1.94,5895.0,0.0,1.0,2.0,2.0,1.93,1.94,5895.0
2020-01-06,1.94,1.95,1.895,1.9,20763.0,0.0,1.0,1.94,1.95,1.895,1.9,20763.0
2020-01-07,1.93,1.93,1.83,1.87,25344.0,0.0,1.0,1.93,1.93,1.83,1.87,25344.0
2020-01-08,1.89,1.89,1.82,1.83,17339.0,0.0,1.0,1.89,1.89,1.82,1.83,17339.0
2020-01-09,1.8399,1.9299,1.8375,1.85,31145.0,0.0,1.0,1.8399,1.9299,1.8375,1.85,31145.0
2020-01-10,1.84,1.85,1.83,1.85,11157.0,0.0,1.0,1.84,1.85,1.83,1.85,11157.0
2020-01-13,1.82,1.9,1.82,1.87,9978.0,0.0,1.0,1.82,1.9,1.82,1.87,9978.0
2020-01-14,1.8339,1.8392,1.794,1.8,25846.0,0.0,1.0,1.8339,1.8392,1.794,1.8,25846.0
2020-01-15,1.815,1.9598,1.79,1.9,155185.0,0.0,1.0,1.815,1.9598,1.79,1.9,155185.0
2020-01-16,1.98,2.01,1.9002,1.97,75242.0,0.0,1.0,1.98,2.01,1.9002,1.97,75242.0
2020-01-17,2.03,2.03,1.87,1.92,20611.0,0.0,1.0,2.03,2.03,1.87,1.92,20611.0
2020-01-21,1.95,1.95,1.92,1.95,10758.0,0.0,1.0,1.95,1.95,1.92,1.95,10758.0
2020-01-22,1.98,1.98,1.8693,1.93,11294.0,0.0,1.0,1.98,1.98,1.8693,1.93,11294.0
2020-01-23,1.8801,1.94,1.8801,1.92,2666.0,0.0,1.0,1.8801,1.94,1.8801,1.92,2666.0
2020-01-24,1.9,1.9,1.83,1.84,15479.0,0.0,1.0,1.9,1.9,1.83,1.84,15479.0
2020-01-27,1.8595,1.9,1.83,1.86,8744.0,0.0,1.0,1.8595,1.9,1.83,1.86,8744.0
2020-01-28,1.86,1.91,1.85,1.87,6279.0,0.0,1.0,1.86,1.91,1.85,1.87,6279.0
