Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.37,2.4,2.22,2.28,1497951.0,0.0,1.0,2.37,2.4,2.22,2.28,1497951.0
2020-01-03,2.33,2.37,2.15,2.21,1863860.0,0.0,1.0,2.33,2.37,2.15,2.21,1863860.0
2020-01-06,2.24,2.26,2.0537,2.13,2881383.0,0.0,1.0,2.24,2.26,2.0537,2.13,2881383.0
2020-01-07,2.08,2.22,2.0701,2.16,1020890.0,0.0,1.0,2.08,2.22,2.0701,2.16,1020890.0
2020-01-08,2.13,2.165,2.02,2.13,2202704.0,0.0,1.0,2.13,2.165,2.02,2.13,2202704.0
2020-01-09,2.09,2.1,1.96,1.97,1482438.0,0.0,1.0,2.09,2.1,1.96,1.97,1482438.0
2020-01-10,2.05,2.09,1.97,1.97,1481930.0,0.0,1.0,2.05,2.09,1.97,1.97,1481930.0
2020-01-13,1.96,1.98,1.82,1.82,1980427.0,0.0,1.0,1.96,1.98,1.82,1.82,1980427.0
2020-01-14,1.81,1.98,1.8,1.89,1658729.0,0.0,1.0,1.81,1.98,1.8,1.89,1658729.0
2020-01-15,1.91,1.955,1.8736,1.93,1592888.0,0.0,1.0,1.91,1.955,1.8736,1.93,1592888.0
2020-01-16,1.92,1.97,1.87,1.92,1059816.0,0.0,1.0,1.92,1.97,1.87,1.92,1059816.0
2020-01-17,1.93,1.95,1.84,1.85,1540592.0,0.0,1.0,1.93,1.95,1.84,1.85,1540592.0
2020-01-21,1.8,1.87,1.77,1.84,944639.0,0.0,1.0,1.8,1.87,1.77,1.84,944639.0
2020-01-22,1.84,1.89,1.82,1.87,799034.0,0.0,1.0,1.84,1.89,1.82,1.87,799034.0
2020-01-23,1.85,1.9,1.805,1.81,1284960.0,0.0,1.0,1.85,1.9,1.805,1.81,1284960.0
2020-01-24,1.81,1.9,1.78,1.85,1567797.0,0.0,1.0,1.81,1.9,1.78,1.85,1567797.0
2020-01-27,1.88,1.897,1.75,1.78,1123858.0,0.0,1.0,1.88,1.897,1.75,1.78,1123858.0
2020-01-28,1.74,1.79,1.69,1.75,1082900.0,0.0,1.0,1.74,1.79,1.69,1.75,1082900.0
2020-01-29,1.71,1.78,1.68,1.72,1366321.0,0.0,1.0,1.71,1.78,1.68,1.72,1366321.0
2020-01-30,1.76,1.825,1.74,1.78,970208.0,0.0,1.0,1.76,1.825,1.74,1.78,970208.0
2020-01-31,1.78,1.8177,1.75,1.78,743204.0,0.0,1.0,1.78,1.8177,1.75,1.78,743204.0
2020-02-03,1.77,1.79,1.7,1.76,573636.0,0.0,1.0,1.77,1.79,1.7,1.76,573636.0
2020-02-04,1.72,1.765,1.65,1.71,864011.0,0.0,1.0,1.72,1.765,1.65,1.71,864011.0
2020-02-05,1.71,1.785,1.67,1.74,547039.0,0.0,1.0,1.71,1.785,1.67,1.74,547039.0
2020-02-06,1.79,1.81,1.73,1.73,709934.0,0.0,1.0,1.79,1.81,1.73,1.73,709934.0
2020-02-07,1.75,1.78,1.675,1.7,945620.0,0.0,1.0,1.75,1.78,1.675,1.7,945620.0
2020-02-10,1.73,1.76,1.69,1.75,707169.0,0.0,1.0,1.73,1.76,1.69,1.75,707169.0
2020-02-11,1.75,1.75,1.69,1.74,432125.0,0.0,1.0,1.75,1.75,1.69,1.74,432125.0
2020-02-12,1.71,1.78,1.7059,1.74,501761.0,0.0,1.0,1.71,1.78,1.7059,1.74,501761.0
2020-02-13,1.76,1.81,1.75,1.77,671969.0,0.0,1.0,1.76,1.81,1.75,1.77,671969.0
2020-02-14,1.77,1.8,1.7265,1.75,580506.0,0.0,1.0,1.77,1.8,1.7265,1.75,580506.0
2020-02-18,1.76,1.94,1.76,1.87,2527516.0,0.0,1.0,1.76,1.94,1.76,1.87,2527516.0
2020-02-19,1.98,2.04,1.9,2.04,1824983.0,0.0,1.0,1.98,2.04,1.9,2.04,1824983.0
2020-02-20,2.02,2.13,2.02,2.05,1514826.0,0.0,1.0,2.02,2.13,2.02,2.05,1514826.0
2020-02-21,2.11,2.2,2.08,2.19,2404522.0,0.0,1.0,2.11,2.2,2.08,2.19,2404522.0
2020-02-24,2.23,2.295,1.99,2.13,3908618.0,0.0,1.0,2.23,2.295,1.99,2.13,3908618.0
2020-02-25,2.07,2.11,1.9,1.97,2423896.0,0.0,1.0,2.07,2.11,1.9,1.97,2423896.0
2020-02-26,1.94,1.96,1.88,1.88,1340653.0,0.0,1.0,1.94,1.96,1.88,1.88,1340653.0
2020-02-27,1.88,1.91,1.65,1.66,3002492.0,0.0,1.0,1.88,1.91,1.65,1.66,3002492.0
2020-02-28,1.43,1.5,1.23,1.49,4480139.0,0.0,1.0,1.43,1.5,1.23,1.49,4480139.0
2020-03-02,1.54,1.57,1.42,1.54,1652896.0,0.0,1.0,1.54,1.57,1.42,1.54,1652896.0
2020-03-03,1.56,1.71,1.53,1.57,2396066.0,0.0,1.0,1.56,1.71,1.53,1.57,2396066.0
2020-03-04,1.6,1.62,1.51,1.58,1052519.0,0.0,1.0,1.6,1.62,1.51,1.58,1052519.0
2020-03-05,1.63,1.76,1.57,1.75,2059992.0,0.0,1.0,1.63,1.76,1.57,1.75,2059992.0
2020-03-06,1.73,1.8,1.57,1.62,1451666.0,0.0,1.0,1.73,1.8,1.57,1.62,1451666.0
2020-03-09,1.51,1.52,1.4,1.43,1399506.0,0.0,1.0,1.51,1.52,1.4,1.43,1399506.0
2020-03-10,1.45,1.5,1.32,1.44,1185005.0,0.0,1.0,1.45,1.5,1.32,1.44,1185005.0
2020-03-11,1.45,1.45,1.25,1.27,1394466.0,0.0,1.0,1.45,1.45,1.25,1.27,1394466.0
2020-03-12,0.95,1.1399,0.9,0.9547,2374132.0,0.0,1.0,0.95,1.1399,0.9,0.9547,2374132.0
2020-03-13,1.09,1.1,0.86,0.9209,1850579.0,0.0,1.0,1.09,1.1,0.86,0.9209,1850579.0
2020-03-16,0.75,1.06,0.7241,0.9769,2855289.0,0.0,1.0,0.75,1.06,0.7241,0.9769,2855289.0
2020-03-17,1.0,1.27,0.99,1.25,2124317.0,0.0,1.0,1.0,1.27,0.99,1.25,2124317.0
2020-03-18,1.18,1.24,1.052,1.17,2262680.0,0.0,1.0,1.18,1.24,1.052,1.17,2262680.0
2020-03-19,1.06,1.27,1.04,1.26,2147699.0,0.0,1.0,1.06,1.27,1.04,1.26,2147699.0
2020-03-20,1.3,1.62,1.19,1.47,11316718.0,0.0,1.0,1.3,1.62,1.19,1.47,11316718.0
2020-03-23,1.36,1.44,1.25,1.38,1889111.0,0.0,1.0,1.36,1.44,1.25,1.38,1889111.0
2020-03-24,1.54,1.58,1.39,1.44,1781165.0,0.0,1.0,1.54,1.58,1.39,1.44,1781165.0
2020-03-25,1.31,1.6,1.24,1.51,4041150.0,0.0,1.0,1.31,1.6,1.24,1.51,4041150.0
2020-03-26,1.5,1.6,1.37,1.435,1262606.0,0.0,1.0,1.5,1.6,1.37,1.435,1262606.0
2020-03-27,1.4,1.4,1.2,1.28,1306277.0,0.0,1.0,1.4,1.4,1.2,1.28,1306277.0
2020-03-30,1.17,1.29,1.17,1.23,993370.0,0.0,1.0,1.17,1.29,1.17,1.23,993370.0
2020-03-31,1.24,1.31,1.18,1.22,592846.0,0.0,1.0,1.24,1.31,1.18,1.22,592846.0
2020-04-01,1.19,1.24,1.14,1.165,676661.0,0.0,1.0,1.19,1.24,1.14,1.165,676661.0
2020-04-02,1.2,1.3,1.2,1.25,1192956.0,0.0,1.0,1.2,1.3,1.2,1.25,1192956.0
2020-04-03,1.3,1.3127,1.19,1.22,504198.0,0.0,1.0,1.3,1.3127,1.19,1.22,504198.0
2020-04-06,1.25,1.37,1.24,1.34,1385548.0,0.0,1.0,1.25,1.37,1.24,1.34,1385548.0
2020-04-07,1.36,1.43,1.28,1.32,1370837.0,0.0,1.0,1.36,1.43,1.28,1.32,1370837.0
2020-04-08,1.32,1.36,1.24,1.24,965873.0,0.0,1.0,1.32,1.36,1.24,1.24,965873.0
2020-04-09,1.33,1.42,1.31,1.41,1661553.0,0.0,1.0,1.33,1.42,1.31,1.41,1661553.0
2020-04-13,1.46,1.62,1.35,1.62,1561875.0,0.0,1.0,1.46,1.62,1.35,1.62,1561875.0
2020-04-14,1.68,1.805,1.525,1.6,2293520.0,0.0,1.0,1.68,1.805,1.525,1.6,2293520.0
2020-04-15,1.5,1.62,1.49,1.5,1122832.0,0.0,1.0,1.5,1.62,1.49,1.5,1122832.0
2020-04-16,1.5,1.55,1.4,1.47,1321424.0,0.0,1.0,1.5,1.55,1.4,1.47,1321424.0
2020-04-17,1.36,1.47,1.36,1.42,765620.0,0.0,1.0,1.36,1.47,1.36,1.42,765620.0
2020-04-20,1.41,1.52,1.39,1.47,1009682.0,0.0,1.0,1.41,1.52,1.39,1.47,1009682.0
2020-04-21,1.4,1.46,1.37,1.43,863613.0,0.0,1.0,1.4,1.46,1.37,1.43,863613.0
2020-04-22,1.48,1.55,1.44,1.53,1127341.0,0.0,1.0,1.48,1.55,1.44,1.53,1127341.0
2020-04-23,1.58,1.7,1.49,1.54,1794258.0,0.0,1.0,1.58,1.7,1.49,1.54,1794258.0
2020-04-24,1.54,1.56,1.41,1.5,1500708.0,0.0,1.0,1.54,1.56,1.41,1.5,1500708.0
2020-04-27,1.51,1.56,1.46,1.54,1033352.0,0.0,1.0,1.51,1.56,1.46,1.54,1033352.0
2020-04-28,1.6,1.62,1.51,1.61,818521.0,0.0,1.0,1.6,1.62,1.51,1.61,818521.0
2020-04-29,1.65,1.72,1.59,1.71,2150522.0,0.0,1.0,1.65,1.72,1.59,1.71,2150522.0
2020-04-30,1.71,1.71,1.57,1.62,1184512.0,0.0,1.0,1.71,1.71,1.57,1.62,1184512.0
2020-05-01,1.57,1.66,1.525,1.64,885618.0,0.0,1.0,1.57,1.66,1.525,1.64,885618.0
