Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,6.52,6.56,6.45,6.52,5348948.0,0.0,1.0,6.52,6.56,6.45,6.52,5348948.0
2020-01-03,6.39,6.55,6.39,6.46,3658228.0,0.0,1.0,6.39,6.55,6.39,6.46,3658228.0
2020-01-06,6.4,6.74,6.4,6.68,7882607.0,0.0,1.0,6.4,6.74,6.4,6.68,7882607.0
2020-01-07,6.76,6.83,6.6,6.66,6363838.0,0.0,1.0,6.76,6.83,6.6,6.66,6363838.0
2020-01-08,6.64,6.7,6.58,6.66,4983760.0,0.0,1.0,6.64,6.7,6.58,6.66,4983760.0
2020-01-09,6.7,6.73,6.6,6.64,3262834.0,0.0,1.0,6.7,6.73,6.6,6.64,3262834.0
2020-01-10,6.66,6.66,6.51,6.56,3390288.0,0.0,1.0,6.66,6.66,6.51,6.56,3390288.0
2020-01-13,6.59,6.67,6.51,6.67,3292913.0,0.0,1.0,6.59,6.67,6.51,6.67,3292913.0
2020-01-14,6.68,6.73,6.61,6.64,3558754.0,0.0,1.0,6.68,6.73,6.61,6.64,3558754.0
2020-01-15,6.64,6.81,6.62,6.73,4618161.0,0.0,1.0,6.64,6.81,6.62,6.73,4618161.0
2020-01-16,6.79,6.89,6.785,6.82,5090502.0,0.0,1.0,6.79,6.89,6.785,6.82,5090502.0
2020-01-17,6.85,6.87,6.69,6.73,3968047.0,0.0,1.0,6.85,6.87,6.69,6.73,3968047.0
2020-01-21,6.69,6.7,6.58,6.58,3226287.0,0.0,1.0,6.69,6.7,6.58,6.58,3226287.0
2020-01-22,6.58,6.7,6.58,6.63,2538740.0,0.0,1.0,6.58,6.7,6.58,6.63,2538740.0
2020-01-23,6.6,6.67,6.52,6.66,2659844.0,0.0,1.0,6.6,6.67,6.52,6.66,2659844.0
2020-01-24,6.71,6.76,6.55,6.59,3274817.0,0.0,1.0,6.71,6.76,6.55,6.59,3274817.0
2020-01-27,6.3998,6.4,6.12,6.26,7269567.0,0.0,1.0,6.3998,6.4,6.12,6.26,7269567.0
2020-01-28,6.31,6.43,6.2902,6.41,2408524.0,0.0,1.0,6.31,6.43,6.2902,6.41,2408524.0
2020-01-29,6.46,6.47,6.335,6.34,1906674.0,0.0,1.0,6.46,6.47,6.335,6.34,1906674.0
2020-01-30,6.26,6.32,6.16,6.24,3409735.0,0.0,1.0,6.26,6.32,6.16,6.24,3409735.0
2020-01-31,6.21,6.255,6.06,6.1,3795315.0,0.0,1.0,6.21,6.255,6.06,6.1,3795315.0
2020-02-03,6.13,6.2299,6.09,6.21,3790564.0,0.0,1.0,6.13,6.2299,6.09,6.21,3790564.0
2020-02-04,6.33,6.36,6.14,6.15,7153513.0,0.0,1.0,6.33,6.36,6.14,6.15,7153513.0
2020-02-05,6.19,6.3,6.17,6.2,5955706.0,0.0,1.0,6.19,6.3,6.17,6.2,5955706.0
2020-02-06,6.22,6.23,6.13,6.13,3650377.0,0.0,1.0,6.22,6.23,6.13,6.13,3650377.0
2020-02-07,6.1,6.15,6.02,6.02,4751846.0,0.0,1.0,6.1,6.15,6.02,6.02,4751846.0
2020-02-10,6.01,6.11,5.955,6.05,3860264.0,0.0,1.0,6.01,6.11,5.955,6.05,3860264.0
2020-02-11,6.1,6.21,6.06,6.19,6142391.0,0.0,1.0,6.1,6.21,6.06,6.19,6142391.0
2020-02-12,6.25,6.28,6.07,6.07,4633728.0,0.0,1.0,6.25,6.28,6.07,6.07,4633728.0
2020-02-13,6.04,6.05,5.95,6.0,3319049.0,0.0,1.0,6.04,6.05,5.95,6.0,3319049.0
2020-02-14,5.99,6.01,5.79,5.83,5092062.0,0.0,1.0,5.99,6.01,5.79,5.83,5092062.0
2020-02-18,5.86,6.24,5.84,6.09,13146545.0,0.0,1.0,5.86,6.24,5.84,6.09,13146545.0
2020-02-19,6.17,6.24,6.09,6.15,6264568.0,0.0,1.0,6.17,6.24,6.09,6.15,6264568.0
2020-02-20,6.15,6.23,6.06,6.16,4414264.0,0.0,1.0,6.15,6.23,6.06,6.16,4414264.0
2020-02-21,6.16,6.16,5.97,6.01,3269765.0,0.0,1.0,6.16,6.16,5.97,6.01,3269765.0
2020-02-24,5.72,5.78,5.65,5.76,5538550.0,0.0,1.0,5.72,5.78,5.65,5.76,5538550.0
2020-02-25,5.84,5.85,5.43,5.5,9073835.0,0.0,1.0,5.84,5.85,5.43,5.5,9073835.0
