Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-12-17,2.65,3.0998,2.45,3.0601,358435.0,0.0,1.0,2.65,3.0998,2.45,3.0601,358435.0
2020-12-18,3.05,3.0617,2.5101,2.92,415778.0,0.0,1.0,3.05,3.0617,2.5101,2.92,415778.0
2020-12-21,2.79,3.1,2.5,2.77,262596.0,0.0,1.0,2.79,3.1,2.5,2.77,262596.0
2020-12-22,2.8,2.8,2.26,2.44,397620.0,0.0,1.0,2.8,2.8,2.26,2.44,397620.0
2020-12-23,2.52,2.65,2.3,2.4,306887.0,0.0,1.0,2.52,2.65,2.3,2.4,306887.0
2020-12-24,2.4,2.54,2.4,2.5,220017.0,0.0,1.0,2.4,2.54,2.4,2.5,220017.0
2020-12-28,2.4,2.61,2.3,2.4,441104.0,0.0,1.0,2.4,2.61,2.3,2.4,441104.0
2020-12-29,2.4,2.88,2.05,2.63,563192.0,0.0,1.0,2.4,2.88,2.05,2.63,563192.0
2020-12-30,2.8,2.8,2.2,2.3,330081.0,0.0,1.0,2.8,2.8,2.2,2.3,330081.0
2020-12-31,2.34,2.43,2.11,2.2,518858.0,0.0,1.0,2.34,2.43,2.11,2.2,518858.0
