Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-10-09,1.1,1.45,1.1,1.35,22497.0,0.0,1.0,1.1,1.45,1.1,1.35,22497.0
2020-10-12,1.45,1.5,1.29,1.3,60638.0,0.0,1.0,1.45,1.5,1.29,1.3,60638.0
2020-10-13,1.34,1.34,1.34,1.34,789.0,0.0,1.0,1.34,1.34,1.34,1.34,789.0
2020-10-14,1.32,1.32,1.25,1.2781,3900.0,0.0,1.0,1.32,1.32,1.25,1.2781,3900.0
2020-10-15,1.29,1.29,1.185,1.2,50627.0,0.0,1.0,1.29,1.29,1.185,1.2,50627.0
2020-10-16,1.23,1.23,1.15,1.15,62316.0,0.0,1.0,1.23,1.23,1.15,1.15,62316.0
2020-10-19,1.25,1.25,1.15,1.2,104905.0,0.0,1.0,1.25,1.25,1.15,1.2,104905.0
2020-10-20,1.175,1.325,1.1702,1.3,67046.0,0.0,1.0,1.175,1.325,1.1702,1.3,67046.0
2020-10-21,1.2,1.21,1.15,1.1599,37538.0,0.0,1.0,1.2,1.21,1.15,1.1599,37538.0
2020-10-22,1.15,1.15,1.1,1.15,182380.0,0.0,1.0,1.15,1.15,1.1,1.15,182380.0
2020-10-23,1.2,1.2,1.1499,1.15,57673.0,0.0,1.0,1.2,1.2,1.1499,1.15,57673.0
2020-10-26,1.15,1.25,1.0,1.2,699240.0,0.0,1.0,1.15,1.25,1.0,1.2,699240.0
2020-10-27,1.1001,1.1001,1.0,1.06,31731.0,0.0,1.0,1.1001,1.1001,1.0,1.06,31731.0
2020-10-28,1.06,1.07,1.0598,1.0598,3210.0,0.0,1.0,1.06,1.07,1.0598,1.0598,3210.0
2020-10-29,1.02,1.08,1.02,1.07,18100.0,0.0,1.0,1.02,1.08,1.02,1.07,18100.0
2020-10-30,1.03,1.03,1.01,1.03,65006.0,0.0,1.0,1.03,1.03,1.01,1.03,65006.0
2020-11-02,1.01,1.02,1.01,1.02,5363.0,0.0,1.0,1.01,1.02,1.01,1.02,5363.0
2020-11-03,1.06,1.1,0.99,1.0,26918.0,0.0,1.0,1.06,1.1,0.99,1.0,26918.0
2020-11-04,1.01,1.01,0.99,1.01,321171.0,0.0,1.0,1.01,1.01,0.99,1.01,321171.0
2020-11-05,1.01,1.01,0.9168,1.01,96880.0,0.0,1.0,1.01,1.01,0.9168,1.01,96880.0
2020-11-06,1.01,1.65,0.96,1.65,2977933.0,0.0,1.0,1.01,1.65,0.96,1.65,2977933.0
2020-11-09,1.6,1.75,1.51,1.58,258694.0,0.0,1.0,1.6,1.75,1.51,1.58,258694.0
2020-11-10,1.6,1.625,1.44,1.5,65308.0,0.0,1.0,1.6,1.625,1.44,1.5,65308.0
2020-11-11,1.46,1.55,1.45,1.45,13875.0,0.0,1.0,1.46,1.55,1.45,1.45,13875.0
2020-11-12,1.55,1.55,1.28,1.49,220178.0,0.0,1.0,1.55,1.55,1.28,1.49,220178.0
2020-11-13,1.53,1.68,1.42,1.59,381592.0,0.0,1.0,1.53,1.68,1.42,1.59,381592.0
2020-11-16,1.57,1.62,1.51,1.595,78128.0,0.0,1.0,1.57,1.62,1.51,1.595,78128.0
2020-11-17,1.75,1.75,1.51,1.6,63305.0,0.0,1.0,1.75,1.75,1.51,1.6,63305.0
2020-11-18,1.6,1.74,1.585,1.69,44804.0,0.0,1.0,1.6,1.74,1.585,1.69,44804.0
2020-11-19,1.61,1.75,1.56,1.62,50997.0,0.0,1.0,1.61,1.75,1.56,1.62,50997.0
2020-11-20,1.66,1.84,1.57,1.57,66550.0,0.0,1.0,1.66,1.84,1.57,1.57,66550.0
2020-11-23,1.61,1.77,1.6,1.69,135729.0,0.0,1.0,1.61,1.77,1.6,1.69,135729.0
2020-11-24,1.69,1.91,1.6102,1.75,60594.0,0.0,1.0,1.69,1.91,1.6102,1.75,60594.0
2020-11-25,1.9,1.9,1.7158,1.75,55734.0,0.0,1.0,1.9,1.9,1.7158,1.75,55734.0
2020-11-27,2.09,2.1,1.85,1.85,107402.0,0.0,1.0,2.09,2.1,1.85,1.85,107402.0
2020-11-30,1.95,1.95,1.69,1.758,224876.0,0.0,1.0,1.95,1.95,1.69,1.758,224876.0
2020-12-01,1.8,1.88,1.64,1.8,137974.0,0.0,1.0,1.8,1.88,1.64,1.8,137974.0
2020-12-02,1.8,1.94,1.7485,1.88,149748.0,0.0,1.0,1.8,1.94,1.7485,1.88,149748.0
2020-12-03,2.0,2.0,1.82,1.84,192908.0,0.0,1.0,2.0,2.0,1.82,1.84,192908.0
2020-12-04,2.02,2.2,1.9,2.0,248673.0,0.0,1.0,2.02,2.2,1.9,2.0,248673.0
2020-12-07,2.35,2.75,2.24,2.38,13712626.0,0.0,1.0,2.35,2.75,2.24,2.38,13712626.0
2020-12-08,2.95,3.2,2.61,2.85,7984290.0,0.0,1.0,2.95,3.2,2.61,2.85,7984290.0
