Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,8.77,8.89,8.6438,8.87,20806.0,0.0,1.0,8.77,8.89,8.6438,8.87,20806.0
2020-01-03,8.78,8.91,8.6332,8.87,43453.0,0.0,1.0,8.78,8.91,8.6332,8.87,43453.0
2020-01-06,8.8,9.12,8.77,9.12,23943.0,0.0,1.0,8.8,9.12,8.77,9.12,23943.0
2020-01-07,8.95,9.1,8.7895,8.99,11539.0,0.0,1.0,8.95,9.1,8.7895,8.99,11539.0
2020-01-08,8.64,8.64,8.3,8.33,16291.0,0.0,1.0,8.64,8.64,8.3,8.33,16291.0
2020-01-09,8.3,8.36,8.15,8.2322,6292.0,0.0,1.0,8.3,8.36,8.15,8.2322,6292.0
2020-01-10,8.2,8.2,7.61,7.65,49763.0,0.0,1.0,8.2,8.2,7.61,7.65,49763.0
2020-01-13,7.78,8.0252,7.7309,7.7309,7235.0,0.0,1.0,7.78,8.0252,7.7309,7.7309,7235.0
2020-01-14,8.04,8.27,8.04,8.06,8308.0,0.0,1.0,8.04,8.27,8.04,8.06,8308.0
2020-01-15,8.29,8.29,8.0401,8.07,5736.0,0.0,1.0,8.29,8.29,8.0401,8.07,5736.0
2020-01-16,8.0696,8.0696,7.9,7.91,3603.0,0.0,1.0,8.0696,8.0696,7.9,7.91,3603.0
2020-01-17,7.95,7.95,7.73,7.74,5011.0,0.0,1.0,7.95,7.95,7.73,7.74,5011.0
2020-01-21,7.85,7.87,7.7,7.7028,6300.0,0.0,1.0,7.85,7.87,7.7,7.7028,6300.0
2020-01-22,7.4,7.45,7.25,7.41,5751.0,0.0,1.0,7.4,7.45,7.25,7.41,5751.0
2020-01-23,7.16,7.18,7.03,7.1,3779.0,0.0,1.0,7.16,7.18,7.03,7.1,3779.0
2020-01-24,7.21,7.21,6.9,6.9,16984.0,0.0,1.0,7.21,7.21,6.9,6.9,16984.0
2020-01-27,6.79,6.88,6.73,6.74,30184.0,0.0,1.0,6.79,6.88,6.73,6.74,30184.0
2020-01-28,6.48,6.48,6.32,6.38,24311.0,0.0,1.0,6.48,6.48,6.32,6.38,24311.0
2020-01-29,6.35,6.35,6.06,6.15,22135.0,0.0,1.0,6.35,6.35,6.06,6.15,22135.0
2020-01-30,5.67,5.72,5.4301,5.6648,80168.0,0.0,1.0,5.67,5.72,5.4301,5.6648,80168.0
2020-01-31,5.44,5.44,5.221,5.29,52277.0,0.0,1.0,5.44,5.44,5.221,5.29,52277.0
2020-02-03,5.08,5.1829,4.95,5.1,58279.0,0.0,1.0,5.08,5.1829,4.95,5.1,58279.0
2020-02-04,4.97,5.07,4.81,5.0451,59414.0,0.0,1.0,4.97,5.07,4.81,5.0451,59414.0
2020-02-05,4.9,4.99,4.8,4.96,58521.0,0.0,1.0,4.9,4.99,4.8,4.96,58521.0
2020-02-06,4.9,4.96,4.82,4.92,27411.0,0.0,1.0,4.9,4.96,4.82,4.92,27411.0
2020-02-07,4.65,4.75,4.587,4.7,73140.0,0.0,1.0,4.65,4.75,4.587,4.7,73140.0
2020-02-10,4.24,4.28,4.1201,4.19,71858.0,0.0,1.0,4.24,4.28,4.1201,4.19,71858.0
2020-02-11,4.31,4.31,4.171,4.18,31986.0,0.0,1.0,4.31,4.31,4.171,4.18,31986.0
2020-02-12,4.25,4.3,4.2101,4.2798,42026.0,0.0,1.0,4.25,4.3,4.2101,4.2798,42026.0
2020-02-13,4.28,4.28,4.13,4.18,40207.0,0.0,1.0,4.28,4.28,4.13,4.18,40207.0
2020-02-14,4.18,4.2321,4.14,4.1992,29993.0,0.0,1.0,4.18,4.2321,4.14,4.1992,29993.0
2020-02-18,4.04,4.04,3.755,3.9,106359.0,0.0,1.0,4.04,4.04,3.755,3.9,106359.0
2020-02-19,3.8,3.92,3.79,3.91,25680.0,0.0,1.0,3.8,3.92,3.79,3.91,25680.0
2020-02-20,3.82,3.8599,3.75,3.78,45369.0,0.0,1.0,3.82,3.8599,3.75,3.78,45369.0
2020-02-21,3.75,3.75,3.59,3.66,45427.0,0.0,1.0,3.75,3.75,3.59,3.66,45427.0
2020-02-24,3.08,3.125,2.99,3.02,167421.0,0.0,1.0,3.08,3.125,2.99,3.02,167421.0
2020-02-25,2.96,3.02,2.8285,2.87,180349.0,0.0,1.0,2.96,3.02,2.8285,2.87,180349.0
2020-02-26,2.78,2.8396,2.7025,2.763,67733.0,0.0,1.0,2.78,2.8396,2.7025,2.763,67733.0
2020-02-27,2.66,2.7689,2.53,2.679,79405.0,0.0,1.0,2.66,2.7689,2.53,2.679,79405.0
2020-02-28,1.93,2.5849,1.93,2.405,296917.0,0.0,1.0,1.93,2.5849,1.93,2.405,296917.0
2020-03-02,1.97,2.0,1.9,1.92,382879.0,0.0,1.0,1.97,2.0,1.9,1.92,382879.0
2020-03-03,1.86,1.89,1.7892,1.79,219472.0,0.0,1.0,1.86,1.89,1.7892,1.79,219472.0
2020-03-04,1.55,1.57,1.4845,1.52,282593.0,0.0,1.0,1.55,1.57,1.4845,1.52,282593.0
2020-03-05,1.46,1.46,1.32,1.4101,215477.0,0.0,1.0,1.46,1.46,1.32,1.4101,215477.0
2020-03-06,1.18,1.22,1.112,1.13,190458.0,0.0,1.0,1.18,1.22,1.112,1.13,190458.0
2020-03-09,1.09,1.09,0.79,0.8246,254882.0,0.0,1.0,1.09,1.09,0.79,0.8246,254882.0
2020-03-10,0.8776,0.8776,0.8102,0.85814,310653.0,0.0,1.0,0.8776,0.8776,0.8102,0.85814,310653.0
2020-03-11,0.8201,0.8364,0.7454,0.8364,125107.0,0.0,1.0,0.8201,0.8364,0.7454,0.8364,125107.0
2020-03-12,0.7779,0.7779,0.595,0.666,184499.0,0.0,1.0,0.7779,0.7779,0.595,0.666,184499.0
2020-03-13,0.6993,0.7021,0.5708,0.5921,150528.0,0.0,1.0,0.6993,0.7021,0.5708,0.5921,150528.0
2020-03-16,0.5448,0.5448,0.3559,0.41,487758.0,0.0,1.0,0.5448,0.5448,0.3559,0.41,487758.0
2020-03-17,0.3899,0.3899,0.28,0.28,609212.0,0.0,1.0,0.3899,0.3899,0.28,0.28,609212.0
2020-03-18,0.275,0.29,0.2426,0.2502,356912.0,0.0,1.0,0.275,0.29,0.2426,0.2502,356912.0
2020-03-19,0.4167,0.4202,0.26,0.3799,413767.0,0.0,1.0,0.4167,0.4202,0.26,0.3799,413767.0
2020-03-20,0.4102,0.52,0.38,0.4499,562148.0,0.0,1.0,0.4102,0.52,0.38,0.4499,562148.0
2020-03-23,0.46,0.58,0.4499,0.57,608992.0,0.0,1.0,0.46,0.58,0.4499,0.57,608992.0
2020-03-24,0.54,0.6,0.46,0.5039,759815.0,0.0,1.0,0.54,0.6,0.46,0.5039,759815.0
2020-03-25,0.4536,0.55,0.452,0.4857,634118.0,0.0,1.0,0.4536,0.55,0.452,0.4857,634118.0
2020-03-26,0.4865,1.093,0.466,0.75,1886554.0,0.0,1.0,0.4865,1.093,0.466,0.75,1886554.0
2020-03-27,0.6,0.6,0.4501,0.46,2140650.0,0.0,1.0,0.6,0.6,0.4501,0.46,2140650.0
2020-03-30,0.4917,0.5299,0.475,0.5001,964884.0,0.0,1.0,0.4917,0.5299,0.475,0.5001,964884.0
2020-03-31,0.5145,0.5198,0.48,0.4845,906553.0,0.0,1.0,0.5145,0.5198,0.48,0.4845,906553.0
2020-04-01,0.51,0.5166,0.46,0.48,506312.0,0.0,1.0,0.51,0.5166,0.46,0.48,506312.0
2020-04-02,0.5,0.57,0.48,0.48,639376.0,0.0,1.0,0.5,0.57,0.48,0.48,639376.0
2020-04-03,0.63,0.63,0.504,0.5759,1295234.0,0.0,1.0,0.63,0.63,0.504,0.5759,1295234.0
2020-04-06,0.7259,0.92,0.72,0.79,4270837.0,0.0,1.0,0.7259,0.92,0.72,0.79,4270837.0
2020-04-07,0.94,2.15,0.94,1.6,14543982.0,0.0,1.0,0.94,2.15,0.94,1.6,14543982.0
2020-04-08,1.52,1.55,1.25,1.42,2271892.0,0.0,1.0,1.52,1.55,1.25,1.42,2271892.0
2020-04-09,1.57,1.86,1.5,1.57,2517955.0,0.0,1.0,1.57,1.86,1.5,1.57,2517955.0
2020-04-13,1.72,1.72,1.41,1.51,886585.0,0.0,1.0,1.72,1.72,1.41,1.51,886585.0
2020-04-14,1.36,1.36,0.92,1.14,4351238.0,0.0,1.0,1.36,1.36,0.92,1.14,4351238.0
2020-04-15,0.99,0.99,0.82,0.89,2170563.0,0.0,1.0,0.99,0.99,0.82,0.89,2170563.0
2020-04-16,0.84,0.8699,0.71,0.7996,1127156.0,0.0,1.0,0.84,0.8699,0.71,0.7996,1127156.0
2020-04-17,0.7615,0.8,0.7,0.7541,1015425.0,0.0,1.0,0.7615,0.8,0.7,0.7541,1015425.0
2020-04-20,0.6041,0.7599,0.59,0.688,2117546.0,0.0,1.0,0.6041,0.7599,0.59,0.688,2117546.0
2020-04-21,0.6092,0.6367,0.56,0.6,1663768.0,0.0,1.0,0.6092,0.6367,0.56,0.6,1663768.0
2020-04-22,0.58,0.8348,0.5507,0.73,6888273.0,0.0,1.0,0.58,0.8348,0.5507,0.73,6888273.0
2020-04-23,0.6899,0.82,0.61,0.685,5069280.0,0.0,1.0,0.6899,0.82,0.61,0.685,5069280.0
2020-04-24,0.7799,0.8,0.69,0.7791,4470372.0,0.0,1.0,0.7799,0.8,0.69,0.7791,4470372.0
2020-04-27,0.72,0.7399,0.67,0.7099,2492451.0,0.0,1.0,0.72,0.7399,0.67,0.7099,2492451.0
2020-04-28,0.66,0.7133,0.65,0.6768,2540093.0,0.0,1.0,0.66,0.7133,0.65,0.6768,2540093.0
2020-04-29,0.72,0.73,0.6805,0.715,2834360.0,0.0,1.0,0.72,0.73,0.6805,0.715,2834360.0
2020-04-30,0.72,0.979,0.6806,0.8886,8750585.0,0.0,1.0,0.72,0.979,0.6806,0.8886,8750585.0
2020-05-01,0.88,0.9,0.75,0.782,2830664.0,0.0,1.0,0.88,0.9,0.75,0.782,2830664.0
2020-05-04,0.71,0.7799,0.685313,0.72,2403805.0,0.0,1.0,0.71,0.7799,0.685313,0.72,2403805.0
2020-05-05,0.75,0.77,0.68,0.6859,2175901.0,0.0,1.0,0.75,0.77,0.68,0.6859,2175901.0
2020-05-06,0.69,0.7,0.651,0.67,1457042.0,0.0,1.0,0.69,0.7,0.651,0.67,1457042.0
2020-05-07,0.67,0.6894,0.64,0.6613,2297891.0,0.0,1.0,0.67,0.6894,0.64,0.6613,2297891.0
2020-05-08,0.63,0.66,0.61,0.638,2262918.0,0.0,1.0,0.63,0.66,0.61,0.638,2262918.0
2020-05-11,0.64,0.64,0.601,0.6291,1966209.0,0.0,1.0,0.64,0.64,0.601,0.6291,1966209.0
2020-05-12,0.62,0.6249,0.58,0.5908,1837335.0,0.0,1.0,0.62,0.6249,0.58,0.5908,1837335.0
2020-05-13,0.6093,0.6093,0.5,0.52,2486271.0,0.0,1.0,0.6093,0.6093,0.5,0.52,2486271.0
2020-05-14,0.505,0.5799,0.494,0.5453,1584089.0,0.0,1.0,0.505,0.5799,0.494,0.5453,1584089.0
