Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.02,2.08,2.0078,2.05,12783.0,0.0,1.0,2.02,2.08,2.0078,2.05,12783.0
2020-01-03,2.08,2.11,2.05,2.11,5863.0,0.0,1.0,2.08,2.11,2.05,2.11,5863.0
2020-01-06,2.12,2.19,2.11,2.11,18814.0,0.0,1.0,2.12,2.19,2.11,2.11,18814.0
2020-01-07,2.13,2.27,2.13,2.2059,40916.0,0.0,1.0,2.13,2.27,2.13,2.2059,40916.0
2020-01-08,2.22,2.28,2.1101,2.165,22852.0,0.0,1.0,2.22,2.28,2.1101,2.165,22852.0
2020-01-09,2.17,2.2132,2.1437,2.2,21072.0,0.0,1.0,2.17,2.2132,2.1437,2.2,21072.0
2020-01-10,2.24,2.28,2.17,2.1819,9244.0,0.0,1.0,2.24,2.28,2.17,2.1819,9244.0
2020-01-13,2.25,2.25,2.091,2.14,21223.0,0.0,1.0,2.25,2.25,2.091,2.14,21223.0
2020-01-14,2.16,2.25,2.16,2.21,5708.0,0.0,1.0,2.16,2.25,2.16,2.21,5708.0
2020-01-15,2.21,2.2763,2.14,2.1976,17594.0,0.0,1.0,2.21,2.2763,2.14,2.1976,17594.0
2020-01-16,2.24,2.25,2.1594,2.2306,25907.0,0.0,1.0,2.24,2.25,2.1594,2.2306,25907.0
2020-01-17,2.25,2.25,2.2,2.2018,15999.0,0.0,1.0,2.25,2.25,2.2,2.2018,15999.0
2020-01-21,2.21,2.22,2.09,2.169,10187.0,0.0,1.0,2.21,2.22,2.09,2.169,10187.0
2020-01-22,2.2,2.2031,2.1669,2.1801,1954.0,0.0,1.0,2.2,2.2031,2.1669,2.1801,1954.0
2020-01-23,2.2,2.2365,2.0595,2.22,4643.0,0.0,1.0,2.2,2.2365,2.0595,2.22,4643.0
2020-01-24,2.25,2.25,2.127,2.23,11634.0,0.0,1.0,2.25,2.25,2.127,2.23,11634.0
2020-01-27,2.22,2.22,2.1,2.14,8133.0,0.0,1.0,2.22,2.22,2.1,2.14,8133.0
2020-01-28,2.1271,2.25,2.1,2.1898,77406.0,0.0,1.0,2.1271,2.25,2.1,2.1898,77406.0
2020-01-29,2.2,2.2,2.12,2.1507,9435.0,0.0,1.0,2.2,2.2,2.12,2.1507,9435.0
2020-01-30,2.11,2.16,2.11,2.14,5981.0,0.0,1.0,2.11,2.16,2.11,2.14,5981.0
2020-01-31,2.16,2.2,2.1002,2.13,22688.0,0.0,1.0,2.16,2.2,2.1002,2.13,22688.0
2020-02-03,2.17,2.17,2.12,2.14,5448.0,0.0,1.0,2.17,2.17,2.12,2.14,5448.0
2020-02-04,2.14,2.1611,1.99,2.01,69866.0,0.0,1.0,2.14,2.1611,1.99,2.01,69866.0
2020-02-05,1.99,2.1201,1.9895,2.12,40855.0,0.0,1.0,1.99,2.1201,1.9895,2.12,40855.0
2020-02-06,2.15,2.15,2.0864,2.104,6412.0,0.0,1.0,2.15,2.15,2.0864,2.104,6412.0
2020-02-07,2.12,2.12,2.073,2.0859,9486.0,0.0,1.0,2.12,2.12,2.073,2.0859,9486.0
2020-02-10,2.11,2.14,2.0489,2.14,11922.0,0.0,1.0,2.11,2.14,2.0489,2.14,11922.0
2020-02-11,2.17,2.22,2.09,2.12,24145.0,0.0,1.0,2.17,2.22,2.09,2.12,24145.0
2020-02-12,2.12,2.1815,2.11,2.13,7973.0,0.0,1.0,2.12,2.1815,2.11,2.13,7973.0
2020-02-13,2.14,2.1827,2.1,2.1252,29238.0,0.0,1.0,2.14,2.1827,2.1,2.1252,29238.0
2020-02-14,2.16,2.19,2.13,2.1465,10775.0,0.0,1.0,2.16,2.19,2.13,2.1465,10775.0
2020-02-18,2.17,2.19,2.0732,2.15,18912.0,0.0,1.0,2.17,2.19,2.0732,2.15,18912.0
2020-02-19,2.19,2.19,2.0841,2.1245,8834.0,0.0,1.0,2.19,2.19,2.0841,2.1245,8834.0
2020-02-20,2.14,2.154,2.0822,2.1,9117.0,0.0,1.0,2.14,2.154,2.0822,2.1,9117.0
2020-02-21,2.0,2.08,2.0,2.04,21400.0,0.0,1.0,2.0,2.08,2.0,2.04,21400.0
2020-02-24,2.01,2.05,1.91,2.015,28719.0,0.0,1.0,2.01,2.05,1.91,2.015,28719.0
2020-02-25,2.07,2.07,1.9379,1.98,17565.0,0.0,1.0,2.07,2.07,1.9379,1.98,17565.0
2020-02-26,2.0,2.0718,1.94,1.96,9967.0,0.0,1.0,2.0,2.0718,1.94,1.96,9967.0
2020-02-27,1.94,1.94,1.85,1.9,23959.0,0.0,1.0,1.94,1.94,1.85,1.9,23959.0
