Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.26,0.26,0.26,0.26,58.0,0.0,1.0,0.26,0.26,0.26,0.26,58.0
2020-01-03,0.26,0.26,0.26,0.26,0.0,0.0,1.0,0.26,0.26,0.26,0.26,0.0
2020-01-06,0.26,0.26,0.26,0.26,200.0,0.0,1.0,0.26,0.26,0.26,0.26,200.0
2020-01-07,0.26,0.26,0.26,0.26,0.0,0.0,1.0,0.26,0.26,0.26,0.26,0.0
2020-01-08,0.26,0.26,0.26,0.26,0.0,0.0,1.0,0.26,0.26,0.26,0.26,0.0
2020-01-09,0.26,0.26,0.26,0.26,0.0,0.0,1.0,0.26,0.26,0.26,0.26,0.0
2020-01-10,0.265,0.265,0.260882,0.260882,1800.0,0.0,1.0,0.265,0.265,0.260882,0.260882,1800.0
2020-01-13,0.338,0.338,0.338,0.338,1053.0,0.0,1.0,0.338,0.338,0.338,0.338,1053.0
2020-01-14,0.338,0.338,0.338,0.338,0.0,0.0,1.0,0.338,0.338,0.338,0.338,0.0
2020-01-15,0.33,0.33,0.33,0.33,2900.0,0.0,1.0,0.33,0.33,0.33,0.33,2900.0
2020-01-16,0.33,0.33,0.33,0.33,0.0,0.0,1.0,0.33,0.33,0.33,0.33,0.0
2020-01-17,0.33,0.33,0.33,0.33,0.0,0.0,1.0,0.33,0.33,0.33,0.33,0.0
2020-01-21,0.33,0.33,0.33,0.33,20.0,0.0,1.0,0.33,0.33,0.33,0.33,20.0
2020-01-22,0.33,0.33,0.33,0.33,10.0,0.0,1.0,0.33,0.33,0.33,0.33,10.0
2020-01-23,0.33,0.33,0.33,0.33,20.0,0.0,1.0,0.33,0.33,0.33,0.33,20.0
2020-01-24,0.33,0.33,0.33,0.33,0.0,0.0,1.0,0.33,0.33,0.33,0.33,0.0
2020-01-27,0.33,0.33,0.33,0.33,0.0,0.0,1.0,0.33,0.33,0.33,0.33,0.0
2020-01-28,0.33,0.33,0.33,0.33,0.0,0.0,1.0,0.33,0.33,0.33,0.33,0.0
2020-01-29,0.33,0.33,0.33,0.33,20.0,0.0,1.0,0.33,0.33,0.33,0.33,20.0
2020-01-30,0.39,0.3976,0.25,0.25,9750.0,0.0,1.0,0.39,0.3976,0.25,0.25,9750.0
2020-01-31,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0
2020-02-03,0.25,0.25,0.25,0.25,1.0,0.0,1.0,0.25,0.25,0.25,0.25,1.0
2020-02-04,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0
2020-02-05,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0
2020-02-06,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0
2020-02-07,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0
2020-02-10,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0
2020-02-11,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0
2020-02-12,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0
2020-02-13,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0
2020-02-14,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0
2020-02-18,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0
2020-02-19,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0
2020-02-20,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0
2020-02-21,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0
2020-02-24,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0
2020-02-25,0.26,0.272501,0.25,0.272501,5762.0,0.0,1.0,0.26,0.272501,0.25,0.272501,5762.0
2020-02-26,0.272501,0.272501,0.272501,0.272501,9.0,0.0,1.0,0.272501,0.272501,0.272501,0.272501,9.0
2020-02-27,0.230574,0.2725,0.230574,0.2725,623.0,0.0,1.0,0.230574,0.2725,0.230574,0.2725,623.0
2020-02-28,0.2725,0.2725,0.2725,0.2725,0.0,0.0,1.0,0.2725,0.2725,0.2725,0.2725,0.0
2020-03-02,0.2725,0.2725,0.2725,0.2725,0.0,0.0,1.0,0.2725,0.2725,0.2725,0.2725,0.0
2020-03-03,0.2725,0.2725,0.2725,0.2725,0.0,0.0,1.0,0.2725,0.2725,0.2725,0.2725,0.0
2020-03-04,0.2725,0.2725,0.2725,0.2725,0.0,0.0,1.0,0.2725,0.2725,0.2725,0.2725,0.0
2020-03-05,0.2725,0.2725,0.2725,0.2725,0.0,0.0,1.0,0.2725,0.2725,0.2725,0.2725,0.0
2020-03-06,0.2725,0.2725,0.2725,0.2725,0.0,0.0,1.0,0.2725,0.2725,0.2725,0.2725,0.0
2020-03-09,0.2725,0.2725,0.2725,0.2725,0.0,0.0,1.0,0.2725,0.2725,0.2725,0.2725,0.0
2020-03-10,0.2725,0.2725,0.2725,0.2725,0.0,0.0,1.0,0.2725,0.2725,0.2725,0.2725,0.0
2020-03-11,0.2009,0.211,0.2008,0.211,20284.0,0.0,1.0,0.2009,0.211,0.2008,0.211,20284.0
2020-03-12,0.211,0.211,0.211,0.211,0.0,0.0,1.0,0.211,0.211,0.211,0.211,0.0
2020-03-13,0.212,0.212,0.212,0.212,170.0,0.0,1.0,0.212,0.212,0.212,0.212,170.0
2020-03-16,0.1484,0.1484,0.07,0.07,71633.0,0.0,1.0,0.1484,0.1484,0.07,0.07,71633.0
2020-03-17,0.088,0.095,0.088,0.095,543.0,0.0,1.0,0.088,0.095,0.088,0.095,543.0
2020-03-18,0.109403,0.1235,0.1045,0.1235,1003.0,0.0,1.0,0.109403,0.1235,0.1045,0.1235,1003.0
2020-03-19,0.1235,0.1235,0.1235,0.1235,0.0,0.0,1.0,0.1235,0.1235,0.1235,0.1235,0.0
2020-03-20,0.15,0.15,0.1308,0.1308,25301.0,0.0,1.0,0.15,0.15,0.1308,0.1308,25301.0
2020-03-23,0.1308,0.1308,0.1308,0.1308,0.0,0.0,1.0,0.1308,0.1308,0.1308,0.1308,0.0
2020-03-24,0.1308,0.1308,0.1308,0.1308,0.0,0.0,1.0,0.1308,0.1308,0.1308,0.1308,0.0
2020-03-25,0.1308,0.1308,0.1308,0.1308,0.0,0.0,1.0,0.1308,0.1308,0.1308,0.1308,0.0
2020-03-26,0.13,0.13,0.13,0.13,100.0,0.0,1.0,0.13,0.13,0.13,0.13,100.0
2020-03-27,0.13,0.13,0.13,0.13,0.0,0.0,1.0,0.13,0.13,0.13,0.13,0.0
2020-03-30,0.13,0.13,0.13,0.13,0.0,0.0,1.0,0.13,0.13,0.13,0.13,0.0
2020-03-31,0.13,0.13,0.13,0.13,0.0,0.0,1.0,0.13,0.13,0.13,0.13,0.0
2020-04-01,0.13,0.13,0.13,0.13,0.0,0.0,1.0,0.13,0.13,0.13,0.13,0.0
2020-04-02,0.13,0.13,0.13,0.13,0.0,0.0,1.0,0.13,0.13,0.13,0.13,0.0
2020-04-03,0.13,0.13,0.13,0.13,0.0,0.0,1.0,0.13,0.13,0.13,0.13,0.0
2020-04-06,0.13,0.13,0.13,0.13,0.0,0.0,1.0,0.13,0.13,0.13,0.13,0.0
2020-04-07,0.13,0.13,0.13,0.13,130.0,0.0,1.0,0.13,0.13,0.13,0.13,130.0
2020-04-08,0.2725,0.2725,0.025,0.19,3620.0,0.0,1.0,0.2725,0.2725,0.025,0.19,3620.0
2020-04-09,0.18,0.18,0.133,0.133,321.0,0.0,1.0,0.18,0.18,0.133,0.133,321.0
2020-04-13,0.0931,0.1,0.091055,0.091055,1933.0,0.0,1.0,0.0931,0.1,0.091055,0.091055,1933.0
2020-04-14,0.085,0.1,0.08,0.0944,6369.0,0.0,1.0,0.085,0.1,0.08,0.0944,6369.0
2020-04-15,0.09,0.21,0.09,0.11,67158.0,0.0,1.0,0.09,0.21,0.09,0.11,67158.0
2020-04-16,0.11001,0.12,0.1,0.1,4604.0,0.0,1.0,0.11001,0.12,0.1,0.1,4604.0
2020-04-17,0.08,0.1861,0.0364,0.115,99851.0,0.0,1.0,0.08,0.1861,0.0364,0.115,99851.0
2020-04-20,0.11,0.12,0.09,0.1,15791.0,0.0,1.0,0.11,0.12,0.09,0.1,15791.0
2020-04-21,0.12,0.13,0.09,0.09,4529.0,0.0,1.0,0.12,0.13,0.09,0.09,4529.0
2020-04-22,0.08,0.09,0.08,0.09,9015.0,0.0,1.0,0.08,0.09,0.08,0.09,9015.0
2020-04-23,0.091281,0.130981,0.09,0.09,59977.0,0.0,1.0,0.091281,0.130981,0.09,0.09,59977.0
