Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,6.83,7.01,6.83,7.0,350793.0,0.0,1.0,6.83,7.01,6.83,7.0,350793.0
2020-01-03,6.93,7.02,6.9,6.94,435250.0,0.0,1.0,6.93,7.02,6.9,6.94,435250.0
2020-01-06,6.92,7.01,6.91,6.95,598337.0,0.0,1.0,6.92,7.01,6.91,6.95,598337.0
2020-01-07,6.94,7.0,6.93,6.97,839311.0,0.0,1.0,6.94,7.0,6.93,6.97,839311.0
2020-01-08,6.95,6.96,6.84,6.9,435433.0,0.0,1.0,6.95,6.96,6.84,6.9,435433.0
2020-01-09,6.95,6.95,6.865,6.92,342443.0,0.0,1.0,6.95,6.95,6.865,6.92,342443.0
2020-01-10,6.94,6.99,6.91,6.93,522020.0,0.0,1.0,6.94,6.99,6.91,6.93,522020.0
2020-01-13,6.94,7.0,6.92,6.98,638504.0,0.0,1.0,6.94,7.0,6.92,6.98,638504.0
2020-01-14,6.99,6.99,6.91,6.92,413690.0,0.0,1.0,6.99,6.99,6.91,6.92,413690.0
2020-01-15,6.94,7.1,6.91,6.97,1116429.0,0.0,1.0,6.94,7.1,6.91,6.97,1116429.0
2020-01-16,7.04,7.19,6.955,7.18,939954.0,0.0,1.0,7.04,7.19,6.955,7.18,939954.0
2020-01-17,7.23,7.26,7.12,7.26,541355.0,0.0,1.0,7.23,7.26,7.12,7.26,541355.0
2020-01-21,7.22,7.415,7.2,7.34,1216382.0,0.0,1.0,7.22,7.415,7.2,7.34,1216382.0
2020-01-22,7.34,7.45,7.34,7.4,299915.0,0.0,1.0,7.34,7.45,7.34,7.4,299915.0
2020-01-23,7.4,7.4,7.27,7.33,3389980.0,0.0,1.0,7.4,7.4,7.27,7.33,3389980.0
2020-01-24,7.34,7.39,7.22,7.38,1559030.0,0.0,1.0,7.34,7.39,7.22,7.38,1559030.0
2020-01-27,7.21,7.31,7.16,7.16,431972.0,0.0,1.0,7.21,7.31,7.16,7.16,431972.0
2020-01-28,7.25,7.25,7.16,7.21,270381.0,0.0,1.0,7.25,7.25,7.16,7.21,270381.0
2020-01-29,7.26,7.34,7.19,7.32,311466.0,0.0,1.0,7.26,7.34,7.19,7.32,311466.0
2020-01-30,7.21,7.27,7.14,7.23,618393.0,0.0,1.0,7.21,7.27,7.14,7.23,618393.0
2020-01-31,7.13,7.22,7.09,7.11,615693.0,0.0,1.0,7.13,7.22,7.09,7.11,615693.0
2020-02-03,7.16,7.355,7.16,7.32,438141.0,0.0,1.0,7.16,7.355,7.16,7.32,438141.0
2020-02-04,7.4,7.53,7.28,7.42,597191.0,0.0,1.0,7.4,7.53,7.28,7.42,597191.0
2020-02-05,7.49,7.57,7.4301,7.46,995776.0,0.0,1.0,7.49,7.57,7.4301,7.46,995776.0
2020-02-06,7.55,7.8,7.33,7.75,623855.0,0.0,1.0,7.55,7.8,7.33,7.75,623855.0
2020-02-07,7.67,7.885,7.56,7.78,1341298.0,0.0,1.0,7.67,7.885,7.56,7.78,1341298.0
2020-02-10,7.75,7.93,7.73,7.88,639398.0,0.0,1.0,7.75,7.93,7.73,7.88,639398.0
2020-02-11,7.9,7.98,7.89,7.91,364744.0,0.0,1.0,7.9,7.98,7.89,7.91,364744.0
2020-02-12,7.98,8.01,7.78,7.8,436229.0,0.0,1.0,7.98,8.01,7.78,7.8,436229.0
2020-02-13,7.79,7.79,7.61,7.64,236771.0,0.0,1.0,7.79,7.79,7.61,7.64,236771.0
2020-02-14,7.52,7.62,7.45,7.57,279233.0,0.0,1.0,7.52,7.62,7.45,7.57,279233.0
2020-02-18,7.56,7.66,7.53,7.61,188284.0,0.0,1.0,7.56,7.66,7.53,7.61,188284.0
2020-02-19,7.63,7.69,7.55,7.68,146317.0,0.0,1.0,7.63,7.69,7.55,7.68,146317.0
2020-02-20,7.6,7.68,7.56,7.63,249526.0,0.0,1.0,7.6,7.68,7.56,7.63,249526.0
2020-02-21,7.63,7.65,7.53,7.6,224010.0,0.0,1.0,7.63,7.65,7.53,7.6,224010.0
2020-02-24,7.4,7.48,7.33,7.36,418284.0,0.0,1.0,7.4,7.48,7.33,7.36,418284.0
2020-02-25,7.33,7.35,7.17,7.18,347386.0,0.0,1.0,7.33,7.35,7.17,7.18,347386.0
2020-02-26,7.19,7.3,7.13,7.13,403396.0,0.0,1.0,7.19,7.3,7.13,7.13,403396.0
2020-02-27,7.02,7.02,6.66,6.68,674620.0,0.0,1.0,7.02,7.02,6.66,6.68,674620.0
2020-02-28,6.57,6.57,6.26,6.45,1429072.0,0.0,1.0,6.57,6.57,6.26,6.45,1429072.0
2020-03-02,6.46,6.64,6.25,6.59,1245434.0,0.0,1.0,6.46,6.64,6.25,6.59,1245434.0
2020-03-03,6.58,6.64,6.3,6.43,745790.0,0.0,1.0,6.58,6.64,6.3,6.43,745790.0
2020-03-04,6.51,6.59,6.4,6.45,232493.0,0.0,1.0,6.51,6.59,6.4,6.45,232493.0
2020-03-05,6.32,6.39,6.21,6.25,269882.0,0.0,1.0,6.32,6.39,6.21,6.25,269882.0
2020-03-06,6.13,6.18,5.97,6.09,398402.0,0.0,1.0,6.13,6.18,5.97,6.09,398402.0
2020-03-09,5.85,5.95,5.29,5.3,361838.0,0.0,1.0,5.85,5.95,5.29,5.3,361838.0
2020-03-10,5.4,5.54,5.27,5.54,308364.0,0.0,1.0,5.4,5.54,5.27,5.54,308364.0
2020-03-11,5.39,5.43,5.23,5.29,326517.0,0.0,1.0,5.39,5.43,5.23,5.29,326517.0
2020-03-12,4.98,5.19,4.545,4.94,466707.0,0.0,1.0,4.98,5.19,4.545,4.94,466707.0
2020-03-13,5.25,5.33,4.85,5.2,553543.0,0.0,1.0,5.25,5.33,4.85,5.2,553543.0
2020-03-16,4.79,4.85,4.525,4.61,378058.0,0.0,1.0,4.79,4.85,4.525,4.61,378058.0
2020-03-17,4.69,4.84,4.49,4.65,425035.0,0.0,1.0,4.69,4.84,4.49,4.65,425035.0
2020-03-18,4.54,4.62,3.55,3.67,351518.0,0.0,1.0,4.54,4.62,3.55,3.67,351518.0
2020-03-19,3.72,3.72,3.185,3.22,580687.0,0.0,1.0,3.72,3.72,3.185,3.22,580687.0
2020-03-20,3.26,3.5,2.86,3.06,1182706.0,0.0,1.0,3.26,3.5,2.86,3.06,1182706.0
2020-03-23,3.06,3.19,2.71,2.71,491798.0,0.0,1.0,3.06,3.19,2.71,2.71,491798.0
2020-03-24,2.87,3.03,2.83,3.02,449630.0,0.0,1.0,2.87,3.03,2.83,3.02,449630.0
2020-03-25,3.11,3.3099,3.0096,3.23,510029.0,0.0,1.0,3.11,3.3099,3.0096,3.23,510029.0
2020-03-26,3.32,3.48,3.23,3.4,500619.0,0.0,1.0,3.32,3.48,3.23,3.4,500619.0
2020-03-27,3.26,3.3,3.17,3.19,361285.0,0.0,1.0,3.26,3.3,3.17,3.19,361285.0
2020-03-30,3.19,3.27,3.04,3.18,477434.0,0.0,1.0,3.19,3.27,3.04,3.18,477434.0
2020-03-31,3.2,3.39,3.2,3.24,384422.0,0.0,1.0,3.2,3.39,3.2,3.24,384422.0
2020-04-01,3.27,3.27,2.96,2.98,342468.0,0.0,1.0,3.27,3.27,2.96,2.98,342468.0
2020-04-02,2.9,3.12,2.86,2.91,715261.0,0.0,1.0,2.9,3.12,2.86,2.91,715261.0
2020-04-03,2.86,2.93,2.67,2.72,963555.0,0.0,1.0,2.86,2.93,2.67,2.72,963555.0
2020-04-06,2.84,2.935,2.64,2.64,1043105.0,0.0,1.0,2.84,2.935,2.64,2.64,1043105.0
2020-04-07,3.02,3.16,2.69,2.75,1822668.0,0.0,1.0,3.02,3.16,2.69,2.75,1822668.0
2020-04-08,2.76,2.9524,2.6524,2.87,614492.0,0.0,1.0,2.76,2.9524,2.6524,2.87,614492.0
2020-04-09,2.98,3.02,2.835,2.89,315949.0,0.0,1.0,2.98,3.02,2.835,2.89,315949.0
2020-04-13,2.95,2.95,2.71,2.72,822040.0,0.0,1.0,2.95,2.95,2.71,2.72,822040.0
2020-04-14,2.8,2.91,2.7,2.91,985846.0,0.0,1.0,2.8,2.91,2.7,2.91,985846.0
2020-04-15,3.01,3.01,2.74,2.79,517219.0,0.0,1.0,3.01,3.01,2.74,2.79,517219.0
2020-04-16,2.76,2.78,2.58,2.59,689788.0,0.0,1.0,2.76,2.78,2.58,2.59,689788.0
2020-04-17,2.71,2.77,2.62,2.7,594970.0,0.0,1.0,2.71,2.77,2.62,2.7,594970.0
2020-04-20,2.68,2.71,2.6,2.62,479627.0,0.0,1.0,2.68,2.71,2.6,2.62,479627.0
2020-04-21,2.6,2.64,2.52,2.64,383162.0,0.0,1.0,2.6,2.64,2.52,2.64,383162.0
2020-04-22,2.73,2.73,2.53,2.55,437473.0,0.0,1.0,2.73,2.73,2.53,2.55,437473.0
2020-04-23,2.63,2.68,2.56,2.62,470937.0,0.0,1.0,2.63,2.68,2.56,2.62,470937.0
2020-04-24,2.65,2.65,2.52,2.52,421751.0,0.0,1.0,2.65,2.65,2.52,2.52,421751.0
2020-04-27,2.57,2.6174,2.53,2.58,223968.0,0.0,1.0,2.57,2.6174,2.53,2.58,223968.0
2020-04-28,2.62,2.72,2.61,2.71,607477.0,0.0,1.0,2.62,2.72,2.61,2.71,607477.0
2020-04-29,2.9,2.951,2.7134,2.92,978793.0,0.0,1.0,2.9,2.951,2.7134,2.92,978793.0
