Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,3.24,3.36,3.24,3.3,18210.0,0.0,1.0,3.24,3.36,3.24,3.3,18210.0
2020-01-03,3.24,3.34,3.23,3.23,38980.0,0.0,1.0,3.24,3.34,3.23,3.23,38980.0
2020-01-06,3.19,3.34,3.19,3.3,38629.0,0.0,1.0,3.19,3.34,3.19,3.3,38629.0
2020-01-07,3.3,3.34,3.3,3.33,24957.0,0.0,1.0,3.3,3.34,3.3,3.33,24957.0
2020-01-08,3.3,3.35,3.2922,3.35,12632.0,0.0,1.0,3.3,3.35,3.2922,3.35,12632.0
2020-01-09,3.34,3.34,3.2,3.2,16970.0,0.0,1.0,3.34,3.34,3.2,3.2,16970.0
2020-01-10,3.18,3.2326,3.16,3.22,4574.0,0.0,1.0,3.18,3.2326,3.16,3.22,4574.0
2020-01-13,3.27,3.34,3.17,3.1758,8253.0,0.0,1.0,3.27,3.34,3.17,3.1758,8253.0
2020-01-14,3.21,3.28,3.15,3.15,4184.0,0.0,1.0,3.21,3.28,3.15,3.15,4184.0
2020-01-15,3.22,3.29,3.2,3.25,7341.0,0.0,1.0,3.22,3.29,3.2,3.25,7341.0
2020-01-16,3.32,3.34,3.2808,3.33,34476.0,0.0,1.0,3.32,3.34,3.2808,3.33,34476.0
2020-01-17,3.5,3.58,3.3,3.4,22541.0,0.0,1.0,3.5,3.58,3.3,3.4,22541.0
2020-01-21,3.44,3.44,3.39,3.41,14748.0,0.0,1.0,3.44,3.44,3.39,3.41,14748.0
2020-01-22,3.38,3.43,3.28,3.3296,18039.0,0.0,1.0,3.38,3.43,3.28,3.3296,18039.0
2020-01-23,3.357,3.4301,3.357,3.37,16067.0,0.0,1.0,3.357,3.4301,3.357,3.37,16067.0
2020-01-24,3.45,3.45,3.395,3.42,17856.0,0.0,1.0,3.45,3.45,3.395,3.42,17856.0
2020-01-27,3.4,3.4075,3.3,3.3,6704.0,0.0,1.0,3.4,3.4075,3.3,3.3,6704.0
2020-01-28,3.31,3.34,3.14,3.18,7290.0,0.0,1.0,3.31,3.34,3.14,3.18,7290.0
2020-01-29,3.34,3.3534,3.223,3.31,3298.0,0.0,1.0,3.34,3.3534,3.223,3.31,3298.0
2020-01-30,3.36,3.45,3.25,3.43,8605.0,0.0,1.0,3.36,3.45,3.25,3.43,8605.0
2020-01-31,3.3312,3.455,3.3312,3.455,5936.0,0.0,1.0,3.3312,3.455,3.3312,3.455,5936.0
2020-02-03,3.45,3.4604,3.2189,3.34,4677.0,0.0,1.0,3.45,3.4604,3.2189,3.34,4677.0
2020-02-04,3.1183,3.38,3.1183,3.34,9894.0,0.0,1.0,3.1183,3.38,3.1183,3.34,9894.0
2020-02-05,3.2751,3.3601,3.2751,3.35,3184.0,0.0,1.0,3.2751,3.3601,3.2751,3.35,3184.0
2020-02-06,3.35,3.38,3.35,3.37,8496.0,0.0,1.0,3.35,3.38,3.35,3.37,8496.0
2020-02-07,3.0663,3.35,3.0,3.3,12714.0,0.0,1.0,3.0663,3.35,3.0,3.3,12714.0
2020-02-10,3.29,3.3,3.2,3.2,676.0,0.0,1.0,3.29,3.3,3.2,3.2,676.0
2020-02-11,3.29,3.29,3.29,3.29,768.0,0.0,1.0,3.29,3.29,3.29,3.29,768.0
2020-02-12,3.3152,3.3152,3.295,3.295,614.0,0.0,1.0,3.3152,3.3152,3.295,3.295,614.0
2020-02-13,3.32,3.32,3.216,3.31,2534.0,0.0,1.0,3.32,3.32,3.216,3.31,2534.0
2020-02-14,3.23,3.23,3.23,3.23,586.0,0.0,1.0,3.23,3.23,3.23,3.23,586.0
2020-02-18,3.21,3.23,3.164,3.23,767.0,0.0,1.0,3.21,3.23,3.164,3.23,767.0
2020-02-19,3.2,3.2,3.01,3.07,1251.0,0.0,1.0,3.2,3.2,3.01,3.07,1251.0
2020-02-20,3.07,3.08,3.06,3.08,1000.0,0.0,1.0,3.07,3.08,3.06,3.08,1000.0
2020-02-21,3.0561,3.16,3.0561,3.16,1068.0,0.0,1.0,3.0561,3.16,3.0561,3.16,1068.0
2020-02-24,3.08,3.215,2.978,3.2,6163.0,0.0,1.0,3.08,3.215,2.978,3.2,6163.0
2020-02-25,3.2,3.2,2.98,3.19,3878.0,0.0,1.0,3.2,3.2,2.98,3.19,3878.0
2020-02-26,3.11,3.19,3.01,3.15,5464.0,0.0,1.0,3.11,3.19,3.01,3.15,5464.0
2020-02-27,2.99,3.14,2.8,3.04,7466.0,0.0,1.0,2.99,3.14,2.8,3.04,7466.0
2020-02-28,3.01,3.02,2.7746,3.0,6366.0,0.0,1.0,3.01,3.02,2.7746,3.0,6366.0
2020-03-02,3.015,3.083,2.69,2.69,9373.0,0.0,1.0,3.015,3.083,2.69,2.69,9373.0
2020-03-03,2.69,2.7599,2.69,2.725,2557.0,0.0,1.0,2.69,2.7599,2.69,2.725,2557.0
2020-03-04,2.755,2.785,2.755,2.78,1558.0,0.0,1.0,2.755,2.785,2.755,2.78,1558.0
2020-03-05,2.77,2.77,2.69,2.72,3488.0,0.0,1.0,2.77,2.77,2.69,2.72,3488.0
2020-03-06,2.7072,2.7072,2.6,2.6,2386.0,0.0,1.0,2.7072,2.7072,2.6,2.6,2386.0
2020-03-09,2.5,2.7,2.5,2.52,4227.0,0.0,1.0,2.5,2.7,2.5,2.52,4227.0
2020-03-10,2.5,2.5626,2.39,2.414,3369.0,0.0,1.0,2.5,2.5626,2.39,2.414,3369.0
2020-03-11,2.0,2.2473,2.0,2.2473,1688.0,0.0,1.0,2.0,2.2473,2.0,2.2473,1688.0
2020-03-12,2.24,2.24,2.0,2.0,2950.0,0.0,1.0,2.24,2.24,2.0,2.0,2950.0
2020-03-13,2.0,2.0,1.91,1.91,1880.0,0.0,1.0,2.0,2.0,1.91,1.91,1880.0
2020-03-16,1.81,1.9395,1.5,1.5701,16424.0,0.0,1.0,1.81,1.9395,1.5,1.5701,16424.0
2020-03-17,1.7282,1.8243,1.57,1.68,9771.0,0.0,1.0,1.7282,1.8243,1.57,1.68,9771.0
2020-03-18,1.53,1.6459,1.41,1.41,6951.0,0.0,1.0,1.53,1.6459,1.41,1.41,6951.0
2020-03-19,1.4809,1.59,1.4809,1.59,1259.0,0.0,1.0,1.4809,1.59,1.4809,1.59,1259.0
2020-03-20,1.59,1.59,1.51,1.54,3947.0,0.0,1.0,1.59,1.59,1.51,1.54,3947.0
2020-03-23,1.34,1.4169,1.28,1.29,31502.0,0.0,1.0,1.34,1.4169,1.28,1.29,31502.0
2020-03-24,1.48,1.48,1.26,1.3258,28170.0,0.0,1.0,1.48,1.48,1.26,1.3258,28170.0
2020-03-25,1.42,1.42,1.31,1.34,25258.0,0.0,1.0,1.42,1.42,1.31,1.34,25258.0
2020-03-26,1.41,1.65,1.4,1.62,48469.0,0.0,1.0,1.41,1.65,1.4,1.62,48469.0
2020-03-27,1.72,1.72,1.42,1.63,59314.0,0.0,1.0,1.72,1.72,1.42,1.63,59314.0
2020-03-30,1.75,1.81,1.63,1.67,16669.0,0.0,1.0,1.75,1.81,1.63,1.67,16669.0
2020-03-31,1.79,1.82,1.71,1.71,13675.0,0.0,1.0,1.79,1.82,1.71,1.71,13675.0
2020-04-01,1.7299,1.75,1.71,1.75,6531.0,0.0,1.0,1.7299,1.75,1.71,1.75,6531.0
2020-04-02,1.77,1.77,1.6,1.6,7264.0,0.0,1.0,1.77,1.77,1.6,1.6,7264.0
2020-04-03,1.6925,1.75,1.51,1.59,11096.0,0.0,1.0,1.6925,1.75,1.51,1.59,11096.0
2020-04-06,1.58,1.706,1.54,1.56,14131.0,0.0,1.0,1.58,1.706,1.54,1.56,14131.0
2020-04-07,1.57,1.78,1.57,1.78,8841.0,0.0,1.0,1.57,1.78,1.57,1.78,8841.0
2020-04-08,1.68,1.69,1.53,1.69,17962.0,0.0,1.0,1.68,1.69,1.53,1.69,17962.0
2020-04-09,1.7,1.8052,1.7,1.75,17545.0,0.0,1.0,1.7,1.8052,1.7,1.75,17545.0
2020-04-13,1.77,1.82,1.6382,1.7419,9126.0,0.0,1.0,1.77,1.82,1.6382,1.7419,9126.0
2020-04-14,1.71,1.76,1.71,1.71,14455.0,0.0,1.0,1.71,1.76,1.71,1.71,14455.0
2020-04-15,1.59,1.675,1.53,1.67,2075.0,0.0,1.0,1.59,1.675,1.53,1.67,2075.0
2020-04-16,1.6,1.72,1.58,1.58,10282.0,0.0,1.0,1.6,1.72,1.58,1.58,10282.0
2020-04-17,1.66,1.74,1.56,1.56,12467.0,0.0,1.0,1.66,1.74,1.56,1.56,12467.0
2020-04-20,1.6,1.6,1.42,1.47,35266.0,0.0,1.0,1.6,1.6,1.42,1.47,35266.0
2020-04-21,1.46,1.46,1.38,1.42,23464.0,0.0,1.0,1.46,1.46,1.38,1.42,23464.0
2020-04-22,1.42,1.45,1.42,1.42,8452.0,0.0,1.0,1.42,1.45,1.42,1.42,8452.0
2020-04-23,1.53,1.54,1.45,1.4501,18660.0,0.0,1.0,1.53,1.54,1.45,1.4501,18660.0
2020-04-24,1.6198,1.6198,1.51,1.55,10240.0,0.0,1.0,1.6198,1.6198,1.51,1.55,10240.0
2020-04-27,1.52,1.595,1.52,1.57,9501.0,0.0,1.0,1.52,1.595,1.52,1.57,9501.0
2020-04-28,1.6108,1.63,1.52,1.52,12641.0,0.0,1.0,1.6108,1.63,1.52,1.52,12641.0
2020-04-29,1.55,1.57,1.52,1.5301,19196.0,0.0,1.0,1.55,1.57,1.52,1.5301,19196.0
2020-04-30,1.585,1.585,1.53,1.55,11168.0,0.0,1.0,1.585,1.585,1.53,1.55,11168.0
2020-05-01,1.55,1.5576,1.45,1.47,9572.0,0.0,1.0,1.55,1.5576,1.45,1.47,9572.0
2020-05-04,1.62,1.62,1.45,1.47,16059.0,0.0,1.0,1.62,1.62,1.45,1.47,16059.0
2020-05-05,1.5,1.5878,1.47,1.4761,38214.0,0.0,1.0,1.5,1.5878,1.47,1.4761,38214.0
2020-05-06,1.48,1.48,1.42,1.42,10342.0,0.0,1.0,1.48,1.48,1.42,1.42,10342.0
2020-05-07,1.46,1.56,1.46,1.5,23375.0,0.0,1.0,1.46,1.56,1.46,1.5,23375.0
2020-05-08,1.51,1.56,1.49,1.555,18444.0,0.0,1.0,1.51,1.56,1.49,1.555,18444.0
2020-05-11,1.56,1.57,1.49,1.49,46005.0,0.0,1.0,1.56,1.57,1.49,1.49,46005.0
2020-05-12,1.49,1.57,1.49,1.55,32949.0,0.0,1.0,1.49,1.57,1.49,1.55,32949.0
2020-05-13,1.54,1.54,1.3401,1.355,17190.0,0.0,1.0,1.54,1.54,1.3401,1.355,17190.0
2020-05-14,1.38,1.472,1.38,1.44,16575.0,0.0,1.0,1.38,1.472,1.38,1.44,16575.0
