Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.66,1.6975,1.66,1.665,14962.0,0.0,1.0,1.66,1.6975,1.66,1.665,14962.0
2020-01-03,1.66,1.8,1.64,1.69,27587.0,0.0,1.0,1.66,1.8,1.64,1.69,27587.0
2020-01-06,1.65,1.7317,1.65,1.7317,5765.0,0.0,1.0,1.65,1.7317,1.65,1.7317,5765.0
2020-01-07,1.74,1.8,1.74,1.79,13276.0,0.0,1.0,1.74,1.8,1.74,1.79,13276.0
2020-01-08,1.79,1.79,1.73,1.73,15184.0,0.0,1.0,1.79,1.79,1.73,1.73,15184.0
2020-01-09,1.75,1.7712,1.75,1.77,4287.0,0.0,1.0,1.75,1.7712,1.75,1.77,4287.0
2020-01-10,1.76,1.7619,1.6,1.655,42601.0,0.0,1.0,1.76,1.7619,1.6,1.655,42601.0
2020-01-13,1.64,1.7328,1.62,1.62,24018.0,0.0,1.0,1.64,1.7328,1.62,1.62,24018.0
2020-01-14,1.7,1.73,1.65,1.68,44819.0,0.0,1.0,1.7,1.73,1.65,1.68,44819.0
2020-01-15,1.67,1.74,1.67,1.69,9786.0,0.0,1.0,1.67,1.74,1.67,1.69,9786.0
2020-01-16,1.73,1.73,1.65,1.69,16812.0,0.0,1.0,1.73,1.73,1.65,1.69,16812.0
2020-01-17,1.7,1.7009,1.64,1.67,40075.0,0.0,1.0,1.7,1.7009,1.64,1.67,40075.0
2020-01-21,1.68,1.7,1.67,1.7,11472.0,0.0,1.0,1.68,1.7,1.67,1.7,11472.0
2020-01-22,1.69,1.705,1.62,1.62,47242.0,0.0,1.0,1.69,1.705,1.62,1.62,47242.0
2020-01-23,1.63,1.67,1.63,1.67,62891.0,0.0,1.0,1.63,1.67,1.63,1.67,62891.0
2020-01-24,1.65,1.66,1.61,1.61,10754.0,0.0,1.0,1.65,1.66,1.61,1.61,10754.0
2020-01-27,1.57,1.65,1.57,1.59,20280.0,0.0,1.0,1.57,1.65,1.57,1.59,20280.0
2020-01-28,1.6,1.701,1.59,1.65,72284.0,0.0,1.0,1.6,1.701,1.59,1.65,72284.0
2020-01-29,1.615,1.6228,1.56,1.59,27628.0,0.0,1.0,1.615,1.6228,1.56,1.59,27628.0
2020-01-30,1.6,1.61,1.56,1.61,5171.0,0.0,1.0,1.6,1.61,1.56,1.61,5171.0
2020-01-31,1.56,1.56,1.47,1.52,37291.0,0.0,1.0,1.56,1.56,1.47,1.52,37291.0
2020-02-03,1.52,1.61,1.52,1.6,40656.0,0.0,1.0,1.52,1.61,1.52,1.6,40656.0
2020-02-04,1.65,1.67,1.61,1.61,12919.0,0.0,1.0,1.65,1.67,1.61,1.61,12919.0
2020-02-05,1.6,1.62,1.5892,1.5892,11603.0,0.0,1.0,1.6,1.62,1.5892,1.5892,11603.0
2020-02-06,1.58,1.66,1.5477,1.55,30997.0,0.0,1.0,1.58,1.66,1.5477,1.55,30997.0
2020-02-07,1.58,1.65,1.53,1.55,20410.0,0.0,1.0,1.58,1.65,1.53,1.55,20410.0
2020-02-10,1.58,1.6,1.57,1.6,15762.0,0.0,1.0,1.58,1.6,1.57,1.6,15762.0
2020-02-11,1.6033,1.6357,1.6,1.6357,18564.0,0.0,1.0,1.6033,1.6357,1.6,1.6357,18564.0
2020-02-12,1.64,1.93,1.639,1.8698,257610.0,0.0,1.0,1.64,1.93,1.639,1.8698,257610.0
2020-02-13,1.99,2.0,1.9,1.97,59718.0,0.0,1.0,1.99,2.0,1.9,1.97,59718.0
2020-02-14,1.97,2.15,1.97,2.1245,59762.0,0.0,1.0,1.97,2.15,1.97,2.1245,59762.0
2020-02-18,2.23,2.49,2.12,2.35,166809.0,0.0,1.0,2.23,2.49,2.12,2.35,166809.0
2020-02-19,2.34,2.35,1.88,2.07,89131.0,0.0,1.0,2.34,2.35,1.88,2.07,89131.0
2020-02-20,2.11,2.25,2.0527,2.18,32344.0,0.0,1.0,2.11,2.25,2.0527,2.18,32344.0
2020-02-21,2.23,2.25,2.14,2.15,55108.0,0.0,1.0,2.23,2.25,2.14,2.15,55108.0
2020-02-24,2.1,2.2,2.02,2.14,62211.0,0.0,1.0,2.1,2.2,2.02,2.14,62211.0
2020-02-25,2.12,2.12,1.91,1.91,54493.0,0.0,1.0,2.12,2.12,1.91,1.91,54493.0
2020-02-26,1.89,2.0774,1.8763,1.96,31793.0,0.0,1.0,1.89,2.0774,1.8763,1.96,31793.0
2020-02-27,1.9,2.09,1.696,2.06,95231.0,0.0,1.0,1.9,2.09,1.696,2.06,95231.0
2020-02-28,2.04,2.1,1.9703,2.05,45729.0,0.0,1.0,2.04,2.1,1.9703,2.05,45729.0
2020-03-02,2.02,2.12,2.0,2.04,52607.0,0.0,1.0,2.02,2.12,2.0,2.04,52607.0
2020-03-03,2.01,2.0201,1.95,2.0,32701.0,0.0,1.0,2.01,2.0201,1.95,2.0,32701.0
2020-03-04,2.0,2.1101,1.817,2.0,33004.0,0.0,1.0,2.0,2.1101,1.817,2.0,33004.0
2020-03-05,1.88,2.05,1.88,1.98,15856.0,0.0,1.0,1.88,2.05,1.88,1.98,15856.0
2020-03-06,1.92,1.99,1.8783,1.9,16588.0,0.0,1.0,1.92,1.99,1.8783,1.9,16588.0
