Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,6.1,6.34,6.05,6.29,349915.0,0.0,1.0,6.1,6.34,6.05,6.29,349915.0
2020-01-03,6.15,6.475,6.11,6.44,342107.0,0.0,1.0,6.15,6.475,6.11,6.44,342107.0
2020-01-06,6.5,6.5,6.025,6.08,543403.0,0.0,1.0,6.5,6.5,6.025,6.08,543403.0
2020-01-07,6.06,6.0998,5.7,5.78,398616.0,0.0,1.0,6.06,6.0998,5.7,5.78,398616.0
2020-01-08,5.78,5.89,5.6443,5.81,227772.0,0.0,1.0,5.78,5.89,5.6443,5.81,227772.0
2020-01-09,5.85,6.02,5.74,5.99,164063.0,0.0,1.0,5.85,6.02,5.74,5.99,164063.0
2020-01-10,6.01,6.065,5.75,6.0,180160.0,0.0,1.0,6.01,6.065,5.75,6.0,180160.0
2020-01-13,6.0,6.165,5.93,6.0,126554.0,0.0,1.0,6.0,6.165,5.93,6.0,126554.0
2020-01-14,5.98,6.02,5.77,5.87,130901.0,0.0,1.0,5.98,6.02,5.77,5.87,130901.0
2020-01-15,5.8,5.96,5.66,5.87,289361.0,0.0,1.0,5.8,5.96,5.66,5.87,289361.0
2020-01-16,5.88,6.16,5.88,5.99,327385.0,0.0,1.0,5.88,6.16,5.88,5.99,327385.0
2020-01-17,6.0,6.1,5.94,5.94,91629.0,0.0,1.0,6.0,6.1,5.94,5.94,91629.0
2020-01-21,5.94,5.94,5.59,5.6,152609.0,0.0,1.0,5.94,5.94,5.59,5.6,152609.0
2020-01-22,5.65,5.75,5.59,5.66,137598.0,0.0,1.0,5.65,5.75,5.59,5.66,137598.0
2020-01-23,5.63,5.8325,5.5082,5.74,174120.0,0.0,1.0,5.63,5.8325,5.5082,5.74,174120.0
2020-01-24,5.82,5.82,5.46,5.49,114543.0,0.0,1.0,5.82,5.82,5.46,5.49,114543.0
2020-01-27,5.39,5.4,5.21,5.3,162686.0,0.0,1.0,5.39,5.4,5.21,5.3,162686.0
2020-01-28,5.43,5.79,5.43,5.67,269556.0,0.0,1.0,5.43,5.79,5.43,5.67,269556.0
2020-01-29,5.69,5.85,5.57,5.58,279085.0,0.0,1.0,5.69,5.85,5.57,5.58,279085.0
2020-01-30,5.49,5.6,5.33,5.51,137468.0,0.0,1.0,5.49,5.6,5.33,5.51,137468.0
2020-01-31,5.5,5.5,5.15,5.19,261295.0,0.0,1.0,5.5,5.5,5.15,5.19,261295.0
2020-02-03,5.19,5.36,5.18,5.19,454088.0,0.0,1.0,5.19,5.36,5.18,5.19,454088.0
2020-02-04,5.2,5.505,5.1,5.41,511404.0,0.0,1.0,5.2,5.505,5.1,5.41,511404.0
2020-02-05,5.5,5.61,5.26,5.4,155289.0,0.0,1.0,5.5,5.61,5.26,5.4,155289.0
2020-02-06,5.4,5.56,5.36,5.46,107339.0,0.0,1.0,5.4,5.56,5.36,5.46,107339.0
2020-02-07,5.44,5.56,5.37,5.5,160384.0,0.0,1.0,5.44,5.56,5.37,5.5,160384.0
2020-02-10,5.47,5.49,5.35,5.37,47915.0,0.0,1.0,5.47,5.49,5.35,5.37,47915.0
2020-02-11,5.41,5.455,5.21,5.29,100424.0,0.0,1.0,5.41,5.455,5.21,5.29,100424.0
2020-02-12,5.4,5.45,5.17,5.29,204233.0,0.0,1.0,5.4,5.45,5.17,5.29,204233.0
2020-02-13,5.25,5.26,5.01,5.08,144344.0,0.0,1.0,5.25,5.26,5.01,5.08,144344.0
2020-02-14,5.1,5.35,5.1,5.29,136608.0,0.0,1.0,5.1,5.35,5.1,5.29,136608.0
2020-02-18,5.29,5.3,5.15,5.23,133377.0,0.0,1.0,5.29,5.3,5.15,5.23,133377.0
2020-02-19,5.19,5.384,5.19,5.26,154479.0,0.0,1.0,5.19,5.384,5.19,5.26,154479.0
2020-02-20,5.21,5.41,5.19,5.23,141609.0,0.0,1.0,5.21,5.41,5.19,5.23,141609.0
2020-02-21,5.21,5.23,5.165,5.2,127530.0,0.0,1.0,5.21,5.23,5.165,5.2,127530.0
2020-02-24,4.98,5.0,4.7,4.96,304997.0,0.0,1.0,4.98,5.0,4.7,4.96,304997.0
2020-02-25,4.9,4.94,4.71,4.83,311765.0,0.0,1.0,4.9,4.94,4.71,4.83,311765.0
2020-02-26,4.87,4.9196,4.6,4.68,340808.0,0.0,1.0,4.87,4.9196,4.6,4.68,340808.0
2020-02-27,4.5,4.55,4.295,4.51,394969.0,0.0,1.0,4.5,4.55,4.295,4.51,394969.0
2020-02-28,4.4,4.43,4.24,4.27,286089.0,0.0,1.0,4.4,4.43,4.24,4.27,286089.0
2020-03-02,4.34,4.4289,4.04,4.23,435071.0,0.0,1.0,4.34,4.4289,4.04,4.23,435071.0
2020-03-03,4.23,4.38,4.0,4.2,234604.0,0.0,1.0,4.23,4.38,4.0,4.2,234604.0
2020-03-04,4.25,4.31,4.06,4.13,329999.0,0.0,1.0,4.25,4.31,4.06,4.13,329999.0
2020-03-05,4.08,4.105,4.0,4.05,180999.0,0.0,1.0,4.08,4.105,4.0,4.05,180999.0
2020-03-06,3.99,4.25,3.99,4.1,223512.0,0.0,1.0,3.99,4.25,3.99,4.1,223512.0
2020-03-09,3.99,4.07,3.27,3.51,294150.0,0.0,1.0,3.99,4.07,3.27,3.51,294150.0
2020-03-10,3.66,3.81,3.52,3.74,212082.0,0.0,1.0,3.66,3.81,3.52,3.74,212082.0
2020-03-11,3.62,3.69,3.42,3.47,284501.0,0.0,1.0,3.62,3.69,3.42,3.47,284501.0
2020-03-12,2.95,3.18,2.62,2.72,420732.0,0.0,1.0,2.95,3.18,2.62,2.72,420732.0
2020-03-13,2.9,2.925,2.62,2.74,268844.0,0.0,1.0,2.9,2.925,2.62,2.74,268844.0
2020-03-16,2.6,2.8,1.7,1.78,850519.0,0.0,1.0,2.6,2.8,1.7,1.78,850519.0
2020-03-17,2.18,2.25,1.73,2.11,707174.0,0.0,1.0,2.18,2.25,1.73,2.11,707174.0
2020-03-18,2.0,2.0,1.7,1.85,177888.0,0.0,1.0,2.0,2.0,1.7,1.85,177888.0
2020-03-19,1.85,1.93,1.71,1.73,236387.0,0.0,1.0,1.85,1.93,1.71,1.73,236387.0
2020-03-20,1.88,2.14,1.72,1.76,490898.0,0.0,1.0,1.88,2.14,1.72,1.76,490898.0
2020-03-23,1.78,1.83,1.7102,1.75,254716.0,0.0,1.0,1.78,1.83,1.7102,1.75,254716.0
2020-03-24,1.86,1.975,1.74,1.77,461920.0,0.0,1.0,1.86,1.975,1.74,1.77,461920.0
2020-03-25,1.77,2.3,1.77,2.18,472216.0,0.0,1.0,1.77,2.3,1.77,2.18,472216.0
2020-03-26,2.3,2.5,2.23,2.34,498823.0,0.0,1.0,2.3,2.5,2.23,2.34,498823.0
2020-03-27,2.3,2.3,2.0,2.01,240226.0,0.0,1.0,2.3,2.3,2.0,2.01,240226.0
2020-03-30,2.0,2.06,1.81,1.88,200279.0,0.0,1.0,2.0,2.06,1.81,1.88,200279.0
2020-03-31,1.88,1.98,1.8,1.85,409759.0,0.0,1.0,1.88,1.98,1.8,1.85,409759.0
2020-04-01,1.78,1.88,1.72,1.78,321649.0,0.0,1.0,1.78,1.88,1.72,1.78,321649.0
2020-04-02,1.75,1.83,1.71,1.79,396923.0,0.0,1.0,1.75,1.83,1.71,1.79,396923.0
2020-04-03,1.78,1.7995,1.61,1.68,575009.0,0.0,1.0,1.78,1.7995,1.61,1.68,575009.0
2020-04-06,1.75,2.05,1.68,1.78,670629.0,0.0,1.0,1.75,2.05,1.68,1.78,670629.0
2020-04-07,1.81,2.28,1.77,1.98,1277570.0,0.0,1.0,1.81,2.28,1.77,1.98,1277570.0
