Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,6.96,6.97,6.84,6.93,405969.0,0.0,1.0,6.96,6.97,6.84,6.93,405969.0
2020-01-03,7.0,7.0,6.95,6.98,169588.0,0.0,1.0,7.0,7.0,6.95,6.98,169588.0
2020-01-06,7.07,7.15,7.03,7.12,345093.0,0.0,1.0,7.07,7.15,7.03,7.12,345093.0
2020-01-07,7.09,7.12,7.07,7.09,48074.0,0.0,1.0,7.09,7.12,7.07,7.09,48074.0
2020-01-08,7.06,7.1,7.0,7.05,56715.0,0.0,1.0,7.06,7.1,7.0,7.05,56715.0
2020-01-09,7.05,7.12,7.05,7.09,48675.0,0.0,1.0,7.05,7.12,7.05,7.09,48675.0
2020-01-10,7.15,7.24,7.15,7.24,83426.0,0.0,1.0,7.15,7.24,7.15,7.24,83426.0
2020-01-13,7.17,7.27,7.16,7.27,57057.0,0.0,1.0,7.17,7.27,7.16,7.27,57057.0
2020-01-14,7.3,7.38,7.231,7.32,42643.0,0.0,1.0,7.3,7.38,7.231,7.32,42643.0
2020-01-15,7.39,7.41,7.34,7.4,40860.0,0.0,1.0,7.39,7.41,7.34,7.4,40860.0
2020-01-16,7.46,7.46,7.32,7.34,50426.0,0.0,1.0,7.46,7.46,7.32,7.34,50426.0
2020-01-17,7.4,7.4,7.34,7.37,33946.0,0.0,1.0,7.4,7.4,7.34,7.37,33946.0
2020-01-21,7.41,7.41,7.35,7.41,48039.0,0.0,1.0,7.41,7.41,7.35,7.41,48039.0
2020-01-22,7.44,7.47,7.402,7.42,56377.0,0.0,1.0,7.44,7.47,7.402,7.42,56377.0
2020-01-23,7.33,7.4009,7.33,7.38,33176.0,0.0,1.0,7.33,7.4009,7.33,7.38,33176.0
2020-01-24,7.3,7.3201,7.26,7.31,24450.0,0.0,1.0,7.3,7.3201,7.26,7.31,24450.0
2020-01-27,7.23,7.27,7.21,7.26,53402.0,0.0,1.0,7.23,7.27,7.21,7.26,53402.0
2020-01-28,7.2,7.42,7.19,7.345,36841.0,0.0,1.0,7.2,7.42,7.19,7.345,36841.0
2020-01-29,7.37,7.37,7.27,7.28,25922.0,0.0,1.0,7.37,7.37,7.27,7.28,25922.0
2020-01-30,7.32,7.325,7.25,7.265,14026.0,0.0,1.0,7.32,7.325,7.25,7.265,14026.0
2020-01-31,7.27,7.3,7.24,7.245,57582.0,0.0,1.0,7.27,7.3,7.24,7.245,57582.0
2020-02-03,7.2,7.41,7.2,7.385,84790.0,0.0,1.0,7.2,7.41,7.2,7.385,84790.0
2020-02-04,7.39,7.41,7.31,7.32,17949.0,0.0,1.0,7.39,7.41,7.31,7.32,17949.0
2020-02-05,7.33,7.38,7.3,7.36,36193.0,0.0,1.0,7.33,7.38,7.3,7.36,36193.0
2020-02-06,7.34,7.39,7.31,7.37,24371.0,0.0,1.0,7.34,7.39,7.31,7.37,24371.0
2020-02-07,7.3707,7.465,7.361,7.44,42899.0,0.0,1.0,7.3707,7.465,7.361,7.44,42899.0
2020-02-10,7.44,7.49,7.43,7.43,17102.0,0.0,1.0,7.44,7.49,7.43,7.43,17102.0
2020-02-11,7.51,7.59,7.51,7.57,39929.0,0.0,1.0,7.51,7.59,7.51,7.57,39929.0
2020-02-12,7.64,7.65,7.55,7.575,26180.0,0.0,1.0,7.64,7.65,7.55,7.575,26180.0
2020-02-13,7.58,7.64,7.4633,7.47,27541.0,0.0,1.0,7.58,7.64,7.4633,7.47,27541.0
2020-02-14,7.49,7.49,7.35,7.3899,41872.0,0.0,1.0,7.49,7.49,7.35,7.3899,41872.0
2020-02-18,7.41,7.515,7.41,7.48,43948.0,0.0,1.0,7.41,7.515,7.41,7.48,43948.0
2020-02-19,7.49,7.62,7.49,7.57,38453.0,0.0,1.0,7.49,7.62,7.49,7.57,38453.0
2020-02-20,7.5244,7.57,7.51,7.5265,17530.0,0.0,1.0,7.5244,7.57,7.51,7.5265,17530.0
2020-02-21,7.6014,7.6099,7.58,7.59,35893.0,0.0,1.0,7.6014,7.6099,7.58,7.59,35893.0
2020-02-24,7.47,7.5,7.41,7.41,40409.0,0.0,1.0,7.47,7.5,7.41,7.41,40409.0
2020-02-25,7.45,7.4907,7.44,7.44,20684.0,0.0,1.0,7.45,7.4907,7.44,7.44,20684.0
2020-02-26,7.35,7.38,7.29,7.37,71998.0,0.0,1.0,7.35,7.38,7.29,7.37,71998.0
2020-02-27,7.19,7.265,7.14,7.23,74207.0,0.0,1.0,7.19,7.265,7.14,7.23,74207.0
2020-02-28,7.04,7.1329,7.04,7.105,70554.0,0.0,1.0,7.04,7.1329,7.04,7.105,70554.0
2020-03-02,7.05,7.1196,7.04,7.085,27274.0,0.0,1.0,7.05,7.1196,7.04,7.085,27274.0
2020-03-03,7.02,7.1,6.995,7.1,39737.0,0.0,1.0,7.02,7.1,6.995,7.1,39737.0
2020-03-04,7.04,7.04,6.91,6.91,48206.0,0.0,1.0,7.04,7.04,6.91,6.91,48206.0
2020-03-05,6.8991,6.8999,6.8631,6.89,19986.0,0.0,1.0,6.8991,6.8999,6.8631,6.89,19986.0
2020-03-06,6.8,6.8,6.6904,6.735,31770.0,0.0,1.0,6.8,6.8,6.6904,6.735,31770.0
2020-03-09,6.45,6.59,6.37,6.55,63028.0,0.0,1.0,6.45,6.59,6.37,6.55,63028.0
2020-03-10,6.52,6.52,6.375,6.46,27113.0,0.0,1.0,6.52,6.52,6.375,6.46,27113.0
2020-03-11,6.36,6.39,6.3,6.3,34041.0,0.0,1.0,6.36,6.39,6.3,6.3,34041.0
2020-03-12,6.14,6.14,5.9244,6.0011,50559.0,0.0,1.0,6.14,6.14,5.9244,6.0011,50559.0
2020-03-13,6.18,6.18,5.98,6.05,20035.0,0.0,1.0,6.18,6.18,5.98,6.05,20035.0
2020-03-16,5.68,5.7585,5.68,5.74,116848.0,0.0,1.0,5.68,5.7585,5.68,5.74,116848.0
2020-03-17,5.71,5.72,5.6253,5.6253,24981.0,0.0,1.0,5.71,5.72,5.6253,5.6253,24981.0
