Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.96,1.96,1.88,1.94,3245599.0,0.0,1.0,1.96,1.96,1.88,1.94,3245599.0
2020-01-03,1.9,1.95,1.9,1.94,534603.0,0.0,1.0,1.9,1.95,1.9,1.94,534603.0
2020-01-06,1.91,1.96,1.91,1.95,641994.0,0.0,1.0,1.91,1.96,1.91,1.95,641994.0
2020-01-07,1.95,1.95,1.9,1.91,1022621.0,0.0,1.0,1.95,1.95,1.9,1.91,1022621.0
2020-01-08,1.92,1.95,1.88,1.89,638891.0,0.0,1.0,1.92,1.95,1.88,1.89,638891.0
2020-01-09,1.89,1.92,1.85,1.88,534898.0,0.0,1.0,1.89,1.92,1.85,1.88,534898.0
2020-01-10,1.9,1.92,1.86,1.88,878380.0,0.0,1.0,1.9,1.92,1.86,1.88,878380.0
2020-01-13,1.88,1.92,1.83,1.89,764003.0,0.0,1.0,1.88,1.92,1.83,1.89,764003.0
2020-01-14,1.88,1.9,1.85,1.86,1164664.0,0.0,1.0,1.88,1.9,1.85,1.86,1164664.0
2020-01-15,1.87,1.91,1.85,1.88,780939.0,0.0,1.0,1.87,1.91,1.85,1.88,780939.0
2020-01-16,1.88,2.04,1.86,1.96,962129.0,0.0,1.0,1.88,2.04,1.86,1.96,962129.0
2020-01-17,1.99,2.18,1.9817,2.02,1872908.0,0.0,1.0,1.99,2.18,1.9817,2.02,1872908.0
2020-01-21,2.06,2.11,1.95,1.95,1495409.0,0.0,1.0,2.06,2.11,1.95,1.95,1495409.0
2020-01-22,1.97,1.99,1.88,1.93,1607255.0,0.0,1.0,1.97,1.99,1.88,1.93,1607255.0
2020-01-23,1.94,1.964,1.86,1.9,498962.0,0.0,1.0,1.94,1.964,1.86,1.9,498962.0
2020-01-24,1.91,1.94,1.86,1.9,862869.0,0.0,1.0,1.91,1.94,1.86,1.9,862869.0
2020-01-27,1.86,1.95,1.84,1.9,551397.0,0.0,1.0,1.86,1.95,1.84,1.9,551397.0
2020-01-28,1.9,2.09,1.9,1.945,1373627.0,0.0,1.0,1.9,2.09,1.9,1.945,1373627.0
2020-01-29,1.95,2.05,1.83,1.86,1177510.0,0.0,1.0,1.95,2.05,1.83,1.86,1177510.0
2020-01-30,1.85,1.85,1.61,1.65,2694541.0,0.0,1.0,1.85,1.85,1.61,1.65,2694541.0
