Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.89,3.02,2.865,2.94,3657737.0,0.0,1.0,2.89,3.02,2.865,2.94,3657737.0
2020-01-03,2.92,2.98,2.865,2.89,1544933.0,0.0,1.0,2.92,2.98,2.865,2.89,1544933.0
2020-01-06,2.88,2.92,2.81,2.85,2607558.0,0.0,1.0,2.88,2.92,2.81,2.85,2607558.0
2020-01-07,2.84,2.86,2.76,2.79,1175463.0,0.0,1.0,2.84,2.86,2.76,2.79,1175463.0
2020-01-08,2.77,2.8,2.7,2.77,2051260.0,0.0,1.0,2.77,2.8,2.7,2.77,2051260.0
2020-01-09,2.77,2.86,2.75,2.82,1202927.0,0.0,1.0,2.77,2.86,2.75,2.82,1202927.0
2020-01-10,2.83,2.87,2.8,2.84,2172858.0,0.0,1.0,2.83,2.87,2.8,2.84,2172858.0
2020-01-13,2.86,3.015,2.84,2.9,2769616.0,0.0,1.0,2.86,3.015,2.84,2.9,2769616.0
2020-01-14,2.92,2.92,2.83,2.87,1032352.0,0.0,1.0,2.92,2.92,2.83,2.87,1032352.0
2020-01-15,2.88,3.0,2.855,2.96,1701100.0,0.0,1.0,2.88,3.0,2.855,2.96,1701100.0
2020-01-16,2.93,3.03,2.93,3.01,1150306.0,0.0,1.0,2.93,3.03,2.93,3.01,1150306.0
2020-01-17,3.03,3.095,2.99,3.04,679981.0,0.0,1.0,3.03,3.095,2.99,3.04,679981.0
2020-01-21,3.02,3.1,3.0,3.03,1232971.0,0.0,1.0,3.02,3.1,3.0,3.03,1232971.0
2020-01-22,3.05,3.1,2.94,3.05,2237191.0,0.0,1.0,3.05,3.1,2.94,3.05,2237191.0
2020-01-23,3.02,3.09,2.96,3.0,1022902.0,0.0,1.0,3.02,3.09,2.96,3.0,1022902.0
2020-01-24,3.01,3.02,2.88,2.91,1013141.0,0.0,1.0,3.01,3.02,2.88,2.91,1013141.0
2020-01-27,2.8,2.89,2.76,2.86,1337969.0,0.0,1.0,2.8,2.89,2.76,2.86,1337969.0
2020-01-28,2.88,2.91,2.85,2.86,678625.0,0.0,1.0,2.88,2.91,2.85,2.86,678625.0
2020-01-29,2.87,2.9,2.84,2.86,613423.0,0.0,1.0,2.87,2.9,2.84,2.86,613423.0
2020-01-30,2.8,2.84,2.75,2.81,1107834.0,0.0,1.0,2.8,2.84,2.75,2.81,1107834.0
2020-01-31,2.8,2.8,2.68,2.73,1372682.0,0.0,1.0,2.8,2.8,2.68,2.73,1372682.0
2020-02-03,2.68,2.8,2.68,2.78,735808.0,0.0,1.0,2.68,2.8,2.68,2.78,735808.0
2020-02-04,2.82,2.865,2.74,2.77,1021870.0,0.0,1.0,2.82,2.865,2.74,2.77,1021870.0
2020-02-05,2.81,2.82,2.77,2.8,979013.0,0.0,1.0,2.81,2.82,2.77,2.8,979013.0
2020-02-06,2.85,2.85,2.74,2.74,986285.0,0.0,1.0,2.85,2.85,2.74,2.74,986285.0
2020-02-07,2.72,2.73,2.58,2.67,1271209.0,0.0,1.0,2.72,2.73,2.58,2.67,1271209.0
2020-02-10,2.66,2.67,2.58,2.59,541884.0,0.0,1.0,2.66,2.67,2.58,2.59,541884.0
2020-02-11,2.61,2.685,2.58,2.67,584239.0,0.0,1.0,2.61,2.685,2.58,2.67,584239.0
2020-02-12,2.71,2.75,2.65,2.7,702459.0,0.0,1.0,2.71,2.75,2.65,2.7,702459.0
2020-02-13,2.7,2.76,2.69,2.7,459067.0,0.0,1.0,2.7,2.76,2.69,2.7,459067.0
2020-02-14,2.71,2.76,2.665,2.73,722294.0,0.0,1.0,2.71,2.76,2.665,2.73,722294.0
2020-02-18,2.72,2.76,2.66,2.66,657272.0,0.0,1.0,2.72,2.76,2.66,2.66,657272.0
2020-02-19,2.69,2.73,2.65,2.66,795616.0,0.0,1.0,2.69,2.73,2.65,2.66,795616.0
2020-02-20,2.65,2.69,2.59,2.6,1558160.0,0.0,1.0,2.65,2.69,2.59,2.6,1558160.0
2020-02-21,2.6,2.63,2.54,2.59,1078692.0,0.0,1.0,2.6,2.63,2.54,2.59,1078692.0
2020-02-24,2.52,2.54,2.47,2.52,837062.0,0.0,1.0,2.52,2.54,2.47,2.52,837062.0
2020-02-25,2.53,2.535,2.335,2.35,1736920.0,0.0,1.0,2.53,2.535,2.335,2.35,1736920.0
2020-02-26,2.36,2.36,2.0,2.04,4249477.0,0.0,1.0,2.36,2.36,2.0,2.04,4249477.0
2020-02-27,2.29,2.29,1.97,2.14,1937345.0,0.0,1.0,2.29,2.29,1.97,2.14,1937345.0
