Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,7.65,7.72,7.58,7.68,74155.0,0.0,1.0,7.65,7.72,7.58,7.68,74155.0
2020-01-03,7.6,7.72,7.59,7.71,56620.0,0.0,1.0,7.6,7.72,7.59,7.71,56620.0
2020-01-06,7.64,7.88,7.635,7.83,38446.0,0.0,1.0,7.64,7.88,7.635,7.83,38446.0
2020-01-07,7.77,7.95,7.63,7.69,38624.0,0.0,1.0,7.77,7.95,7.63,7.69,38624.0
2020-01-08,7.69,7.86,7.62,7.74,44717.0,0.0,1.0,7.69,7.86,7.62,7.74,44717.0
2020-01-09,7.73,7.97,7.73,7.82,47028.0,0.0,1.0,7.73,7.97,7.73,7.82,47028.0
2020-01-10,7.79,7.96,7.72,7.8,67069.0,0.0,1.0,7.79,7.96,7.72,7.8,67069.0
2020-01-13,7.8,7.91,7.73,7.91,40842.0,0.0,1.0,7.8,7.91,7.73,7.91,40842.0
2020-01-14,7.87,8.13,7.74,8.12,83570.0,0.0,1.0,7.87,8.13,7.74,8.12,83570.0
2020-01-15,8.1,8.12,7.92,7.95,57935.0,0.0,1.0,8.1,8.12,7.92,7.95,57935.0
2020-01-16,7.99,8.1,7.97,8.04,40353.0,0.0,1.0,7.99,8.1,7.97,8.04,40353.0
2020-01-17,8.11,8.11,7.92,7.94,63522.0,0.0,1.0,8.11,8.11,7.92,7.94,63522.0
2020-01-21,8.0,8.19,8.0,8.09,42584.0,0.0,1.0,8.0,8.19,8.0,8.09,42584.0
2020-01-22,8.04,8.085,7.91,7.95,58056.0,0.0,1.0,8.04,8.085,7.91,7.95,58056.0
2020-01-23,7.94,8.01,7.67,7.96,86027.0,0.0,1.0,7.94,8.01,7.67,7.96,86027.0
2020-01-24,7.905,7.94,7.74,7.77,50836.0,0.0,1.0,7.905,7.94,7.74,7.77,50836.0
2020-01-27,7.65,7.67,7.47,7.475,45589.0,0.0,1.0,7.65,7.67,7.47,7.475,45589.0
2020-01-28,7.5,7.51,7.42,7.49,42814.0,0.0,1.0,7.5,7.51,7.42,7.49,42814.0
2020-01-29,7.47,7.48,7.28,7.33,41931.0,0.0,1.0,7.47,7.48,7.28,7.33,41931.0
2020-01-30,7.28,7.64,7.26,7.62,71042.0,0.0,1.0,7.28,7.64,7.26,7.62,71042.0
2020-01-31,7.54,7.67,7.28,7.6,105605.0,0.0,1.0,7.54,7.67,7.28,7.6,105605.0
2020-02-03,7.65,7.83,7.55,7.57,54647.0,0.0,1.0,7.65,7.83,7.55,7.57,54647.0
2020-02-04,7.66,7.8131,7.64,7.69,46037.0,0.0,1.0,7.66,7.8131,7.64,7.69,46037.0
2020-02-05,7.7,7.9,7.67,7.87,97827.0,0.0,1.0,7.7,7.9,7.67,7.87,97827.0
2020-02-06,7.85,7.85,7.75,7.84,45427.0,0.0,1.0,7.85,7.85,7.75,7.84,45427.0
2020-02-07,7.81,7.85,7.6446,7.71,81659.0,0.0,1.0,7.81,7.85,7.6446,7.71,81659.0
2020-02-10,7.69,7.75,7.63,7.69,75017.0,0.0,1.0,7.69,7.75,7.63,7.69,75017.0
2020-02-11,7.71,7.78,7.6,7.69,52308.0,0.0,1.0,7.71,7.78,7.6,7.69,52308.0
2020-02-12,7.74,7.74,7.54,7.68,34380.0,0.0,1.0,7.74,7.74,7.54,7.68,34380.0
2020-02-13,7.64,7.81,7.59,7.72,50329.0,0.0,1.0,7.64,7.81,7.59,7.72,50329.0
