Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,9.24,9.24,9.21,9.23,205714.0,0.0,1.0,9.24,9.24,9.21,9.23,205714.0
2020-01-03,9.23,9.25,9.2,9.23,509567.0,0.0,1.0,9.23,9.25,9.2,9.23,509567.0
2020-01-06,9.3,9.3,9.24,9.27,729973.0,0.0,1.0,9.3,9.3,9.24,9.27,729973.0
2020-01-07,9.27,9.29,9.26,9.27,257436.0,0.0,1.0,9.27,9.29,9.26,9.27,257436.0
2020-01-08,9.3,9.3,9.25,9.27,185406.0,0.0,1.0,9.3,9.3,9.25,9.27,185406.0
2020-01-09,9.27,9.3,9.2612,9.27,177525.0,0.0,1.0,9.27,9.3,9.2612,9.27,177525.0
2020-01-10,9.3,9.3,9.26,9.27,186623.0,0.0,1.0,9.3,9.3,9.26,9.27,186623.0
2020-01-13,9.3,9.3,9.25,9.27,205419.0,0.0,1.0,9.3,9.3,9.25,9.27,205419.0
2020-01-14,9.28,9.28,9.25,9.27,292300.0,0.0,1.0,9.28,9.28,9.25,9.27,292300.0
2020-01-15,9.27,9.2797,9.25,9.26,337446.0,0.0,1.0,9.27,9.2797,9.25,9.26,337446.0
2020-01-16,9.26,9.27,9.24,9.25,2199810.0,0.0,1.0,9.26,9.27,9.24,9.25,2199810.0
2020-01-17,9.25,9.3,9.24,9.3,2633594.0,0.0,1.0,9.25,9.3,9.24,9.3,2633594.0
2020-01-21,9.4,9.4,9.31,9.33,145186.0,0.0,1.0,9.4,9.4,9.31,9.33,145186.0
2020-01-22,9.4,9.4,9.32,9.34,256733.0,0.0,1.0,9.4,9.4,9.32,9.34,256733.0
2020-01-23,9.35,9.35,9.29,9.32,263752.0,0.0,1.0,9.35,9.35,9.29,9.32,263752.0
2020-01-24,9.4,9.4,9.32,9.35,236238.0,0.0,1.0,9.4,9.4,9.32,9.35,236238.0
2020-01-27,9.4,9.4,9.28,9.29,242709.0,0.0,1.0,9.4,9.4,9.28,9.29,242709.0
