Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-06-18,0.65,0.68,0.65,0.68,1000.0,0.0,1.0,0.65,0.68,0.65,0.68,1000.0
2020-06-19,0.68,0.68,0.68,0.68,0.0,0.0,1.0,0.68,0.68,0.68,0.68,0.0
2020-06-22,0.75,0.75,0.7067,0.7067,1400.0,0.0,1.0,0.75,0.75,0.7067,0.7067,1400.0
2020-06-23,0.71,0.712801,0.71,0.71,4100.0,0.0,1.0,0.71,0.712801,0.71,0.71,4100.0
2020-06-24,0.66563,0.679,0.66563,0.67,720.0,0.0,1.0,0.66563,0.679,0.66563,0.67,720.0
2020-06-25,0.71,0.71,0.71,0.71,2000.0,0.0,1.0,0.71,0.71,0.71,0.71,2000.0
2020-06-26,0.685,0.7,0.685,0.68695,440.0,0.0,1.0,0.685,0.7,0.685,0.68695,440.0
2020-06-29,0.71,0.71,0.571,0.571,12610.0,0.0,1.0,0.71,0.71,0.571,0.571,12610.0
2020-06-30,0.572,0.7,0.571,0.69,10300.0,0.0,1.0,0.572,0.7,0.571,0.69,10300.0
2020-07-01,0.6822,0.6822,0.6822,0.6822,300.0,0.0,1.0,0.6822,0.6822,0.6822,0.6822,300.0
2020-07-02,0.63,0.63,0.63,0.63,1000.0,0.0,1.0,0.63,0.63,0.63,0.63,1000.0
2020-07-06,0.65,0.66,0.65,0.65,26600.0,0.0,1.0,0.65,0.66,0.65,0.65,26600.0
2020-07-07,0.65,1.0,0.649551,0.65,122400.0,0.0,1.0,0.65,1.0,0.649551,0.65,122400.0
2020-07-08,0.65,0.65,0.65,0.65,99.0,0.0,1.0,0.65,0.65,0.65,0.65,99.0
2020-07-09,0.6826,0.71405,0.6499,0.6499,3700.0,0.0,1.0,0.6826,0.71405,0.6499,0.6499,3700.0
2020-07-10,0.732499,1.09,0.732499,0.81,160727.0,0.0,1.0,0.732499,1.09,0.732499,0.81,160727.0
2020-07-13,0.72,0.81,0.71,0.75,33758.0,0.0,1.0,0.72,0.81,0.71,0.75,33758.0
2020-07-14,0.73,0.73,0.649899,0.649899,22924.0,0.0,1.0,0.73,0.73,0.649899,0.649899,22924.0
2020-07-15,0.79,0.79,0.6,0.789899,136018.0,0.0,1.0,0.79,0.79,0.6,0.789899,136018.0
2020-07-16,0.78,0.78,0.65,0.749,7279.0,0.0,1.0,0.78,0.78,0.65,0.749,7279.0
2020-07-17,0.79,0.79,0.67,0.67,8500.0,0.0,1.0,0.79,0.79,0.67,0.67,8500.0
2020-07-20,0.67,0.7,0.67,0.6999,36785.0,0.0,1.0,0.67,0.7,0.67,0.6999,36785.0
2020-07-21,0.72,0.72,0.67,0.6799,3900.0,0.0,1.0,0.72,0.72,0.67,0.6799,3900.0
2020-07-22,0.7,0.95,0.63,0.8,38533.0,0.0,1.0,0.7,0.95,0.63,0.8,38533.0
2020-07-23,0.7411,0.755001,0.7,0.7,5248.0,0.0,1.0,0.7411,0.755001,0.7,0.7,5248.0
2020-07-24,0.75,0.77,0.74,0.77,41200.0,0.0,1.0,0.75,0.77,0.74,0.77,41200.0
2020-07-27,0.8,0.8,0.79,0.8,6725.0,0.0,1.0,0.8,0.8,0.79,0.8,6725.0
2020-07-28,0.77,0.8,0.75,0.8,63008.0,0.0,1.0,0.77,0.8,0.75,0.8,63008.0
2020-07-29,0.75,0.75,0.75,0.75,600.0,0.0,1.0,0.75,0.75,0.75,0.75,600.0
2020-07-30,0.75,0.75,0.72,0.72,400.0,0.0,1.0,0.75,0.75,0.72,0.72,400.0
2020-07-31,0.764999,0.78999,0.72,0.78999,19311.0,0.0,1.0,0.764999,0.78999,0.72,0.78999,19311.0
2020-08-03,0.770001,0.770001,0.77,0.77,1132.0,0.0,1.0,0.770001,0.770001,0.77,0.77,1132.0
2020-08-04,0.79,0.8,0.75,0.75,13250.0,0.0,1.0,0.79,0.8,0.75,0.75,13250.0
2020-08-05,0.65,0.65,0.6499,0.65,13266.0,0.0,1.0,0.65,0.65,0.6499,0.65,13266.0
2020-08-06,0.65,0.65,0.65,0.65,3318.0,0.0,1.0,0.65,0.65,0.65,0.65,3318.0
2020-08-07,0.65,0.65,0.65,0.65,350.0,0.0,1.0,0.65,0.65,0.65,0.65,350.0
2020-08-10,0.62,0.649899,0.62,0.649899,20012.0,0.0,1.0,0.62,0.649899,0.62,0.649899,20012.0
2020-08-11,0.75,0.75,0.66,0.66,454.0,0.0,1.0,0.75,0.75,0.66,0.66,454.0
2020-08-12,0.63,0.65,0.63,0.65,50757.0,0.0,1.0,0.63,0.65,0.63,0.65,50757.0
2020-08-13,0.65,0.65,0.65,0.65,750.0,0.0,1.0,0.65,0.65,0.65,0.65,750.0
2020-08-14,0.65,0.65,0.65,0.65,5639.0,0.0,1.0,0.65,0.65,0.65,0.65,5639.0
2020-08-17,0.6008,0.65,0.58,0.64,39430.0,0.0,1.0,0.6008,0.65,0.58,0.64,39430.0
2020-08-18,0.64,0.64,0.64,0.64,0.0,0.0,1.0,0.64,0.64,0.64,0.64,0.0
2020-08-19,0.600101,0.63,0.6,0.63,22050.0,0.0,1.0,0.600101,0.63,0.6,0.63,22050.0
2020-08-20,0.63,0.65,0.63,0.641,66100.0,0.0,1.0,0.63,0.65,0.63,0.641,66100.0
2020-08-21,0.58,0.65,0.58,0.65,32298.0,0.0,1.0,0.58,0.65,0.58,0.65,32298.0
2020-08-24,0.62,0.62,0.62,0.62,9550.0,0.0,1.0,0.62,0.62,0.62,0.62,9550.0
2020-08-25,0.64,0.65,0.61,0.62,25173.0,0.0,1.0,0.64,0.65,0.61,0.62,25173.0
2020-08-26,0.6,0.65,0.6,0.65,42526.0,0.0,1.0,0.6,0.65,0.6,0.65,42526.0
2020-08-27,0.6002,0.64,0.6002,0.64,8906.0,0.0,1.0,0.6002,0.64,0.6002,0.64,8906.0
2020-08-28,0.61,0.6101,0.61,0.6101,200.0,0.0,1.0,0.61,0.6101,0.61,0.6101,200.0
2020-08-31,0.61,0.61,0.6,0.6,6112.0,0.0,1.0,0.61,0.61,0.6,0.6,6112.0
2020-09-01,0.615,0.62,0.58,0.62,17400.0,0.0,1.0,0.615,0.62,0.58,0.62,17400.0
2020-09-02,0.62,0.62,0.62,0.62,0.0,0.0,1.0,0.62,0.62,0.62,0.62,0.0
2020-09-03,0.63,0.63,0.61,0.62,11602.0,0.0,1.0,0.63,0.63,0.61,0.62,11602.0
2020-09-04,0.645,0.715,0.63,0.699101,17755.0,0.0,1.0,0.645,0.715,0.63,0.699101,17755.0
2020-09-08,0.71,0.78,0.71,0.77,8451.0,0.0,1.0,0.71,0.78,0.71,0.77,8451.0
2020-09-09,0.77,0.77,0.77,0.77,0.0,0.0,1.0,0.77,0.77,0.77,0.77,0.0
2020-09-10,0.75,0.75,0.72,0.72,6437.0,0.0,1.0,0.75,0.75,0.72,0.72,6437.0
2020-09-11,0.71,0.71,0.7,0.7,6296.0,0.0,1.0,0.71,0.71,0.7,0.7,6296.0
2020-09-14,0.71,0.72,0.71,0.72,22307.0,0.0,1.0,0.71,0.72,0.71,0.72,22307.0
2020-09-15,0.75,0.75,0.75,0.75,101.0,0.0,1.0,0.75,0.75,0.75,0.75,101.0
2020-09-16,0.75,0.96,0.75,0.920451,35852.0,0.0,1.0,0.75,0.96,0.75,0.920451,35852.0
2020-09-17,0.8,0.8,0.79,0.79,9401.0,0.0,1.0,0.8,0.8,0.79,0.79,9401.0
2020-09-18,0.79,0.79,0.79,0.79,18.0,0.0,1.0,0.79,0.79,0.79,0.79,18.0
2020-09-21,0.8,0.85,0.8,0.82,1800.0,0.0,1.0,0.8,0.85,0.8,0.82,1800.0
2020-09-22,0.82,0.82,0.82,0.82,196.0,0.0,1.0,0.82,0.82,0.82,0.82,196.0
2020-09-23,0.8,0.8,0.599899,0.6,39700.0,0.0,1.0,0.8,0.8,0.599899,0.6,39700.0
