Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.74,1.8027,1.7,1.73,26108.0,0.0,1.0,1.74,1.8027,1.7,1.73,26108.0
2020-01-03,1.72,1.76,1.7145,1.73,22998.0,0.0,1.0,1.72,1.76,1.7145,1.73,22998.0
2020-01-06,1.75,1.75,1.7,1.7,23599.0,0.0,1.0,1.75,1.75,1.7,1.7,23599.0
2020-01-07,1.71,1.81,1.7,1.75,97052.0,0.0,1.0,1.71,1.81,1.7,1.75,97052.0
2020-01-08,1.72,1.8298,1.72,1.82,43092.0,0.0,1.0,1.72,1.8298,1.72,1.82,43092.0
2020-01-09,1.85,2.37,1.85,2.24,481906.0,0.0,1.0,1.85,2.37,1.85,2.24,481906.0
2020-01-10,2.1,2.1,2.0008,2.01,198303.0,0.0,1.0,2.1,2.1,2.0008,2.01,198303.0
2020-01-13,2.15,2.29,1.98,1.9999,255549.0,0.0,1.0,2.15,2.29,1.98,1.9999,255549.0
2020-01-14,2.0,2.0,1.92,1.97,57997.0,0.0,1.0,2.0,2.0,1.92,1.97,57997.0
2020-01-15,1.98,2.0,1.97,1.9987,138695.0,0.0,1.0,1.98,2.0,1.97,1.9987,138695.0
2020-01-16,2.0,2.0,1.98,1.99,57826.0,0.0,1.0,2.0,2.0,1.98,1.99,57826.0
2020-01-17,1.99,2.09,1.98,2.0302,36490.0,0.0,1.0,1.99,2.09,1.98,2.0302,36490.0
2020-01-21,2.07,2.16,2.03,2.055,101833.0,0.0,1.0,2.07,2.16,2.03,2.055,101833.0
2020-01-22,2.05,2.15,2.04,2.11,50772.0,0.0,1.0,2.05,2.15,2.04,2.11,50772.0
2020-01-23,2.11,2.14,2.0205,2.1052,71603.0,0.0,1.0,2.11,2.14,2.0205,2.1052,71603.0
2020-01-24,2.08,2.18,2.04,2.17,33437.0,0.0,1.0,2.08,2.18,2.04,2.17,33437.0
2020-01-27,2.13,2.14,2.05,2.1,48183.0,0.0,1.0,2.13,2.14,2.05,2.1,48183.0
2020-01-28,2.08,2.29,2.08,2.15,93366.0,0.0,1.0,2.08,2.29,2.08,2.15,93366.0
2020-01-29,2.11,2.24,2.11,2.16,42227.0,0.0,1.0,2.11,2.24,2.11,2.16,42227.0
2020-01-30,2.14,2.16,2.1,2.1397,23986.0,0.0,1.0,2.14,2.16,2.1,2.1397,23986.0
2020-01-31,2.0,2.13,1.73,1.87,329265.0,0.0,1.0,2.0,2.13,1.73,1.87,329265.0
2020-02-03,1.87,1.9199,1.81,1.83,43915.0,0.0,1.0,1.87,1.9199,1.81,1.83,43915.0
2020-02-04,1.8,1.9283,1.8,1.85,62237.0,0.0,1.0,1.8,1.9283,1.8,1.85,62237.0
2020-02-05,1.85,1.9,1.85,1.8607,11570.0,0.0,1.0,1.85,1.9,1.85,1.8607,11570.0
2020-02-06,1.83,1.98,1.77,1.9,81152.0,0.0,1.0,1.83,1.98,1.77,1.9,81152.0
2020-02-07,1.9,1.98,1.82,1.84,71535.0,0.0,1.0,1.9,1.98,1.82,1.84,71535.0
2020-02-10,1.8,1.8754,1.8,1.84,6927.0,0.0,1.0,1.8,1.8754,1.8,1.84,6927.0
2020-02-11,1.81,1.9299,1.76,1.78,57566.0,0.0,1.0,1.81,1.9299,1.76,1.78,57566.0
2020-02-12,1.77,1.86,1.71,1.78,28643.0,0.0,1.0,1.77,1.86,1.71,1.78,28643.0
2020-02-13,1.74,1.7993,1.51,1.64,78040.0,0.0,1.0,1.74,1.7993,1.51,1.64,78040.0
2020-02-14,1.75,1.76,1.66,1.75,28221.0,0.0,1.0,1.75,1.76,1.66,1.75,28221.0
2020-02-18,1.67,1.7199,1.65,1.66,33084.0,0.0,1.0,1.67,1.7199,1.65,1.66,33084.0
2020-02-19,1.67,1.7252,1.6625,1.715,26788.0,0.0,1.0,1.67,1.7252,1.6625,1.715,26788.0
2020-02-20,1.74,1.85,1.69,1.75,32896.0,0.0,1.0,1.74,1.85,1.69,1.75,32896.0
2020-02-21,1.92,1.92,1.66,1.72,108089.0,0.0,1.0,1.92,1.92,1.66,1.72,108089.0
2020-02-24,1.73,1.73,1.5,1.68,114442.0,0.0,1.0,1.73,1.73,1.5,1.68,114442.0
2020-02-25,1.7,1.7013,1.56,1.6,73650.0,0.0,1.0,1.7,1.7013,1.56,1.6,73650.0
2020-02-26,1.65,1.65,1.54,1.56,54352.0,0.0,1.0,1.65,1.65,1.54,1.56,54352.0
2020-02-27,1.51,1.64,1.46,1.55,142958.0,0.0,1.0,1.51,1.64,1.46,1.55,142958.0
2020-02-28,1.49,1.5916,1.46,1.48,71992.0,0.0,1.0,1.49,1.5916,1.46,1.48,71992.0
2020-03-02,1.55,1.57,1.5002,1.51,29791.0,0.0,1.0,1.55,1.57,1.5002,1.51,29791.0
2020-03-03,1.5,1.7,1.5,1.5277,10716.0,0.0,1.0,1.5,1.7,1.5,1.5277,10716.0
2020-03-04,1.55,1.6397,1.5106,1.5699,49893.0,0.0,1.0,1.55,1.6397,1.5106,1.5699,49893.0
2020-03-05,1.55,1.59,1.5,1.52,66526.0,0.0,1.0,1.55,1.59,1.5,1.52,66526.0
2020-03-06,1.5,1.5074,1.41,1.41,74565.0,0.0,1.0,1.5,1.5074,1.41,1.41,74565.0
2020-03-09,1.4,1.5499,1.3,1.38,121415.0,0.0,1.0,1.4,1.5499,1.3,1.38,121415.0
2020-03-10,1.4,1.5,1.34,1.38,59774.0,0.0,1.0,1.4,1.5,1.34,1.38,59774.0
2020-03-11,1.35,1.4464,1.3,1.32,15725.0,0.0,1.0,1.35,1.4464,1.3,1.32,15725.0
2020-03-12,1.3,1.3181,1.2,1.3,83292.0,0.0,1.0,1.3,1.3181,1.2,1.3,83292.0
2020-03-13,1.3,1.37,1.28,1.28,36816.0,0.0,1.0,1.3,1.37,1.28,1.28,36816.0
2020-03-16,1.33,1.33,1.1,1.1967,151042.0,0.0,1.0,1.33,1.33,1.1,1.1967,151042.0
2020-03-17,1.21,1.28,1.05,1.17,185946.0,0.0,1.0,1.21,1.28,1.05,1.17,185946.0
2020-03-18,1.12,1.12,0.64,0.8602,180432.0,0.0,1.0,1.12,1.12,0.64,0.8602,180432.0
2020-03-19,0.86,0.95,0.85,0.91,49892.0,0.0,1.0,0.86,0.95,0.85,0.91,49892.0
2020-03-20,1.01,1.2,1.01,1.14,94900.0,0.0,1.0,1.01,1.2,1.01,1.14,94900.0
2020-03-23,1.12,1.17,0.9401,1.03,66200.0,0.0,1.0,1.12,1.17,0.9401,1.03,66200.0
2020-03-24,1.05,1.09,0.98,1.04,25471.0,0.0,1.0,1.05,1.09,0.98,1.04,25471.0
2020-03-25,1.11,1.11,0.99,1.04,68266.0,0.0,1.0,1.11,1.11,0.99,1.04,68266.0
2020-03-26,1.06,1.18,1.04,1.0501,16382.0,0.0,1.0,1.06,1.18,1.04,1.0501,16382.0
2020-03-27,1.07,1.15,1.0,1.15,65972.0,0.0,1.0,1.07,1.15,1.0,1.15,65972.0
2020-03-30,1.15,1.2,1.0676,1.08,20077.0,0.0,1.0,1.15,1.2,1.0676,1.08,20077.0
2020-03-31,1.08,1.19,1.08,1.17,92038.0,0.0,1.0,1.08,1.19,1.08,1.17,92038.0
2020-04-01,1.17,1.18,1.09,1.16,2640.0,0.0,1.0,1.17,1.18,1.09,1.16,2640.0
2020-04-02,1.15,1.15,1.05,1.09,16987.0,0.0,1.0,1.15,1.15,1.05,1.09,16987.0
2020-04-03,1.05,1.09,1.0,1.04,77747.0,0.0,1.0,1.05,1.09,1.0,1.04,77747.0
2020-04-06,1.0,1.03,0.8,0.89,273415.0,0.0,1.0,1.0,1.03,0.8,0.89,273415.0
2020-04-07,0.9,0.925,0.83,0.85,57158.0,0.0,1.0,0.9,0.925,0.83,0.85,57158.0
2020-04-08,0.85,0.9,0.85,0.898699,32728.0,0.0,1.0,0.85,0.9,0.85,0.898699,32728.0
2020-04-09,0.9,0.95,0.89,0.9001,73310.0,0.0,1.0,0.9,0.95,0.89,0.9001,73310.0
2020-04-13,0.92,0.9499,0.86,0.9,32201.0,0.0,1.0,0.92,0.9499,0.86,0.9,32201.0
2020-04-14,0.9136,0.98,0.87,0.9303,54920.0,0.0,1.0,0.9136,0.98,0.87,0.9303,54920.0
2020-04-15,0.98,1.16,0.89,1.03,68071.0,0.0,1.0,0.98,1.16,0.89,1.03,68071.0
2020-04-16,0.9852,1.08,0.87,0.929,79273.0,0.0,1.0,0.9852,1.08,0.87,0.929,79273.0
2020-04-17,0.95,1.04,0.9264,1.03,91654.0,0.0,1.0,0.95,1.04,0.9264,1.03,91654.0
2020-04-20,0.469,0.59,0.44,0.555,12199841.0,0.0,1.0,0.469,0.59,0.44,0.555,12199841.0
