Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,6.77,6.94,6.75,6.94,38892.0,0.0,1.0,6.77,6.94,6.75,6.94,38892.0
2020-01-03,6.8,6.91,6.79,6.81,44195.0,0.0,1.0,6.8,6.91,6.79,6.81,44195.0
2020-01-06,6.7,7.02,6.65,6.9,62679.0,0.0,1.0,6.7,7.02,6.65,6.9,62679.0
2020-01-07,6.82,6.95,6.82,6.87,35268.0,0.0,1.0,6.82,6.95,6.82,6.87,35268.0
2020-01-08,6.88,6.94,6.8,6.81,27965.0,0.0,1.0,6.88,6.94,6.8,6.81,27965.0
2020-01-09,6.86,6.92,6.77,6.77,41059.0,0.0,1.0,6.86,6.92,6.77,6.77,41059.0
2020-01-10,6.77,6.87,6.61,6.64,48795.0,0.0,1.0,6.77,6.87,6.61,6.64,48795.0
2020-01-13,6.66,6.74,6.63,6.73,35778.0,0.0,1.0,6.66,6.74,6.63,6.73,35778.0
2020-01-14,6.69,6.77,6.641,6.69,42237.0,0.0,1.0,6.69,6.77,6.641,6.69,42237.0
2020-01-15,6.65,6.75,6.65,6.71,37147.0,0.0,1.0,6.65,6.75,6.65,6.71,37147.0
2020-01-16,6.8,6.91,6.71,6.75,72630.0,0.0,1.0,6.8,6.91,6.71,6.75,72630.0
2020-01-17,6.8,6.85,6.7192,6.76,50744.0,0.0,1.0,6.8,6.85,6.7192,6.76,50744.0
2020-01-21,6.65,6.71,6.58,6.58,77279.0,0.0,1.0,6.65,6.71,6.58,6.58,77279.0
2020-01-22,6.58,6.58,6.51,6.56,15493.0,0.0,1.0,6.58,6.58,6.51,6.56,15493.0
2020-01-23,6.55,6.68,6.5,6.57,95681.0,0.0,1.0,6.55,6.68,6.5,6.57,95681.0
2020-01-24,6.57,6.68,6.5,6.56,42157.0,0.0,1.0,6.57,6.68,6.5,6.56,42157.0
2020-01-27,6.47,6.67,6.47,6.54,66571.0,0.0,1.0,6.47,6.67,6.47,6.54,66571.0
2020-01-28,6.53,6.66,6.5189,6.53,36611.0,0.0,1.0,6.53,6.66,6.5189,6.53,36611.0
2020-01-29,6.52,6.62,6.41,6.49,79892.0,0.0,1.0,6.52,6.62,6.41,6.49,79892.0
2020-01-30,6.38,6.52,6.38,6.5,57726.0,0.0,1.0,6.38,6.52,6.38,6.5,57726.0
2020-01-31,6.43,6.52,6.01,6.06,158780.0,0.0,1.0,6.43,6.52,6.01,6.06,158780.0
2020-02-03,6.08,6.43,6.08,6.43,569740.0,0.0,1.0,6.08,6.43,6.08,6.43,569740.0
2020-02-04,6.48,6.59,6.48,6.49,48330.0,0.0,1.0,6.48,6.59,6.48,6.49,48330.0
2020-02-05,6.53,6.64,6.47,6.63,47694.0,0.0,1.0,6.53,6.64,6.47,6.63,47694.0
2020-02-06,6.68,6.73,6.48,6.67,71620.0,0.0,1.0,6.68,6.73,6.48,6.67,71620.0
2020-02-07,6.58,6.72,6.56,6.62,39675.0,0.0,1.0,6.58,6.72,6.56,6.62,39675.0
2020-02-10,6.58,6.63,6.46,6.52,40580.0,0.0,1.0,6.58,6.63,6.46,6.52,40580.0
2020-02-11,6.44,6.55,6.42,6.47,43033.0,0.0,1.0,6.44,6.55,6.42,6.47,43033.0
2020-02-12,6.49,6.51,6.31,6.33,43020.0,0.0,1.0,6.49,6.51,6.31,6.33,43020.0
2020-02-13,6.3,6.4,6.27,6.32,27409.0,0.0,1.0,6.3,6.4,6.27,6.32,27409.0
2020-02-14,6.3,6.3,6.17,6.18,42925.0,0.0,1.0,6.3,6.3,6.17,6.18,42925.0
2020-02-18,6.11,6.43,6.11,6.42,78424.0,0.0,1.0,6.11,6.43,6.11,6.42,78424.0
2020-02-19,6.39,6.39,6.24,6.24,23809.0,0.0,1.0,6.39,6.39,6.24,6.24,23809.0
2020-02-20,6.16,6.33,6.16,6.32,32882.0,0.0,1.0,6.16,6.33,6.16,6.32,32882.0
