Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,3.9,4.02,3.87,3.93,542601.0,0.0,1.0,3.9,4.02,3.87,3.93,542601.0
2020-01-03,3.9,3.92,3.82,3.86,700745.0,0.0,1.0,3.9,3.92,3.82,3.86,700745.0
2020-01-06,3.83,3.93,3.79,3.84,694827.0,0.0,1.0,3.83,3.93,3.79,3.84,694827.0
2020-01-07,3.82,3.9,3.78,3.84,438458.0,0.0,1.0,3.82,3.9,3.78,3.84,438458.0
2020-01-08,3.86,3.96,3.82,3.92,556381.0,0.0,1.0,3.86,3.96,3.82,3.92,556381.0
2020-01-09,3.89,4.02,3.885,4.0,820000.0,0.0,1.0,3.89,4.02,3.885,4.0,820000.0
2020-01-10,3.98,4.09,3.945,4.0,520461.0,0.0,1.0,3.98,4.09,3.945,4.0,520461.0
2020-01-13,3.99,4.02,3.91,3.93,562127.0,0.0,1.0,3.99,4.02,3.91,3.93,562127.0
2020-01-14,3.93,4.14,3.91,4.11,758137.0,0.0,1.0,3.93,4.14,3.91,4.11,758137.0
2020-01-15,4.13,4.19,4.075,4.16,432513.0,0.0,1.0,4.13,4.19,4.075,4.16,432513.0
2020-01-16,4.2,4.34,4.16,4.17,489964.0,0.0,1.0,4.2,4.34,4.16,4.17,489964.0
2020-01-17,4.2,4.29,4.2,4.25,553054.0,0.0,1.0,4.2,4.29,4.2,4.25,553054.0
2020-01-21,4.21,4.26,3.99,4.09,796189.0,0.0,1.0,4.21,4.26,3.99,4.09,796189.0
2020-01-22,4.04,4.19,4.04,4.14,1089151.0,0.0,1.0,4.04,4.19,4.04,4.14,1089151.0
2020-01-23,4.14,4.35,4.09,4.275,1146289.0,0.0,1.0,4.14,4.35,4.09,4.275,1146289.0
2020-01-24,4.3,5.03,4.3,5.0,3608187.0,0.0,1.0,4.3,5.03,4.3,5.0,3608187.0
2020-01-27,4.94,5.28,4.88,5.27,2011097.0,0.0,1.0,4.94,5.28,4.88,5.27,2011097.0
2020-01-28,5.28,5.69,5.22,5.43,1712223.0,0.0,1.0,5.28,5.69,5.22,5.43,1712223.0
2020-01-29,5.51,5.599,4.99,5.07,1096800.0,0.0,1.0,5.51,5.599,4.99,5.07,1096800.0
2020-01-30,5.06,5.16,4.855,4.9,1014392.0,0.0,1.0,5.06,5.16,4.855,4.9,1014392.0
