Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-08-24,0.59,0.6,0.59,0.6,200.0,0.0,1.0,0.59,0.6,0.59,0.6,200.0
2020-08-25,0.6,0.6,0.6,0.6,0.0,0.0,1.0,0.6,0.6,0.6,0.6,0.0
2020-08-26,0.55,0.55,0.544999,0.544999,17115.0,0.0,1.0,0.55,0.55,0.544999,0.544999,17115.0
2020-08-27,0.55,0.6753,0.515,0.573,68045.0,0.0,1.0,0.55,0.6753,0.515,0.573,68045.0
2020-08-28,0.6,0.6,0.565,0.57,16301.0,0.0,1.0,0.6,0.6,0.565,0.57,16301.0
2020-08-31,0.6,0.675,0.5,0.597,128584.0,0.0,1.0,0.6,0.675,0.5,0.597,128584.0
2020-09-01,0.6,0.685,0.6,0.68,32240.0,0.0,1.0,0.6,0.685,0.6,0.68,32240.0
2020-09-02,0.625,0.633375,0.6,0.6,4697.0,0.0,1.0,0.625,0.633375,0.6,0.6,4697.0
2020-09-03,0.641838,0.65,0.641838,0.649851,15003.0,0.0,1.0,0.641838,0.65,0.641838,0.649851,15003.0
2020-09-04,0.66,0.815,0.6431,0.765,191105.0,0.0,1.0,0.66,0.815,0.6431,0.765,191105.0
2020-09-08,0.69,0.85,0.65,0.85,64114.0,0.0,1.0,0.69,0.85,0.65,0.85,64114.0
2020-09-09,0.85,0.89,0.8499,0.85,24377.0,0.0,1.0,0.85,0.89,0.8499,0.85,24377.0
2020-09-10,0.8799,1.36,0.86,0.91,37710.0,0.0,1.0,0.8799,1.36,0.86,0.91,37710.0
2020-09-11,0.92,0.98,0.8957,0.98,12634.0,0.0,1.0,0.92,0.98,0.8957,0.98,12634.0
2020-09-14,1.0,1.0,0.95,0.95,5828.0,0.0,1.0,1.0,1.0,0.95,0.95,5828.0
2020-09-15,0.9349,0.99,0.65,0.88,106280.0,0.0,1.0,0.9349,0.99,0.65,0.88,106280.0
2020-09-16,0.8609,0.9569,0.85,0.94,33200.0,0.0,1.0,0.8609,0.9569,0.85,0.94,33200.0
2020-09-17,0.92,0.9275,0.796,0.91,21588.0,0.0,1.0,0.92,0.9275,0.796,0.91,21588.0
2020-09-18,0.9,0.92,0.865,0.88,12200.0,0.0,1.0,0.9,0.92,0.865,0.88,12200.0
2020-09-21,0.86,0.95,0.86,0.925,15349.0,0.0,1.0,0.86,0.95,0.86,0.925,15349.0
2020-09-22,0.97,0.97,0.88,0.9,35200.0,0.0,1.0,0.97,0.97,0.88,0.9,35200.0
2020-09-23,0.98,0.98,0.88,0.88,7500.0,0.0,1.0,0.98,0.98,0.88,0.88,7500.0
2020-09-24,0.8051,0.835,0.8,0.8299,85000.0,0.0,1.0,0.8051,0.835,0.8,0.8299,85000.0
2020-09-25,0.85,0.85,0.8,0.8,6435.0,0.0,1.0,0.85,0.85,0.8,0.8,6435.0
2020-09-28,0.8,0.87,0.78,0.8199,106193.0,0.0,1.0,0.8,0.87,0.78,0.8199,106193.0
2020-09-29,0.78,0.81,0.78,0.8,76447.0,0.0,1.0,0.78,0.81,0.78,0.8,76447.0
2020-09-30,0.78,0.82,0.78,0.8005,27453.0,0.0,1.0,0.78,0.82,0.78,0.8005,27453.0
2020-10-01,0.82,0.855459,0.78,0.8404,24043.0,0.0,1.0,0.82,0.855459,0.78,0.8404,24043.0
2020-10-02,0.8861,0.89,0.835,0.835,12536.0,0.0,1.0,0.8861,0.89,0.835,0.835,12536.0
2020-10-05,0.870001,0.870001,0.870001,0.870001,750.0,0.0,1.0,0.870001,0.870001,0.870001,0.870001,750.0
2020-10-06,0.85,0.85,0.765,0.8075,25533.0,0.0,1.0,0.85,0.85,0.765,0.8075,25533.0
2020-10-07,0.85,0.85,0.75,0.775,22933.0,0.0,1.0,0.85,0.85,0.75,0.775,22933.0
2020-10-08,0.8,0.86,0.774999,0.81,54442.0,0.0,1.0,0.8,0.86,0.774999,0.81,54442.0
