Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,5.5,5.56,5.28,5.4,691107.0,0.0,1.0,5.5,5.56,5.28,5.4,691107.0
2020-01-03,5.28,5.575,5.26,5.5,500594.0,0.0,1.0,5.28,5.575,5.26,5.5,500594.0
2020-01-06,5.46,5.83,5.41,5.73,768283.0,0.0,1.0,5.46,5.83,5.41,5.73,768283.0
2020-01-07,5.73,6.04,5.65,5.84,813186.0,0.0,1.0,5.73,6.04,5.65,5.84,813186.0
2020-01-08,5.82,6.19,5.72,6.12,841825.0,0.0,1.0,5.82,6.19,5.72,6.12,841825.0
2020-01-09,6.13,6.35,6.03,6.33,1101296.0,0.0,1.0,6.13,6.35,6.03,6.33,1101296.0
2020-01-10,6.33,6.5,6.14,6.31,832040.0,0.0,1.0,6.33,6.5,6.14,6.31,832040.0
2020-01-13,6.24,6.38,6.05,6.36,583860.0,0.0,1.0,6.24,6.38,6.05,6.36,583860.0
2020-01-14,6.32,6.7,6.31,6.63,779648.0,0.0,1.0,6.32,6.7,6.31,6.63,779648.0
2020-01-15,6.68,6.95,6.64,6.95,983504.0,0.0,1.0,6.68,6.95,6.64,6.95,983504.0
2020-01-16,6.99,7.23,6.925,7.09,1295629.0,0.0,1.0,6.99,7.23,6.925,7.09,1295629.0
2020-01-17,7.15,7.25,6.96,7.01,858977.0,0.0,1.0,7.15,7.25,6.96,7.01,858977.0
2020-01-21,7.0,7.26,6.85,7.14,776575.0,0.0,1.0,7.0,7.26,6.85,7.14,776575.0
2020-01-22,7.14,7.26,7.05,7.21,701430.0,0.0,1.0,7.14,7.26,7.05,7.21,701430.0
2020-01-23,7.19,7.25,6.99,7.02,553886.0,0.0,1.0,7.19,7.25,6.99,7.02,553886.0
2020-01-24,7.05,7.0995,6.32,6.71,1114601.0,0.0,1.0,7.05,7.0995,6.32,6.71,1114601.0
2020-01-27,6.59,6.74,5.75,6.61,795670.0,0.0,1.0,6.59,6.74,5.75,6.61,795670.0
2020-01-28,6.66,6.74,6.49,6.66,359939.0,0.0,1.0,6.66,6.74,6.49,6.66,359939.0
2020-01-29,6.67,6.69,6.53,6.66,373533.0,0.0,1.0,6.67,6.69,6.53,6.66,373533.0
2020-01-30,6.58,6.68,6.47,6.49,302650.0,0.0,1.0,6.58,6.68,6.47,6.49,302650.0
2020-01-31,6.48,6.52,6.28,6.47,558397.0,0.0,1.0,6.48,6.52,6.28,6.47,558397.0
2020-02-03,6.46,6.86,6.45,6.855,648280.0,0.0,1.0,6.46,6.86,6.45,6.855,648280.0
2020-02-04,6.97,7.14,6.85,6.87,821421.0,0.0,1.0,6.97,7.14,6.85,6.87,821421.0
2020-02-05,6.91,7.05,6.86,6.88,477964.0,0.0,1.0,6.91,7.05,6.86,6.88,477964.0
2020-02-06,6.92,7.19,6.81,6.86,691363.0,0.0,1.0,6.92,7.19,6.81,6.86,691363.0
2020-02-07,6.08,6.55,6.02,6.32,4298335.0,0.0,1.0,6.08,6.55,6.02,6.32,4298335.0
2020-02-10,6.33,6.53,6.125,6.29,888758.0,0.0,1.0,6.33,6.53,6.125,6.29,888758.0
2020-02-11,6.32,6.39,6.1,6.31,1117154.0,0.0,1.0,6.32,6.39,6.1,6.31,1117154.0
2020-02-12,6.35,6.392,5.9,5.98,1718169.0,0.0,1.0,6.35,6.392,5.9,5.98,1718169.0
2020-02-13,5.96,6.035,5.665,5.81,1320091.0,0.0,1.0,5.96,6.035,5.665,5.81,1320091.0
2020-02-14,5.85,5.9337,5.48,5.5,3095656.0,0.0,1.0,5.85,5.9337,5.48,5.5,3095656.0
2020-02-18,5.51,5.82,5.48,5.675,1366366.0,0.0,1.0,5.51,5.82,5.48,5.675,1366366.0
2020-02-19,5.7,5.85,5.66,5.7,545599.0,0.0,1.0,5.7,5.85,5.66,5.7,545599.0
2020-02-20,5.74,5.795,5.5,5.67,907877.0,0.0,1.0,5.74,5.795,5.5,5.67,907877.0
