Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,7.03,7.1029,6.74,6.81,277418.0,0.0,1.0,7.03,7.1029,6.74,6.81,277418.0
2020-01-03,6.67,6.77,6.46,6.52,257261.0,0.0,1.0,6.67,6.77,6.46,6.52,257261.0
2020-01-06,6.5,6.6158,6.42,6.59,222335.0,0.0,1.0,6.5,6.6158,6.42,6.59,222335.0
2020-01-07,6.59,6.75,6.53,6.7,157318.0,0.0,1.0,6.59,6.75,6.53,6.7,157318.0
2020-01-08,6.69,6.75,6.39,6.4,181014.0,0.0,1.0,6.69,6.75,6.39,6.4,181014.0
2020-01-09,6.4,6.4,6.18,6.26,212747.0,0.0,1.0,6.4,6.4,6.18,6.26,212747.0
2020-01-10,6.3,6.39,6.0702,6.32,220960.0,0.0,1.0,6.3,6.39,6.0702,6.32,220960.0
2020-01-13,6.35,6.62,6.14,6.44,203938.0,0.0,1.0,6.35,6.62,6.14,6.44,203938.0
2020-01-14,6.42,6.42,6.1,6.1,143284.0,0.0,1.0,6.42,6.42,6.1,6.1,143284.0
2020-01-15,6.14,6.34,6.02,6.14,165242.0,0.0,1.0,6.14,6.34,6.02,6.14,165242.0
2020-01-16,6.2,6.38,6.18,6.18,167507.0,0.0,1.0,6.2,6.38,6.18,6.18,167507.0
2020-01-17,6.23,6.29,6.12,6.15,136414.0,0.0,1.0,6.23,6.29,6.12,6.15,136414.0
2020-01-21,6.16,6.23,6.0,6.02,183309.0,0.0,1.0,6.16,6.23,6.0,6.02,183309.0
2020-01-22,6.05,6.17,5.9,6.12,238627.0,0.0,1.0,6.05,6.17,5.9,6.12,238627.0
2020-01-23,6.14,6.2,5.95,6.04,111126.0,0.0,1.0,6.14,6.2,5.95,6.04,111126.0
2020-01-24,6.01,6.15,5.99,6.07,102979.0,0.0,1.0,6.01,6.15,5.99,6.07,102979.0
2020-01-27,6.07,6.07,5.52,5.81,369605.0,0.0,1.0,6.07,6.07,5.52,5.81,369605.0
2020-01-28,5.84,6.0664,5.84,6.0,201601.0,0.0,1.0,5.84,6.0664,5.84,6.0,201601.0
2020-01-29,6.05,6.08,5.86,5.92,177511.0,0.0,1.0,6.05,6.08,5.86,5.92,177511.0
2020-01-30,5.87,5.91,5.61,5.73,247730.0,0.0,1.0,5.87,5.91,5.61,5.73,247730.0
2020-01-31,5.7,5.7,5.51,5.62,208976.0,0.0,1.0,5.7,5.7,5.51,5.62,208976.0
2020-02-03,5.65,5.7701,5.62,5.7,230182.0,0.0,1.0,5.65,5.7701,5.62,5.7,230182.0
2020-02-04,5.8,5.8525,5.37,5.39,275879.0,0.0,1.0,5.8,5.8525,5.37,5.39,275879.0
2020-02-05,5.4,5.44,5.18,5.2,233838.0,0.0,1.0,5.4,5.44,5.18,5.2,233838.0
2020-02-06,5.2,5.28,4.97,4.97,468306.0,0.0,1.0,5.2,5.28,4.97,4.97,468306.0
2020-02-07,4.96,5.23,4.96,5.08,213635.0,0.0,1.0,4.96,5.23,4.96,5.08,213635.0
2020-02-10,5.09,5.21,5.09,5.14,111514.0,0.0,1.0,5.09,5.21,5.09,5.14,111514.0
2020-02-11,5.2,5.2,4.89,4.98,235828.0,0.0,1.0,5.2,5.2,4.89,4.98,235828.0
2020-02-12,4.95,5.1,4.95,5.02,185783.0,0.0,1.0,4.95,5.1,4.95,5.02,185783.0
2020-02-13,5.0,5.08,4.81,4.88,196424.0,0.0,1.0,5.0,5.08,4.81,4.88,196424.0
2020-02-14,4.94,5.02,4.77,4.79,175983.0,0.0,1.0,4.94,5.02,4.77,4.79,175983.0
