Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-10-30,0.97,0.97,0.9,0.9,7471.0,0.0,1.0,0.97,0.97,0.9,0.9,7471.0
2020-11-02,0.9,0.92,0.9,0.92,1399.0,0.0,1.0,0.9,0.92,0.9,0.92,1399.0
2020-11-03,0.96,1.0,0.9,0.9,27705.0,0.0,1.0,0.96,1.0,0.9,0.9,27705.0
2020-11-04,0.9,0.9,0.88,0.895,22255.0,0.0,1.0,0.9,0.9,0.88,0.895,22255.0
2020-11-05,0.899899,0.9,0.85,0.899999,2695.0,0.0,1.0,0.899899,0.9,0.85,0.899999,2695.0
2020-11-06,0.88,0.9,0.88,0.9,9558.0,0.0,1.0,0.88,0.9,0.88,0.9,9558.0
2020-11-09,1.0,1.0,0.9,0.9,5659.0,0.0,1.0,1.0,1.0,0.9,0.9,5659.0
2020-11-10,0.9,0.9,0.9,0.9,4671.0,0.0,1.0,0.9,0.9,0.9,0.9,4671.0
2020-11-11,0.9,0.9,0.86,0.87,6343.0,0.0,1.0,0.9,0.9,0.86,0.87,6343.0
2020-11-12,0.9,0.9,0.85,0.86,49450.0,0.0,1.0,0.9,0.9,0.85,0.86,49450.0
2020-11-13,0.88,0.8895,0.88,0.8895,6858.0,0.0,1.0,0.88,0.8895,0.88,0.8895,6858.0
2020-11-16,0.9,0.9,0.88,0.88,161400.0,0.0,1.0,0.9,0.9,0.88,0.88,161400.0
2020-11-17,0.9,0.9,0.88,0.88,11329.0,0.0,1.0,0.9,0.9,0.88,0.88,11329.0
2020-11-18,0.85,0.88,0.81,0.88,115301.0,0.0,1.0,0.85,0.88,0.81,0.88,115301.0
2020-11-19,0.88,0.95,0.85,0.93,151920.0,0.0,1.0,0.88,0.95,0.85,0.93,151920.0
2020-11-20,0.9627,1.19,0.9627,1.15,92688.0,0.0,1.0,0.9627,1.19,0.9627,1.15,92688.0
2020-11-23,1.15,1.35,1.1,1.15,45916.0,0.0,1.0,1.15,1.35,1.1,1.15,45916.0
2020-11-24,1.25,1.25,1.05,1.05,36217.0,0.0,1.0,1.25,1.25,1.05,1.05,36217.0
2020-11-25,1.1,1.21,1.08,1.1499,28617.0,0.0,1.0,1.1,1.21,1.08,1.1499,28617.0
2020-11-27,1.16,1.25,1.07,1.15,188654.0,0.0,1.0,1.16,1.25,1.07,1.15,188654.0
2020-11-30,1.2,1.28,1.13,1.1372,540837.0,0.0,1.0,1.2,1.28,1.13,1.1372,540837.0
2020-12-01,1.4,1.4,1.15,1.17,87231.0,0.0,1.0,1.4,1.4,1.15,1.17,87231.0
2020-12-02,1.24,1.25,1.11,1.1481,327710.0,0.0,1.0,1.24,1.25,1.11,1.1481,327710.0
2020-12-03,1.15,1.25,1.15,1.1933,40903.0,0.0,1.0,1.15,1.25,1.15,1.1933,40903.0
2020-12-04,1.3,1.4135,1.24,1.26,124547.0,0.0,1.0,1.3,1.4135,1.24,1.26,124547.0
2020-12-07,1.55,1.55,1.3,1.3,169390.0,0.0,1.0,1.55,1.55,1.3,1.3,169390.0
2020-12-08,1.35,1.46,1.3,1.35,245139.0,0.0,1.0,1.35,1.46,1.3,1.35,245139.0
2020-12-09,1.5,1.5,1.338,1.4,242852.0,0.0,1.0,1.5,1.5,1.338,1.4,242852.0
2020-12-10,1.42,1.57,1.38,1.47,168431.0,0.0,1.0,1.42,1.57,1.38,1.47,168431.0
2020-12-11,1.5,1.56,1.35,1.45,862448.0,0.0,1.0,1.5,1.56,1.35,1.45,862448.0
2020-12-14,1.5,1.55,1.4,1.45,361964.0,0.0,1.0,1.5,1.55,1.4,1.45,361964.0
2020-12-15,1.45,1.56,1.43,1.44,282286.0,0.0,1.0,1.45,1.56,1.43,1.44,282286.0
2020-12-16,1.47,1.47,1.33,1.39,111935.0,0.0,1.0,1.47,1.47,1.33,1.39,111935.0
2020-12-17,1.3501,1.42,1.33,1.35,115936.0,0.0,1.0,1.3501,1.42,1.33,1.35,115936.0
2020-12-18,1.45,1.45,1.3,1.33,199727.0,0.0,1.0,1.45,1.45,1.3,1.33,199727.0
2020-12-21,1.4,1.45,1.275,1.45,308416.0,0.0,1.0,1.4,1.45,1.275,1.45,308416.0
2020-12-22,1.5,1.55,1.42,1.5,318144.0,0.0,1.0,1.5,1.55,1.42,1.5,318144.0
2020-12-23,1.6,1.795,1.59,1.71,313905.0,0.0,1.0,1.6,1.795,1.59,1.71,313905.0
2020-12-24,1.75,1.845,1.6999,1.83,237673.0,0.0,1.0,1.75,1.845,1.6999,1.83,237673.0
2020-12-28,2.15,2.3,1.85,1.87,430943.0,0.0,1.0,2.15,2.3,1.85,1.87,430943.0
2020-12-29,2.3,2.3,1.75,1.85,266813.0,0.0,1.0,2.3,2.3,1.75,1.85,266813.0
2020-12-30,1.9,1.9586,1.84,1.95,158151.0,0.0,1.0,1.9,1.9586,1.84,1.95,158151.0
2020-12-31,1.93,1.93,1.8,1.8,139721.0,0.0,1.0,1.93,1.93,1.8,1.8,139721.0
