Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,0.53,0.8,0.461,0.77,2500.0,0.0,1.0,0.53,0.8,0.461,0.77,2500.0
2020-01-03,0.8,0.8,0.8,0.8,100.0,0.0,1.0,0.8,0.8,0.8,0.8,100.0
2020-01-06,0.8,0.8,0.8,0.8,0.0,0.0,1.0,0.8,0.8,0.8,0.8,0.0
2020-01-07,0.836,0.836,0.836,0.836,100.0,0.0,1.0,0.836,0.836,0.836,0.836,100.0
2020-01-08,0.836,0.836,0.836,0.836,100.0,0.0,1.0,0.836,0.836,0.836,0.836,100.0
2020-01-09,0.75,0.75,0.75,0.75,10000.0,0.0,1.0,0.75,0.75,0.75,0.75,10000.0
2020-01-10,0.75,0.75,0.75,0.75,0.0,0.0,1.0,0.75,0.75,0.75,0.75,0.0
2020-01-13,0.75,0.75,0.75,0.75,0.0,0.0,1.0,0.75,0.75,0.75,0.75,0.0
2020-01-14,0.71,0.71,0.7,0.7,500.0,0.0,1.0,0.71,0.71,0.7,0.7,500.0
2020-01-15,0.78,0.78,0.7,0.7,600.0,0.0,1.0,0.78,0.78,0.7,0.7,600.0
2020-01-16,0.7,0.75,0.7,0.75,2200.0,0.0,1.0,0.7,0.75,0.7,0.75,2200.0
2020-01-17,0.8,0.8,0.8,0.8,27150.0,0.0,1.0,0.8,0.8,0.8,0.8,27150.0
2020-01-21,0.8,0.8,0.8,0.8,4500.0,0.0,1.0,0.8,0.8,0.8,0.8,4500.0
2020-01-22,0.8,0.8,0.8,0.8,0.0,0.0,1.0,0.8,0.8,0.8,0.8,0.0
2020-01-23,0.8,0.8,0.8,0.8,0.0,0.0,1.0,0.8,0.8,0.8,0.8,0.0
2020-01-24,0.7,0.75,0.7,0.75,48020.0,0.0,1.0,0.7,0.75,0.7,0.75,48020.0
2020-01-27,0.75,0.75,0.75,0.75,0.0,0.0,1.0,0.75,0.75,0.75,0.75,0.0
2020-01-28,0.75,0.75,0.75,0.75,0.0,0.0,1.0,0.75,0.75,0.75,0.75,0.0
2020-01-29,0.751,0.751,0.751,0.751,300.0,0.0,1.0,0.751,0.751,0.751,0.751,300.0
2020-01-30,0.751,0.751,0.751,0.751,0.0,0.0,1.0,0.751,0.751,0.751,0.751,0.0
2020-01-31,0.85,0.85,0.85,0.85,15900.0,0.0,1.0,0.85,0.85,0.85,0.85,15900.0
2020-02-03,0.85,0.85,0.85,0.85,0.0,0.0,1.0,0.85,0.85,0.85,0.85,0.0
2020-02-04,0.85,0.85,0.85,0.85,0.0,0.0,1.0,0.85,0.85,0.85,0.85,0.0
2020-02-05,0.85,0.85,0.85,0.85,0.0,0.0,1.0,0.85,0.85,0.85,0.85,0.0
2020-02-06,0.85,0.85,0.85,0.85,0.0,0.0,1.0,0.85,0.85,0.85,0.85,0.0
2020-02-07,0.85,0.85,0.85,0.85,0.0,0.0,1.0,0.85,0.85,0.85,0.85,0.0
2020-02-10,0.85,0.85,0.85,0.85,0.0,0.0,1.0,0.85,0.85,0.85,0.85,0.0
2020-02-11,0.82,0.82,0.82,0.82,40000.0,0.0,1.0,0.82,0.82,0.82,0.82,40000.0
2020-02-12,0.82,0.82,0.82,0.82,0.0,0.0,1.0,0.82,0.82,0.82,0.82,0.0
2020-02-13,0.82,0.8241,0.7901,0.7901,8500.0,0.0,1.0,0.82,0.8241,0.7901,0.7901,8500.0
2020-02-14,0.81,0.8545,0.81,0.8515,4782.0,0.0,1.0,0.81,0.8545,0.81,0.8515,4782.0
2020-02-18,0.8515,0.8515,0.8515,0.8515,0.0,0.0,1.0,0.8515,0.8515,0.8515,0.8515,0.0
2020-02-19,0.8515,0.8515,0.8515,0.8515,0.0,0.0,1.0,0.8515,0.8515,0.8515,0.8515,0.0
2020-02-20,0.8515,0.8515,0.8515,0.8515,0.0,0.0,1.0,0.8515,0.8515,0.8515,0.8515,0.0
2020-02-21,0.8515,0.8515,0.8515,0.8515,0.0,0.0,1.0,0.8515,0.8515,0.8515,0.8515,0.0
2020-02-24,0.8515,0.8515,0.8515,0.8515,0.0,0.0,1.0,0.8515,0.8515,0.8515,0.8515,0.0
2020-02-25,0.8515,0.8515,0.8515,0.8515,0.0,0.0,1.0,0.8515,0.8515,0.8515,0.8515,0.0
2020-02-26,0.8515,0.8515,0.8515,0.8515,0.0,0.0,1.0,0.8515,0.8515,0.8515,0.8515,0.0
2020-02-27,0.899,0.9,0.899,0.9,10000.0,0.0,1.0,0.899,0.9,0.899,0.9,10000.0
2020-02-28,0.9,0.9,0.9,0.9,0.0,0.0,1.0,0.9,0.9,0.9,0.9,0.0
2020-03-02,0.94,0.94,0.9385,0.9385,200.0,0.0,1.0,0.94,0.94,0.9385,0.9385,200.0
2020-03-03,0.94,0.94,0.94,0.94,100.0,0.0,1.0,0.94,0.94,0.94,0.94,100.0
2020-03-04,0.94,0.94,0.94,0.94,0.0,0.0,1.0,0.94,0.94,0.94,0.94,0.0
2020-03-05,0.94,0.94,0.94,0.94,0.0,0.0,1.0,0.94,0.94,0.94,0.94,0.0
2020-03-06,0.81,0.93,0.8,0.93,8950.0,0.0,1.0,0.81,0.93,0.8,0.93,8950.0
2020-03-09,0.721,0.93,0.711,0.93,2850.0,0.0,1.0,0.721,0.93,0.711,0.93,2850.0
2020-03-10,0.93,0.93,0.93,0.93,0.0,0.0,1.0,0.93,0.93,0.93,0.93,0.0
2020-03-11,0.93,0.93,0.93,0.93,0.0,0.0,1.0,0.93,0.93,0.93,0.93,0.0
2020-03-12,0.93,0.93,0.93,0.93,0.0,0.0,1.0,0.93,0.93,0.93,0.93,0.0
2020-03-13,0.93,0.93,0.93,0.93,0.0,0.0,1.0,0.93,0.93,0.93,0.93,0.0
2020-03-16,0.93,0.93,0.93,0.93,0.0,0.0,1.0,0.93,0.93,0.93,0.93,0.0
2020-03-17,0.93,0.93,0.93,0.93,0.0,0.0,1.0,0.93,0.93,0.93,0.93,0.0
