Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-09-11,3.6,3.7701,3.1,3.11,341018.0,0.0,1.0,3.6,3.7701,3.1,3.11,341018.0
2020-09-14,3.4,3.4,3.08,3.11,31964.0,0.0,1.0,3.4,3.4,3.08,3.11,31964.0
2020-09-15,3.09,3.25,3.0,3.15,69820.0,0.0,1.0,3.09,3.25,3.0,3.15,69820.0
2020-09-16,3.2,3.24,3.0,3.19,70168.0,0.0,1.0,3.2,3.24,3.0,3.19,70168.0
2020-09-17,3.06,3.18,3.03,3.14,46957.0,0.0,1.0,3.06,3.18,3.03,3.14,46957.0
2020-09-18,3.06,3.22,3.035,3.2,47858.0,0.0,1.0,3.06,3.22,3.035,3.2,47858.0
2020-09-21,3.11,3.11,2.94,2.95,49630.0,0.0,1.0,3.11,3.11,2.94,2.95,49630.0
2020-09-22,2.9,3.0,2.9,3.0,22474.0,0.0,1.0,2.9,3.0,2.9,3.0,22474.0
2020-09-23,2.9,2.99,2.75,2.78,33556.0,0.0,1.0,2.9,2.99,2.75,2.78,33556.0
2020-09-24,2.7201,2.79,2.41,2.78,22968.0,0.0,1.0,2.7201,2.79,2.41,2.78,22968.0
2020-09-25,2.8,2.8525,2.8,2.8,15843.0,0.0,1.0,2.8,2.8525,2.8,2.8,15843.0
2020-09-28,2.91,2.91,2.44,2.77,27755.0,0.0,1.0,2.91,2.91,2.44,2.77,27755.0
2020-09-29,2.8499,2.8499,2.53,2.63,8892.0,0.0,1.0,2.8499,2.8499,2.53,2.63,8892.0
2020-09-30,2.7,3.0,2.4,2.67,79767.0,0.0,1.0,2.7,3.0,2.4,2.67,79767.0
2020-10-01,2.945,3.05,2.8304,2.9104,47684.0,0.0,1.0,2.945,3.05,2.8304,2.9104,47684.0
2020-10-02,2.9099,2.9099,2.64,2.74,14450.0,0.0,1.0,2.9099,2.9099,2.64,2.74,14450.0
2020-10-05,2.73,2.73,2.64,2.7,845.0,0.0,1.0,2.73,2.73,2.64,2.7,845.0
2020-10-06,2.73,2.7645,2.6916,2.735,12136.0,0.0,1.0,2.73,2.7645,2.6916,2.735,12136.0
2020-10-07,2.83,3.04,2.795,2.9167,45955.0,0.0,1.0,2.83,3.04,2.795,2.9167,45955.0
2020-10-08,3.14,3.17,2.9245,3.05,19449.0,0.0,1.0,3.14,3.17,2.9245,3.05,19449.0
2020-10-09,2.9444,3.17,2.93,3.05,9341.0,0.0,1.0,2.9444,3.17,2.93,3.05,9341.0
2020-10-12,2.93,3.0699,2.93,2.9401,3001.0,0.0,1.0,2.93,3.0699,2.93,2.9401,3001.0
2020-10-13,3.08,3.15,2.9301,2.9513,3975.0,0.0,1.0,3.08,3.15,2.9301,2.9513,3975.0
2020-10-14,2.95,2.95,2.76,2.78,17485.0,0.0,1.0,2.95,2.95,2.76,2.78,17485.0
2020-10-15,2.75,3.02,2.75,2.8,1878.0,0.0,1.0,2.75,3.02,2.75,2.8,1878.0
2020-10-16,2.7701,2.9,2.7701,2.78,3316.0,0.0,1.0,2.7701,2.9,2.7701,2.78,3316.0
2020-10-19,2.89,2.91,2.75,2.75,15134.0,0.0,1.0,2.89,2.91,2.75,2.75,15134.0
2020-10-20,2.75,2.75,2.75,2.75,440.0,0.0,1.0,2.75,2.75,2.75,2.75,440.0
2020-10-21,2.76,4.09,2.7,2.78,1214572.0,0.0,1.0,2.76,4.09,2.7,2.78,1214572.0
2020-10-22,2.74,2.92,2.6,2.72,99833.0,0.0,1.0,2.74,2.92,2.6,2.72,99833.0
2020-10-23,2.6276,3.15,2.62,2.8,287093.0,0.0,1.0,2.6276,3.15,2.62,2.8,287093.0
2020-10-26,2.8,2.8332,2.4,2.55,70936.0,0.0,1.0,2.8,2.8332,2.4,2.55,70936.0
2020-10-27,2.5284,3.13,2.4101,2.88,224325.0,0.0,1.0,2.5284,3.13,2.4101,2.88,224325.0
2020-10-28,2.88,2.915,2.51,2.55,73667.0,0.0,1.0,2.88,2.915,2.51,2.55,73667.0
2020-10-29,2.55,2.733,2.41,2.515,17014.0,0.0,1.0,2.55,2.733,2.41,2.515,17014.0
2020-10-30,2.48,2.62,2.4,2.4,23558.0,0.0,1.0,2.48,2.62,2.4,2.4,23558.0
2020-11-02,2.45,2.64,2.44,2.48,33346.0,0.0,1.0,2.45,2.64,2.44,2.48,33346.0
2020-11-03,2.44,2.79,2.4317,2.65,56354.0,0.0,1.0,2.44,2.79,2.4317,2.65,56354.0
2020-11-04,2.4675,2.57,2.4675,2.57,2104.0,0.0,1.0,2.4675,2.57,2.4675,2.57,2104.0
2020-11-05,2.44,2.62,2.1,2.335,62541.0,0.0,1.0,2.44,2.62,2.1,2.335,62541.0
2020-11-06,2.36,2.46,2.22,2.4,23335.0,0.0,1.0,2.36,2.46,2.22,2.4,23335.0
2020-11-09,2.46,2.58,2.4,2.44,7131.0,0.0,1.0,2.46,2.58,2.4,2.44,7131.0
2020-11-10,2.585,2.61,2.46,2.58,2501.0,0.0,1.0,2.585,2.61,2.46,2.58,2501.0
2020-11-11,2.5676,2.58,2.45,2.45,4999.0,0.0,1.0,2.5676,2.58,2.45,2.45,4999.0
2020-11-12,2.57,2.58,2.45,2.51,6899.0,0.0,1.0,2.57,2.58,2.45,2.51,6899.0
2020-11-13,2.51,2.93,2.4501,2.88,41726.0,0.0,1.0,2.51,2.93,2.4501,2.88,41726.0
2020-11-16,2.63,3.0799,2.42,2.95,75719.0,0.0,1.0,2.63,3.0799,2.42,2.95,75719.0
