Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-12-11,1.24,3.0,1.24,2.5,1470.0,0.0,1.0,1.24,3.0,1.24,2.5,1470.0
2020-12-14,2.5,2.5,2.3,2.4,11899.0,0.0,1.0,2.5,2.5,2.3,2.4,11899.0
2020-12-15,2.12,2.12,1.36,1.46,31868.0,0.0,1.0,2.12,2.12,1.36,1.46,31868.0
2020-12-16,1.46,1.5,1.41,1.465,81563.0,0.0,1.0,1.46,1.5,1.41,1.465,81563.0
2020-12-17,1.43,1.5,1.43,1.45,11806.0,0.0,1.0,1.43,1.5,1.43,1.45,11806.0
2020-12-18,1.45,1.47,1.37,1.4,12293.0,0.0,1.0,1.45,1.47,1.37,1.4,12293.0
2020-12-21,1.45,1.45,1.32,1.3955,27300.0,0.0,1.0,1.45,1.45,1.32,1.3955,27300.0
2020-12-22,1.42,1.42,1.38,1.3999,45481.0,0.0,1.0,1.42,1.42,1.38,1.3999,45481.0
2020-12-23,1.36,1.445,0.6532,1.3931,98199.0,0.0,1.0,1.36,1.445,0.6532,1.3931,98199.0
2020-12-24,1.4,1.4,1.31,1.3935,32605.0,0.0,1.0,1.4,1.4,1.31,1.3935,32605.0
2020-12-28,1.4,1.57,1.33,1.34,199949.0,0.0,1.0,1.4,1.57,1.33,1.34,199949.0
2020-12-29,1.35,1.35,1.3,1.35,53565.0,0.0,1.0,1.35,1.35,1.3,1.35,53565.0
2020-12-30,1.39,1.4,1.33,1.3999,60805.0,0.0,1.0,1.39,1.4,1.33,1.3999,60805.0
2020-12-31,1.38,1.38,1.3,1.35,59101.0,0.0,1.0,1.38,1.38,1.3,1.35,59101.0
