Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,6.72,6.84,6.63,6.67,32186.0,0.0,1.0,6.72,6.84,6.63,6.67,32186.0
2020-01-03,6.58,6.89,6.57,6.8,30760.0,0.0,1.0,6.58,6.89,6.57,6.8,30760.0
2020-01-06,6.85,6.85,6.7,6.73,18537.0,0.0,1.0,6.85,6.85,6.7,6.73,18537.0
2020-01-07,6.75,6.82,6.715,6.76,21449.0,0.0,1.0,6.75,6.82,6.715,6.76,21449.0
2020-01-08,6.73,6.79,6.61,6.68,22142.0,0.0,1.0,6.73,6.79,6.61,6.68,22142.0
2020-01-09,6.56,6.7002,6.56,6.59,29260.0,0.0,1.0,6.56,6.7002,6.56,6.59,29260.0
2020-01-10,6.56,6.56,6.5,6.52,35122.0,0.0,1.0,6.56,6.56,6.5,6.52,35122.0
2020-01-13,6.56,6.58,6.45,6.58,23643.0,0.0,1.0,6.56,6.58,6.45,6.58,23643.0
2020-01-14,6.68,6.7,6.6467,6.67,36059.0,0.0,1.0,6.68,6.7,6.6467,6.67,36059.0
2020-01-15,6.65,6.74,6.62,6.7,13889.0,0.0,1.0,6.65,6.74,6.62,6.7,13889.0
2020-01-16,6.6537,6.8,6.6537,6.79,28525.0,0.0,1.0,6.6537,6.8,6.6537,6.79,28525.0
2020-01-17,6.8,6.84,6.72,6.73,28980.0,0.0,1.0,6.8,6.84,6.72,6.73,28980.0
2020-01-21,6.8,6.8,6.62,6.68,19401.0,0.0,1.0,6.8,6.8,6.62,6.68,19401.0
2020-01-22,6.7,6.7,6.6,6.61,30495.0,0.0,1.0,6.7,6.7,6.6,6.61,30495.0
2020-01-23,6.48,6.7,6.48,6.66,16218.0,0.0,1.0,6.48,6.7,6.48,6.66,16218.0
2020-01-24,6.46,6.5882,6.43,6.51,50881.0,0.0,1.0,6.46,6.5882,6.43,6.51,50881.0
2020-01-27,6.42,6.59,6.4,6.55,30837.0,0.0,1.0,6.42,6.59,6.4,6.55,30837.0
2020-01-28,6.57,6.665,6.5,6.56,21751.0,0.0,1.0,6.57,6.665,6.5,6.56,21751.0
2020-01-29,6.59,6.6199,6.52,6.5235,25097.0,0.0,1.0,6.59,6.6199,6.52,6.5235,25097.0
2020-01-30,6.5,6.5087,6.4,6.4,19556.0,0.0,1.0,6.5,6.5087,6.4,6.4,19556.0
2020-01-31,6.4,6.6,6.4,6.6,29954.0,0.0,1.0,6.4,6.6,6.4,6.6,29954.0
2020-02-03,6.61,6.65,6.54,6.54,28951.0,0.0,1.0,6.61,6.65,6.54,6.54,28951.0
2020-02-04,6.57,6.57,6.45,6.47,21154.0,0.0,1.0,6.57,6.57,6.45,6.47,21154.0
2020-02-05,6.5,6.96,6.479,6.92,104247.0,0.0,1.0,6.5,6.96,6.479,6.92,104247.0
2020-02-06,7.0,7.0,6.6,6.77,69881.0,0.0,1.0,7.0,7.0,6.6,6.77,69881.0
2020-02-07,6.71,6.71,6.52,6.52,64906.0,0.0,1.0,6.71,6.71,6.52,6.52,64906.0
2020-02-10,6.52,6.53,6.485,6.52,56753.0,0.0,1.0,6.52,6.53,6.485,6.52,56753.0
2020-02-11,6.59,6.67,6.52,6.65,39749.0,0.0,1.0,6.59,6.67,6.52,6.65,39749.0
2020-02-12,6.66,6.77,6.66,6.71,15714.0,0.0,1.0,6.66,6.77,6.66,6.71,15714.0
2020-02-13,6.68,6.69,6.65,6.67,18551.0,0.0,1.0,6.68,6.69,6.65,6.67,18551.0
2020-02-14,6.61,6.6732,4.7,4.87,734040.0,0.0,1.0,6.61,6.6732,4.7,4.87,734040.0
2020-02-18,4.91,4.9479,4.1701,4.2,405978.0,0.0,1.0,4.91,4.9479,4.1701,4.2,405978.0
2020-02-19,4.46,4.58,4.22,4.24,186284.0,0.0,1.0,4.46,4.58,4.22,4.24,186284.0
2020-02-20,4.21,4.25,3.98,3.98,239186.0,0.0,1.0,4.21,4.25,3.98,3.98,239186.0
2020-02-21,4.0,4.027,3.8,3.83,201728.0,0.0,1.0,4.0,4.027,3.8,3.83,201728.0
2020-02-24,3.86,3.86,3.41,3.47,213487.0,0.0,1.0,3.86,3.86,3.41,3.47,213487.0
2020-02-25,3.5,3.596,3.4,3.4,79325.0,0.0,1.0,3.5,3.596,3.4,3.4,79325.0
2020-02-26,3.5,3.7888,3.12,3.18,687587.0,0.0,1.0,3.5,3.7888,3.12,3.18,687587.0
2020-02-27,3.1,3.18,2.81,3.09,274046.0,0.0,1.0,3.1,3.18,2.81,3.09,274046.0
2020-02-28,3.01,3.25,2.98,3.17,118801.0,0.0,1.0,3.01,3.25,2.98,3.17,118801.0
2020-03-02,3.18,3.2,3.03,3.05,158896.0,0.0,1.0,3.18,3.2,3.03,3.05,158896.0
2020-03-03,3.04,3.04,2.77,2.78,263029.0,0.0,1.0,3.04,3.04,2.77,2.78,263029.0
2020-03-04,2.77,2.8257,2.5,2.59,258932.0,0.0,1.0,2.77,2.8257,2.5,2.59,258932.0
2020-03-05,2.65,2.7499,2.46,2.47,193961.0,0.0,1.0,2.65,2.7499,2.46,2.47,193961.0
2020-03-06,2.46,2.5401,2.34,2.35,131113.0,0.0,1.0,2.46,2.5401,2.34,2.35,131113.0
2020-03-09,2.22,2.3,1.81,1.92,403311.0,0.0,1.0,2.22,2.3,1.81,1.92,403311.0
2020-03-10,2.0,2.18,2.0,2.17,117006.0,0.0,1.0,2.0,2.18,2.0,2.17,117006.0
2020-03-11,2.2,2.2348,2.01,2.05,97246.0,0.0,1.0,2.2,2.2348,2.01,2.05,97246.0
2020-03-12,2.0,2.04,1.34,1.59,464275.0,0.0,1.0,2.0,2.04,1.34,1.59,464275.0
2020-03-13,1.81,1.8126,1.5925,1.73,127945.0,0.0,1.0,1.81,1.8126,1.5925,1.73,127945.0
2020-03-16,1.61,1.65,1.46,1.51,129890.0,0.0,1.0,1.61,1.65,1.46,1.51,129890.0
2020-03-17,1.5,1.65,1.43,1.49,112101.0,0.0,1.0,1.5,1.65,1.43,1.49,112101.0
2020-03-18,1.49,1.49,1.3,1.37,412636.0,0.0,1.0,1.49,1.49,1.3,1.37,412636.0
2020-03-19,1.35,1.5,1.35,1.43,173624.0,0.0,1.0,1.35,1.5,1.35,1.43,173624.0
2020-03-20,1.47,1.48,1.39,1.39,310540.0,0.0,1.0,1.47,1.48,1.39,1.39,310540.0
2020-03-23,1.38,1.44,1.29,1.44,114541.0,0.0,1.0,1.38,1.44,1.29,1.44,114541.0
2020-03-24,1.51,1.67,1.51,1.61,134815.0,0.0,1.0,1.51,1.67,1.51,1.61,134815.0
2020-03-25,1.68,1.85,1.53,1.72,242048.0,0.0,1.0,1.68,1.85,1.53,1.72,242048.0
2020-03-26,1.73,2.15,1.69,2.1,445329.0,0.0,1.0,1.73,2.15,1.69,2.1,445329.0
2020-03-27,2.11,2.45,2.01,2.23,407507.0,0.0,1.0,2.11,2.45,2.01,2.23,407507.0
2020-03-30,2.3,2.75,2.25,2.37,361121.0,0.0,1.0,2.3,2.75,2.25,2.37,361121.0
2020-03-31,2.4,2.53,2.2,2.25,369480.0,0.0,1.0,2.4,2.53,2.2,2.25,369480.0
2020-04-01,2.2,2.25,1.87,1.92,158464.0,0.0,1.0,2.2,2.25,1.87,1.92,158464.0
2020-04-02,1.92,2.09,1.89,2.02,85527.0,0.0,1.0,1.92,2.09,1.89,2.02,85527.0
2020-04-03,2.04,2.04,1.845,2.01,90295.0,0.0,1.0,2.04,2.04,1.845,2.01,90295.0
2020-04-06,2.06,2.23,2.01,2.07,249789.0,0.0,1.0,2.06,2.23,2.01,2.07,249789.0
2020-04-07,2.2,2.37,2.05,2.17,443429.0,0.0,1.0,2.2,2.37,2.05,2.17,443429.0
2020-04-08,2.21,2.21,2.1,2.15,74006.0,0.0,1.0,2.21,2.21,2.1,2.15,74006.0
2020-04-09,2.19,2.37,2.18,2.25,129644.0,0.0,1.0,2.19,2.37,2.18,2.25,129644.0
2020-04-13,2.33,2.68,2.274,2.58,134755.0,0.0,1.0,2.33,2.68,2.274,2.58,134755.0
2020-04-14,2.63,2.78,2.57,2.66,120929.0,0.0,1.0,2.63,2.78,2.57,2.66,120929.0
2020-04-15,2.65,2.75,2.44,2.67,103359.0,0.0,1.0,2.65,2.75,2.44,2.67,103359.0
2020-04-16,2.71,2.84,2.47,2.83,91796.0,0.0,1.0,2.71,2.84,2.47,2.83,91796.0
2020-04-17,2.9,3.08,2.823,2.96,246225.0,0.0,1.0,2.9,3.08,2.823,2.96,246225.0
2020-04-20,2.88,3.18,2.86,3.03,283713.0,0.0,1.0,2.88,3.18,2.86,3.03,283713.0
2020-04-21,2.98,3.07,2.93,2.96,191720.0,0.0,1.0,2.98,3.07,2.93,2.96,191720.0
2020-04-22,3.0,3.09,2.96,3.05,133228.0,0.0,1.0,3.0,3.09,2.96,3.05,133228.0
2020-04-23,3.14,3.14,2.93,3.04,84866.0,0.0,1.0,3.14,3.14,2.93,3.04,84866.0
2020-04-24,3.05,3.06,2.9,3.04,59065.0,0.0,1.0,3.05,3.06,2.9,3.04,59065.0
2020-04-27,3.05,3.2,2.91,3.17,85326.0,0.0,1.0,3.05,3.2,2.91,3.17,85326.0
2020-04-28,3.21,3.27,3.1,3.21,104245.0,0.0,1.0,3.21,3.27,3.1,3.21,104245.0
2020-04-29,3.29,3.56,3.27,3.41,181948.0,0.0,1.0,3.29,3.56,3.27,3.41,181948.0
2020-04-30,3.37,3.42,3.21,3.29,43307.0,0.0,1.0,3.37,3.42,3.21,3.29,43307.0
2020-05-01,3.23,3.3,3.02,3.29,98871.0,0.0,1.0,3.23,3.3,3.02,3.29,98871.0
2020-05-04,3.25,3.5,3.07,3.37,129569.0,0.0,1.0,3.25,3.5,3.07,3.37,129569.0
2020-05-05,3.42,3.52,3.07,3.16,201901.0,0.0,1.0,3.42,3.52,3.07,3.16,201901.0
