Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.29,2.29,2.29,2.29,0.0,0.0,1.0,2.29,2.29,2.29,2.29,0.0
2020-01-03,2.3849,2.4,2.35,2.35,1896.0,0.0,1.0,2.3849,2.4,2.35,2.35,1896.0
2020-01-06,2.4,2.435,2.3014,2.42,13678.0,0.0,1.0,2.4,2.435,2.3014,2.42,13678.0
2020-01-07,2.45,2.45,2.3573,2.37,913.0,0.0,1.0,2.45,2.45,2.3573,2.37,913.0
2020-01-08,2.38,2.38,2.368,2.368,634.0,0.0,1.0,2.38,2.38,2.368,2.368,634.0
2020-01-09,2.4,2.4,2.4,2.4,347.0,0.0,1.0,2.4,2.4,2.4,2.4,347.0
2020-01-10,2.4,2.4,2.4,2.4,957.0,0.0,1.0,2.4,2.4,2.4,2.4,957.0
2020-01-13,2.44,2.5,2.43,2.4981,12056.0,0.0,1.0,2.44,2.5,2.43,2.4981,12056.0
2020-01-14,2.4981,2.4981,2.4981,2.4981,137.0,0.0,1.0,2.4981,2.4981,2.4981,2.4981,137.0
2020-01-15,2.4791,2.5,2.4791,2.4912,2540.0,0.0,1.0,2.4791,2.5,2.4791,2.4912,2540.0
2020-01-16,2.5,2.5807,2.48,2.5323,15903.0,0.0,1.0,2.5,2.5807,2.48,2.5323,15903.0
2020-01-17,2.58,2.59,2.5015,2.5312,2014.0,0.0,1.0,2.58,2.59,2.5015,2.5312,2014.0
2020-01-21,2.5371,2.56,2.4611,2.56,4434.0,0.0,1.0,2.5371,2.56,2.4611,2.56,4434.0
2020-01-22,2.46,2.51,2.46,2.5,1988.0,0.0,1.0,2.46,2.51,2.46,2.5,1988.0
2020-01-23,2.5,2.5004,2.46,2.5004,4282.0,0.0,1.0,2.5,2.5004,2.46,2.5004,4282.0
2020-01-24,2.4944,2.58,2.4105,2.4766,951.0,0.0,1.0,2.4944,2.58,2.4105,2.4766,951.0
2020-01-27,2.4128,2.47,2.4,2.4,1802.0,0.0,1.0,2.4128,2.47,2.4,2.4,1802.0
2020-01-28,2.4,2.5058,2.4,2.4289,3688.0,0.0,1.0,2.4,2.5058,2.4,2.4289,3688.0
2020-01-29,2.4079,2.42,2.38,2.42,13560.0,0.0,1.0,2.4079,2.42,2.38,2.42,13560.0
2020-01-30,2.38,2.56,2.38,2.45,13846.0,0.0,1.0,2.38,2.56,2.38,2.45,13846.0
2020-01-31,2.5,2.52,2.43,2.45,21801.0,0.0,1.0,2.5,2.52,2.43,2.45,21801.0
2020-02-03,2.4623,2.57,2.42,2.42,17067.0,0.0,1.0,2.4623,2.57,2.42,2.42,17067.0
2020-02-04,2.42,2.5,2.42,2.47,16287.0,0.0,1.0,2.42,2.5,2.42,2.47,16287.0
2020-02-05,2.5,2.5,2.465,2.5,13362.0,0.0,1.0,2.5,2.5,2.465,2.5,13362.0
2020-02-06,2.495,2.565,2.4809,2.4869,8159.0,0.0,1.0,2.495,2.565,2.4809,2.4869,8159.0
2020-02-07,2.42,2.42,2.4,2.4,353.0,0.0,1.0,2.42,2.42,2.4,2.4,353.0
2020-02-10,2.3,2.59,2.3,2.4217,4327.0,0.0,1.0,2.3,2.59,2.3,2.4217,4327.0
2020-02-11,2.05,2.15,2.05,2.09,29267.0,0.0,1.0,2.05,2.15,2.05,2.09,29267.0
2020-02-12,2.09,2.09,2.0602,2.09,6404.0,0.0,1.0,2.09,2.09,2.0602,2.09,6404.0
2020-02-13,2.1,2.15,2.1,2.1283,11176.0,0.0,1.0,2.1,2.15,2.1,2.1283,11176.0
2020-02-14,2.13,2.13,2.1,2.13,1302.0,0.0,1.0,2.13,2.13,2.1,2.13,1302.0
2020-02-18,2.1,2.13,2.1,2.1147,859.0,0.0,1.0,2.1,2.13,2.1,2.1147,859.0
2020-02-19,2.1,2.11,2.08,2.09,4130.0,0.0,1.0,2.1,2.11,2.08,2.09,4130.0
2020-02-20,2.08,2.119,2.08,2.119,4037.0,0.0,1.0,2.08,2.119,2.08,2.119,4037.0
2020-02-21,2.1165,2.12,2.1165,2.12,3084.0,0.0,1.0,2.1165,2.12,2.1165,2.12,3084.0
2020-02-24,2.11,2.12,2.0,2.0676,15782.0,0.0,1.0,2.11,2.12,2.0,2.0676,15782.0
2020-02-25,2.07,2.36,2.07,2.254,1576.0,0.0,1.0,2.07,2.36,2.07,2.254,1576.0
2020-02-26,2.26,2.76,2.1643,2.25,217333.0,0.0,1.0,2.26,2.76,2.1643,2.25,217333.0
2020-02-27,2.43,3.25,2.3,2.62,256194.0,0.0,1.0,2.43,3.25,2.3,2.62,256194.0
2020-02-28,2.8,2.8,2.31,2.35,54080.0,0.0,1.0,2.8,2.8,2.31,2.35,54080.0
2020-03-02,2.35,2.6545,2.31,2.32,7785.0,0.0,1.0,2.35,2.6545,2.31,2.32,7785.0
2020-03-03,2.24,2.285,2.08,2.1074,29738.0,0.0,1.0,2.24,2.285,2.08,2.1074,29738.0
2020-03-04,2.155,2.29,2.12,2.17,3179.0,0.0,1.0,2.155,2.29,2.12,2.17,3179.0
2020-03-05,2.102,2.19,2.1007,2.135,2105.0,0.0,1.0,2.102,2.19,2.1007,2.135,2105.0
2020-03-06,2.2,2.2,2.06,2.06,3824.0,0.0,1.0,2.2,2.2,2.06,2.06,3824.0
2020-03-09,2.05,2.205,2.05,2.08,20694.0,0.0,1.0,2.05,2.205,2.05,2.08,20694.0
2020-03-10,2.06,2.0983,1.9398,1.9764,14570.0,0.0,1.0,2.06,2.0983,1.9398,1.9764,14570.0
2020-03-11,1.98,2.14,1.98,1.99,4160.0,0.0,1.0,1.98,2.14,1.98,1.99,4160.0
2020-03-12,1.92,2.32,1.9,2.24,5095.0,0.0,1.0,1.92,2.32,1.9,2.24,5095.0
2020-03-13,2.1763,2.1763,2.0,2.0,2778.0,0.0,1.0,2.1763,2.1763,2.0,2.0,2778.0
2020-03-16,1.9,2.2,1.9,2.05,6969.0,0.0,1.0,1.9,2.2,1.9,2.05,6969.0
2020-03-17,1.91,1.99,1.85,1.9,17888.0,0.0,1.0,1.91,1.99,1.85,1.9,17888.0
2020-03-18,2.01,2.38,1.8437,1.9,3879.0,0.0,1.0,2.01,2.38,1.8437,1.9,3879.0
2020-03-19,1.99,2.1,1.85,1.91,3052.0,0.0,1.0,1.99,2.1,1.85,1.91,3052.0
2020-03-20,1.82,2.06,1.82,2.06,4050.0,0.0,1.0,1.82,2.06,1.82,2.06,4050.0
2020-03-23,2.37,2.4,2.01,2.01,2514.0,0.0,1.0,2.37,2.4,2.01,2.01,2514.0
2020-03-24,1.9395,2.2,1.9395,2.076,1755.0,0.0,1.0,1.9395,2.2,1.9395,2.076,1755.0
2020-03-25,1.99,2.0699,1.888,2.0558,7598.0,0.0,1.0,1.99,2.0699,1.888,2.0558,7598.0
2020-03-26,2.0106,2.0106,1.9467,1.9896,1716.0,0.0,1.0,2.0106,2.0106,1.9467,1.9896,1716.0
2020-03-27,2.06,2.06,1.9698,1.99,2944.0,0.0,1.0,2.06,2.06,1.9698,1.99,2944.0
2020-03-30,1.9601,2.0196,1.9601,1.9955,5774.0,0.0,1.0,1.9601,2.0196,1.9601,1.9955,5774.0
2020-03-31,1.95,2.06,1.95,2.06,1570.0,0.0,1.0,1.95,2.06,1.95,2.06,1570.0
2020-04-01,1.95,2.03,1.9095,2.03,8046.0,0.0,1.0,1.95,2.03,1.9095,2.03,8046.0
2020-04-02,2.0095,2.325,2.0095,2.32,3088.0,0.0,1.0,2.0095,2.325,2.0095,2.32,3088.0
2020-04-03,2.01,2.22,2.01,2.22,670.0,0.0,1.0,2.01,2.22,2.01,2.22,670.0
2020-04-06,2.095,2.22,2.07,2.07,10998.0,0.0,1.0,2.095,2.22,2.07,2.07,10998.0
2020-04-07,2.1073,2.2,2.05,2.17,2201.0,0.0,1.0,2.1073,2.2,2.05,2.17,2201.0
2020-04-08,2.16,2.1999,2.1205,2.1809,2677.0,0.0,1.0,2.16,2.1999,2.1205,2.1809,2677.0
2020-04-09,2.1965,2.25,2.19,2.21,4885.0,0.0,1.0,2.1965,2.25,2.19,2.21,4885.0
2020-04-13,2.25,2.25,2.12,2.1742,1629.0,0.0,1.0,2.25,2.25,2.12,2.1742,1629.0
2020-04-14,2.1745,2.1807,2.1698,2.1799,6516.0,0.0,1.0,2.1745,2.1807,2.1698,2.1799,6516.0
2020-04-15,2.17,2.19,2.0151,2.0151,9932.0,0.0,1.0,2.17,2.19,2.0151,2.0151,9932.0
2020-04-16,2.14,2.19,2.12,2.17,16679.0,0.0,1.0,2.14,2.19,2.12,2.17,16679.0
2020-04-17,2.1558,2.18,2.15,2.18,482.0,0.0,1.0,2.1558,2.18,2.15,2.18,482.0
2020-04-20,2.1731,2.19,2.1345,2.1497,2509.0,0.0,1.0,2.1731,2.19,2.1345,2.1497,2509.0
2020-04-21,2.18,2.1844,2.17,2.17,2882.0,0.0,1.0,2.18,2.1844,2.17,2.17,2882.0
2020-04-22,2.1843,2.2,2.1843,2.2,1785.0,0.0,1.0,2.1843,2.2,2.1843,2.2,1785.0
2020-04-23,2.1998,2.25,2.17,2.1884,4423.0,0.0,1.0,2.1998,2.25,2.17,2.1884,4423.0
2020-04-24,2.28,2.28,2.15,2.15,1128.0,0.0,1.0,2.28,2.28,2.15,2.15,1128.0
2020-04-27,2.1443,2.3,2.1443,2.28,3482.0,0.0,1.0,2.1443,2.3,2.1443,2.28,3482.0
2020-04-28,2.19,2.19,2.175,2.18,2777.0,0.0,1.0,2.19,2.19,2.175,2.18,2777.0
2020-04-29,2.21,2.21,2.1901,2.1901,438.0,0.0,1.0,2.21,2.21,2.1901,2.1901,438.0
2020-04-30,2.2,2.21,2.2,2.21,602.0,0.0,1.0,2.2,2.21,2.2,2.21,602.0
2020-05-01,2.12,2.25,2.12,2.25,7704.0,0.0,1.0,2.12,2.25,2.12,2.25,7704.0
2020-05-04,2.2275,2.3,2.2275,2.29,6318.0,0.0,1.0,2.2275,2.3,2.2275,2.29,6318.0
2020-05-05,2.3,2.3,2.29,2.2931,6013.0,0.0,1.0,2.3,2.3,2.29,2.2931,6013.0
2020-05-06,2.3,2.3,2.2637,2.28,1404.0,0.0,1.0,2.3,2.3,2.2637,2.28,1404.0
2020-05-07,2.3,2.3,2.2091,2.3,1447.0,0.0,1.0,2.3,2.3,2.2091,2.3,1447.0
2020-05-08,2.3,2.3,2.3,2.3,1108.0,0.0,1.0,2.3,2.3,2.3,2.3,1108.0
2020-05-11,2.25,2.3,2.21,2.21,3196.0,0.0,1.0,2.25,2.3,2.21,2.21,3196.0
2020-05-12,2.2693,2.2693,2.23,2.23,848.0,0.0,1.0,2.2693,2.2693,2.23,2.23,848.0
2020-05-13,2.19,2.27,2.19,2.25,6304.0,0.0,1.0,2.19,2.27,2.19,2.25,6304.0
2020-05-14,2.3,2.3,2.06,2.16,1605.0,0.0,1.0,2.3,2.3,2.06,2.16,1605.0
2020-05-15,2.24,2.36,2.24,2.355,1120.0,0.0,1.0,2.24,2.36,2.24,2.355,1120.0
2020-05-18,2.29,2.29,2.035,2.11,25106.0,0.0,1.0,2.29,2.29,2.035,2.11,25106.0
2020-05-19,2.17,2.17,2.04,2.04,4296.0,0.0,1.0,2.17,2.17,2.04,2.04,4296.0
2020-05-20,2.04,2.1358,2.04,2.09,3861.0,0.0,1.0,2.04,2.1358,2.04,2.09,3861.0
2020-05-21,2.09,2.21,2.09,2.1,1890.0,0.0,1.0,2.09,2.21,2.09,2.1,1890.0
2020-05-22,2.07,2.132,2.03,2.1,2764.0,0.0,1.0,2.07,2.132,2.03,2.1,2764.0
2020-05-26,2.03,2.19,2.03,2.14,7869.0,0.0,1.0,2.03,2.19,2.03,2.14,7869.0
2020-05-27,2.177,2.2,2.15,2.15,2027.0,0.0,1.0,2.177,2.2,2.15,2.15,2027.0
2020-05-28,2.15,2.19,2.07,2.07,1120.0,0.0,1.0,2.15,2.19,2.07,2.07,1120.0
2020-05-29,2.155,2.2,2.1,2.1,6636.0,0.0,1.0,2.155,2.2,2.1,2.1,6636.0
2020-06-01,2.19,2.19,2.02,2.02,2979.0,0.0,1.0,2.19,2.19,2.02,2.02,2979.0
2020-06-02,2.055,2.155,2.055,2.155,5677.0,0.0,1.0,2.055,2.155,2.055,2.155,5677.0
2020-06-03,2.1035,2.15,2.055,2.15,3320.0,0.0,1.0,2.1035,2.15,2.055,2.15,3320.0
2020-06-04,2.14,2.14,2.0501,2.14,2094.0,0.0,1.0,2.14,2.14,2.0501,2.14,2094.0
2020-06-05,2.105,2.105,2.07,2.07,2638.0,0.0,1.0,2.105,2.105,2.07,2.07,2638.0
2020-06-08,2.03,2.12,2.03,2.09,914.0,0.0,1.0,2.03,2.12,2.03,2.09,914.0
2020-06-09,2.2094,2.23,2.05,2.07,5647.0,0.0,1.0,2.2094,2.23,2.05,2.07,5647.0
2020-06-10,2.085,2.55,2.07,2.3041,33726.0,0.0,1.0,2.085,2.55,2.07,2.3041,33726.0
2020-06-11,2.3,2.4,2.2,2.4,8302.0,0.0,1.0,2.3,2.4,2.2,2.4,8302.0
2020-06-12,2.52,2.52,2.18,2.38,10861.0,0.0,1.0,2.52,2.52,2.18,2.38,10861.0
2020-06-15,2.4,2.42,2.295,2.295,2126.0,0.0,1.0,2.4,2.42,2.295,2.295,2126.0
2020-06-16,2.4,2.4298,2.3,2.4298,28367.0,0.0,1.0,2.4,2.4298,2.3,2.4298,28367.0
2020-06-17,2.35,2.47,2.24,2.47,12314.0,0.0,1.0,2.35,2.47,2.24,2.47,12314.0
2020-06-18,2.44,2.44,2.3,2.3664,2050.0,0.0,1.0,2.44,2.44,2.3,2.3664,2050.0
2020-06-19,2.4,2.7,2.35,2.59,15834.0,0.0,1.0,2.4,2.7,2.35,2.59,15834.0
2020-06-22,2.51,2.59,2.32,2.51,7566.0,0.0,1.0,2.51,2.59,2.32,2.51,7566.0
2020-06-23,2.61,3.13,2.38,2.67,118605.0,0.0,1.0,2.61,3.13,2.38,2.67,118605.0
2020-06-24,2.63,2.635,2.3805,2.4519,33428.0,0.0,1.0,2.63,2.635,2.3805,2.4519,33428.0
2020-06-25,2.44,2.49,2.38,2.4733,5059.0,0.0,1.0,2.44,2.49,2.38,2.4733,5059.0
2020-06-26,2.48,2.48,2.33,2.33,3583.0,0.0,1.0,2.48,2.48,2.33,2.33,3583.0
2020-06-29,2.45,2.45,2.3415,2.3415,678.0,0.0,1.0,2.45,2.45,2.3415,2.3415,678.0
2020-06-30,2.436,2.436,2.33,2.33,709.0,0.0,1.0,2.436,2.436,2.33,2.33,709.0
2020-07-01,2.23,2.86,2.23,2.47,34242.0,0.0,1.0,2.23,2.86,2.23,2.47,34242.0
2020-07-02,2.3327,2.37,2.18,2.37,20139.0,0.0,1.0,2.3327,2.37,2.18,2.37,20139.0
2020-07-06,2.37,2.37,2.2801,2.29,4254.0,0.0,1.0,2.37,2.37,2.2801,2.29,4254.0
2020-07-07,2.29,2.35,2.29,2.29,2495.0,0.0,1.0,2.29,2.35,2.29,2.29,2495.0
2020-07-08,2.29,2.29,2.29,2.29,296.0,0.0,1.0,2.29,2.29,2.29,2.29,296.0
2020-07-09,2.28,2.39,2.28,2.39,1579.0,0.0,1.0,2.28,2.39,2.28,2.39,1579.0
2020-07-10,2.38,2.38,2.3001,2.38,1022.0,0.0,1.0,2.38,2.38,2.3001,2.38,1022.0
2020-07-13,2.355,2.355,2.25,2.25,1653.0,0.0,1.0,2.355,2.355,2.25,2.25,1653.0
2020-07-14,2.2499,2.25,2.185,2.21,6015.0,0.0,1.0,2.2499,2.25,2.185,2.21,6015.0
2020-07-15,2.21,2.3,2.21,2.2988,5681.0,0.0,1.0,2.21,2.3,2.21,2.2988,5681.0
2020-07-16,2.25,2.25,2.2,2.2,1519.0,0.0,1.0,2.25,2.25,2.2,2.2,1519.0
2020-07-17,2.25,2.38,2.25,2.28,12293.0,0.0,1.0,2.25,2.38,2.25,2.28,12293.0
2020-07-20,2.27,2.4,2.18,2.21,7265.0,0.0,1.0,2.27,2.4,2.18,2.21,7265.0
2020-07-21,2.23,2.35,2.2,2.22,4899.0,0.0,1.0,2.23,2.35,2.2,2.22,4899.0
2020-07-22,2.2,2.3,2.14,2.21,6791.0,0.0,1.0,2.2,2.3,2.14,2.21,6791.0
2020-07-23,2.22,2.28,2.18,2.18,10619.0,0.0,1.0,2.22,2.28,2.18,2.18,10619.0
2020-07-24,2.18,2.25,2.173,2.18,5018.0,0.0,1.0,2.18,2.25,2.173,2.18,5018.0
2020-07-27,2.28,2.3013,2.18,2.18,7256.0,0.0,1.0,2.28,2.3013,2.18,2.18,7256.0
2020-07-28,2.18,2.23,2.18,2.18,3195.0,0.0,1.0,2.18,2.23,2.18,2.18,3195.0
2020-07-29,2.2471,2.32,2.18,2.21,10326.0,0.0,1.0,2.2471,2.32,2.18,2.21,10326.0
2020-07-30,2.2,2.23,2.15,2.19,4163.0,0.0,1.0,2.2,2.23,2.15,2.19,4163.0
2020-07-31,2.17,2.33,2.17,2.2,2381.0,0.0,1.0,2.17,2.33,2.17,2.2,2381.0
2020-08-03,2.32,2.43,2.3,2.4,14331.0,0.0,1.0,2.32,2.43,2.3,2.4,14331.0
2020-08-04,2.4499,2.6,2.3495,2.43,11692.0,0.0,1.0,2.4499,2.6,2.3495,2.43,11692.0
2020-08-05,2.4,2.9,2.35,2.3501,68825.0,0.0,1.0,2.4,2.9,2.35,2.3501,68825.0
2020-08-06,2.33,2.47,2.33,2.47,2017.0,0.0,1.0,2.33,2.47,2.33,2.47,2017.0
2020-08-07,2.47,2.49,2.375,2.434,1933.0,0.0,1.0,2.47,2.49,2.375,2.434,1933.0
2020-08-10,2.35,2.5599,2.33,2.52,3037.0,0.0,1.0,2.35,2.5599,2.33,2.52,3037.0
2020-08-11,2.34,2.3932,2.23,2.35,30332.0,0.0,1.0,2.34,2.3932,2.23,2.35,30332.0
2020-08-12,2.53,2.53,2.33,2.33,6227.0,0.0,1.0,2.53,2.53,2.33,2.33,6227.0
2020-08-13,2.3499,2.41,2.325,2.3436,17452.0,0.0,1.0,2.3499,2.41,2.325,2.3436,17452.0
2020-08-14,2.3,2.3939,2.3,2.36,2180.0,0.0,1.0,2.3,2.3939,2.3,2.36,2180.0
2020-08-17,2.44,2.44,2.3,2.32,1241.0,0.0,1.0,2.44,2.44,2.3,2.32,1241.0
2020-08-18,2.4943,2.4943,2.4,2.4,1866.0,0.0,1.0,2.4943,2.4943,2.4,2.4,1866.0
2020-08-19,2.4,2.4,2.35,2.35,816.0,0.0,1.0,2.4,2.4,2.35,2.35,816.0
2020-08-20,2.35,2.35,2.35,2.35,1800.0,0.0,1.0,2.35,2.35,2.35,2.35,1800.0
2020-08-21,2.39,2.3962,2.31,2.33,4130.0,0.0,1.0,2.39,2.3962,2.31,2.33,4130.0
2020-08-24,2.35,2.38,2.335,2.35,840.0,0.0,1.0,2.35,2.38,2.335,2.35,840.0
2020-08-25,2.35,2.35,2.3,2.34,1700.0,0.0,1.0,2.35,2.35,2.3,2.34,1700.0
2020-08-26,2.2818,2.34,2.2818,2.33,1648.0,0.0,1.0,2.2818,2.34,2.2818,2.33,1648.0
2020-08-27,2.28,2.3998,2.25,2.38,3219.0,0.0,1.0,2.28,2.3998,2.25,2.38,3219.0
2020-08-28,2.4,2.4,2.25,2.3,5036.0,0.0,1.0,2.4,2.4,2.25,2.3,5036.0
2020-08-31,2.41,2.48,2.28,2.28,18172.0,0.0,1.0,2.41,2.48,2.28,2.28,18172.0
2020-09-01,2.3,2.5335,2.3,2.53,6578.0,0.0,1.0,2.3,2.5335,2.3,2.53,6578.0
2020-09-02,2.67,2.965,2.65,2.85,78943.0,0.0,1.0,2.67,2.965,2.65,2.85,78943.0
2020-09-03,2.97,2.97,2.56,2.6201,25644.0,0.0,1.0,2.97,2.97,2.56,2.6201,25644.0
2020-09-04,2.58,2.65,2.51,2.6499,19246.0,0.0,1.0,2.58,2.65,2.51,2.6499,19246.0
2020-09-08,2.77,2.95,2.5,2.85,43827.0,0.0,1.0,2.77,2.95,2.5,2.85,43827.0
2020-09-09,2.93,2.97,2.78,2.88,21956.0,0.0,1.0,2.93,2.97,2.78,2.88,21956.0
2020-09-10,2.8201,3.1999,2.8201,3.12,36281.0,0.0,1.0,2.8201,3.1999,2.8201,3.12,36281.0
2020-09-11,3.14,3.15,2.92,3.07,9235.0,0.0,1.0,3.14,3.15,2.92,3.07,9235.0
2020-09-14,3.01,3.12,3.0,3.01,7351.0,0.0,1.0,3.01,3.12,3.0,3.01,7351.0
2020-09-15,3.099,3.099,2.91,2.98,12889.0,0.0,1.0,3.099,3.099,2.91,2.98,12889.0
2020-09-16,2.96,2.98,2.82,2.83,4677.0,0.0,1.0,2.96,2.98,2.82,2.83,4677.0
2020-09-17,2.85,2.85,2.56,2.61,5129.0,0.0,1.0,2.85,2.85,2.56,2.61,5129.0
2020-09-18,2.61,2.68,2.46,2.68,17376.0,0.0,1.0,2.61,2.68,2.46,2.68,17376.0
2020-09-21,2.7,2.7,2.58,2.69,1399.0,0.0,1.0,2.7,2.7,2.58,2.69,1399.0
2020-09-22,2.68,2.68,2.5748,2.65,1159.0,0.0,1.0,2.68,2.68,2.5748,2.65,1159.0
2020-09-23,2.68,2.7,2.68,2.7,714.0,0.0,1.0,2.68,2.7,2.68,2.7,714.0
2020-09-24,2.7,2.7,2.5,2.56,1025.0,0.0,1.0,2.7,2.7,2.5,2.56,1025.0
2020-09-25,2.49,2.57,2.49,2.57,1299.0,0.0,1.0,2.49,2.57,2.49,2.57,1299.0
2020-09-28,2.5747,2.5747,2.5747,2.5747,1408.0,0.0,1.0,2.5747,2.5747,2.5747,2.5747,1408.0
2020-09-29,2.6,2.7,2.6,2.6,883.0,0.0,1.0,2.6,2.7,2.6,2.6,883.0
2020-09-30,2.5825,2.5825,2.43,2.45,1873.0,0.0,1.0,2.5825,2.5825,2.43,2.45,1873.0
2020-10-01,2.43,2.6899,2.43,2.575,4758.0,0.0,1.0,2.43,2.6899,2.43,2.575,4758.0
2020-10-02,2.4,2.5172,2.37,2.5172,2534.0,0.0,1.0,2.4,2.5172,2.37,2.5172,2534.0
2020-10-05,2.46,2.46,2.46,2.46,340.0,0.0,1.0,2.46,2.46,2.46,2.46,340.0
2020-10-06,2.5623,2.66,2.56,2.56,1884.0,0.0,1.0,2.5623,2.66,2.56,2.56,1884.0
2020-10-07,2.6,2.6,2.5,2.5,783.0,0.0,1.0,2.6,2.6,2.5,2.5,783.0
2020-10-08,2.67,2.6764,2.5227,2.55,4113.0,0.0,1.0,2.67,2.6764,2.5227,2.55,4113.0
2020-10-09,2.55,2.59,2.5485,2.56,6425.0,0.0,1.0,2.55,2.59,2.5485,2.56,6425.0
2020-10-12,2.5601,3.18,2.56,3.02,67565.0,0.0,1.0,2.5601,3.18,2.56,3.02,67565.0
2020-10-13,3.12,3.12,2.75,2.98,32507.0,0.0,1.0,3.12,3.12,2.75,2.98,32507.0
2020-10-14,3.02,3.02,2.88,2.88,9888.0,0.0,1.0,3.02,3.02,2.88,2.88,9888.0
2020-10-15,3.0461,3.058,2.9446,3.05,2524.0,0.0,1.0,3.0461,3.058,2.9446,3.05,2524.0
2020-10-16,3.05,3.05,2.9,2.9015,1868.0,0.0,1.0,3.05,3.05,2.9,2.9015,1868.0
2020-10-19,3.07,3.07,2.9495,3.01,1811.0,0.0,1.0,3.07,3.07,2.9495,3.01,1811.0
2020-10-20,2.8,2.9576,2.8,2.9576,1304.0,0.0,1.0,2.8,2.9576,2.8,2.9576,1304.0
2020-10-21,2.9127,3.03,2.89,3.03,1930.0,0.0,1.0,2.9127,3.03,2.89,3.03,1930.0
2020-10-22,2.8572,2.96,2.8572,2.89,1927.0,0.0,1.0,2.8572,2.96,2.8572,2.89,1927.0
2020-10-23,2.83,2.93,2.8,2.82,6876.0,0.0,1.0,2.83,2.93,2.8,2.82,6876.0
2020-10-26,2.81,2.8398,2.79,2.79,887.0,0.0,1.0,2.81,2.8398,2.79,2.79,887.0
