Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-12-10,8.0,8.0,5.34,5.455,1027347.0,0.0,1.0,8.0,8.0,5.34,5.455,1027347.0
2020-12-11,5.85,6.0,4.52,4.775,852021.0,0.0,1.0,5.85,6.0,4.52,4.775,852021.0
2020-12-14,5.0,5.14,3.78,4.63,1018644.0,0.0,1.0,5.0,5.14,3.78,4.63,1018644.0
2020-12-15,4.6,4.99,4.32,4.59,454654.0,0.0,1.0,4.6,4.99,4.32,4.59,454654.0
2020-12-16,4.95,4.99,4.47,4.8,201164.0,0.0,1.0,4.95,4.99,4.47,4.8,201164.0
2020-12-17,4.52,4.7698,4.12,4.48,310518.0,0.0,1.0,4.52,4.7698,4.12,4.48,310518.0
2020-12-18,4.37,4.5,3.78,4.0,587851.0,0.0,1.0,4.37,4.5,3.78,4.0,587851.0
2020-12-21,4.0,5.0,3.96,4.98,430280.0,0.0,1.0,4.0,5.0,3.96,4.98,430280.0
2020-12-22,5.41,5.65,5.11,5.41,556352.0,0.0,1.0,5.41,5.65,5.11,5.41,556352.0
2020-12-23,5.6,6.39,5.3,6.15,715357.0,0.0,1.0,5.6,6.39,5.3,6.15,715357.0
2020-12-24,5.7,6.1,5.33,5.49,411537.0,0.0,1.0,5.7,6.1,5.33,5.49,411537.0
2020-12-28,5.5,5.5227,4.87,5.16,363674.0,0.0,1.0,5.5,5.5227,4.87,5.16,363674.0
2020-12-29,4.95,5.02,4.48,4.51,239936.0,0.0,1.0,4.95,5.02,4.48,4.51,239936.0
2020-12-30,4.5,5.05,4.5,4.8,249521.0,0.0,1.0,4.5,5.05,4.5,4.8,249521.0
2020-12-31,5.05,5.1,4.52,4.81,146312.0,0.0,1.0,5.05,5.1,4.52,4.81,146312.0
