Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.35,1.35,1.31,1.3343,5446.0,0.0,1.0,1.35,1.35,1.31,1.3343,5446.0
2020-01-03,1.31,1.36,1.3,1.32,9478.0,0.0,1.0,1.31,1.36,1.3,1.32,9478.0
2020-01-06,1.35,1.4339,1.31,1.3397,5881.0,0.0,1.0,1.35,1.4339,1.31,1.3397,5881.0
2020-01-07,1.3274,1.34,1.29,1.3354,3274.0,0.0,1.0,1.3274,1.34,1.29,1.3354,3274.0
2020-01-08,1.3175,1.3175,1.3175,1.3175,146.0,0.0,1.0,1.3175,1.3175,1.3175,1.3175,146.0
2020-01-09,1.3274,1.3274,1.3,1.32,1823.0,0.0,1.0,1.3274,1.3274,1.3,1.32,1823.0
2020-01-10,1.2999,1.3191,1.2999,1.3191,1005.0,0.0,1.0,1.2999,1.3191,1.2999,1.3191,1005.0
2020-01-13,1.33,1.35,1.26,1.35,1317.0,0.0,1.0,1.33,1.35,1.26,1.35,1317.0
2020-01-14,1.33,1.33,1.26,1.3151,1010.0,0.0,1.0,1.33,1.33,1.26,1.3151,1010.0
2020-01-15,1.2564,1.2935,1.1616,1.23,17439.0,0.0,1.0,1.2564,1.2935,1.1616,1.23,17439.0
2020-01-16,1.33,1.33,1.25,1.2951,3835.0,0.0,1.0,1.33,1.33,1.25,1.2951,3835.0
2020-01-17,1.21,1.21,1.1753,1.1802,9495.0,0.0,1.0,1.21,1.21,1.1753,1.1802,9495.0
2020-01-21,1.2157,1.3244,1.21,1.3098,3952.0,0.0,1.0,1.2157,1.3244,1.21,1.3098,3952.0
2020-01-22,1.31,1.35,1.2701,1.2701,2453.0,0.0,1.0,1.31,1.35,1.2701,1.2701,2453.0
2020-01-23,1.27,1.2973,1.22,1.23,9113.0,0.0,1.0,1.27,1.2973,1.22,1.23,9113.0
2020-01-24,1.2837,1.2837,1.23,1.23,988.0,0.0,1.0,1.2837,1.2837,1.23,1.23,988.0
2020-01-27,1.23,1.23,1.23,1.23,362.0,0.0,1.0,1.23,1.23,1.23,1.23,362.0
2020-01-28,1.2229,1.2229,1.12,1.14,24668.0,0.0,1.0,1.2229,1.2229,1.12,1.14,24668.0
2020-01-29,1.15,1.154,1.14,1.14,14602.0,0.0,1.0,1.15,1.154,1.14,1.14,14602.0
2020-01-30,1.12,1.12,1.0873,1.09,4717.0,0.0,1.0,1.12,1.12,1.0873,1.09,4717.0
2020-01-31,1.0973,1.1,1.0973,1.1,240.0,0.0,1.0,1.0973,1.1,1.0973,1.1,240.0
2020-02-03,1.1,1.1,1.06,1.06,2932.0,0.0,1.0,1.1,1.1,1.06,1.06,2932.0
2020-02-04,1.1607,1.1607,1.1,1.1,5615.0,0.0,1.0,1.1607,1.1607,1.1,1.1,5615.0
2020-02-05,1.0951,1.0971,1.08,1.08,5123.0,0.0,1.0,1.0951,1.0971,1.08,1.08,5123.0
2020-02-06,1.0955,1.0955,1.06,1.06,5613.0,0.0,1.0,1.0955,1.0955,1.06,1.06,5613.0
2020-02-07,1.1059,1.14,1.0,1.0,40124.0,0.0,1.0,1.1059,1.14,1.0,1.0,40124.0
2020-02-10,1.1,1.1252,1.08,1.1,4585.0,0.0,1.0,1.1,1.1252,1.08,1.1,4585.0
2020-02-11,1.05,1.1,1.05,1.07,13145.0,0.0,1.0,1.05,1.1,1.05,1.07,13145.0
2020-02-12,1.1,1.117,1.1,1.1022,3633.0,0.0,1.0,1.1,1.117,1.1,1.1022,3633.0
2020-02-13,1.1447,1.1447,1.1,1.1,5183.0,0.0,1.0,1.1447,1.1447,1.1,1.1,5183.0
2020-02-14,1.12,1.1777,1.1,1.1777,6300.0,0.0,1.0,1.12,1.1777,1.1,1.1777,6300.0
2020-02-18,1.16,1.17,1.12,1.15,4965.0,0.0,1.0,1.16,1.17,1.12,1.15,4965.0
