Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,3.34,3.38,3.31,3.35,47525.0,0.0,1.0,3.34,3.38,3.31,3.35,47525.0
2020-01-03,3.3538,3.3587,3.1758,3.21,41426.0,0.0,1.0,3.3538,3.3587,3.1758,3.21,41426.0
2020-01-06,3.2099,3.22,3.18,3.21,26898.0,0.0,1.0,3.2099,3.22,3.18,3.21,26898.0
2020-01-07,3.07,3.2342,3.07,3.2342,4549.0,0.0,1.0,3.07,3.2342,3.07,3.2342,4549.0
2020-01-08,3.22,3.335,3.22,3.28,16974.0,0.0,1.0,3.22,3.335,3.22,3.28,16974.0
2020-01-09,3.26,3.3473,3.23,3.29,62244.0,0.0,1.0,3.26,3.3473,3.23,3.29,62244.0
2020-01-10,3.26,3.2767,3.26,3.27,5411.0,0.0,1.0,3.26,3.2767,3.26,3.27,5411.0
2020-01-13,3.3,3.4,3.3,3.33,42407.0,0.0,1.0,3.3,3.4,3.3,3.33,42407.0
2020-01-14,3.48,3.48,3.23,3.23,21199.0,0.0,1.0,3.48,3.48,3.23,3.23,21199.0
2020-01-15,3.3357,3.3357,3.2036,3.21,42241.0,0.0,1.0,3.3357,3.3357,3.2036,3.21,42241.0
2020-01-16,3.23,3.23,3.15,3.15,43094.0,0.0,1.0,3.23,3.23,3.15,3.15,43094.0
2020-01-17,3.1685,3.1954,3.12,3.1954,22213.0,0.0,1.0,3.1685,3.1954,3.12,3.1954,22213.0
2020-01-21,3.12,3.12,2.8401,2.98,103963.0,0.0,1.0,3.12,3.12,2.8401,2.98,103963.0
2020-01-22,2.97,3.11,2.97,3.03,31596.0,0.0,1.0,2.97,3.11,2.97,3.03,31596.0
2020-01-23,3.0,3.0211,2.9,2.9,8941.0,0.0,1.0,3.0,3.0211,2.9,2.9,8941.0
2020-01-24,2.81,2.89,2.81,2.87,26710.0,0.0,1.0,2.81,2.89,2.81,2.87,26710.0
2020-01-27,2.92,2.92,2.73,2.73,15137.0,0.0,1.0,2.92,2.92,2.73,2.73,15137.0
2020-01-28,2.98,3.05,2.78,2.79,102542.0,0.0,1.0,2.98,3.05,2.78,2.79,102542.0
2020-01-29,2.84,2.85,2.5,2.5,26643.0,0.0,1.0,2.84,2.85,2.5,2.5,26643.0
2020-01-30,2.63,2.73,2.56,2.64,22263.0,0.0,1.0,2.63,2.73,2.56,2.64,22263.0
2020-01-31,2.63,2.66,2.59,2.59,46331.0,0.0,1.0,2.63,2.66,2.59,2.59,46331.0
2020-02-03,2.71,2.71,2.54,2.54,22852.0,0.0,1.0,2.71,2.71,2.54,2.54,22852.0
2020-02-04,2.53,2.72,2.53,2.68,194128.0,0.0,1.0,2.53,2.72,2.53,2.68,194128.0
2020-02-05,2.65,2.81,2.65,2.79,20140.0,0.0,1.0,2.65,2.81,2.65,2.79,20140.0
2020-02-06,2.76,2.82,2.76,2.82,19567.0,0.0,1.0,2.76,2.82,2.76,2.82,19567.0
2020-02-07,2.82,2.84,2.8,2.8,19088.0,0.0,1.0,2.82,2.84,2.8,2.8,19088.0
2020-02-10,2.84,2.94,2.82,2.9,307577.0,0.0,1.0,2.84,2.94,2.82,2.9,307577.0
2020-02-11,2.99,3.07,2.89,3.07,137341.0,0.0,1.0,2.99,3.07,2.89,3.07,137341.0
2020-02-12,2.98,3.07,2.97,3.06,10017.0,0.0,1.0,2.98,3.07,2.97,3.06,10017.0
2020-02-13,3.09,3.165,3.07,3.09,11297.0,0.0,1.0,3.09,3.165,3.07,3.09,11297.0
2020-02-14,3.11,3.12,3.08,3.08,62677.0,0.0,1.0,3.11,3.12,3.08,3.08,62677.0
2020-02-18,3.13,3.13,3.05,3.0605,12554.0,0.0,1.0,3.13,3.13,3.05,3.0605,12554.0
2020-02-19,3.07,3.09,3.07,3.09,3094.0,0.0,1.0,3.07,3.09,3.07,3.09,3094.0
2020-02-20,3.1,3.13,3.1,3.12,1908.0,0.0,1.0,3.1,3.13,3.1,3.12,1908.0
2020-02-21,3.15,3.15,3.1,3.13,156365.0,0.0,1.0,3.15,3.15,3.1,3.13,156365.0
2020-02-24,3.17,3.17,2.94,2.96,71822.0,0.0,1.0,3.17,3.17,2.94,2.96,71822.0
2020-02-25,3.1,3.1,2.8,2.83,61790.0,0.0,1.0,3.1,3.1,2.8,2.83,61790.0
2020-02-26,2.51,2.51,1.83,1.92,310988.0,0.0,1.0,2.51,2.51,1.83,1.92,310988.0
2020-02-27,1.96,1.96,1.72,1.77,105585.0,0.0,1.0,1.96,1.96,1.72,1.77,105585.0
2020-02-28,1.78,1.89,1.73,1.81,326345.0,0.0,1.0,1.78,1.89,1.73,1.81,326345.0
2020-03-02,1.94,1.94,1.78,1.83,144193.0,0.0,1.0,1.94,1.94,1.78,1.83,144193.0
2020-03-03,1.99,1.99,1.61,1.62,256951.0,0.0,1.0,1.99,1.99,1.61,1.62,256951.0
2020-03-04,1.89,1.89,1.64,1.71,190123.0,0.0,1.0,1.89,1.89,1.64,1.71,190123.0
