Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,3.66,3.72,3.61,3.66,190945.0,0.0,1.0,3.66,3.72,3.61,3.66,190945.0
2020-01-03,3.6,3.68,3.55,3.67,236568.0,0.0,1.0,3.6,3.68,3.55,3.67,236568.0
2020-01-06,3.66,3.8,3.66,3.71,476598.0,0.0,1.0,3.66,3.8,3.66,3.71,476598.0
2020-01-07,3.7,4.0,3.7,3.93,410654.0,0.0,1.0,3.7,4.0,3.7,3.93,410654.0
2020-01-08,3.93,3.98,3.85,3.92,206911.0,0.0,1.0,3.93,3.98,3.85,3.92,206911.0
2020-01-09,3.94,4.05,3.93,4.0,332211.0,0.0,1.0,3.94,4.05,3.93,4.0,332211.0
2020-01-10,4.03,4.05,3.9,3.9,565047.0,0.0,1.0,4.03,4.05,3.9,3.9,565047.0
2020-01-13,3.9,3.95,3.89,3.9,195594.0,0.0,1.0,3.9,3.95,3.89,3.9,195594.0
2020-01-14,3.92,4.13,3.9,3.99,373142.0,0.0,1.0,3.92,4.13,3.9,3.99,373142.0
2020-01-15,4.01,4.08,4.01,4.06,196925.0,0.0,1.0,4.01,4.08,4.01,4.06,196925.0
2020-01-16,4.1,4.19,4.055,4.1,234169.0,0.0,1.0,4.1,4.19,4.055,4.1,234169.0
2020-01-17,4.1,4.15,4.065,4.13,144240.0,0.0,1.0,4.1,4.15,4.065,4.13,144240.0
2020-01-21,4.14,4.17,4.05,4.14,215475.0,0.0,1.0,4.14,4.17,4.05,4.14,215475.0
2020-01-22,4.15,4.15,4.08,4.09,108468.0,0.0,1.0,4.15,4.15,4.08,4.09,108468.0
2020-01-23,4.05,4.13,4.04,4.07,279167.0,0.0,1.0,4.05,4.13,4.04,4.07,279167.0
2020-01-24,4.05,4.08,3.95,3.99,243647.0,0.0,1.0,4.05,4.08,3.95,3.99,243647.0
2020-01-27,3.96,4.1,3.96,4.08,356894.0,0.0,1.0,3.96,4.1,3.96,4.08,356894.0
2020-01-28,4.12,4.14,3.97,4.0,199403.0,0.0,1.0,4.12,4.14,3.97,4.0,199403.0
2020-01-29,3.98,4.02,3.82,3.85,267881.0,0.0,1.0,3.98,4.02,3.82,3.85,267881.0
2020-01-30,3.81,3.85,3.76,3.77,234959.0,0.0,1.0,3.81,3.85,3.76,3.77,234959.0
