Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.45,1.46,1.42,1.44,54604.0,0.0,1.0,1.45,1.46,1.42,1.44,54604.0
2020-01-03,1.44,1.4466,1.4,1.42,62578.0,0.0,1.0,1.44,1.4466,1.4,1.42,62578.0
2020-01-06,1.42,1.45,1.42,1.44,54879.0,0.0,1.0,1.42,1.45,1.42,1.44,54879.0
2020-01-07,1.44,1.52,1.4101,1.5,105626.0,0.0,1.0,1.44,1.52,1.4101,1.5,105626.0
2020-01-08,1.49,1.52,1.46,1.485,68641.0,0.0,1.0,1.49,1.52,1.46,1.485,68641.0
2020-01-09,1.46,1.5,1.45,1.46,41810.0,0.0,1.0,1.46,1.5,1.45,1.46,41810.0
2020-01-10,1.46,1.51,1.45,1.485,72161.0,0.0,1.0,1.46,1.51,1.45,1.485,72161.0
2020-01-13,1.48,1.5649,1.4462,1.4825,303699.0,0.0,1.0,1.48,1.5649,1.4462,1.4825,303699.0
2020-01-14,1.45,1.5,1.4399,1.5,88559.0,0.0,1.0,1.45,1.5,1.4399,1.5,88559.0
2020-01-15,1.49,1.62,1.49,1.5863,185589.0,0.0,1.0,1.49,1.62,1.49,1.5863,185589.0
2020-01-16,1.58,1.6575,1.56,1.57,149870.0,0.0,1.0,1.58,1.6575,1.56,1.57,149870.0
2020-01-17,1.57,1.66,1.57,1.6382,206773.0,0.0,1.0,1.57,1.66,1.57,1.6382,206773.0
2020-01-21,1.64,1.68,1.52,1.575,120484.0,0.0,1.0,1.64,1.68,1.52,1.575,120484.0
2020-01-22,1.59,1.63,1.52,1.56,72548.0,0.0,1.0,1.59,1.63,1.52,1.56,72548.0
2020-01-23,1.52,1.6,1.52,1.58,14863.0,0.0,1.0,1.52,1.6,1.52,1.58,14863.0
2020-01-24,1.57,1.6,1.48,1.5,96770.0,0.0,1.0,1.57,1.6,1.48,1.5,96770.0
2020-01-27,1.49,1.55,1.43,1.47,71966.0,0.0,1.0,1.49,1.55,1.43,1.47,71966.0
2020-01-28,1.44,1.5225,1.43,1.44,104268.0,0.0,1.0,1.44,1.5225,1.43,1.44,104268.0
2020-01-29,1.44,1.49,1.38,1.43,92654.0,0.0,1.0,1.44,1.49,1.38,1.43,92654.0
2020-01-30,1.41,1.43,1.39,1.42,87096.0,0.0,1.0,1.41,1.43,1.39,1.42,87096.0
2020-01-31,1.42,1.46,1.4,1.44,35704.0,0.0,1.0,1.42,1.46,1.4,1.44,35704.0
2020-02-03,1.44,1.449,1.39,1.42,74892.0,0.0,1.0,1.44,1.449,1.39,1.42,74892.0
2020-02-04,1.4,1.42,1.39,1.4,66432.0,0.0,1.0,1.4,1.42,1.39,1.4,66432.0
2020-02-05,1.39,1.46,1.38,1.45,53869.0,0.0,1.0,1.39,1.46,1.38,1.45,53869.0
2020-02-06,1.45,1.49,1.42,1.45,8881.0,0.0,1.0,1.45,1.49,1.42,1.45,8881.0
2020-02-07,1.42,1.44,1.39,1.41,61109.0,0.0,1.0,1.42,1.44,1.39,1.41,61109.0
2020-02-10,1.4,1.41,1.3075,1.3075,91552.0,0.0,1.0,1.4,1.41,1.3075,1.3075,91552.0
2020-02-11,1.31,1.35,1.3,1.33,26596.0,0.0,1.0,1.31,1.35,1.3,1.33,26596.0
2020-02-12,1.33,1.4,1.3,1.38,56296.0,0.0,1.0,1.33,1.4,1.3,1.38,56296.0
2020-02-13,1.36,1.37,1.33,1.35,21999.0,0.0,1.0,1.36,1.37,1.33,1.35,21999.0
2020-02-14,1.37,1.39,1.32,1.38,24182.0,0.0,1.0,1.37,1.39,1.32,1.38,24182.0
2020-02-18,1.38,1.38,1.3,1.3412,21513.0,0.0,1.0,1.38,1.38,1.3,1.3412,21513.0
2020-02-19,1.33,1.38,1.2772,1.31,59136.0,0.0,1.0,1.33,1.38,1.2772,1.31,59136.0
