Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,3.01,3.01,2.6,2.75,12422.0,0.0,1.0,3.01,3.01,2.6,2.75,12422.0
2020-01-03,2.674,2.6999,2.5,2.6999,6936.0,0.0,1.0,2.674,2.6999,2.5,2.6999,6936.0
2020-01-06,2.5785,2.5999,2.56,2.5999,3833.0,0.0,1.0,2.5785,2.5999,2.56,2.5999,3833.0
2020-01-07,2.47,2.47,2.29,2.38,14737.0,0.0,1.0,2.47,2.47,2.29,2.38,14737.0
2020-01-08,2.3602,2.42,2.31,2.4199,9164.0,0.0,1.0,2.3602,2.42,2.31,2.4199,9164.0
2020-01-09,2.34,2.3401,2.03,2.1991,16249.0,0.0,1.0,2.34,2.3401,2.03,2.1991,16249.0
2020-01-10,2.11,2.17,1.8921,1.98,10545.0,0.0,1.0,2.11,2.17,1.8921,1.98,10545.0
2020-01-13,1.99,2.0895,1.95,2.03,19297.0,0.0,1.0,1.99,2.0895,1.95,2.03,19297.0
2020-01-14,2.12,2.1399,2.0009,2.0952,3433.0,0.0,1.0,2.12,2.1399,2.0009,2.0952,3433.0
2020-01-15,2.11,2.18,2.11,2.13,10634.0,0.0,1.0,2.11,2.18,2.11,2.13,10634.0
2020-01-16,2.144,2.235,2.14,2.14,16940.0,0.0,1.0,2.144,2.235,2.14,2.14,16940.0
2020-01-17,2.08,2.08,2.0,2.0,14829.0,0.0,1.0,2.08,2.08,2.0,2.0,14829.0
2020-01-21,2.1433,2.1433,2.0,2.0,5026.0,0.0,1.0,2.1433,2.1433,2.0,2.0,5026.0
2020-01-22,2.08,2.08,1.98,1.98,4182.0,0.0,1.0,2.08,2.08,1.98,1.98,4182.0
2020-01-23,2.02,2.02,1.95,1.9599,5483.0,0.0,1.0,2.02,2.02,1.95,1.9599,5483.0
2020-01-24,2.0,2.04,1.9,1.98,6948.0,0.0,1.0,2.0,2.04,1.9,1.98,6948.0
2020-01-27,1.9,1.9899,1.9,1.9399,5490.0,0.0,1.0,1.9,1.9899,1.9,1.9399,5490.0
2020-01-28,1.9516,1.9699,1.8,1.8599,5917.0,0.0,1.0,1.9516,1.9699,1.8,1.8599,5917.0
2020-01-29,1.95,1.99,1.81,1.86,4062.0,0.0,1.0,1.95,1.99,1.81,1.86,4062.0
2020-01-30,1.9929,4.99,1.985,2.7666,3383712.0,0.0,1.0,1.9929,4.99,1.985,2.7666,3383712.0
2020-01-31,2.91,3.15,2.5,2.6672,395810.0,0.0,1.0,2.91,3.15,2.5,2.6672,395810.0
2020-02-03,2.41,2.7,2.29,2.36,80801.0,0.0,1.0,2.41,2.7,2.29,2.36,80801.0
2020-02-04,2.26,2.45,2.22,2.25,46575.0,0.0,1.0,2.26,2.45,2.22,2.25,46575.0
2020-02-05,2.21,2.442,2.2,2.3923,58566.0,0.0,1.0,2.21,2.442,2.2,2.3923,58566.0
2020-02-06,2.22,2.39,2.22,2.39,40812.0,0.0,1.0,2.22,2.39,2.22,2.39,40812.0
2020-02-07,2.38,2.8,2.38,2.58,60789.0,0.0,1.0,2.38,2.8,2.38,2.58,60789.0
2020-02-10,2.62,2.8386,2.5424,2.68,59701.0,0.0,1.0,2.62,2.8386,2.5424,2.68,59701.0
2020-02-11,2.8,2.83,2.55,2.62,35786.0,0.0,1.0,2.8,2.83,2.55,2.62,35786.0
2020-02-12,3.52,3.93,2.91,3.2,5637828.0,0.0,1.0,3.52,3.93,2.91,3.2,5637828.0
2020-02-13,3.04,3.1137,2.91,3.03,307570.0,0.0,1.0,3.04,3.1137,2.91,3.03,307570.0
2020-02-14,3.0,3.0615,2.91,3.0,102513.0,0.0,1.0,3.0,3.0615,2.91,3.0,102513.0
2020-02-18,2.82,3.2,2.82,3.07,58869.0,0.0,1.0,2.82,3.2,2.82,3.07,58869.0
2020-02-19,3.02,3.02,2.7,2.72,109976.0,0.0,1.0,3.02,3.02,2.7,2.72,109976.0
2020-02-20,2.7,2.8881,2.7,2.82,23722.0,0.0,1.0,2.7,2.8881,2.7,2.82,23722.0
2020-02-21,2.76,2.81,2.7062,2.75,6734.0,0.0,1.0,2.76,2.81,2.7062,2.75,6734.0
2020-02-24,2.68,2.8299,2.59,2.65,29119.0,0.0,1.0,2.68,2.8299,2.59,2.65,29119.0
2020-02-25,2.61,2.6899,2.4,2.4,35377.0,0.0,1.0,2.61,2.6899,2.4,2.4,35377.0
2020-02-26,2.39,2.5799,2.39,2.48,9663.0,0.0,1.0,2.39,2.5799,2.39,2.48,9663.0
2020-02-27,2.4274,2.465,2.05,2.12,79424.0,0.0,1.0,2.4274,2.465,2.05,2.12,79424.0
2020-02-28,2.0,2.88,2.0,2.38,374220.0,0.0,1.0,2.0,2.88,2.0,2.38,374220.0
2020-03-02,2.25,2.5744,2.1901,2.55,58383.0,0.0,1.0,2.25,2.5744,2.1901,2.55,58383.0
2020-03-03,2.55,2.55,2.2,2.21,65758.0,0.0,1.0,2.55,2.55,2.2,2.21,65758.0
2020-03-04,2.23,2.2799,2.15,2.211,18821.0,0.0,1.0,2.23,2.2799,2.15,2.211,18821.0
2020-03-05,2.17,2.39,2.17,2.26,28715.0,0.0,1.0,2.17,2.39,2.17,2.26,28715.0
2020-03-06,2.22,2.4884,2.22,2.35,29510.0,0.0,1.0,2.22,2.4884,2.22,2.35,29510.0
2020-03-09,2.42,2.42,2.31,2.375,28254.0,0.0,1.0,2.42,2.42,2.31,2.375,28254.0
2020-03-10,2.35,2.4106,2.26,2.36,23518.0,0.0,1.0,2.35,2.4106,2.26,2.36,23518.0
2020-03-11,2.26,2.2899,2.16,2.16,13957.0,0.0,1.0,2.26,2.2899,2.16,2.16,13957.0
2020-03-12,2.16,2.38,2.16,2.21,16540.0,0.0,1.0,2.16,2.38,2.16,2.21,16540.0
2020-03-13,2.285,2.2868,1.9,1.9,30977.0,0.0,1.0,2.285,2.2868,1.9,1.9,30977.0
2020-03-16,1.95,1.95,1.8492,1.93,9559.0,0.0,1.0,1.95,1.95,1.8492,1.93,9559.0
2020-03-17,1.8601,2.2,1.86,1.86,4373.0,0.0,1.0,1.8601,2.2,1.86,1.86,4373.0
2020-03-18,1.85,1.8793,1.52,1.61,8746.0,0.0,1.0,1.85,1.8793,1.52,1.61,8746.0
2020-03-19,1.35,1.59,1.35,1.49,10871.0,0.0,1.0,1.35,1.59,1.35,1.49,10871.0
2020-03-20,1.49,1.78,1.49,1.78,10241.0,0.0,1.0,1.49,1.78,1.49,1.78,10241.0
2020-03-23,1.74,1.8899,1.68,1.73,13699.0,0.0,1.0,1.74,1.8899,1.68,1.73,13699.0
2020-03-24,1.5501,1.88,1.5501,1.87,2267.0,0.0,1.0,1.5501,1.88,1.5501,1.87,2267.0
2020-03-25,2.02,2.15,1.73,1.73,9378.0,0.0,1.0,2.02,2.15,1.73,1.73,9378.0
2020-03-26,1.7,1.93,1.35,1.49,31823.0,0.0,1.0,1.7,1.93,1.35,1.49,31823.0
2020-03-27,1.87,1.8999,1.66,1.86,8972.0,0.0,1.0,1.87,1.8999,1.66,1.86,8972.0
2020-03-30,1.87,1.8973,1.75,1.87,12957.0,0.0,1.0,1.87,1.8973,1.75,1.87,12957.0
2020-03-31,1.9473,1.95,1.83,1.9,5846.0,0.0,1.0,1.9473,1.95,1.83,1.9,5846.0
2020-04-01,2.21,3.13,2.0,2.4,2852289.0,0.0,1.0,2.21,3.13,2.0,2.4,2852289.0
2020-04-02,2.35,2.5,2.11,2.4,189164.0,0.0,1.0,2.35,2.5,2.11,2.4,189164.0
2020-04-03,2.4,2.4,2.26,2.3,24355.0,0.0,1.0,2.4,2.4,2.26,2.3,24355.0
2020-04-06,2.3,2.44,2.2,2.3717,33011.0,0.0,1.0,2.3,2.44,2.2,2.3717,33011.0
2020-04-07,2.29,2.44,2.205,2.44,33820.0,0.0,1.0,2.29,2.44,2.205,2.44,33820.0
2020-04-08,2.35,2.41,2.25,2.35,16003.0,0.0,1.0,2.35,2.41,2.25,2.35,16003.0
2020-04-09,2.26,2.35,2.26,2.28,10143.0,0.0,1.0,2.26,2.35,2.26,2.28,10143.0
2020-04-13,2.2607,2.28,2.2077,2.28,6618.0,0.0,1.0,2.2607,2.28,2.2077,2.28,6618.0
2020-04-14,2.24,2.43,2.24,2.3381,14540.0,0.0,1.0,2.24,2.43,2.24,2.3381,14540.0
2020-04-15,2.28,2.3986,2.25,2.32,6683.0,0.0,1.0,2.28,2.3986,2.25,2.32,6683.0
2020-04-16,2.2601,2.37,2.2601,2.27,3397.0,0.0,1.0,2.2601,2.37,2.2601,2.27,3397.0
2020-04-17,2.25,2.36,2.25,2.25,7955.0,0.0,1.0,2.25,2.36,2.25,2.25,7955.0
2020-04-20,2.25,2.32,2.25,2.28,15563.0,0.0,1.0,2.25,2.32,2.25,2.28,15563.0
2020-04-21,2.31,2.32,2.1101,2.216,19313.0,0.0,1.0,2.31,2.32,2.1101,2.216,19313.0
2020-04-22,2.1777,2.2761,2.16,2.1601,3813.0,0.0,1.0,2.1777,2.2761,2.16,2.1601,3813.0
2020-04-23,2.1076,2.1622,2.1076,2.1622,3050.0,0.0,1.0,2.1076,2.1622,2.1076,2.1622,3050.0
2020-04-24,2.1685,2.3,2.1344,2.1596,3391.0,0.0,1.0,2.1685,2.3,2.1344,2.1596,3391.0
2020-04-27,2.2,2.2,2.115,2.17,6068.0,0.0,1.0,2.2,2.2,2.115,2.17,6068.0
2020-04-28,2.1709,2.25,2.17,2.17,3270.0,0.0,1.0,2.1709,2.25,2.17,2.17,3270.0
2020-04-29,2.0301,2.1975,2.03,2.14,10270.0,0.0,1.0,2.0301,2.1975,2.03,2.14,10270.0
2020-04-30,2.08,2.25,2.08,2.14,11799.0,0.0,1.0,2.08,2.25,2.08,2.14,11799.0
2020-05-01,2.18,2.18,2.04,2.061,2689.0,0.0,1.0,2.18,2.18,2.04,2.061,2689.0
2020-05-04,2.135,2.2,2.135,2.2,350.0,0.0,1.0,2.135,2.2,2.135,2.2,350.0
2020-05-05,2.17,2.17,2.0,2.0,5665.0,0.0,1.0,2.17,2.17,2.0,2.0,5665.0
2020-05-06,2.11,2.17,2.0218,2.0481,2959.0,0.0,1.0,2.11,2.17,2.0218,2.0481,2959.0
2020-05-07,2.03,2.03,1.88,1.91,13270.0,0.0,1.0,2.03,2.03,1.88,1.91,13270.0
2020-05-08,2.0,2.08,1.8002,2.07,9331.0,0.0,1.0,2.0,2.08,1.8002,2.07,9331.0
2020-05-11,2.03,2.05,2.03,2.05,530.0,0.0,1.0,2.03,2.05,2.03,2.05,530.0
2020-05-12,2.12,2.12,2.0,2.04,2933.0,0.0,1.0,2.12,2.12,2.0,2.04,2933.0
2020-05-13,1.96,1.96,1.8201,1.825,8237.0,0.0,1.0,1.96,1.96,1.8201,1.825,8237.0
2020-05-14,1.99,1.99,1.81,1.83,4128.0,0.0,1.0,1.99,1.99,1.81,1.83,4128.0
2020-05-15,1.945,1.945,1.8001,1.8001,3739.0,0.0,1.0,1.945,1.945,1.8001,1.8001,3739.0
2020-05-18,1.9201,1.98,1.83,1.83,3847.0,0.0,1.0,1.9201,1.98,1.83,1.83,3847.0
2020-05-19,1.81,1.99,1.81,1.99,2482.0,0.0,1.0,1.81,1.99,1.81,1.99,2482.0
2020-05-20,1.9741,2.1,1.82,2.04,3917.0,0.0,1.0,1.9741,2.1,1.82,2.04,3917.0
2020-05-21,1.99,2.044,1.96,2.0,1224.0,0.0,1.0,1.99,2.044,1.96,2.0,1224.0
2020-05-22,2.05,2.05,1.8501,1.94,5041.0,0.0,1.0,2.05,2.05,1.8501,1.94,5041.0
2020-05-26,1.98,1.98,1.93,1.93,2215.0,0.0,1.0,1.98,1.98,1.93,1.93,2215.0
2020-05-27,1.91,1.965,1.87,1.9581,4799.0,0.0,1.0,1.91,1.965,1.87,1.9581,4799.0
2020-05-28,1.88,1.94,1.81,1.94,2265.0,0.0,1.0,1.88,1.94,1.81,1.94,2265.0
2020-05-29,1.94,1.94,1.845,1.91,4035.0,0.0,1.0,1.94,1.94,1.845,1.91,4035.0
2020-06-01,1.82,1.8712,1.8,1.86,5789.0,0.0,1.0,1.82,1.8712,1.8,1.86,5789.0
2020-06-02,1.82,1.85,1.8,1.8,14085.0,0.0,1.0,1.82,1.85,1.8,1.8,14085.0
2020-06-03,1.76,1.99,1.76,1.9101,5661.0,0.0,1.0,1.76,1.99,1.76,1.9101,5661.0
2020-06-04,1.81,1.895,1.75,1.753,7778.0,0.0,1.0,1.81,1.895,1.75,1.753,7778.0
2020-06-05,1.7779,1.8134,1.75,1.78,4002.0,0.0,1.0,1.7779,1.8134,1.75,1.78,4002.0
2020-06-08,1.82,1.82,1.75,1.7973,7755.0,0.0,1.0,1.82,1.82,1.75,1.7973,7755.0
2020-06-09,1.75,1.95,1.75,1.7801,21843.0,0.0,1.0,1.75,1.95,1.75,1.7801,21843.0
2020-06-10,1.89,2.34,1.83,1.875,85950.0,0.0,1.0,1.89,2.34,1.83,1.875,85950.0
2020-06-11,2.0,2.27,1.8,2.0,64727.0,0.0,1.0,2.0,2.27,1.8,2.0,64727.0
