Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,6.2,6.44,5.83,5.84,176810.0,0.0,1.0,6.2,6.44,5.83,5.84,176810.0
2020-01-03,5.81,5.8214,5.5,5.54,137915.0,0.0,1.0,5.81,5.8214,5.5,5.54,137915.0
2020-01-06,5.42,5.93,5.42,5.83,131257.0,0.0,1.0,5.42,5.93,5.42,5.83,131257.0
2020-01-07,5.91,6.02,5.73,5.78,64137.0,0.0,1.0,5.91,6.02,5.73,5.78,64137.0
2020-01-08,6.0,6.08,5.67,5.72,60654.0,0.0,1.0,6.0,6.08,5.67,5.72,60654.0
2020-01-09,5.8,5.92,5.73,5.83,71518.0,0.0,1.0,5.8,5.92,5.73,5.83,71518.0
2020-01-10,5.84,5.99,5.78,5.99,29596.0,0.0,1.0,5.84,5.99,5.78,5.99,29596.0
2020-01-13,6.01,6.01,5.7,5.73,71662.0,0.0,1.0,6.01,6.01,5.7,5.73,71662.0
2020-01-14,5.7,5.73,5.5,5.69,61100.0,0.0,1.0,5.7,5.73,5.5,5.69,61100.0
2020-01-15,5.64,5.7412,5.41,5.42,42699.0,0.0,1.0,5.64,5.7412,5.41,5.42,42699.0
2020-01-16,5.29,5.65,5.29,5.57,72441.0,0.0,1.0,5.29,5.65,5.29,5.57,72441.0
2020-01-17,5.66,6.02,5.66,5.86,116267.0,0.0,1.0,5.66,6.02,5.66,5.86,116267.0
2020-01-21,5.9,5.9279,5.58,5.63,37011.0,0.0,1.0,5.9,5.9279,5.58,5.63,37011.0
2020-01-22,5.59,5.7335,5.49,5.69,53543.0,0.0,1.0,5.59,5.7335,5.49,5.69,53543.0
2020-01-23,5.63,5.64,5.47,5.56,38089.0,0.0,1.0,5.63,5.64,5.47,5.56,38089.0
2020-01-24,5.51,5.62,5.29,5.42,49000.0,0.0,1.0,5.51,5.62,5.29,5.42,49000.0
2020-01-27,5.16,5.4,5.04,5.35,101568.0,0.0,1.0,5.16,5.4,5.04,5.35,101568.0
2020-01-28,5.4496,5.62,5.3,5.36,55697.0,0.0,1.0,5.4496,5.62,5.3,5.36,55697.0
2020-01-29,5.31,5.76,5.31,5.35,68929.0,0.0,1.0,5.31,5.76,5.31,5.35,68929.0
2020-01-30,5.35,5.4806,5.27,5.4,24511.0,0.0,1.0,5.35,5.4806,5.27,5.4,24511.0
2020-01-31,5.4,5.4,5.14,5.19,26194.0,0.0,1.0,5.4,5.4,5.14,5.19,26194.0
2020-02-03,5.17,5.5768,5.17,5.43,101194.0,0.0,1.0,5.17,5.5768,5.17,5.43,101194.0
2020-02-04,5.55,5.64,5.25,5.31,65983.0,0.0,1.0,5.55,5.64,5.25,5.31,65983.0
2020-02-05,5.325,5.415,5.21,5.25,33927.0,0.0,1.0,5.325,5.415,5.21,5.25,33927.0
2020-02-06,5.22,5.41,5.2,5.37,36400.0,0.0,1.0,5.22,5.41,5.2,5.37,36400.0
2020-02-07,5.32,5.47,5.3,5.33,35535.0,0.0,1.0,5.32,5.47,5.3,5.33,35535.0
2020-02-10,5.27,5.365,5.26,5.33,21668.0,0.0,1.0,5.27,5.365,5.26,5.33,21668.0
2020-02-11,5.35,5.35,5.11,5.23,44128.0,0.0,1.0,5.35,5.35,5.11,5.23,44128.0
2020-02-12,5.36,5.36,5.12,5.12,34299.0,0.0,1.0,5.36,5.36,5.12,5.12,34299.0
2020-02-13,5.15,5.15,5.05,5.12,31056.0,0.0,1.0,5.15,5.15,5.05,5.12,31056.0
2020-02-14,5.25,5.25,5.05,5.05,21043.0,0.0,1.0,5.25,5.25,5.05,5.05,21043.0
2020-02-18,5.11,5.1805,5.05,5.17,28046.0,0.0,1.0,5.11,5.1805,5.05,5.17,28046.0
2020-02-19,5.14,5.25,5.11,5.11,14537.0,0.0,1.0,5.14,5.25,5.11,5.11,14537.0
2020-02-20,5.11,5.32,5.11,5.25,42748.0,0.0,1.0,5.11,5.32,5.11,5.25,42748.0
2020-02-21,5.33,5.38,5.17,5.32,25875.0,0.0,1.0,5.33,5.38,5.17,5.32,25875.0
2020-02-24,5.16,5.235,5.06,5.21,33295.0,0.0,1.0,5.16,5.235,5.06,5.21,33295.0
2020-02-25,5.19,5.19,4.97,5.09,50835.0,0.0,1.0,5.19,5.19,4.97,5.09,50835.0
2020-02-26,5.1841,5.19,4.86,4.99,35172.0,0.0,1.0,5.1841,5.19,4.86,4.99,35172.0
2020-02-27,4.76,4.8899,4.55,4.7,46930.0,0.0,1.0,4.76,4.8899,4.55,4.7,46930.0
2020-02-28,4.69,4.69,4.34,4.46,78713.0,0.0,1.0,4.69,4.69,4.34,4.46,78713.0
2020-03-02,4.57,4.78,4.38,4.51,31209.0,0.0,1.0,4.57,4.78,4.38,4.51,31209.0
2020-03-03,4.64,5.5,4.64,4.7,84851.0,0.0,1.0,4.64,5.5,4.64,4.7,84851.0
2020-03-04,4.83,5.2,4.83,5.16,21057.0,0.0,1.0,4.83,5.2,4.83,5.16,21057.0
2020-03-05,4.85,5.15,4.77,4.82,17586.0,0.0,1.0,4.85,5.15,4.77,4.82,17586.0
2020-03-06,4.82,4.94,4.6342,4.72,38210.0,0.0,1.0,4.82,4.94,4.6342,4.72,38210.0
2020-03-09,4.06,4.37,3.52,3.77,113217.0,0.0,1.0,4.06,4.37,3.52,3.77,113217.0
2020-03-10,3.92,4.53,3.91,4.36,112184.0,0.0,1.0,3.92,4.53,3.91,4.36,112184.0
2020-03-11,4.35,4.44,4.16,4.33,77837.0,0.0,1.0,4.35,4.44,4.16,4.33,77837.0
2020-03-12,3.85,4.38,3.6,3.96,173529.0,0.0,1.0,3.85,4.38,3.6,3.96,173529.0
2020-03-13,3.87,4.4,3.87,3.9,73798.0,0.0,1.0,3.87,4.4,3.87,3.9,73798.0
2020-03-16,3.6,3.773,3.32,3.32,121837.0,0.0,1.0,3.6,3.773,3.32,3.32,121837.0
2020-03-17,3.22,3.58,3.1,3.23,234590.0,0.0,1.0,3.22,3.58,3.1,3.23,234590.0
2020-03-18,3.01,3.0501,2.54,3.0,193293.0,0.0,1.0,3.01,3.0501,2.54,3.0,193293.0
2020-03-19,3.08,3.15,2.925,2.96,82288.0,0.0,1.0,3.08,3.15,2.925,2.96,82288.0
2020-03-20,3.02,3.42,3.02,3.21,73775.0,0.0,1.0,3.02,3.42,3.02,3.21,73775.0
2020-03-23,3.08,3.08,2.83,2.99,20840.0,0.0,1.0,3.08,3.08,2.83,2.99,20840.0
2020-03-24,3.0599,3.48,2.9948,3.12,41626.0,0.0,1.0,3.0599,3.48,2.9948,3.12,41626.0
2020-03-25,3.1213,3.37,3.01,3.24,103601.0,0.0,1.0,3.1213,3.37,3.01,3.24,103601.0
2020-03-26,3.15,3.49,3.15,3.3,44262.0,0.0,1.0,3.15,3.49,3.15,3.3,44262.0
2020-03-27,3.23,3.25,3.11,3.11,6007.0,0.0,1.0,3.23,3.25,3.11,3.11,6007.0
2020-03-30,3.23,3.23,2.87,3.02,65280.0,0.0,1.0,3.23,3.23,2.87,3.02,65280.0
2020-03-31,3.15,3.3838,3.025,3.24,43952.0,0.0,1.0,3.15,3.3838,3.025,3.24,43952.0
2020-04-01,3.1586,3.17,3.0,3.08,22169.0,0.0,1.0,3.1586,3.17,3.0,3.08,22169.0
2020-04-02,3.0499,3.26,2.9626,3.26,30579.0,0.0,1.0,3.0499,3.26,2.9626,3.26,30579.0
2020-04-03,3.25,3.25,3.04,3.11,14815.0,0.0,1.0,3.25,3.25,3.04,3.11,14815.0
2020-04-06,3.24,3.365,3.01,3.2,35006.0,0.0,1.0,3.24,3.365,3.01,3.2,35006.0
2020-04-07,3.19,3.51,3.0691,3.51,47353.0,0.0,1.0,3.19,3.51,3.0691,3.51,47353.0
2020-04-08,3.51,3.55,3.27,3.31,33162.0,0.0,1.0,3.51,3.55,3.27,3.31,33162.0
2020-04-09,3.4697,3.56,3.11,3.3,26579.0,0.0,1.0,3.4697,3.56,3.11,3.3,26579.0
2020-04-13,3.46,3.46,3.02,3.07,36112.0,0.0,1.0,3.46,3.46,3.02,3.07,36112.0
2020-04-14,3.1375,3.24,3.0101,3.06,35914.0,0.0,1.0,3.1375,3.24,3.0101,3.06,35914.0
2020-04-15,3.03,3.18,2.9138,3.08,34749.0,0.0,1.0,3.03,3.18,2.9138,3.08,34749.0
2020-04-16,3.0683,3.2,3.03,3.12,13519.0,0.0,1.0,3.0683,3.2,3.03,3.12,13519.0
2020-04-17,3.224,3.224,3.13,3.2,24842.0,0.0,1.0,3.224,3.224,3.13,3.2,24842.0
2020-04-20,3.2,3.29,3.06,3.07,17644.0,0.0,1.0,3.2,3.29,3.06,3.07,17644.0
2020-04-21,3.05,3.05,2.9,2.95,18215.0,0.0,1.0,3.05,3.05,2.9,2.95,18215.0
2020-04-22,3.0137,3.06,2.92,3.06,9792.0,0.0,1.0,3.0137,3.06,2.92,3.06,9792.0
2020-04-23,3.04,3.0812,2.91,3.04,25071.0,0.0,1.0,3.04,3.0812,2.91,3.04,25071.0
2020-04-24,3.13,3.13,2.82,2.83,23139.0,0.0,1.0,3.13,3.13,2.82,2.83,23139.0
2020-04-27,2.95,2.9799,2.84,2.96,38574.0,0.0,1.0,2.95,2.9799,2.84,2.96,38574.0
2020-04-28,2.93,3.09,2.93,3.09,44914.0,0.0,1.0,2.93,3.09,2.93,3.09,44914.0
2020-04-29,3.13,3.31,2.94,3.11,109772.0,0.0,1.0,3.13,3.31,2.94,3.11,109772.0
2020-04-30,3.33,3.33,2.95,3.0,44277.0,0.0,1.0,3.33,3.33,2.95,3.0,44277.0
2020-05-01,3.0347,3.0799,2.88,2.93,32353.0,0.0,1.0,3.0347,3.0799,2.88,2.93,32353.0
2020-05-04,2.95,3.0206,2.8631,2.96,19120.0,0.0,1.0,2.95,3.0206,2.8631,2.96,19120.0
2020-05-05,3.05,3.06,2.9,2.9,25854.0,0.0,1.0,3.05,3.06,2.9,2.9,25854.0
2020-05-06,2.91,3.02,2.89,2.95,21059.0,0.0,1.0,2.91,3.02,2.89,2.95,21059.0
2020-05-07,3.0018,3.08,2.95,2.95,21918.0,0.0,1.0,3.0018,3.08,2.95,2.95,21918.0
2020-05-08,3.08,3.32,2.9,3.14,66797.0,0.0,1.0,3.08,3.32,2.9,3.14,66797.0
2020-05-11,3.26,3.53,3.06,3.35,35432.0,0.0,1.0,3.26,3.53,3.06,3.35,35432.0
2020-05-12,3.35,3.6,3.3,3.3,43162.0,0.0,1.0,3.35,3.6,3.3,3.3,43162.0
